"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.298253968254,"Up",103534000,-717000,102817000,-131694000,-14223000,-117471000,-28877000,-1645000,-2084000,439000,-30522000,-30522000,0,-30522000,-30522000,-30522000,-30522000,-911122675.641265,-1227659797.43145,316537121.79019,2969497.52319255,2969497.52319255,202629214.003245,79953257.8677996,-705522398.04139,292874572.987376,1209098127.09522,18498203.9924031,18490089.9289206,1520470904.07499,814948506.033605,-63905202.1066028,-63905202.1066028,60119312.5447797,60119312.1433789,-3917480.28555889,159615100.183749,-364494186.994168,-444423341.282459,-204879086.81042,-208796567.095978,1924827082.57093,-892778683.732668,-8298954.77701838,1023749443.22043,1023749443.22043,814952876.124452,-30522000,4183000,9378000,8834000,544000,7383000,-6290000,13673000,-9578000,-22743000,-22743000,-113658000,63936000,-177594000,-136401000,9226000,9226000,-555000,56215000,-89764000,-89764000,-89764000,-24694000,0,-40054000,0.99307,-0.27891,-0.2948,0.304611158029273,0.0819119929217719,1.3123,-1.7222696566443,-2.68397985735863,0.2232185359304,-0.36806,-0.36806,1.24851,12.8721114284543,-0.48301,0.0944687878429961,-1.60097389444399,14.5245867269221,-7.87964882251973
"2","2010_Q3",24.02546875,"Down",115886000,-405000,115481000,-139205000,-14679000,-124526000,-23724000,-1750000,-2342000,592000,-25474000,-25474000,0,-25474000,-25474000,-25474000,-25474000,306337000,1.12e+08,194337000,4070000,4070000,107343000,16217000,417750000,292329000,70465000,10097000,10097000,372891000,790641000,58256000,58256000,60867000,60867000,119571000,157359000,142495000,46327000,299854000,419425000,1368611000,-997091000,-306000,371214000,371214000,790639000,-25474000,4524000,9786000,8707000,1079000,-686000.00000006,-23338000,22652000.0000001,-11850000,-22581000,-22581000,28201000,72775000,-44574000,3820000.00000003,2838000,2838000,-119000,2719000.00000001,-5311000,-5311000,-5311000,-19200000,157807000,-42467000,0.99651,-0.20472,-0.21982,-0.06862,-0.03222,1.66707,3.49374,1.12987,0.19959,-0.30719,-0.30719,1.39746,4.47645,-0.51211,-0.03793,-0.06324,7.73594,6.26075
"3","2010_Q4",28.73421875,"Up",105979000,-372000,105607000,-137701000,-15658000,-122043000,-32094000,-1781000,-2234000,453000,-33875000,-33875000,0,-33875000,-33875000,-33875000,-33875000,479053000,325286000,153767000,3048000,3048000,93618000,14379000,575719000,318498000,37956000.0000001,10260000,10260000,366714000,942433000,74976000,74976000,58223000,58223000,133833000,158382000,302154000,202428000,460536000,594369000,1379203000,-1030966000,-175000,348062000,348062000,942431000,-33875000,4894000,9794000,8790000,1004000,180688000,12909000,167779000,161501000,-22103000,-22103000,72275000,91772000,-19497000,50172000,1696000,1696000,-83000,1613000,213286000,213286000,213286000,-27200000,159016000,131385000,0.99649,-0.30283,-0.31964,-0.09732,-0.03594,-3.87852,4.30177,1.70765,0.16873,-0.4085,-0.4085,1.27799,4.19726,1.58436,-0.04186,0.16236,11.76607,9.97186
"4","2011_Q1",36.5903225806452,"Up",133675000,-599000,133076000,-145853000,-20641000,-125212000,-12777000,-1820000,-2458000,638000,-14597000,-14597000,3.63797880709171e-12,-14597000,-14597000,-14597000,-14597000,249368000,112572000,136796000,2314000,2314000,105940000,26337000,357622000,347450000,370053000,14307000,14307000,731810000,1089432000,53658000,53658000,54723000,54723000,109056000,159355000,293206000,196125000,452561000,561617000,1575869000,-1045563000,-2491000,527815000,527815000,1089432000,-14597000,6086000,15019000,13566000,1453000,-47359000,-799000,-46560000,-40851000,-32262000,-32262000,-318219000,45240000,-363459000,-354622000,186828000,186828000,-3041000,182759000,-212714000,-212714000,-212714000,-6691000,160030000,-86312000,0.99552,-0.09558,-0.1092,-0.02766,-0.0134,5.913,3.27925,1.06404,0.14689,-0.17602,-0.17602,1.61198,6.36489,-1.04083,-0.01488,-0.08798,13.35197,6.9921
"5","2011_Q2",52.7784126984127,"Up",112204000,-382000,111822000,-152803000,-23411000,-129392000,-40981000,-2682000,-3719000,1037000,-43663000,-43663000,216000,-43447000,-43447000,-43447000,-43447000,226441000,135376000,91065000,3765000,3765000,95295000,10904000,325501000,357423000,373621000,17748000,17748000,748792000,1074293000,58602000,58602000,52852000,52852000,112252000,159353000,284597000,190199000,443950000,556202000,1609276000,-1089010000,-2175000,518091000,518091000,1074293000,-43447000,6978000,15383000,14801000,582000,10506000,-4317000,14823000,-10580000,-22166000,-22166000,42481000,58119000,-15638000,20347000,14406000,14406000,-1063000,13037000,22804000,22804000,22804000,-34003000,160151000,-45879000,0.9966,-0.36524,-0.38721,-0.08386,-0.04044,1.05598,2.89973,1.07356,0.14908,-0.48728,-0.48728,1.25843,5.81067,-0.51456,-0.04512,-0.04765,1.94953,1.61758
"6","2011_Q3",58.21625,"Up",107810000,-395000,107415000,-167734000,-24585000,-143149000,-60319000,-3049000,-4047000,998000,-63368000,-63368000,863000,-62505000,-62505000,-62505000,-62505000,309683000,254312000,55371000,2921000,2921000,100669000,19026000,413273000,361883000,251256000,20452000,20452000,633591000,1046864000,81665000,81665000,53326000,53326000,135868000,159457000,273505000,181793000,432962000,568830000,1630453000,-1151515000,-904000,478034000,478034000,1046864000,-62505000,7902000,12646000,12396000,250000,7906999.99999999,3179000,4728000,-34050000,-14864000,-14864000,158512000,158512000,0,142935000,14095000,14095000,-3646000,10051000,118936000,118936000,118936000,-52417000,160334000,-60237000,0.99634,-0.55949,-0.57977,-0.13075,-0.05971,0.963710000000001,3.04172,1.18994,0.15316,-0.69115,-0.69115,1.19211,5.28588,-0.66607,-0.06855,-0.06606,2.84925,2.47599
"7","2011_Q4",56.4985714285714,"Down",102833000,-450000,102383000,-160840000,-32916000,-127924000,-58457000,-3346000,-4061000,715000,-61803000,-61803000,-562000,-62365000,-62365000,-62365000,-62365000,245498000,206395000,39103000,3659000,3659000,90715000,15927000,339872000,363913000,258073000,21173000,21173000,643159000,983031000,78890000,78890000,53425000,53425000,133235000,159482000,262061000,174028000,421543000,554778000,1643864000,-1213880000,-1731000,428253000,428253000,983031000,-62365000,8276000,14653000,13364000,1289000,-7299000,6071000,-13370000,-46735000,-8898000,-8898000,7999000,107899000,-99900000,-903000,11634000,11634000,-11607000,-279000,-47917000,-47917000,-47917000,-50181000,160402000,-65816000,0.99562,-0.56847,-0.60647,-0.14563,-0.06344,1.05534,2.55092,1.29544,0.16317,-0.68498,-0.68498,1.12945,4.70365,-0.72288,-0.07331,-0.07737,1.69578,1.4557
"8","2012_Q1",97.7091935483871,"Up",122977000,-2989000,119988000,-165390000,-36349000,-129041000,-45402000,-8656000,-9455000,799000,-54058000,-54058000,615000,-53443000,-53443000,-53443000,-53443000,526942000,483610000,43332000,28254000,28254000,110581000,35800000,665777000,367955000,275887000,13964000,13964000,657806000,1323583000,95625000,95625000,51640000,51640000,148271000,434527000,255053000,169036000,689580000,837851000,1754917000,-1267323000,-1862000,485732000,485732000,1323583000,-53443000,7926000,25227000,15533000,9694000,-30027000,-26051000,10118000,-50317000,-11289000,-11289000,-23027000,101826000,-124853000,-33908000,3452000,3452000,-32462000,361440000,277215000,277215000,277215000,-37476000,435533000,-79407000,0.97569,-0.36919,-0.43458,-0.11003,-0.04038,1.48583,4.49027,1.72492,0.32906,-0.5822,-0.58219,1.33969,5.29149,-0.86505,-0.04543,-0.0675,2.43913,2.01333
"9","2012_Q2",125.373968253968,"Up",231789000,-12298000,219491000,-197290000,-58428000,-138862000,22201000,-10550000,-11160000,610000,11651000,11651000,0,11651000,11651000,11651000,11651000,432298000,394585000,37713000,159462000,159462000,105155000,26270000,696915000,369959000,254738000,28547000,28547000,653244000,1350159000,106723000,106723000,52570000,52570000,160386000,439740000,246009000,162384000,685749000,846135000,1761033000,-1255672000,-1337000,504024000,504024000,1350159000,11651000,8416000,31281000,23244000,8037000,-138389000,-135312000,-3077000,-87041000,-11055000,-11055000,27284000,75853000,-48569000,15766000,31828000,31828000,-49078000,-17750000,-89025000,-89025000,-89025000,30617000,440833000,-118827000,0.94694,0.09578,0.05027,0.02312,0.00863,-10.19887,4.34524,1.67876,0.3265,0.12468,0.10815,2.48046,5.39375,-1.27161,0.00978,-0.09978,0.27877,0.38444
"10","2012_Q3",136.744603174603,"Up",304399000,-21843000,282556000,-195078000,-47705000,-147373000,87478000,-10735000,-11236000,501000,76743000,76743000,0,76743000,76743000,76743000,76743000,301022000,171943000,129079000,349645000,349645000,118526000,32791000,769193000,372278000,288321000,27708000,27708000,688307000,1457500000,126768000,126768000,55269000,55269000,183220000,445049000,234574000,156293000,679623000,862843000,1775957000,-1178929000,-2371000,594657000,594657000,1457500000,76743000,9417000,33816000,19606000,14210000,-198353000,-197033000,-1320000,-78377000,-12872000,-12872000,-126310000,96028000,-222338000,-139188000,7803000,7803000,-12366000,-5076999.99999994,-222642000,-222642000,-222642000,96895000,446232000,-114330000,0.92824,0.28738,0.25211,0.12905,0.05265,-1.48978,4.19819,1.45099,0.30616,0.81133,0.69601,3.21812,6.28675,-1.2087,0.06017,-0.08964,1.49863,1.65996
"11","2012_Q4",163.50064516129,"Up",427687000,-20145000,407542000,-205178000,-46883000,-158295000,202364000,-10896000,-11413000,517000,191468000,191468000,0,191468000,191468000,191468000,191468000,262552000,118998000,143554000,506682000,506682000,179369000,84780000,948603000,372917000,312600000,26495000,26495000,712012000,1660615000,124224000,124224000,53067000,53067000,178568000,450458000,225565000,148119000,676023000,854591000,1795389000,-987461000,-1904000,806024000,806024000,1660615000,191468000,9329000,28933000,20535000,8398000,-232112000,-165891000,-66221000,-2382000,-10248000,-10248000,-38457000,88889000,-127346000,-48754000,8809000,8809000,-10031000,-1809000,-52945000,-52945000,-52945000,211693000,451735000,-30667000,0.9529,0.47316,0.44768,0.23755,0.1153,-0.16017,5.31228,1.06026,0.27203,2.0152,1.65301,4.5014,8.48339,-0.32277,0.12908,-0.02067,0.89367,0.93486
"12","2013_Q1",171.669666666667,"Up",414602000,-30169000,384433000,-238763000,-57739000,-181024000,145670000,-11111000,-11495000,384000,134559000,134559000,335848000,470407000,470407000,470407000,470407000,308095000,230276000,77819000,593207000,593207000,276072000,28025000,1206012000,379940000,271230000,223308000,31286000,874478000,2080490000,111345000,111345000,50831000,50831000,163550000,455954000,215601000,139081000,671555000,835105000,1763605000,-517054000,-1166000,1245385000,1245385000,2080490000,470407000,9778000,-283055000,30772000,26329000,-103945000,-90162000,15149000,93185000,-15162000,-15162000,105747000,178439000,-72692000,91103000,15109000,15109000,-87517000,-73010000,111278000,111278000,111278000,155448000,457328000,-299507000,0.92723,0.35135,1.1346,0.37772,0.2261,-0.6367,7.37397,0.67056,0.21982,4.91579,3.68363,4.33263,13.01438,-3.12987,0.24522,-0.15613,0.96002,1.02446
"13","2013_Q2",232.86265625,"Up",439664000,-29055000,410609000,-257559000,-77260000,-180299000,153050000,-11219000,-11675000,456000,141831000,141831000,-42957000,98874000,98874000,98874000,98874000,307710000,180362000,127348000,703857000,703857000,295555000,97142000,1307122000,392378000,346607000,229891000,28572000,968876000,2275998000,145413000,145413000,50358000,50358000,197244000,461275000,211131000,134222000,672406000,869650000,1826172000,-418180000,-1644000,1406348000,1406348000,2275998000,98874000,9407000,105510000,53030000,12955000,-127543000,-117782000,7820000,86248000,-21203000,-21203000,-126482000,54754000,-181236000,-147685000,12964000,12964000,-792000,11523000,-49914000,-49914000,-49914000,162457000,462748000,56668000,0.93392,0.34811,0.22489,0.07031,0.04344,0.57313,6.62693,0.61837,0.20332,1.0206,0.90404,4.53833,14.51669,0.58494,0.04753,0.02724,0.95433,1.01299
"14","2013_Q3",263.035,"Up",457642000,-39613000,418029000,-259926000,-72463000,-187463000,158103000,-10411000,-11365000,954000,147692000,147692000,-60316000,87376000.0000001,87376000.0000001,87376000.0000001,87376000.0000001,537506000,381675000,155831000,767865000,767865000,255991000,108913000,1561362000,419651000,173328000,223918000,15211000,816897000,2378259000,153826000,153826000,49182000,49182000,203802000,472508000,208612000,129872000,681120000,884922000,1827570000,-330804000,-3429000,1493337000,1493337000,2378259000,87376000.0000001,9702000,114123000,44443000,16683000,-83037000,-88367000,18893000,128164000,-34453000,-34453000,151083000,252490000,-101407000,116630000,21336000,21336000,-64469000,-43481000,201313000,201313000,201313000,167805000,473302000,110631000,0.91344,0.34547,0.19093,0.05851,0.03674,1.26615,7.66117,0.59258,0.19901,0.89433,0.78547,4.68416,15.28492,1.13235,0.04017,0.05086,-0.38261,-0.40609
"15","2013_Q4",287.61546875,"Up",597027000,-38573000,558454000,-321652000,-97607000,-224045000,236802000,-11118000,-11736000,618000,225684000,225684000,-84378000,141306000,141306000,141306000,141306000,445323000,263211000,182112000,855844000,855844000,332993000,156839000,1634160000,453891000,329863000,222501000,4409000,1006255000,2640415000,219138000,219138000,48795000,48795000,268727000,481381000,200136000,122466000,681517000,950244000,1882520000,-189498000,-2851000,1690171000,1690171000,2640415000,141306000,10803000,39500000,45744000,3388000,-99154000,-144660000,51104000,92455000,-31691000,-31691000,-182761000,11908000,-194669000,-214452000,7418000,7418000,-3257000,3533000,-118464000,-118464000,-118464000,247605000,482175000,201138000,0.93539,0.39664,0.23668,0.0836,0.05352,1.42342,6.08112,0.56222,0.18261,1.43858,1.12101,6.0781,17.20696,2.04771,0.05956,0.08478,0.14883,0.15562
"16","2014_Q1",308.086885245902,"Up",610412000,-48114000,562298000,-367203000,-99063000,-268140000,195095000,-13920000,-11661000,-2259000,181175000,181175000,-94993000,86182000,86182000,86182000,86182000,693984000,535608000,158376000,787071000,787071000,245525000,32952000,1796934000,526983000,389891000,237205000,5327000,1154079000,2951013000,250896000,250896000,47939000,4.7e+07,298835000,504573000,195529000,119007000,700102000,998937000,2045956000,-92692000,-1188000,1952076000,1952076000,2951013000,86182000,11292000,65190000,72160000,13725000,119065000,105337000,24942000,281729000,-68976000,-68976000,-40972000,58994000,-99966000,-109948000,15675000,15675000,85340000,100616000,272397000,272397000,272397000,206387000,504573000,351469000,0.92118,0.31961,0.14119,0.04415,0.0292,4.07822,6.01313,0.51173,0.17098,0.87172,0.87496,6.17426,19.74506,3.55508,0.03249,0.13252,-0.91775,-0.97087
"17","2014_Q2",296.377301587302,"Down",625740000,-43572000,582168000,-390606000,-103227000,-287379000,191562000,-10676000,-11613000,937000,180886000,180886000,-112581000,68305000,68305000,68305000,68305000,648133000,461858000,186275000,801773000,801773000,334598000,52252000,1871049000,600864000,534689000,253794000,5340000,1389347000,3260396000,237935000,237935000,66073000,66073000,305068000,530053000,214027000,140333000,744080000,1049148000,2237032000,-27249000,1465000,2211248000,2211248000,3260396000,68305000,11530000,79701000,75785000,9677000,-106009000,-92529000,2070000,53527000,-64822000,-64822000,-171409000,82469000,-253878000,-236231000,55042000,55042000,54174000,108954000,-73750000,-73750000,-73750000,203092000,531113000,144842000,0.93037,0.30614,0.10916,0.03089,0.02095,2.12052,6.13322,0.47446,0.1629,0.69198,0.60904,6.33924,22.40169,1.46736,0.0231,0.04899,-0.57619,-0.61087
