"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","fed_funds_sold_repos","short_long_term_investments","other_investments","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","short_term_debt","securities_sold_under_repo","trading_account_liabilities","short_term_borrowings","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","stock_based_compensation","change_in_working_capital","other_operating_assets_liabilities","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","decrease_in_investments","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",121.655714285714,"Down",1.2775e+10,1.418e+09,3.001e+09,-1.583e+09,1.1357e+10,3.091e+09,8.266e+09,1.2775e+10,-7.616e+09,-7.44e+08,-6.872e+09,5.159e+09,5.159e+09,5.159e+09,-1.703e+09,3.456e+09,3.456e+09,3.456e+09,-1.6e+08,3.296e+09,2.7064e+10,1.66368e+11,1.66368e+11,5.85329e+11,2.45894e+11,5.7886e+10,4.3881e+10,8.80528e+11,3.8431e+10,3.77873e+11,1.53517e+11,1.54922e+11,6.4821e+10,1.80414e+11,2.10866e+11,8.07584e+11,6.957e+09,4.1452e+10,8e+06,4.1444e+10,-3.4388e+10,5.3345e+10,5.578e+09,7.2944e+10,7.2944e+10,8.80528e+11,3.456e+09,3.75e+08,-4.218e+09,2.16e+09,-7.117e+09,-1.4958e+10,-7.504e+09,-2.5e+08,2.8e+07,-2.78e+08,-1.7e+07,8.47e+08,-9.66e+08,-3.63e+08,3.71e+08,2.13e+08,1.58e+08,-7.464e+09,7.622e+09,-2.131e+09,-2.269e+09,-9.87e+08,3.53e+08,-2.757e+09,-1.1227e+10,-1.1227e+10,-1.1227e+10,5.534e+09,5.58287e+11,-1.3e+08,0.40384,0.258,0.04519,0.00374,-0.03944,11.07129,0.63404,6.03663,5.58644,23.39744,120.85531,-0.2381,0.66484,0.00416,-0.00015,0.11013,95.99259,102.97015
"2","2010_Q3",119.716875,"Down",8.841e+09,1.619e+09,3.302e+09,-1.683e+09,7.222e+09,2.965e+09,4.257e+09,8.841e+09,-7.393e+09,-8.49e+08,-6.544e+09,1.448e+09,1.448e+09,1.448e+09,-8.35e+08,6.13e+08,6.13e+08,6.13e+08,-1.6e+08,4.53e+08,3.2601e+10,1.6928e+11,1.6928e+11,5.81361e+11,2.46493e+11,5.7261e+10,4.2685e+10,8.83188e+11,3.7024e+10,3.77832e+11,1.49908e+11,1.58222e+11,6.4957e+10,1.78582e+11,2.15931e+11,8.09369e+11,6.957e+09,4.1605e+10,8e+06,4.1597e+10,-3.4386e+10,5.3599e+10,6.044e+09,7.3819e+10,7.3819e+10,8.83188e+11,6.13e+08,4.4e+08,-1.2936e+10,4.34e+08,2.1836e+10,2.457e+09,9.953e+09,-1.53e+08,2.1e+07,-1.74e+08,4.83e+08,8.67e+08,2.76e+08,-3.59e+08,-3.491e+09,1.383e+09,-4.874e+09,-8.522e+09,3.648e+09,1.12e+08,4.76837158203125e-07,-1.407e+09,4.53e+08,-4.692e+09,5.537e+09,5.537e+09,5.537e+09,1.888e+09,5.56414e+11,2.4406e+10,0.16378,0.05124,0.00614000000000001,0.00051,53.87638,10.96424,0.63001,0.839200000000001,0.7805,16.37829,123.86439,45.21304,0.66506,0.00092,0.02763,0.792490000000001,277.44333,361.74931
"3","2010_Q4",132.68703125,"Up",8.903e+09,1.128e+09,2.937e+09,-1.809e+09,7.775e+09,3.166e+09,4.609e+09,8.903e+09,-6.092e+09,-7.75e+08,-5.317e+09,2.811e+09,2.811e+09,2.811e+09,-9.13e+08,1.898e+09,1.898e+09,1.898e+09,-1.61e+08,1.737e+09,3.6129e+10,1.78109e+11,1.78109e+11,5.88055e+11,2.3626e+11,6.1391e+10,4.4995e+10,9.08679e+11,3.8444e+10,3.91688e+11,1.50429e+11,1.67258e+11,7.0542e+10,1.8512e+11,2.1777e+11,8.33022e+11,6.957e+09,4.1793e+10,8e+06,4.1785e+10,-3.5202e+10,5.5136e+10,6.973e+09,7.5657e+10,7.5657e+10,9.08679e+11,1.898e+09,3.58e+08,5.14e+09,9.45e+08,-6.72e+09,-6.2e+07,6.76e+08,-4.33e+08,1.4e+07,-4.47e+08,3.72e+08,8.72e+08,-8.7e+07,-3.61e+08,2.237e+09,1.361e+09,8.76e+08,-6.011e+09,6.887e+09,-7.12e+08,-8.19e+08,1.42e+09,3.55e+08,2.939e+09,3.528e+09,3.528e+09,3.528e+09,3.169e+09,5.76808e+11,-3.071e+09,0.31574,0.1951,0.02296,0.00191,-1.76799,11.01051,0.63478,3.21013,2.98044,16.45352,126.96359,-5.67548,0.66716,0.00231,-0.00338,0.20783,170.61502,192.34401
"4","2011_Q1",135.211612903226,"Up",8.642e+09,1.338e+09,3.069e+09,-1.731e+09,7.304e+09,3.826e+09,3.478e+09,8.642e+09,-5.168e+09,-8.4e+08,-4.328e+09,3.474e+09,3.474e+09,3.474e+09,-1.087e+09,2.387e+09,2.387e+09,2.387e+09,-1.6e+08,2.227e+09,3.9788e+10,1.88355e+11,1.88355e+11,5.7699e+11,2.20037e+11,6.7703e+10,3.8496e+10,9.11332e+11,3.8569e+10,4.03727e+11,1.62345e+11,1.51929e+11,8.6219e+10,1.74399e+11,2.17281e+11,8.33976e+11,6.957e+09,4.2111e+10,8e+06,4.2103e+10,-3.6295e+10,5.7163e+10,7.42e+09,7.7356e+10,7.7356e+10,9.11332e+11,2.387e+09,7.31e+08,2.94e+08,4.96e+08,-1.1894e+10,-3.249e+09,-8.482e+09,-3.19e+08,9e+06,-3.28e+08,9.36e+08,1.073e+09,-2.08e+08,-3.6e+08,1.3043e+10,1.0928e+10,2.115e+09,-5.459e+09,7.574e+09,-8.71e+08,-1.095e+09,1.25e+08,4.12e+08,1.2349e+10,3.659e+09,3.659e+09,3.659e+09,4.205e+09,5.78126e+11,-6.921e+09,0.40199,0.25769,0.02879,0.00244,-3.10777,10.78101,0.63437,4.11569,3.78741,15.97117,130.10349,-12.79061,0.66531,0.00284,-0.00759,0.16165,128.02331,154.962
"5","2011_Q2",118.888253968254,"Down",1.1894e+10,1.358e+09,3.107e+09,-1.749e+09,1.0536e+10,3.462e+09,7.074e+09,1.1894e+10,-7.854e+09,-8.53e+08,-7.001e+09,4.04e+09,4.04e+09,4.04e+09,-1.305e+09,2.735e+09,2.735e+09,2.735e+09,-1.827e+09,9.08e+08,4.2683e+10,1.62094e+11,1.62094e+11,6.12535e+11,2.37729e+11,7.5412e+10,4.0565e+10,9.33289e+11,3.8727e+10,4.24927e+11,1.65475e+11,1.6322e+11,9.066e+10,1.73793e+11,2.23373e+11,8.6082e+11,3.1e+09,4.486e+10,8e+06,4.4852e+10,-3.7723e+10,5.7803e+10,4.429e+09,7.2469e+10,7.2469e+10,9.33289e+11,2.735e+09,5.94e+08,1.731e+09,1.512e+09,-3.16e+09,-1.1227e+10,1.9e+09,-2.68e+08,9e+06,-2.77e+08,3.85e+08,1.146e+09,1.12e+08,-3.58e+08,1.993e+09,2.841e+09,-8.48e+08,-1.0944e+10,1.0096e+10,-1.418e+09,-1.481e+09,1.58e+08,5.08e+08,8.83e+08,2.895e+09,2.895e+09,2.895e+09,4.634e+09,5.9872e+11,2.511e+09,0.33967,0.07634,0.01253,0.00097,2.76542,11.87846,0.64152,1.67962,1.55746,22.00148,128.31853,4.64484,0.66223,0.00136,0.00269,0.39427,119.99072,137.63292
"6","2011_Q3",97.14515625,"Down",7.281e+09,1.413e+09,3.681e+09,-2.268e+09,5.868e+09,3.53e+09,2.338e+09,7.281e+09,-5.669e+09,-8.78e+08,-4.791e+09,1.612e+09,1.612e+09,1.612e+09,-5.25e+08,1.087e+09,1.087e+09,1.087e+09,-3.5e+07,1.052e+09,4.5433e+10,1.62285e+11,1.62285e+11,6.07568e+11,2.36963e+11,7.7367e+10,4.4257e+10,9.3691e+11,3.9004e+10,4.17049e+11,1.5545e+11,1.64113e+11,9.1074e+10,1.7521e+11,2.33291e+11,8.64554e+11,3.1e+09,4.4963e+10,8e+06,4.4955e+10,-3.9219e+10,5.8659e+10,4.853e+09,7.2356e+10,7.2356e+10,9.3691e+11,1.087e+09,3.72e+08,-7.505e+09,4.73e+08,1.6801e+10,1.2644e+10,1.0755e+10,-2.19e+08,2.4e+07,-2.43e+08,7.98e+08,1.159e+09,3.37e+08,-1.968e+09,-1.401e+09,-3.004e+09,1.603e+09,-8.105e+09,9.708e+09,-5.296e+09,-5.356e+09,2.77e+08,4.6e+07,-8.342e+09,2.75e+09,2.75e+09,2.75e+09,1.984e+09,5.92259e+11,1.9091e+10,0.2214,0.14449,0.01454,0.00112,18.14734,11.94862,0.63214,1.97819,1.84626,13.69124,130.22941,35.89883,3.70064,0.00322,0.02038,1.87072,275.61794,339.22208
"7","2011_Q4",80.9195238095238,"Down",3.587e+09,1.356e+09,3.354e+09,-1.998e+09,2.231e+09,2.97e+09,-7.39e+08,3.587e+09,-4.317e+09,-9.21e+08,-3.396e+09,-7.3e+08,-7.3e+08,-7.3e+08,3.37e+08,-3.93e+08,-3.93e+08,-3.93e+08,-3.5e+07,-4.28e+08,4.4203e+10,1.85854e+11,1.85854e+11,6.05811e+11,2.34352e+11,6.6281e+10,4.676e+10,9.48909e+11,4.1799e+10,4.16439e+11,1.43498e+11,1.70816e+11,9.6651e+10,1.7565e+11,2.44933e+11,8.78821e+11,3.1e+09,4.5345e+10,8e+06,4.5337e+10,-4.1372e+10,5.8043e+10,4.972e+09,7.0088e+10,7.0088e+10,9.48909e+11,-3.93e+08,3.89e+08,-1.5486e+10,4.46e+08,5.265e+09,1.1172e+10,-1.0225e+10,-4.39e+08,2e+07,-4.59e+08,9.96e+08,2.226e+09,5.39e+08,-2.23e+08,7.565e+09,2.63e+09,4.935e+09,-8.674e+09,1.3609e+10,-2.101e+09,-2.16e+09,2.795e+09,4.2e+08,8.456e+09,-1.23e+09,-1.23e+09,-1.23e+09,-3.41e+08,5.92089e+11,4.148e+09,-0.20351,-0.11932,-0.00611,-0.00045,-9.69159,12.53882,0.62397,-0.82641,-0.78245,6.92605,129.34543,8.00927,0.43059,-0.00022,0.00437,-0.52103,-1606.70381,-750.52877
"8","2012_Q1",94.6667741935484,"Up",6.049e+09,1.065e+09,3.032e+09,-1.967e+09,4.984e+09,2.863e+09,2.121e+09,6.049e+09,-4.802e+09,-8.03e+08,-3.999e+09,1.247e+09,1.247e+09,1.247e+09,-2.34e+08,1.013e+09,1.013e+09,1.013e+09,-34999999.9999999,9.78e+08,5.6008e+10,1.87789e+11,1.87789e+11,5.81811e+11,2.17605e+11,6.0261e+10,3.7356e+10,9.23225e+11,4.6109e+10,4.06766e+11,1.64502e+11,1.52195e+11,8.6402e+10,1.73545e+11,2.26426e+11,8.52846e+11,3.1e+09,4.5561e+10,8e+06,4.5553e+10,-4.2281e+10,5.8834e+10,5.165e+09,7.0379e+10,7.0379e+10,9.23225e+11,1.013e+09,5.14e+08,1.4303e+10,4.18e+08,4.241e+09,-7.832e+09,2.0071e+10,-1.8e+08,2.5e+07,-2.05e+08,8.43e+08,1.243e+09,-3.59e+08,-2.22e+08,-1.2219e+10,-7.442e+09,-4.777e+09,-1.0342e+10,5.565e+09,-7.22e+08,-9.08e+08,4.31e+09,9.46e+08,-7.907e+09,1.1805e+10,1.1805e+10,1.1805e+10,1.761e+09,5.80311e+11,6.056e+09,0.20615,0.16168,0.0139,0.00106,6.19223,12.1179,0.62857,1.92482,1.85297,11.90514,132.41291,11.91891,0.43692,0.0013,0.00656,0.22699,297.73027,420.45148
"9","2012_Q2",86.7687301587302,"Down",9.949e+09,9.81e+08,2.833e+09,-1.852e+09,8.968e+09,3.125e+09,5.843e+09,9.949e+09,-6.768e+09,-8.01e+08,-5.967e+09,3.181e+09,3.181e+09,3.181e+09,-1.072e+09,2.109e+09,2.109e+09,2.109e+09,-3.5e+07,2.074e+09,5.7138e+10,1.8105e+11,1.8105e+11,6.07697e+11,2.22191e+11,6.5211e+10,3.9836e+10,9.50932e+11,5.0874e+10,4.18002e+11,1.73092e+11,1.59372e+11,8.186e+10,1.71592e+11,2.38808e+11,8.79276e+11,3.1e+09,4.7043e+10,8e+06,4.7035e+10,-4.2592e+10,6.0723e+10,3.382e+09,7.1656e+10,7.1656e+10,9.50932e+11,2.109e+09,4.33e+08,1.1808e+10,6.43e+08,-1.0574e+10,4.63e+09,3.776e+09,-3.77e+08,1.3e+07,-3.9e+08,1.76e+08,8.29e+08,-4.78e+08,-2.2e+08,-6.664e+09,-1.352e+09,-5.312e+09,-1.5468e+10,1.0156e+10,-3.26e+08,-3.65e+08,4.765e+09,2.77e+08,-2.168e+09,1.13e+09,1.13e+09,1.13e+09,3.614e+09,5.89594e+11,-6.265e+09,0.31973,0.20846,0.02894,0.00218,-3.02073,12.27079,0.62002,4.0603,3.91912,19.47729,134.213,-12.26507,0.4307,0.00241,-0.00659,0.10608,147.33149,167.38636
"10","2012_Q3",88.0919047619048,"Up",6.627e+09,1.09e+09,3.055e+09,-1.965e+09,5.537e+09,3.271e+09,2.266e+09,6.627e+09,-5.212e+09,-7.57e+08,-4.455e+09,1.415e+09,1.415e+09,1.415e+09,-4.53e+08,9.62e+08,9.62e+08,9.62e+08,-3.5e+07,9.27e+08,5.8913e+10,1.67344e+11,1.67344e+11,6.11397e+11,2.24201e+11,6.7674e+10,4.331e+10,9.48638e+11,5.732e+10,4.06488e+11,1.60442e+11,1.59396e+11,7.4483e+10,1.66993e+11,2.44982e+11,8.75783e+11,4.85e+09,4.7063e+10,8e+06,4.7055e+10,-4.4092e+10,6.1412e+10,3.622e+09,7.2855e+10,7.2855e+10,9.48638e+11,9.62e+08,4.09e+08,-3.339e+09,2.47e+08,8.431e+09,6.709e+09,6.463e+09,-1.37e+08,1.5e+07,-1.52e+08,-4.88e+08,8.47e+08,-2.037e+09,-2.73e+08,-9.842e+09,-5.18e+09,-4.662e+09,-1.209e+10,7.428e+09,2.56e+08,-1.501e+09,6.446e+09,7.62e+08,-2.651e+09,1.775e+09,1.775e+09,1.775e+09,1.824e+09,5.73481e+11,1.0571e+10,0.21352,0.13988,0.01272,0.00098,11.40345,12.0209,0.60453,1.84882,1.78201,13.21699,135.63024,21.08297,0.54448,0.00126,0.01114,0.2945,282.10965,363.6523
