"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",17.09640625,"Up",-9222000,-3730000,-5492000,-9222000,476000,476000,-8746000,-29342000,-29397000,-29397000,-29397000,-29397000,15034000,7616000,7418000,1987000,1987000,17021000,427000,553000,553000,980000,18001000,6555000,6555000,41562000,41562000,154079000,-187160000,9520000,-23561000,-23561000,18001000,-29397000,41000,22347000,1814000,-5195000,-40000,3089000,3049000,22000,22000,22000,-2124000,-2124000,-2124000,-9181000,0,1.2477,-1.63308,0.40953,-1.76402,0,-2.95212,-2.95212,-2.36605,1.2477,1.63751,1.63023
"2","2014_Q1",20.7845901639344,"Up",-6861000,-2541000,-4320000,-6861000,-295000,-295000,-7156000,-11371000,-11233000,-11233000,-11233000,-11233000,62070000,14235000,47835000,2145000,2145000,64215000,322000,-455692.284586195,-455692.284586195,322000,64537000,5245000,5245000,38652000,38652000,214769000,-198391000,9507000,25885000,25885000,64537000,-11233000,66000,4355999.99999999,-901000,-7712000,-4000.00000000001,-40400000,-40404000,54735000,54735000,54735000,6619000,6619000,6619000,-6795000,0,-0.43396,-0.17406,1.66136,1.49322,0,-0.78253,-0.78253,1.80323,-0.43396,9.13466,9.04679
"3","2014_Q2",19.3073015873016,"Down",-7645000,-2685000,-4960000,-7645000,-202000,-202000,-7847000,-13656000,-13656000,-13656000,-13656000,-13656000,53375000,8317000,45058000,2662000,2662000,56037000,275000,-466792.284586195,-466792.284586195,275000,56312000,3983000,3983000,42719000,42719000,216124000,-212047000,9516000,13593000,13593000,56312000,-13656000,78000,6601000,-1821000,-8798000,-2000,2620000,2618000,262000,262000,262000,-5918000,-5918000,-5918000,-7567000,0,-1.00463,-0.24251,1.31176,3.14272,0,-1.01476,-1.01476,1.01008,-1.00463,7.05365,6.98169
"4","2014_Q3",18.66296875,"Down",-10135000,-2986000,-7149000,-10135000,73000,73000,-10062000,-11038000,-11038000,-11038000,-11038000,-11038000,47417000,8515000,38902000,1744000,1744000,49161000,479000,24000.0000000002,24000.0000000002,503000,49664000,5915000,5915000,44839000,44839000,218371000,-223085000,9539000,4825000,4825000,49664000,-11038000,38000,2407000,2847000,-5746000,-262000,6032000,5770000,174000,174000,174000.000000007,198000,198000,198000,-10097000,0,-2.28767,-0.22225,1.09639,9.29306,0,-0.819,-0.819,0.35801,-2.28767,4.69615,4.67854
"5","2014_Q4",16.85828125,"Down",-10548000,-3662000,-6886000,-10548000,24000,24000,-10524000,-8617000,-8617000,-8617000,-8617000,-8617000,37707000,4915000,32792000,2638000,2638000,40345000,524000,440000,440000,964000,41309000,5404000,5404000,5571000,5571000,257912000,-231702000,9528000,35738000,35738000,41309000,-8617000,38000,810000,-1848000,-9617000,-56000,5973000,5917000,1e+05,1e+05,1e+05,-3600000,-3600000,-3600000,-10510000,0,-0.24112,-0.2086,7.24197,0.15588,0,-0.63823,-0.63823,2.64699,-0.24112,3.58773,3.5748
"6","2015_Q1",23.4585245901639,"Up",-10442000,-3366000,-7076000,-10442000,28000,28000,-10414000,-10387000,-10387000,-10387000,-10387000,-10387000,29303000,6593000,22710000,3354000,3354000,32657000,496000,326000,326000,822000,33479000,5396000,5396000,5396000,5417000,260630000,-242089000,9521000,28062000,28062000,33479000,-10387000,45000,2296000,-541000,-8587000,-66000.0000000001,9980000,9914000,350999.999999998,350999.999999998,351000,1678000,1678000,1678000,-10397000,0,-0.37014,-0.31025,6.05208,0.19304,0,-0.76954,-0.76954,2.07903,-0.36987,2.81841,2.80626
"7","2015_Q2",29.4698412698413,"Up",-11986000,-3779000,-8207000,-11986000,46000,46000,-11940000,-11940000,-11940000,-11940000,-11940000,-11940000,68023000,14307000,53716000,3166000,3166000,71189000,667000,326000,326000,993000,72182000,5111000,5111000,5111000,5131000,311555000,-254029000,9525000,67051000,67051000,72182000,-11940000,44000,2415000,-294000,-9775000,-18000,-31099000,-31117000,48606000,48606000,48606000,7714000,7714000,7714000,-11942000,0,-0.17807,-0.16542,13.92859,0.07652,0,-0.77264,-0.77264,4.33888,-0.17802,5.69611,5.6752
"8","2015_Q3",30.229375,"Up",-15516000,-4240000,-11276000,-15516000,70000,70000,-15446000,-15446000,-15446000,-15446000,-15446000,-15446000,58877000,13379000,45498000,2016000,2016000,60893000,693000,288000,288000,981000,61874000,7096000,7096000,7096000,7154000,314680000,-269475000,9515000,54720000,54720000,61874000,-15446000,56000,2944000,3407000,-9039000,-279000,8055000.00000001,7776000,335000.000000007,335000.000000007,334999.999999993,-928000,-928000,-928000,-15460000,0,-0.28227,-0.24964,8.58131,0.13074,0,-0.96524,-0.96524,3.41952,-0.28197,3.80834,3.7946
"9","2015_Q4",35.32015625,"Up",-18724000,-4161000,-14563000,-18724000,-17000,-17000,-18741000,-18741000,-18741000,-18741000,-18741000,-18741000,138013000,109881000,28132000,3025000,3025000,141038000,639000,2001000,2001000,2640000,143678000,9769000,9769000,9769000,9821000,412554000,-288216000,9519000,133857000,133857000,143678000,-18741000,53000,2873000,-55000,-15870000,1000,17300000,17301000,95071000,95071000,95071000,96502000,96502000,96502000,-18671000,0,-0.14001,-0.13044,14.4373,0.07337,0,-1.11195,-1.11195,7.94206,-0.13995,7.39184,7.37091
"10","2016_Q1",22.3626229508197,"Down",-18488000,-3575000,-14913000,-18488000,71000,71000,-18417000,-18417000,-18417000,-18417000,-18417000,-18417000,122327000,49493000,72834000,3075000,3075000,125402000,614000,2001000,2001000,2615000,128017000,9798000,9798000,9798000,9841000,415251000,-306633000,9558000,118176000,118176000,128017000,-18417000,59000,2359000,-31000.0000000005,-16030000,-33000,-44680000,-44713000,355000,355000,355000,-60388000,-60388000,-60388000,-18429000,0,-0.15584,-0.14386,12.79873,0.08327,0,-0.95438,-0.95438,6.12396,-0.15579,6.63774,6.61656
"11","2016_Q2",15.93765625,"Down",-22118000,-4130000,-17988000,-22118000,204000,204000,-21914000,-21914000,-21914000,-21914000,-21914000,-21914000,107669000,34555000,73114000,2232000,2232000,109901000,601000,2001000,2001000,2602000,112503000,10816000,10816000,10816000,10850000,420615000,-328547000,9585000,101653000,101653000,112503000,-21914000,58000,3052000,1852000,-16952000,-45000,-267000,-312000,2326000,2326000,2326000,-14938000,-14938000,-14938000,-22060000,0,-0.21558,-0.19479,10.16097,0.10674,0,-1.1307,-1.1307,5.24503,-0.2155,4.88073,4.86794
"12","2016_Q3",5.3221875,"Down",-22227000,-3786000,-18441000,-22227000,166000,166000,-22061000,-22061000,-22061000,-22061000,-22061000,-22061000,91313000,24542000,66771000,1726000,1726000,93039000,558000,2396000,2396000,2954000,95993000,13790000,13790000,13790000,13814000,423169000,-350608000,9618000,82179000,82179000,95993000,-22061000,43000,2299000,3075000,-16644000,0,6365000,6364999.99999999,265999.999999996,265999.999999996,266000,-10013000,-10013000,-10013000,-22184000,0,-0.26845,-0.22982,6.74685,0.1681,0,-1.10787,-1.10787,4.12691,-0.26837,4.11616,4.1082
