"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",14.3438709677419,"Down",81378000,-20922000,60456000,-91019000,-77177000,-13842000,-30563000,398000,592000,-194000,-30165000,-30165000,-412000,-30577000,-30577000,-30577000,-30577000,256076000,256076000,80583000,80583000,41153000,12730000,28423000,377812000,26200000,159608000,1343000,4534000,153731000,185808000,563620000,59482000,59482000,185446000,176806000,8640000,244928000,117480000,117480000,117480000,362408000,636130000,-11905000,-422653000,-360000,201212000,201212000,563620000,-30577000,2233000,21014000,18996000,11666000,-4542000,-4542000,151572000,151572000,0,4572000,11696000,11696000,-374000,11322000,-28330000,0,-13464000,0.7429,-0.37557,-0.37574,-0.15196,-0.05425,0.44033,1.54254,1.80113,0,-0.26542,-0.26542,0.70638,1.74657,-0.11687,-0.09595,-0.04225,9.03904,8.37863
"12","2020_Q2",14.0209523809524,"Down",85351000,-21184000,64167000,-93356000,-78978000,-14378000,-29189000,247000,331000,-83999.9999999999,-28942000,-28942000,-282000,-29224000,-29224000,-29224000,-29224000,248796000,248796000,47308000,47308000,45345000,17202000,28143000,341449000,49033000,146308000,1148000,4494000,140666000,195341000,536790000,55799000,55799000,161361000,152565000,8796000,217160000,125719000,125719000,125719000,342879000,659386000,-11905000,-451877000,-1693000,193911000,193911000,536790000,-29224000,2045000,21778000,4744000,-657000.000000007,-21275000,-21275000,3362000,3362000,-394000,2968000,-18964000,-18964000,-416000,-19380000,-27144000,0,-43393000,0.7518,-0.34199,-0.3424,-0.15071,-0.05444,1.48484,1.57234,1.76823,0,-0.25062,-0.25062,0.73196,1.66295,-0.37213,-0.09143,-0.13576,9.16578,8.52362
"13","2020_Q3",16.87921875,"Up",88055000,-21984000,66071000,-90311000,-75523000,-14788000,-24240000,-530000,-107000,-423000,-24770000,-24770000,-346000,-25116000,-25116000,-25116000,-25116000,223347000,223347000,53116000,53116000,49466000,20413000,29053000,325929000,64066000,141661000,1044000,4763000,135854000,205727000,531656000,54066000,54066000,154268000,147195000,7073000,208334000,129774000,129774000,129774000,338108000,681889000,-11905000,-476993000,557000,193548000,193548000,531656000,-25116000,3142000,22311000,-15975000,-15638000,-18780000,-18780000,6956000,6956000,-260000,6696000,-27722000,-27722000,2273000,-25449000,-21098000,0,-55507000,0.75034,-0.27528,-0.28523,-0.12977,-0.04724,2.21003,1.56445,1.74689,0,-0.21207,-0.21207,0.74351,1.63426,-0.46868,-0.07768,-0.17168,10.58617,9.21399
"14","2020_Q4",17.10390625,"Up",89061000,-21639000,67422000,-89182000,-74707000,-14475000,-21760000,-213000,-175000,-37999.9999999999,-21973000,-21973000,-68000,-22041000,-22041000,-22041000,-22041000,208996000,208996000,48687000,48687000,46745000,17631000,29114000,304428000,71948000,138565000,886000,4714000,132965000,210513000,514941000,47633000,47633000,135510000,128709000,6801000,183143000,131135000,131135000,131135000,314278000,711542000,-11905000,-499034000,60000.0000000002,200663000,200663000,514941000,-22041000,2352000,22132000,-9870000,-7427000,-13891000,-13891000,7638000.00000001,7638000,-215000,7423000,-13895000,-13895000,-456000,-14351000,-19408000,0,-43101000,0.75703,-0.24433,-0.24748,-0.10984,-0.0428,1.95549,1.66224,1.5662,0,-0.18254,-0.18254,0.7376,1.66188,-0.35696,-0.06643,-0.1299,10.76855,9.6046
"15","2021_Q1",16.6973770491803,"Down",92194000,-21597000,70597000,-89740000,-75235000,-14505000,-19143000,233000,-131000,364000,-18910000,-18910000,599000,-18311000,-18311000,-18311000,-18311000,230411000,230411000,97455000,97455000,48318000,17993000,30325000,376184000,80344000,139461000,767000,4842000,133852000,219805000,595989000,54186000,54186000,205975000,191810000,14165000,260161000,128593000,128593000,128593000,388754000,733933000,-11905000,-517345000,2422000,207235000,207235000,595989000,-18311000,3073000,20334000,19830000,24926000,-11165000,-11165000,5461000,5461000,0,5461000,19222000,19222000,2193000,21415000,-16070000,0,-8004000,0.76574,-0.20764,-0.19861,-0.08836,-0.03072,0.43711,1.44597,1.87591,0,-0.1489,-0.1489,0.74968,1.68408,-0.06508,-0.05452,-0.02383,14.33796,12.03631
"16","2021_Q2",13.9168253968254,"Down",91992000,-21854000,70138000,-87370000,-73513000,-13857000,-17232000,-212000,-126000,-86000,-17444000,-17444000,-187000,-17631000,-17631000,-17631000,-17631000,272099000,272099000,55512000,55512000,48599000,16454000,32145000,376210000,81810000,140653000,616000,4828000,135209000,222463000,598673000,50885000,50885000,200899000,186614000,14285000,251784000,125714000,125714000,125714000,377498000,765279000,-11905000,-534976000,2777000,221175000,221175000,598673000,-17631000,3717000,17218000,31759000,35063000,-7457000,-7457000,13651000,13651000,-44000,13607000,41213000,41213000,475000,41688000,-13515000,0,10974000,0.76244,-0.18732,-0.19166,-0.07972,-0.02945,-0.62243,1.49418,1.70678,0,-0.14063,-0.14063,0.73375,1.76414,0.08753,-0.05083,0.03164,20.13311,15.79033
"17","2021_Q3",12.886875,"Down",98124000,-26615000,71509000,-97921000,-79421000,-18500000,-26412000,-895000,-154000,-741000,-27307000,-27307000,-285000,-27592000,-27592000,-27592000,-27592000,240490000,240490000,59110000,59110000,49620000,16192000,33428000,349220000,80287000,139237000,458000,4764000,134015000,219524000,568744000,49307000,49307000,179568000,165377000,14191000,228875000,123290000,123290000,123290000,352165000,788149000,-11905000,-562568000,2769000,216579000,216579000,568744000,-27592000,4216000,23681000,-32919000,-32614000,-3098000,-3098000,4197000,4197000,-219000,3978000,-31734000,-31734000,125000,-31609000,-22196000,0,-57928000,0.72876,-0.26917,-0.2812,-0.1274,-0.04851,2.09945,1.52581,1.62603,0,-0.21738,-0.21738,0.77304,1.7052,-0.45637,-0.08118,-0.17044,10.83484,9.10533
"18","2021_Q4",11.2315625,"Down",99529000,-25255000,74274000,-98628000,-80642000,-17986000,-24354000,-299000,-108000,-191000,-24653000,-24653000,-273000,-24926000,-24926000,-24926000,-24926000,229526000,229526000,62142000,62142000,51740000,18060000,33680000,343408000,77102000,135695000,298000,4683000,130714000,212797000,556205000,50980000,50980000,169935000,151464000,18471000,220915000,120277000,120277000,120277000,341192000,813093000,-11905000,-587494000,1183000,215013000,215013000,556205000,-24926000,4557000,21822000,-11177000,-9724000.00000001,-1778000,-1778000,2080000,2080000,2.91038304567337e-11,2080000,-9421999.99999999,-9421999.99999999,-1542000,-10964000,-19797000,0,-32479000,0.74625,-0.24469,-0.25044,-0.11593,-0.04481,1.30302,1.55448,1.58684,0,-0.19759,-0.19759,0.78896,1.70331,-0.25746,-0.07434,-0.09687,11.59398,9.42457
"19","2022_Q1",7.63193548387097,"Down",100932000,-24575000,76357000,-98318000,-80311000,-18007000,-21961000,-617000,-134000,-483000,-22578000,-22578000,-532000,-23110000,-23110000,-23110000,-23110000,261210000,261210000,101607000,101607000,47536000,13538000,33998000,410353000,74604000,135378000,217000,4572000,130589000,209982000,620335000,48432000,48432000,242272000,223427000,18845000,290704000,117761000,117761000,117761000,408465000,834566000,-11905000,-610604000,-187000,211870000,211870000,620335000,-23110000,4293000,21890000,26051000,29124000,-1085000,-1085000,4952000,4952000,0,4952000,32991000,32991000,-1307000,31684000,-17668000,0,7830000,0.75652,-0.21758,-0.22897,-0.10908,-0.03725,-0.33881,1.41158,1.9279,0,-0.17732,-0.17732,0.77445,1.62567,0.06008,-0.07011,0.02375,14.78436,11.89427
"20","2022_Q2",5.55548387096774,"Down",98802000,-24728000,74074000,-99576000,-82274000,-17302000,-25502000,11000,-118000,129000,-25491000,-25491000,-348000,-25839000,-25839000,-25839000,-25839000,247769000,247769000,58012000,58012000,51050000,19035000,32015000,356831000,71555000,127048000,211000,4401000,122436000,198603000,555434000,54449000,54449000,214615000,196379000,18236000,269064000,113450000,113450000,113450000,382514000,855423000,-42459000,-636443000,-3601000,172920000,172920000,555434000,-25839000,4387000,20108000,19205000,17861000,-1644000,-1644000,-26225000,-26225000,-68000,-26293000,-10076000,-10076000,-3365000,-13441000,-21115000,0,-3206000,0.74972,-0.25811,-0.26152,-0.14943,-0.04652,0.12408,1.32619,2.21209,0,-0.19703,-0.19703,0.75339,1.31855,-0.02445,-0.09023,-0.0112,11.73426,9.71567
"21","2022_Q3",4.63875,"Down",100869000,-27082000,73787000,-93308000,-74489000,-18819000,-19521000,194000,56000,138000,-19327000,-19327000,-664000,-19991000,-19991000,-19991000,-19991000,187906000,187906000,53422000,53422000,48972000,18107000,30865000,290300000,69190000,120834000,205000,4310000,116319000,190024000,480324000,47335000,47335000,183989000,165889000,18100000,231324000,110054000,110054000,110054000,341378000,871840000,-70852000,-656434000,-5608000,138946000,138946000,480324000,-19991000,4315000,20073000,-29563000,-25166000,-2231000,-2231000,-30060000,28662000,-215000,-30275000,-57672000,-57672000,-2191000,-59863000,-15206000,0,-46336000,0.73151,-0.19353,-0.19819,-0.14388,-0.04162,2.31784,1.25495,2.45691,0,-0.16091,-0.16091,0.81193,1.11842,-0.37297,-0.08029,-0.18609,12.35736,9.62584
