"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",23.8129508196721,"Up",103822000,-108375000,-4553000,-8852000,-4027000,-1131000,-13405000,-13405000,-15264000,-28669000,3734000,-24935000,-24935000,13751000,-11184000,-11184000,82322000,82322000,169590000,169590000,252739000,31490000,183023000,23646000,75769000,68688000,14920000,214513000,467252000,112426000,29533000,82893000,477000,477000,112903000,125317000,43312000,-11184000,-48000,32080000,309855000,341935000,467252000,-24935000,3915000,18758000,-22989000,-25251000,-31108000,-19832000,-975948.267852408,-21000,105735000,105714000,60631000,60631000,-9597521.21883292,60631000,-9490000,0,-67321000,-0.04385,-0.12912,-0.10772,-0.03271,-0.02394,6.0194,2.23855,0.36649,0,-0.61242,-0.61242,5.68514,1.75665,-3.6864,0.0529292058449136,-0.03156,-0.18999,32.1172715749354,8.6746,6.14114
"2","2016_Q2",22.30796875,"Down",115304000,-88171000,27133000,-12433000,-3901000,-5787000,14700000,14700000,-11967000,2732999.99999999,-1302000,1431000,1431000,-1176000,255000,255000,85983000,85983000,182137000,182137000,268922000,36484000,186278000,20820000,72286000,72943000,20229000,222762000,491684000,110240000,39322000,70918000,337000,337000,110577000,125774000,179999.99999997,-20637000,88000,-20369000,386279000,365910000,491684000,1431000,3901000,20172000,-14660000,10844000,-6432000,-5894000,-934000,-25000,25008701.3484707,-958999.999999985,3991000,3991000,-330000,3661000.00000001,18601000,0,-1188999.99999999,0.23532,0.12749,0.00221000000000002,0.000699999999999999,0.000520000000000003,-4.66275,2.43199,0.34373,0,0.01396,0.01396,6.31388,-1.11538,-0.0651099999999998,0.05114,0.00311999999999999,-0.00312000000000007,3.66275,-4.62249,-5.84918
"3","2016_Q3",23.245,"Up",89284000,-71964000,17320000,-11615000,-4025000,-4788000,5705000,5705000,-15960000,-10255000,5539000,-4716000,-4716000,4393000,-323000,-323000,103200000,103200000,184585000,184585000,287785000,37047000,190554000,18014000,72286000,74043000,26211000,227601000,515386000,108985000,29147000,79838000,5159000,5159000,114144000,131186000,98005000,-13114000,524000,85415000,298785000,384200000,515386000,-4716000,4025000,21128000,-873000,19564000,-2284000,-1484000,-928000,19000,-35999.9999999851,-945000,17135000,17135000,81999.9999999995,17217000,9730000,0,1034000,0.19399,0.0639,-0.00362,-0.00084,-0.00063,-3.20124,2.52125,0.34145,0,-0.01768,-0.01768,4.88833,4.6765,0.05661,0.05081,0.00151,0.00258,-2.87307,-10.60637,-18.0894
"4","2016_Q4",26.7273015873016,"Up",121346000,-95841000,25505000,-15031000,-4004000,-7819000,10474000,10474000,-12434000,-1960000,-8376000,-10336000,-10336000,625000,-9711000,-9711000,156899000,156899000,182082000,182082000,338981000,39533000,181285000,15387000,72286000,75440000,18172000,220818000,559799000,148226000,23736000,124490000,5155000,5155000,153381000,170110000,21172000,-23759000,258000,-2329000.00000001,392018000,389689000,559799000,-10336000,4004000,22970000,49943000,66581000,-4035000,-4057000,-934000,-60000,-5971000,-6965000,55559000,55559000,-1860000,53699000,14478000,0,68762000,0.21018,0.08632,-0.08003,-0.02492,-0.01735,-7.08084,2.21006,0.43653,0,-0.53008,-0.53008,6.62377,-0.127129999999999,3.75343,0.05098,-0.0216,0.16919,-0.09618,-10.83706,-14.97985
"5","2017_Q1",32.2372580645161,"Up",173496000,-125024000,48472000,-11236000,-2096000,-6415000,37236000,37236000,-13254000,23982000,-5253000,18729000,18729000,-11984000,6745000,6745000,152431000,152431000,227560000,227560000,379991000,38155000,172330000,14713000,72286000,70957000,14374000,210485000,590476000,158957000,17354000,141603000,1750000,786000,160707000,177060000,9325000,-17946000,61000,-8560000,421976000,413416000,590476000,18729000,2096000,31875000,-32838000,19862000,-337000,-1115000,-932000,-22000,-22694000,-23648000,-4901000,-4901000,-394000,-5295000,39332000,0,11410000,0.27938,0.21462,0.03888,0.01632,0.01142,1.69162,2.3645,0.42829,0,0.36809,0.36809,9.46805,-0.46714,0.62267,0.05086,0.01786,0.02655,0.13818,-3.8755,-4.09365
"6","2017_Q2",34.8673015873016,"Up",120969000,-95676000,25293000,-10397000,-2092000,-5422000,14896000,14896000,-12808000,2087999.99999999,871000,2959000,2959000,-1626000,1333000,1333000,73465000,73465000,200358000,200358000,273823000,37137000,174699000,14046000,72286000,73305000,15062000,236773000,510596000,58561000,16999000,41562000,3330000,1419000,61891000,78070000,185000,-62284000,62000,-62037000,494563000,432526000,510596000,2959000,2092000,31617000,-72382000,-35714000,-25346000,-25346000,-950000,-23000,-16418000,-17391000,-78451000,-78451000,-515000,-78966000,16988000,0,-81611000,0.20909,0.12314,0.01102,0.00307999999999999,0.00261,-61.22356,4.42428,0.1805,-1.26217744835362e-29,0.07214,0.0721399999999998,6.54629,-3.35716,-4.41641,0.05141,0.00509000000000001,-0.18188,0.71268,-4.32452,-4.93185999999998
"7","2017_Q3",37.0298412698413,"Up",109310000,-87564000,21746000,-9513000,-2022000,-4418000,12233000,12233000,-14316000,-2083000,1518000,-565000,-565000,780000,215000,215000,60880000,60880000,220598000,220598000,281478000,36087000,187112000,13463000,72286000,75074000,26289000,258114000,539592000,93524000,18315000,75209000,3754000,436000,97278000,113722000,185000,-149992000,86000,-149721000,575591000,425870000,539592000,-565000,2022000,27081000,2671000,31209000,-10176000,-10176000,-950000,-24000,-32937000,-33911000,-12878000,-12878000,293000,-12585000,14255000,0,5232000,0.19894,0.11191,0.00197,5e-04,4e-04,24.33488,2.89354,0.26703,0,0.01142,0.01142,5.80643,-7.95301,0.27792,0.05046,0.00263,0.01183,4.4186,-4.27078,-4.9767
"8","2017_Q4",37.9874603174603,"Up",78450000,-68018000,10432000,-10370000,-2038000,-4963000,62000,62000,-15676000,-15614000,13258000,-2356000,-2356000,5699000,3343000,3343000,102281000,102281000,168417000,168417000,270698000,35099000,201110000,12879000,72286000,92729000,23216000,291321000,562019000,103832000,22789000,81043000,4273000,433000,108105000,124894000,10390000,-147599000,62000,-137147000,574272000,437125000,562019000,-2356000,2038000,9945000,66018000,75645000,-20495000,-20495000,-949000,-25000,-13194000,-14168000,40982000,40982000,419000,41401000,2100000,0,34365000,0.13298,0.000789999999999999,0.04261,0.00765,0.00595,10.27969,2.50403,0.28572,2.01948391736579e-28,0.17671,0.14586,4.1468,-7.24948,1.81651,0.05016,0.00946,0.07571,0.28388,-48.70524,-1649.69355
"9","2018_Q1",45.0918032786885,"Up",190553000,-140256000,50297000,-10499000,-1991000,-4216000,39798000,39798000,-14135000,25663000,-54027000,-28364000,-28364000,-9081000,-37445000,-37445000,145619000,145619000,190389000,190389000,344674000,33789000,143381000,12295000,72286000,44002000,14798000,214291000,558965000,116230000,16873000,99357000,3239000,382000,119469000,136511000,30860000,-185991000,155000,-157278000,579732000,422454000,558965000,-28364000,1991000,75926000,-9478000,40075000,-2208000,17780000,-947000,-25000,-10895000,-14169000,43686000,43686000,-348000,43338000,41789000,0,84130000,0.26395,0.20886,-0.19651,-0.08864,-0.06699,-2.24676,2.88505,0.32314,0,-1.94933,-2.46208,9.91991,-8.18767,4.37969,0.0493,-0.08305,0.19142,-0.0252899999999999,-3.48463,-3.65895
"10","2018_Q2",51.249375,"Up",134042000,-103632000,30410000,-12309000,-2007000,-4832000,18101000,18101000,-15482000,2618999.99999999,4110000.00000001,6729000,6729000,-1493000,5236000,5236000,56340000,56340000,219066000,219066000,287561000,35687000,152939000,11711000,72286000,46052000,22890000,214026000,501587000,65463000,24002000,41461000,6731000,2590000,72194000,89581000,34945000,-188418000,559000,-159106000,571112000,412006000,501587000,6729000,2007000,34230000,-95930000,-52964000,-24001000,11184000,-967000,-24999.9999999999,-43784000,-48666000,-90446000,-90446000,1167000,-89279000,20108000,-3.46944695195361e-18,-103933000,0.22687,0.13504,0.03906,0.01271,0.01044,-19.84969,3.98317,0.21743,1.61558713389263e-27,0.2705,0.2192,6.92477,-8.21961,-5.36931,0.04996,0.01445,-0.24205,0.18468,-2.80186999999999,-3.11254000000008
