"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",15.8242857142857,"Up",2.434e+09,-1.556e+09,8.78e+08,-6.32e+08,-2.56e+08,-1.63e+08,-2.13e+08,2.46e+08,-9e+07,-9.5e+07,-2e+06,7e+06,1.56e+08,-2.5e+07,1.31e+08,-4e+07,9.1e+07,1.1e+08,-2.8e+07,8.2e+07,8.2e+07,8548576777.27431,8189489684.39685,7648421113.188,7648421113.188,-5220272711.0269,117036270.766114,117036270.766114,11093761450.2015,1573776814.55951,15219216281.1686,3100182398.44647,4496742709.22317,-1166192394.22529,23233643230.6805,34327404680.882,4524464914.87549,-125089646.192728,4649554561.06822,651859325.607409,-16680764429.9195,2213047289.35781,-11504440189.4365,12664758393.6633,25415934072.8642,24870633459.8363,295024824.578264,38080692466.5275,26576252277.091,375406407.456206,4657040003.8043,2734063371.48406,7766509782.74459,-15357378.9535616,7751152403.79103,34327404680.882,9.1e+07,1.63e+08,1.8e+07,1.25e+08,3.97e+08,-4.1e+07,-4.1e+07,-4.1e+07,-4.6e+07,-8e+07,1.99e+08,-3.7e+07,-5.1e+07,2.66e+08,2.6e+08,89289612.041892,2.6e+08,4.09e+08,0,5.33e+08,0.36072,0.10107,0.03369,1.01172666429665,0.313387388687838,6.5,11.8178593917652,3.87889931852359,0.349224358826804,0.17227,0.17048,5.11345,16.316744681786,1.11975,0.346724055247928,1.17644551461728,-103.108100069559,-260.2586600383
"2","2014_Q3",15.69828125,"Down",2.483e+09,-1.558e+09,9.25e+08,-6.59e+08,-2.78e+08,-1.64e+08,-2.17e+08,2.66e+08,-9.1e+07,-9.8e+07,4e+06,3e+06,1.75e+08,-4.8e+07,1.27e+08,-4e+07,8.7e+07,1.06e+08,-2.9e+07,7.7e+07,7.7e+07,5451288388.63716,4748744842.19843,4347710556.594,4347710556.594,-1667636355.51345,88018135.383057,88018135.383057,8219380725.10076,1355888407.27975,13018108140.5843,3560591199.22324,5104871354.61158,-532096197.112646,17808321615.3403,26027702340.441,3042232457.43775,483955176.903636,2558277280.53411,819429662.803704,-7774882214.95973,1246523644.67891,-3913220094.71827,9550879196.83167,13630967036.4321,13293816729.9182,212012412.289132,23181846233.2638,19268626138.5455,190703203.728103,5285020001.90215,1217031685.74203,6692754891.3723,66321310.5232192,6759076201.89551,26027702340.441,8.7e+07,1.64e+08,4.9e+07,1.35e+08,4.35e+08,-4.4e+07,-4.4e+07,-4.4e+07,3.1e+07,-2.6e+07,-48000000.0000001,-3e+06,-3.16e+08,9.3e+07,86999999.9999999,-5e+06,8.2e+07,4.3e+08,4.76837158203125e-07,5.61e+08,0.37253,0.10713,0.03101,0.474508332148325,0.146913694343919,7.28571,6.62969969588261,2.9762496592618,0.384317179413402,0.16176,0.16008,5.21639,14.060667340893,1.17857,0.162162027623964,0.54520775730864,-43.0456200347797,-113.12749501915
"3","2014_Q4",15.1178125,"Down",2.33e+09,-1.488e+09,8.42e+08,-6.03e+08,-2.34e+08,-1.66e+08,-2.03e+08,2.39e+08,-1.01e+08,-9.9e+07,3.6e+07,-3.8e+07,1.38e+08,1.8e+07,1.56e+08,-2.7e+07,1.29e+08,1.39e+08,-1.9e+07,1.2e+08,1.2e+08,3804429462.87905,2946581614.06614,2300570185.53133,2300570185.53133,271121214.828849,74672711.7943524,74672711.7943524,6450793575.03359,1197296135.75992,11554702713.5281,3704530399.74108,5363957118.20386,-157698732.370882,14578107205.1134,21028900780.147,2054410819.14592,726985058.967879,1327425760.17804,911809887.601235,-2378960738.31991,651507881.559636,587259968.427242,7800959732.27722,6523989012.14404,6308272243.30606,174004137.429711,14324948744.4213,14912208712.8485,70234401.242701,5616340000.63405,328010561.91401,6014584963.79076,102107103.50774,6116692067.2985,21028900780.147,1.29e+08,1.66e+08,1e+07,-2.9e+07,2.76e+08,-5.7e+07,-5.7e+07,-5.7e+07,-6.2e+07,-1.24e+08,1.62e+08,-1.4e+07,-1.1e+08,4.2e+07,3.88e+08,-2.6e+07,3.62e+08,4.05e+08,0,3.46e+08,0.36137,0.10258,0.0515,0.173299444049442,0.0536345647813064,2.88333,3.5281765652942,2.4568698864206,0.411735726471134,0.2521,0.24948,4.89496,12.6357657802977,0.72689,0.0590406758746547,0.193229252436213,-8.22110001159323,-28.0256716730499
"4","2015_Q1",15.6437704918033,"Up",3.252e+09,-2.082e+09,1.17e+09,-7.33e+08,-4.34e+08,-1.76e+08,-1.23e+08,4.37e+08,-1.48e+08,-9.5e+07,-5.7e+07,4e+06,2.89e+08,7.2e+07,3.61e+08,-1.3e+08,2.31e+08,2.71e+08,-1.3e+07,2.58e+08,2.58e+08,3.195e+09,2.306e+09,1.232e+09,1.232e+09,1.049e+09,7.2e+07,7.2e+07,5.548e+09,1.093e+09,1.0733e+10,3.674e+09,5.404e+09,2.2e+07,1.305e+10,1.8598e+10,1.478e+09,7.35e+08,7.43e+08,9.46e+08,3.43e+08,3.43e+08,2.767e+09,7.062e+09,2.989e+09,2.821e+09,1.68e+08,1.0051e+10,1.2818e+10,1e+07,5.757e+09,-9.4e+07,5.673e+09,1.07e+08,5.78e+09,1.8598e+10,2.31e+08,1.76e+08,4.3e+07,9e+07,5.4e+08,-9.9e+07,-9.9e+07,-9.9e+07,-2.12e+08,-2.08e+08,4.44e+08,-5e+06,3.9e+08,7.22e+08,7.15e+08,-1.5e+07,7e+08,6.13e+08,8.008e+09,7.34e+08,0.35978,0.13438,0.07934,0.04464,0.01387,2.84496,2.00506,2.21765,0.43058,0.54202,0.53638,6.83193,11.91807,1.54202,0.01538,0.04375,7.85155,11.01373
"5","2015_Q2",15.6179365079365,"Down",2.214e+09,-1.415e+09,7.99e+08,-5.63e+08,-2.35e+08,-1.68e+08,-1.6e+08,2.36e+08,-7.7e+07,-9.5e+07,3e+06,1.5e+07,1.59e+08,-4e+06,1.55e+08,-3e+06,1.52e+08,1.52e+08,-9e+06,1.43e+08,1.43e+08,3.21e+09,2.35e+09,8.67e+08,8.67e+08,1.119e+09,7.5e+07,7.5e+07,5.271e+09,1.038e+09,1.0457e+10,3.611e+09,5.355e+09,7.2e+07,1.2731e+10,1.8002e+10,1.23e+09,6.39e+08,5.91e+08,9.39e+08,1.227e+09,2.36e+08,3.396e+09,6.981e+09,1.92e+09,1.739e+09,1.81e+08,8.901e+09,1.2297e+10,6e+06,5.813e+09,-2.1e+08,5.609e+09,9.6e+07,5.705e+09,1.8002e+10,1.52e+08,1.68e+08,-4.8e+07,-5.2e+07,2.2e+08,-4.4e+07,-4.4e+07,-4.4e+07,1.82e+08,7.3e+07,-1.11e+08,-5e+06,-2.39e+08,5.4e+07,5.4e+07,-1e+07,4.4e+07,4.04e+08,7.92e+09,3.11e+08,0.36089,0.10659,0.06459,0.02507,0.00794,2.17483,1.55212,2.15548,0.43995,0.30042,0.2973,4.65126,11.78361,0.65336,0.0092,0.02001,11.65842,19.95763
"6","2015_Q3",15.3775,"Down",2.252e+09,-1.409e+09,8.43e+08,-5.74e+08,-2.47e+08,-1.61e+08,-1.66e+08,2.69e+08,-3.2e+07,-9e+07,8.7e+07,-2.9e+07,2.37e+08,1.43e+08,3.8e+08,-1.22e+08,2.58e+08,2.58e+08,-1.6e+07,2.42e+08,2.42e+08,3.434e+09,2.589e+09,8.59e+08,8.59e+08,1.029e+09,7.7e+07,7.7e+07,5.399e+09,1.02e+09,1.0318e+10,3.467e+09,5.266e+09,6.4e+07,1.2743e+10,1.8142e+10,1.216e+09,6.01e+08,6.15e+08,9.16e+08,1.277e+09,2.37e+08,3.409e+09,7.065e+09,1.941e+09,1.739e+09,2.02e+08,9.006e+09,1.2415e+10,6e+06,5.821e+09,-1.88e+08,5.639e+09,8.8e+07,5.727e+09,1.8142e+10,2.58e+08,1.61e+08,-1.34e+08,9.3e+07,3.78e+08,-6e+07,-6e+07,-6e+07,21999999.9999999,1.8e+08,-5e+07,-1.6e+07,-3.2e+08,2.38e+08,2.38e+08,1e+06,2.39e+08,4.3e+08,7.981e+09,5.85e+08,0.37433,0.11945,0.10746,0.04226,0.01334,2.41736,1.58375,2.1678,0.43992,0.5084,0.50312,4.73109,11.84664,1.22899,0.01546,0.03738,10.57442,16.90335
"7","2015_Q4",14.7140625,"Down",2.153e+09,-1.358e+09,7.95e+08,-5.48e+08,-2.38e+08,-1.5e+08,-1.6e+08,2.47e+08,-3.2e+07,-8.8e+07,3.1e+07,2.5e+07,2.15e+08,6.9e+07,2.84e+08,-8.6e+07,1.98e+08,1.98e+08,-8e+06,1.9e+08,1.9e+08,3.454e+09,2.546e+09,9.33e+08,9.33e+08,1.232e+09,7.3e+07,7.3e+07,5.692e+09,1.034e+09,1.022e+10,3.384e+09,5.267e+09,6.3e+07,1.2593e+10,1.8285e+10,1.353e+09,7.52e+08,6.01e+08,8.94e+08,1.329e+09,2.61e+08,3.576e+09,6.961e+09,1.946e+09,1.728e+09,2.18e+08,8.907e+09,1.2483e+10,6e+06,5.887e+09,-1.89e+08,5.704e+09,9.8e+07,5.802e+09,1.8285e+10,1.98e+08,1.5e+08,-1.8e+07,-1.25e+08,2.05e+08,-6e+07,-6e+07,-6e+07,-1.6e+07,-1.04e+08,1.7e+07,-1.2e+07,-1.49e+08,-4.8e+07,-4.8e+07,5e+06,-4.3e+07,3.97e+08,7.855e+09,2.98e+08,0.36925,0.11472,0.08825,0.03275,0.01039,1.56842,1.59172,2.1515,0.42959,0.39916,0.39501,4.52311,11.98319,0.62605,0.01218,0.0191,11.08564,17.81781
"8","2016_Q1",13.677868852459,"Down",3.37e+09,-2.211e+09,1.159e+09,-7.95e+08,-3.58e+08,-2.24e+08,-2.13e+08,3.64e+08,-3.83e+08,-8.7e+07,-2.99e+08,3e+06,-1.9e+07,1.6e+07,-3e+06,2.6e+07,2.3e+07,3.03e+08,-9e+06,2.94e+08,2.94e+08,3.359e+09,2.449e+09,1.443e+09,1.443e+09,1e+09,7.3e+07,7.3e+07,5.875e+09,1.14e+09,1.2812e+10,5.02e+09,6.112e+09,3.9e+07,1.5305e+10,2.118e+10,1.546e+09,7.62e+08,7.84e+08,1.226e+09,3.28e+08,3.28e+08,3.1e+09,7.481e+09,3.724e+09,3.217e+09,2.22e+08,1.1205e+10,1.4305e+10,3.76e+08,6.626e+09,-2.15e+08,6.787e+09,8.8e+07,6.875e+09,2.118e+10,2.3e+07,2.24e+08,2.09e+08,-1.97e+08,2.59e+08,-9.4e+07,-9.4e+07,-9.4e+07,-2.5e+07,-9.37e+08,8.91e+08,-5.1e+07,5.86e+08,-9.2e+07,-9.8e+07,1e+06,-9.7e+07,5.88e+08,8.707e+09,2.71e+08,0.34392,0.10801,0.08724,0.04276,0.01388,0.92177,1.89516,2.08073,0.4111,0.61765,0.61123,7.07983,14.2584,0.56933,0.01523,0.01404,9.09524,14.69231
"9","2016_Q2",14.1103125,"Up",2.51e+09,-1.626e+09,8.84e+08,-6.95e+08,-3.08e+08,-2.17e+08,-1.7e+08,1.89e+08,-5.2e+07,-9.3e+07,3e+06,3.8e+07,1.37e+08,-7e+06,1.3e+08,-3.8e+07,9.2e+07,7.6e+07,-8e+06,6.8e+07,6.8e+07,3.344e+09,2.743e+09,1.094e+09,1.094e+09,1.084e+09,8.7e+07,8.7e+07,5.609e+09,1.201e+09,1.2666e+10,4.779e+09,6.198e+09,3.8e+07,1.5349e+10,2.0958e+10,1.29e+09,6.67e+08,6.23e+08,2.605e+09,2.95e+08,2.95e+08,4.19e+09,6.271e+09,3.749e+09,3.454e+09,2.95e+08,1.002e+10,1.421e+10,1.66e+08,6.689e+09,-1.89e+08,6.666e+09,8.2e+07,6.748e+09,2.0958e+10,9.2e+07,2.17e+08,4e+06,-1.9e+07,2.94e+08,-5.1e+07,-5.1e+07,-5.1e+07,2.97e+08,2.33e+08,2.5e+07,-1.3e+07,-2.26e+08,3.01e+08,3.07e+08,-1.3e+07,2.94e+08,4.06e+08,8.876e+09,3.74e+08,0.35219,0.0753,0.02709,0.01008,0.00324,5.5,1.33866,2.10581,0.42351,0.14286,0.14137,5.27311,14.0042,0.78571,0.00351,0.01931,13.62562,29.26984
"10","2016_Q3",12.37234375,"Down",2.563e+09,-1.621e+09,9.42e+08,-6.92e+08,-2.94e+08,-2.21e+08,-1.77e+08,2.5e+08,6e+06,-9.2e+07,-2000000.00000003,1e+08,2.56e+08,3.43e+08,5.99e+08,-2.12e+08,3.87e+08,3.9e+08,-1.1e+07,3.79e+08,3.79e+08,5.1e+08,5.1e+08,9.12e+08,9.12e+08,1.088e+09,2.04e+08,2.04e+08,2.714e+09,1.23e+09,1.2418e+10,4.635e+09,6.202e+09,5.6e+07,1.7979e+10,2.0693e+10,1.275e+09,6.41e+08,6.34e+08,1.787e+09,1.52e+08,1.52e+08,3.214e+09,6.44e+09,4.045e+09,3.757e+09,2.88e+08,1.0485e+10,1.3699e+10,1.8e+07,7.065e+09,-1.91e+08,6.892e+09,1.02e+08,6.994e+09,2.0693e+10,3.87e+08,2.21e+08,-1.34e+08,-9.7e+07,3.77e+08,-7.4e+07,-7.4e+07,-7.4e+07,6.12e+08,-1.762e+09,-6.79e+08,-1e+07,-8.68e+08,-2.253e+09,-2.25e+09,1.7e+07,-2.233e+09,4.71e+08,8.227e+09,5.12e+08,0.36754,0.09754,0.14787,0.05419,0.01832,1.35092,0.84443,1.95868,0.39757,0.79622,0.78794,5.38445,14.47899,1.07563,0.01967,0.02658,16.38429,30.868
