"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",15.6075409836066,"Up",55162000,-18694000,36468000,-22303000,-5468000,-16835000,14165000,14165000,-4172489.55656156,14165000,-9000,14156000,14181000,14181000,17423000,136313000,136313000,136313000,2595886000,2694557000,-98671000,150504000,150504000,2746390000,2882703000,43609000,43609000,46777000,1253242000,1253242000,1300019000,1637355000,-54405000,-266000,1582684000,1582684000,2882703000,17423000,16835000,-1e+06,-4084000,29174000,-270875000,3172000,-267703000,-8673000,-205399000,585064000,585064000,-37676000,333316000,94787000,94787000,94787000,3.1e+07,1253242000,-243950000,0.66111,0.25679,0.31585,0.01101,0.00604,-14.00161,2.9141,0.8214,0.43475,0.17919,0.17919,0.56734,16.27783,-2.50901,0.0892,0.0092,-0.08602,0.49779,36.02997,78.85132
"2","2015_Q2",15.1912698412698,"Down",61459000,-17783000,43676000,-25527000,-6635000,-18892000,18149000,18149000,-1e+06,17149000,-83000,17066000,17066000,17066000,17066000,30324000,30324000,37133000,2825801000,2942907000,-117106000,202919000,202919000,3028720000,3065853000,49889000,49889000,52933000,1441220000,1441220000,1494153000,1638277000,-66160000,-417000,1571700000,1571700000,3065853000,17066000,18892000,3627000,-3512000,36073000,-264245000,-21464000,-285709000,-13123000,157218000,1000,1000,-449000,143647000,-105989000,-105989000,-105989000,37041000,1441220000,-230633000,0.71065,0.2953,0.27768,0.01086,0.00557,-13.51418,0.701509999999999,0.95066,0.47009,0.14887,0.14887,0.53614,13.71068,-2.01192,0.11448,0.01002,-0.07655,0.76896,38.09012,77.7396
"3","2015_Q3",14.8328125,"Down",68900000,-21600000,47300000,-28778000,-7210000,-21568000,18522000,18522000,-1.16415321826935e-10,18522000,-83000,18439000,18439000,18439000,19634000,66244000,66244000,76877000,3157393000,3295177000,-137784000,253589000,253589000,3410982000,3487859000,57365000,57365000,63395000,1638811000,1638811000,1702206000,1864220000,-78239000,-328000,1785653000,1785653000,3487859000,19634000,21568000,1267000,3727000,46196000,-365254000,-31174000,-396428000,-28822000,197739000,234140000,234140000,-16905000,386152000,35920000,35920000,35920000,40090000,1638811000,-321354000,0.6865,0.26882,0.28496,0.011,0.00563,-16.36722,1.21267,0.95327,0.46986,0.16706,0.16706,0.58626,15.19398,-2.73438,0.24524,0.01415,-0.09384,1.46796,39.22592,84.90266
"4","2015_Q4",16.09671875,"Up",74791000,-21999000,52792000,-30409000,-7138000,-23271000,22383000,22383000,0,22383000,-72000,22311000,22311000,22311000,22998000,28969000,28969000,28969000,3364288000,3524629000,-160341000,278201000,278201000,3642489000,3671458000,62486000,62486000,68051000,1827886000,1827886000,1895937000,1865500000,-89493000,-486000,1775521000,1775521000,3671458000,22998000,23271000,2452000,-404999.999999999,48316000,-234224000,-6364000,-240588000,-31715000,189173000,999.999999970198,999.999999970198,-2462000.00000001,154997000,-37275000,-37275000,-37275000,45654000,1827886000,-188903000,0.70586,0.29927,0.3075,0.01295,0.00626,-8.21389,0.4257,1.06782,0.49786,0.18196,0.18196,0.59173,14.0476,-1.49457,0.25092,0.01518,-0.05242,1.37903,39.40327,80.36979
"5","2016_Q1",17.8640983606557,"Up",79612000,-23071000,56541000,-31873000,-6989000,-24884000,24668000,24668000,0,24668000,-36000,24632000,24632000,24632000,24072000,67115000,67115000,67115000,3582418000,3766600000,-184182000,261855000,261855000,3844273000,3911388000,81648000,81648000,81648000,1769947000,1769947000,1851595000,2163539000,-103453000,-293000,2059793000,2059793000,3911388000,24072000,24884000,3709000,3752000,56417000,-250918000,-4366000,-255284000,-34252000,-22312000,3.08e+08,3.08e+08,-13513000,237923000,39056000,39056000,39056000,49552000,1769947000,-197578000,0.71021,0.30985,0.30237,0.01169,0.00615,-8.20779,0.822,0.89892,0.45251,0.18492,0.18477,0.61159,15.82359,-1.51782,0.26313,0.01523,-0.05159,1.4229,34.36455,69.03
"6","2016_Q2",19.39015625,"Up",85234000,-24155000,61079000,-35070000,-8591000,-26479000,26009000,26009000,-8e+05,25209000,-69000,25140000,25140000,25140000,24793000,30956000,30956000,33230000,3824333000,4034959000,-210626000,277800000,277800000,4102133000,4135363000,72519000,72519000,80875000,2008139000,2008139000,2089014000,2164197000,-117366000,-482000,2046349000,2046349000,4135363000,24793000,26479000,3870000,-2529000,52613000,-273393000,-11721000,-285114000,-38032000,236691000,999.999999940395,999.999999940395,-2165000,196495000,-36006000,-36006000,-36006000,52488000,2008139000,-223365000,0.7166,0.30515,0.29088,0.01212,0.006,-9.0092,0.41088,1.02085,0.4856,0.17665,0.17638,0.60728,14.5799,-1.59144,0.27097,0.0155,-0.05509,1.53398,37.66924,76.01919
"7","2016_Q3",22.1053125,"Up",91970000,-27198000,64772000,-37580000,-8545000,-29035000,27192000,27192000,1.16415321826935e-10,27192000,-90000,27102000,27102000,27102000,30249000,118521000,118521000,118521000,4128446000,4367292000,-238846000,298123000,298123000,4426569000,4545090000,74082000,74082000,84978000,2120385000,2120385000,2205363000,2470571000,-128496000,-2348000,2339727000,2339727000,4545090000,30249000,29035000,-47000,1306000,60543000,-347994000,7748000,-340246000,-38037000,114462000,316480000,316480000,-16268000,376637000,96934000,96934000,96934000,56227000,2120385000,-290371000,0.70427,0.29566,0.3289,0.01293,0.00666,-9.59936,1.39473,0.94257,0.46652,0.20732,0.207,0.63035,16.03608,-1.99015,0.2607,0.01531,-0.0651,1.25746,35.60325,73.61959
"8","2016_Q4",19.3757142857143,"Down",96998000,-28083000,68915000,-39216000,-8104000,-31112000,29699000,29699000,0,29699000,-89000,29610000,29610000,29610000,36343000,30044000,30044000,30044000,4293349000,4560516000,-267167000,339728000,339728000,4633077000,4663121000,100117000,100117000,100117000,2158180000,2158180000,2258297000,2543973000,-137323000,-1826000,2404824000,2404824000,4663121000,36343000,31112000,-3438000,5786000,69803000,-227899000,19134000,-208765000,-41379000,36016000,73083000,73083000,-1213000,66507000,-72455000,-72455000,-72455000,60811000,2158180000,-161213000,0.71048,0.30618,0.37468,0.01511,0.00779,-4.43587,0.30009,0.93907,0.46282,0.2372,0.23669,0.63308,15.69556,-1.05219,0.27007,0.01703,-0.03533,1.13857,34.99591,71.65682
"9","2017_Q1",18.4288709677419,"Down",102141000,-30334000,71807000,-41724000,-8732000,-32992000,30083000,30083000,-1720000,28363000,-186000,28177000,28177000,28177000,31940000,54200000,54200000,54200000,4556322000,4855306000,-298984000,331146000,331146000,4887468000,4941668000,106742000,106742000,106742000,2351671000,2351671000,2458413000,2633438000,-151592000,1409000,2483255000,2483255000,4941668000,31940000,32992000,2382000,-3969000,63345000,-303855000,7607000,-296248000,-45170000,196610000,89140000,89140000,-6422000,234158000,1255000,1255000,1255000,63075000,2351671000,-244563000,0.70302,0.29452,0.3127,0.01286,0.00646,-7.65695,0.50777,0.99,0.47589,0.20469,0.20441,0.65459,15.91431,-1.56732,0.28948,0.01595,-0.05058,1.41421,36.42443,76.37107
"10","2017_Q2",17.0120634920635,"Down",107971000,-30446000,77525000,-45458000,-10243000,-35215000,32067000,32067000,-4270000,27797000,-106000,27691000,27691000,27691000,31390000,103301000,103301000,103301000,4914889000,5247932000,-333043000,354039000,354039000,5268928000,5372229000,106886000,106886000,106886000,2528364000,2528364000,2635250000,2905488000,-170314000,1805000,2736979000,2736979000,5372229000,31390000,35215000,3743000,-1231000,69117000,-417165000,24922000,-392243000,-46209000,177646000,281021000,281021000,-13495000,398963000,75837000,75837000,75837000,67282000,2528364000,-351008000,0.71802,0.297,0.29073,0.01147,0.00584,-11.18216,0.96646,0.96283,0.47064,0.1952,0.1952,0.67142,17.01991,-2.18274,0.28735,0.01474,-0.06666,1.47209,36.04327,75.62488
