"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.44587301587302,"Up",131608000,-71671000,59937000,-41262000,-41262000,24859000,784000,784000,25643000,25643000,-10258000,15385000,15385000,-540954.831432348,15385000,15385000,87219000,69221000,17998000,8120000,8120000,23929000,79073000,13599000,198341000,22487000,64968000,15564000,36613000,5423000,157629000,355970000,51186000,24016000,19210000,51186000,18715000,18715000,18715000,69901000,150381000,-127984000,262752000,920000,286069000,1299722.70117769,286069000,355970000,15385000,2443000,66000,-4769000,35000,6789000,-11593000,13125000,-668000,-668000,-668000,-2332000,-14029000,332000,332000,527000,859000,-45000,-45000,-45000,27302000,0,32123000,0.45542,0.18889,0.1169,0.05378,0.04322,2.08794,3.87491,0.24435,0,0.16191,0.16191,1.38501,3.01052,0.33805,4,0.05048,0.1054,-3.1946,-3.50855
"2","2010_Q3",9.973125,"Up",158664000,-89815000,68849000,-42025000,-42025000,32053000,942000,942000,32995000,32995000,-13196000,19799000,19799000,-223636.554288232,19799000,19799000,64779000,42807000,21972000,11942000,11942000,44466000,95670000,13716000,216857000,21297000,64017000,14831000,36613000,5520000,184497000,401354000,75379000,44309000,27770000,75379000,18804000,18804000,18804000,94183000,155807000,-132543000,282551000,1356000,307171000,825481.80078513,307171000,401354000,19799000,2579000,820000,-15472000,-982000,-20502000,6012000,7726000,-564000,-564000,-564000,-32493000,-33147000,-2978000,1581000,1985000,-993000,-26414000,-26414000,-26414000,34632000,0,31792000,0.43393,0.20202,0.12479,0.06446,0.04933,1.60574,2.87689,0.30661,0,0.20727,0.20727,1.66097,3.21561,0.33281,5,0.06074,0.09753,-1.8705,-2.021
"3","2010_Q4",11.91421875,"Up",184118000,-106610000,77508000,-46707000,-46707000,37388000,1201000,1201000,38589000,38589000,-15673000,22916000,22916000,-24981.9325729392,22916000,22916000,49440000,29045000,20395000,12846000,12846000,126300000,20417000,11590000,209003000,21054000,63583000,14095000,36613000,6566000,221011000,430014000,76626000,37302000,33389000,78254000,17443000,17443000,17443000,95697000,158949000,-132543000,305465000,2446000,334317000,461489.080471078,334317000,430014000,22916000,2342000,2407000,-6124000,-1174000,-19000,-4931000,21541000,-1048000,-1048000,-1048000,-924000,-36158000,485000,485000,370000,855000,-13762000,-13762000,-13762000,39730000,0,48231000,0.42097,0.20307,0.12446,0.06855,0.05329,2.10469,2.67083,0.28625,0,0.24034,0.24034,1.93101,3.50627,0.50584,2,0.06515,0.13711,-1.2444,-1.32235
"4","2011_Q1",11.6496774193548,"Down",161028000,-91468000,69560000,-46865000,-46865000,27324000,1306000,1310000,28630000,28630000,-11005000,17625000,17625000,78009.0337135304,17625000,17625000,79440000,66151000,13289000,18742000,18742000,91763000,20122000,11044000,210067000,20791000,95497000,42662000,38613000,6378000,237629000,447696000,71431000,37089000,34342000,73407000,16991000,16991000,16991000,90398000,165777000,-132543000,323092000,972000,357298000,195744.540235539,357298000,447696000,17625000,2635000,1694000,22527000,-6145000,4928000,23744000,44481000,-1144000,-1144000,-1144000,-6822000,-10267000,2684000,2684000,208000,2892000,37106000,37106000,37106000,29959000,0,62347000,0.43197,0.16968,0.10945,0.04933,0.03937,3.53742,2.86168,0.253,0,0.18342,0.18342,1.67579,3.71834,0.64883,3,0.04709,0.16657,-2.65162,-2.90733
"5","2011_Q2",14.3053968253968,"Up",165755000,-96623000,69132000,-46244000,-46244000,27455000,1517000,1517000,28972000,28972000,-11120000,17852000,17852000,108336.344571177,17852000,17852000,71087000,60354000,10733000,26891000,26891000,33845000,89672000,10456000,221495000,22644000,95026000,42047000,38613000,6472000,242538000,464033000,68503000,37354000,23137000,68503000,17161000,17161000,17161000,85664000,169078000,-132543000,340944000,890000,378369000,16248.180078513,378369000,464033000,17852000,2209000,-766000,-20876000,-8133000,5712000,-18455000,-1581000,-3702000,-3702000,-3702000,-1290000,-4992000,232000,232000,544000,776000,-5797000,-5797000,-5797000,29664000,0,16206000,0.41707,0.16564,0.1077,0.04718,0.03847,0.9078,3.23336,0.2264,0,0.18543,0.18543,1.72168,3.93008,0.16833,1,0.04513,0.04097,-2.39641,-2.58922
"6","2011_Q3",14.82984375,"Up",209152000,-125057000,84095000,-51339000,-51339000,37188000,1656000,1656000,38844000,38844000,-15149000,23695000,23695000,89000,23784000,23784000,38970000,31261000,7709000,77822000,77822000,67723000,102069000,9891000,286584000,25896000,183332000,96720000,75644000,6697000,309693000,596277000,135411000,96208000,31940000,141310000,42819000,42819000,42819000,184129000,178668000,-132543000,364728000,1384000,412237000,-89000,412148000,596277000,23695000,2563000,1202000,-3985000.00000001,7093000,-21694000,10616000,23475000,-2271000,-2271000,-2271000,28387000,-59118000,3253000,3253000,3297000,6550000,-29093000,-29093000,-29093000,39751000,0,48644000,0.40208,0.1778,0.11372,0.05771,0.03989,2.04524,2.02805,0.44675,0,0.24435,0.24435,2.14874,4.23514,0.49975,2,0.05228,0.10692,-0.98035,-1.04792
"7","2011_Q4",14.1657142857143,"Down",313887000,-204434000,109453000,-64594000,-64594000,50508000,1732000,1732000,52240000,52240000,-20372000,31868000,31868000,43000,31911000,31911000,39300000,35141000,4159000,113461000,113461000,77042000,129574000,14465000,359377000,30400000,181419000,95780000,74976000,5998000,291637000,651014000,158037000,86894000,48266000,161824000,42189000,42189000,42189000,204013000,182297000,-132543000,396639000,740000,447133000,-132000,447001000,651014000,31868000,3077000,6695000,-56149000,-38990000,-9319000,-7840000,-14509000,-6273000,-6273000,-6273000,23805000,17532000,520000,520000,337000,857000,3880000,3880000,3880000,53585000,0,11535000,0.3487,0.16091,0.10166,0.07139,0.04902,0.36147,2.22079,0.4564,0,0.32672,0.32672,3.21374,4.57799,0.1181,2,0.06523,0.02358,-0.73341,-0.77809
"8","2012_Q1",16.9267741935484,"Up",279755000,-180487000,99268000,-64716000,-64716000,38619000,117000,168000,38736000,38736000,-14950000,23786000,23786000,-14000,23772000,23772000,108489000,102830000,5659000,153424000,153424000,59644000,2.5e+07,15289000,346557000,31587000,182237000,98867000,75595000,5347000,293229000,639786000,120955000,69747000,51208000,135088000,29940000,29940000,29940000,165028000,186330000,-132543000,420411000,678000,474876000,-118000,474758000,639786000,23786000,3211000,3406000,37180000,23487000,16091000,-2398000,67583000,-3231000,-3231000,-3231000,-985000,3291999.99999999,989000,989000,-4175000,-3186000,67689000,67689000,67689000,41830000,-8.07793566946316e-28,90729000,0.35484,0.13805,0.08497,0.05007,0.03716,3.81663,2.56542,0.3476,7.52316384526264e-37,0.2429,0.2429,2.85849,4.8522,0.92705,4,0.0471,0.17977,-2.59357,-2.80921
"9","2012_Q2",16.5222222222222,"Down",265970000,-169877000,96093000,-65207000,-65207000,35359000,470000,470000,35829000,35829000,-13902000,21927000,21927000,-59000,21868000,21868000,66582000,61953000,4629000,90626000,90626000,53277000,110606000,14612000,321091000,35824000,232460000,138110000,85980000,8370000,376199000,697290000,114992000,76732000,34853000,136034000,53907000,50110000,53907000,189941000,196398000,-132543000,442279000,1274000,507408000,-59000,507349000,697290000,21927000,2960000,-514000,-10648000,4180000,8741000,-23569000,13725000,-3270000,-3270000,-3270000,-24650000,-60372000,3548000,3548000,2222000,5770000,-40877000,-40877000,-40877000,38319000,0,38303000,0.36129,0.13294,0.08222,0.0431,0.03136,1.75155,2.36037,0.37438,0,0.22149,0.22149,2.69391,5.13935,0.38796,3,0.03896,0.06825,-1.73757,-1.88303
"10","2012_Q3",16.3730158730159,"Down",288692000,-184438000,104254000,-66702000,-66702000,41804000,1663000,1663000,43467000,39157000,-12269000,26888000,26888000,11000,26899000,26899000,91728000,80717000,11011000,89706000,89706000,90999000,126271000,18931000,398704000,37929000,234597000,137321000,91559000,5717000,378316000,777020000,165075000,118286000,46789000,187806000,49145000,47083000,49145000,236951000,202473000,-132543000,469178000,1031000,540139000,-70000,540069000,777020000,26888000,3142000,7041000,-7739000,15000,-37876000,30122000,29332000,-4760000,-4760000,-4760000,-5864000,-10624000,1402000,1402000,-1346000,56000.0000000019,18764000,18764000,18764000,44946000,0,44716000,0.36113,0.1448,0.09318,0.04981,0.03462,1.66237,2.12296,0.43874,0,0.27205,0.27205,2.9198,5.4629,0.45225,5,0.04565,0.07589,-2.04085,-2.19424
