"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.3775,"Down",92725000,-56732000,35993000,-32227000,-3146000,-10744000,3766000,29000,-33000,62000,3795000,3795000,-1516000,2279000,2279000,2279000,2279000,58831000,58831000,56851000,15666000,8321000,131348000,45125000,4340000,684000,49465000,180813000,47548000,25923000,21625000,47548000,30332000,30332000,30332000,77880000,145773000,-42840000,102933000,102933000,180813000,2279000,3146000,3171000,-6860000,1736000,-8663000,-8663000,70000,70000,-6857000,-6857000,-6857000,6912000,0,-7095000,0.38817,0.04061,0.02458,0.02214,0.0126,-3.11321,2.76243,0.75661,0,0.11459,0.11105,4.66212,5.17537,-0.35673,0.0171,-0.05324,-8.51143,-15.62161
"2","2011_Q1",13.826935483871,"Up",139606000,-80521000,59085000,-36894000,-3523000,-11800000,22191000,46000,44000,2000,22237000,22237000,-7855000,14382000,14382000,14382000,14382000,91222000,91222000,44452000,10996000,7468000,146670000,46231000,2176000,736000,48407000,195077000,45889000,20236000,24364000,45889000,30899000,30899000,30899000,76788000,146747000,-28458000,118289000,118289000,195077000,14382000,3523000,2978000,16137000,37020000,-4786000,-4786000,157000,157000,32391000,32391000,32391000,25714000,0,44920000,0.42323,0.15895,0.10302,0.12158,0.07372,3.12335,3.19619,0.64916,0,0.72435,0.6989,7.03128,5.95764,2.2624,0.0964,0.3011,-3.54756,-4.11077
"3","2011_Q2",13.0573015873016,"Down",94403000,-56315000,38088000,-32922000,-3241000,-10887000,5166000,-37000,-34000,-3000,5129000,5129000,-1959000,3170000,3170000,3170000,3170000,90254000,90254000,44620000,10381000,6810000,145255000,46013000,2335000,879000,48348000,193603000,40712000,19824000,20287000,40712000,30615000,30615000,30615000,71327000,147564000,-25288000,122276000,122276000,193603000,3170000,3241000,1198000,-5549000,2060000,-3096000,-3096000,68000,68000,-968000,-968000,-968000,8407000,0,1721000,0.40346,0.05472,0.03358,0.02592,0.01637,0.5429,3.56787,0.58333,0,0.15918,0.15344,4.7403,6.13989,0.08642,0.02073,0.01126,-10.73558,-17.47077
"4","2011_Q3",9.4553125,"Down",89701000,-58856000,30845000,-31485000,-2733000,-11187000,-640000,42000,-36000,78000,-598000.000000001,-598000.000000001,118000,-480000,-480000,-480000,-480000,75106000,75106000,47656000,16437000,9283000,139199000,51940000,2241000,847000,54181000,193380000,38538000,17011000,21527000,38538000,31999000,31999000,31999000,70537000,148611000,-25768000,122843000,122843000,193380000,-480000,2733000,198000,-10117000,-7666000,-8715000,-8715000,1233000,1233000,-15148000,-15148000,-15148000,2093000,-8.07793566946316e-28,-16857000,0.34386,-0.00712999999999999,-0.00534999999999999,-0.00391,-0.00248,35.11875,3.61199,0.5742,0,-0.02405,-0.02327,4.49471,6.15538,-0.84467,-0.0031,-0.10887,-35.88438,117.35312
"5","2011_Q4",11.1053968253968,"Up",97071000,-60938000,36133000,-34209000,-2914000,-12467000,1924000,-4000,-55000,51000,1920000,1920000,-673000,1247000,1247000,1247000,1247000,60343000,60343000,59940000,16014000,11176000,136297000,58366000,3588000,1176000,61954000,198251000,46120000,24975000,21145000,46120000,35023000,35023000,35023000,81143000,149256000,-32148000,117108000,117108000,198251000,1247000,2914000,3695000,-4167000,3689000,-9364000,-9364000,-1131000,-9088000,-14763000,-14763000,-14763000,4838000,0,-8020000,0.37223,0.01982,0.01285,0.01065,0.00629,-6.43144,2.95527,0.69289,0,0.06261,0.06172,4.87353,5.87951,-0.40265,0.0082,-0.05272,-12.47272,-31.36331
"6","2012_Q1",14.901935483871,"Up",149110000,-84982000,64128000,-40073000,-3522000,-12846000,24055000,64000,72000,-8000,24119000,24119000,-8941000,15178000,15178000,15178000,15178000,83123000,83123000,47306000,9441000,7784000,139870000,60315000,2404000,1296000,62719000,202589000,46543000,21592000,21805000,46543000,38384000,38384000,38384000,84927000,150352000,-32690000,117662000,117662000,202589000,15178000,3522000,5518000,19464000,43682000,-5477000,-5477000,-4000,-15425000,22780000,22780000,22780000,27577000,6.46234853557053e-27,50505000,0.43007,0.16132,0.10179,0.129,0.07492,3.32751000000001,3.00518,0.72179,-2.40741243048404e-35,0.79725,0.78181,7.83223,6.18038,2.65285,0.09727,0.32365,-3.01421,-3.45554
"7","2012_Q2",12.098253968254,"Down",97788000,-59319000,38469000,-35299000,-3015000,-12988000,3170000,3000,-80000,83000,3173000,3173000,-1218000,1955000,1955000,1955000,1955000,73162000,73162000,47484000,9843000,8118000,130489000,61414000,2646000,1496000,64060000,194549000,38618000,18050000,18637000,38618000,38633000,38633000,38633000,77251000,151235000,-33937000,117298000,117298000,194549000,1955000,3015000,874000,-8577000,-2733000,-4109000,-4109000,86000,-3119000,-9961000,-9961000,-9961000,6185000,0,-5283000,0.39339,0.03242,0.01999,0.01667,0.01005,-2.7023,3.37897,0.65859,0,0.10701,0.10414,5.35267,6.4206,-0.28918,0.01254,-0.03388,-11.82894,-23.0795
"8","2012_Q3",9.71412698412698,"Down",91004000,-61010000,29994000,-33946000,-3205000,-12008000,-3952000,-22000,-67000,45000,-3974000,-3974000,1977000,-1997000,-1997000,-1997000,-1997000,49614000,49614000,49773000,15500000,10138000,114887000,68840000,2511000,1425000,71351000,186238000,43355000,22583000,20772000,43355000,40159000,40159000,40159000,83514000,152055000,-49331000,102724000,102724000,186238000,-1997000,3205000,727000,-1566000,369000.000000007,-10677000,-10677000,177000,-13240000,-23548000,-23548000,-23548000,-747000.000000002,-1.03397576569128e-25,-14967000,0.32959,-0.04343,-0.02194,-0.01944,-0.01072,7.49474,2.64991,0.81299,0,-0.11432,-0.11771,5.20946,5.88036,-0.85677,-0.01398,-0.10475,66.41767,12.55415
"9","2012_Q4",9.1791935483871,"Down",96688000,-62669000,34019000,-34765000,-3122000,-12491000,-746000,-19000,-70000,51000,-765000,-765000,349000,-416000,-416000,-416000,-416000,34339000,34339000,64191000,15893000,9917000,114423000,76004000,2260000,1457000,78264000,192687000,47667000,27793000,19874000,47667000,42083000,42083000,42083000,89750000,152684000,-49747000,102937000,102937000,192687000,-416000,3122000,3325000,-11097000,-5066000,-10210000,-10210000,1000,1000,-15275000,-15275000,-15275000,2376000,0,-19280000,0.35184,-0.00772,-0.0043,-0.00404,-0.00216,46.34615,2.40047,0.87189,0,-0.02437,-0.02437,5.66487,6.03099,-1.1296,-0.00287,-0.13295,-14.45244,46.03083
"10","2013_Q1",10.633,"Up",162885000,-96751000,66134000,-43078000,-3833000,-13245000,23056000,4000,-42000,46000,23060000,23060000,-8807000,14253000,14253000,14253000,14253000,67797000,67797000,49577000,11804000,10202000,129178000,78499000,1559000,1559000,80058000,209236000,44003000,21642000,21009000,44003000,47358000,44230000,47358000,91361000,153369000,-35494000,117875000,117875000,209236000,14253000,3833000,6544000,15147000,39777000,-6377000,-6377000,58000,58000.0000000019,33458000,33458000,33458000,26889000,1.65436122510606e-24,44466000,0.40602,0.14155,0.0875,0.12092,0.06812,3.11976,2.93566,0.77507,-3.08148791101958e-33,0.83615,0.76555,9.55561,6.91511,2.60859,0.08626,0.26911,-2.52137,-2.94053999999999
