"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.8674603174603,"Up",137787000,-40682000,97105000,-61182000,-5850000,-55332000,35923000,-44888000,-45134000,246000,-8965000,-8965000,-1504000,-10469000,-10469000,2182000,-8287000,-8287000,94300000,94300000,969000,969000,95269000,5651696000,6395922000,-744226000,269682000,10523000,94708000,164451000,5921378000,6016647000,85687000,12203000,3272157000,3357844000,337404000,337404000,369513000,3727357000,2300592000,-332507000,-171662000,1796423000,492867000,2289290000,6016647000,-10469000,55332000,-436000,4289000,48716000,-11176000,-11176000,-11176000,119325169.651527,-11176000,-12160000,-911948393.950155,-3820000,-15980000,21560000,21560000,21560000,91255000,3304266000,0.70475,0.26071,-0.06014,-0.00362,-0.00138,0.02837,1.62817,0.54919,-0.06813,-0.06813,1.13271,14.76791,0.09996,4,0.00065,-1.46736,35.17578,89.35685
"2","2010_Q3",10.935,"Up",139209000,-41632000,97577000,-60865000,-5944000,-54921000,36712000,-45525000,-45676000,151000,-8813000,-9105000,-2200000,-11305000,-11305000,2314000,-8991000,-8991000,21249000,21249000,1256000,1256000,22505000,5837317000,6636463000,-799146000,251461000,11592000,97364000,142505000,6088778000,6111283000,74689000,12263000,3425335000,3500024000,299425000,299425000,331763000,3831787000,2310193000,-353761000,-158919000,1797513000,481983000,2279496000,6111283000,-11305000,54921000,1371000,-10108000,34879000,-241050000,-241050000,-241050000,58178584.8257635,-246731000,-12203000,154500000,-3496000,138801000,-73051000,-73051000,-73051000,91633000,3457673000,0.70094,0.26372,-0.06459,-0.00394,-0.00147,0.00643,1.68098,0.56579,-0.07349,-0.07349,1.13793,14.69329,0.09975,3,0.00053,-1.35725,37.50204,93.60492
"3","2010_Q4",11.86625,"Up",148070000,-48037000,100033000,-64722000,-7101000,-57621000,35311000,-38241000,-38498000,257000,-2930000,-2933000,-1810000,-4743000,-4743000,847000,-3896000,-3896000,281681000,281681000,1921000,1921000,283602000,5794135000,6650902000,-856767000,242592000,10396000,98327000,133869000,6036727000,6320329000,74977000,12350000,3669494000,3744471000,277031000,277031000,309350000,4053821000,2323511000,-370007000,-153482000,1800022000,466486000,2266508000,6320329000,-4743000,57621000,-1658000,2120000,53340000,-15187000,-15187000,-15187000,22483528.2752545,-18237000,-12263000,245500000,-7908000,225329000,260432000,260432000,260432000,92932000,3701813000,0.67558,0.23848,-0.02631,-0.00172,-0.00062,0.07574,1.78858,0.5857,-0.03165,-0.03165,1.20295,14.62379,0.09963,6,0.00134,-3.14759,36.80252,96.85741
"4","2011_Q1",12.5425806451613,"Up",145778000,-47131000,98647000,-66566000,-9410000,-57156000,32081000,-37062000,-37599000,537000,-4981000,-4982000,-1457000,-6439000,-6439000,1190000,-5249000,-5249000,272419000,272419000,1591000,1591000,274010000,5756760000,6670683000,-913923000,248519000,9356000,110920000,128243000,6005279000,6279289000,70206000,12413000,3668133000,3738339000,209931000,209931000,241781000,3980120000,2333548000,-447722000,-58765000,1827061000,472108000,2299169000,6279289000,-6439000,57156000,6495000,-5205000,52007000,-15985000,-15985000,-15985000,5643000,-28534000.0000001,-12350000,0,-20385000,-32735000,-9262000,-9262000,-9262000,89237000,3699983000,0.67669,0.22007,-0.03601,-0.00228,-0.00084,0.0733,1.73111,0.58924,-0.0424,-0.0424,1.1776,14.75911,0.09976,6,0.00114,-2.35283,38.40967,106.84093
"5","2011_Q2",13.8201587301587,"Up",142591000,-45353000,97238000,-64639000,-7486000,-57153000,32599000,-31420000,-31676000,256000,1179000,1179000,-1524000,-345000,-345000,-4000,-349000,-349000,308536000,308536000,1943000,1943000,310479000,5711096000,6682172000,-971076000,253070000,8377000,109625000,135068000,5964166000,6274645000,72991000,12430000,3670076000,3743067000,180613000,180613000,212942000,3956009000,2336387000,-460501000,-34351000,1841535000,477101000,2318636000,6274645000,-345000,57153000,585000,3780000,61173000,-12118000,-12118000,-12118000,1060000,-11058000,-12413000,6740000,-8325000,-13998000,36117000,36117000,36117000,89752000,3702405000,0.68194,0.22862,-0.00245,-0.00015,-6e-05,0.08295,1.70618,0.59006,-0.00281,-0.00281,1.14798,14.82598,0.09994,6,0.00195,-35.56734,37.81385,104.1096
"6","2011_Q3",12.9565625,"Down",145408000,-46919000,98489000,-63934000,-6820000,-57114000,34555000,-40509000,-40852000,343000,-5954000,-5954000,-255000,-6209000,-6209000,1193000,-5016000,-5016000,332139000,332139000,1290000,1290000,333429000,5666458000,6694648000,-1028190000,243474000,7604000,117659000,118211000,5909932000,6243361000,67152000,16318000,3669222000,3736374000,172414000,172414000,205409000,3941783000,2360088000,-481835000,-46334000,1831919000,469659000,2301578000,6243361000,-6209000,57114000,3023000,-6003000,47925000,-14085000,-14085000,-14085000,1775000,-21521000,-12430000,0,-12280000,-2800999.99999999,23603000,23603000,23603000,91669000,3702217000,0.67733,0.23764,-0.0345,-0.00218,-8e-04,0.08924,1.71264,0.59298,-0.04025,-0.04025,1.16689,14.70098,0.09975,6,0.0012,-2.47807,36.76355,97.52794
"7","2011_Q4",12.7520634920635,"Down",144059000,-49126000,94933000,-52826000,-6954000,-45872000,42107000,-37418000,-37717000,299000,4689000,4689000,-285000,4404000,4404000,-1007000,3397000,3397000,349607000,349607000,1558000,1558000,351165000,5634220000,6708282000,-1074062000,231295000,6958000,117625000,106712000,5865515000,6216680000,76944000,16616000,3624497000,3701441000,215205000,215205000,248869000,3950310000,2404332000,-495054000,-93907000,1815371000,450999000,2266370000,6216680000,4404000,45872000,-2088000,5289000,53477000,-13747000,-13747000,-13747000,1191000,-12556000,-16318000,-41644000,-3536000,-23453000,17468000,17468000,17468000,87979000,3658161000,0.65899,0.29229,0.02358,0.0015,0.00055,0.09487,1.74301,0.58844,0.02664,0.02664,1.12991,14.23863,0.12799,5,0.00321,4.80365,37.60618,78.57492
"8","2012_Q1",15.0490322580645,"Up",143279000,-46483000,96796000,-53583000,-8026000,-45557000,43213000,-38002000,-38210000,208000,5211000,5211000,-803000,4408000,4408000,-989000,3419000,3419000,406977000,406977000,1722000,1722000,408699000,5606399000,6726018000,-1119619000,216504000,6379000,117055000,93070000,5822903000,6231602000,72319000,17039000,3624156000,3696475000,185218000,185218000,219172000,3915647000,2462960000,-508674000,-89180000,1865106000,450849000,2315955000,6231602000,4408000,45557000,1896000,-5544000,46317000,-16013000,-16013000,-16013000,138000,-15875000,-16616000,0,-14254000,26928000,57370000,57370000,57370000,88770000,3658110000,0.67558,0.3016,0.02386,0.00148,0.00055,0.11056,1.69073,0.58703,0.02662,0.01297,1.11562,14.52237,0.12938,5,0.00325,4.8599,36.62423,75.23507
"9","2012_Q2",16.0487301587302,"Up",143388000,-45877000,97511000,-52497000,-6700000,-45797000,45014000,-37328000,-37561000,233000,7686000,7686000,-984000,6702000,6702000,-1316000,5386000,5386000,155528000,155528000,1495000,1495000,157023000,5577653000,6743069000,-1165416000,247700000,5929000,151025000,90746000,5825353000,5982376000,77618000,20945000,3256140000,3333758000,174019000,174019000,208219000,3541977000,2613938000,-524232000,-82743000,2006963000,433436000,2440399000,5982376000,6702000,45797000,2269000,5367000,60135000,-17659000,-17659000,-17659000,1252000,-52469000,-17039000,-366956000,-3377000,-259115000,-251449000,-251449000,-251449000,90811000,3290340000,0.68005,0.31393,0.03756,0.00221,9e-04,0.0471,1.45139,0.55001,0.03892,0.03135,1.03605,14.50128,0.12312,5,0.0038,3.16357,34.52018,69.64082
"10","2012_Q3",17.072380952381,"Up",146468000,-47375000,99093000,-53469000,-6741000,-46728000,45624000,-36432000,-36591000,159000,9192000,9192000,-1117000,8075000,8075000,-1548000,6527000,6527000,162025000,162025000,1984000,1984000,164009000,5542640000,6754784000,-1212144000,250812000,5481000,150571000,94760000,5793452000,5957461000,68265000,20960000,3256140000,3324405000,184037000,184037000,218110000,3542515000,2615514000,-538665000,-90570000,1986279000,428667000,2414946000,5957461000,8075000,46728000,2713000,-7787000,49729000,-12234000,-12234000,-12234000,1089000,-11135000,-20944000,0,-11153000,-32097000,6497000.00000006,6497000.00000006,6497000.00000006,92352000,3290213000,0.67655,0.31149,0.04456,0.0027,0.0011,0.04933,1.46691,0.55228,0.04674,0.0377,1.04881,14.22316,0.14997,5,0.00466,3.20882,33.87244,68.56453
