"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2681.523125,"Down",1582296000,-1455390000,-1396697000,126906000,-63448000,-63448000,63458000,6865000,7852000,-2392000,10244000,-1145000,-2850000,3008000,70323000,70323000,-12566000,57757000,57757000,57454000,57454000,394087000,43285000,350802000,500517000,500517000,842464000,142067000,117481000,1879135000,848879000,640320000,404322000,173416000,1489199000,3368334000,173250000,173250000,74498000,410212000,94133000,316079000,657960000,239413000,29992000,209421000,349311000,1007271000,1198000,2531983000,-176045000,2357136000,3927000,2361063000,3368334000,57757000,23071000,2596000,-104483000,-21059000,-28624000,44262000,7773000,9780000,8665000,-4621000,-4621000,-4366000,86529000,184396000,-34012000,0.0802,0.04011,0.03631,0.02433,0.01706,-0.59199,2.856,0.42662,0.05474,47.97765,47.97765,1321.31512,1968.35449,-28.40213,0.02063,-0.01221,-2.42336,-3.30441
"12","2013_Q3",2766.4821875,"Up",1684039000,-1568629000,-1510221000,115410000,-61861000,-61861000,53549000,4525000,7269000,-2370000,9639000,-135000,-4547000,1938000,58074000,58074000,-18048000,40026000,40026000,39547000,39547000,397517000,39011000,358506000,538249000,538249000,752101000,149155000,126937000,1837022000,866315000,642421000,403969000,176015000,1508736000,3345758000,168006000,168006000,77386000,380057000,66097000,313960000,625449000,234640000,28300000,206340000,338812000,964261000,1193000,2558209000,-182336000,2377066000,4431000,2381497000,3345758000,40026000,23442000,5021000,-1016000,67473000,-43622000,-7982000.00000001,-55652000,-2727000,-15949000,-4128000,-4128000,-4274000,76991000,181558000,50401000,0.06853,0.0318,0.02348,0.01661,0.01182,1.27446,2.93713,0.4049,0.05427,33.07117,33.07117,1408.2772,1987.82086,42.14782,0.01414,0.01802,-2.80499,-4.03292
"13","2013_Q4",2731.2328125,"Down",1648105000,-1547152000,-1488880000,100953000,-67183000,-67183000,33770000,2989000,5079000,-2568000,7647000,-180000,-4989000,3079000,36759000,36759000,-5394000,31365000,31365000,30969000,30969000,276748000,31753000,244995000,574301000,574301000,781848000,155495000,132742000,1788392000,857848000,683645000,396559000,224794000,1541493000,3329885000,166649000,166649000,66726000,352908000,69360000,283548000,586283000,242880000,38244000,204636000,347052000,933335000,1191000,2585523000,-194984000,2391730000,4820000,2396550000,3329885000,31365000,23669000,16448000,-112864000,-41382000,-28145000,102486000,48503000,-9942000,-14050000,-6929000,-6929000,-7258000,57439000,170898000,-78176000,0.06125,0.02049,0.01879,0.01292,0.0093,-2.52433,3.05039,0.38945,0.05132,25.98629,25.98629,1382.93543,2006.91591,-65.59798,0.01102,-0.02782,-1.84282,-3.13444
"14","2014_Q1",2565.94213114754,"Down",1755560000,-1630829000,-1572202000,124731000,-71508000,-71508000,53223000,27621000,11800000,-3670000,15470000,1460000,8386000,5975000,80844000,80844000,4008000,84852000,84852000,84030000,84030000,345704000,55055000,290649000,651404000,651404000,698998000,157843000,134394000,1853949000,863573000,700526000,406900000,231411000,1564099000,3418048000,392549000,186468000,79396000,143382000,46192000,97190000,615327000,242271000,73336000,88017000,322751000,938078000,1189000,2655857000,-181797000,2475249000,4721000,2479970000,3418048000,84852000,22818000,-4065000,16363000,119968000,-34609000,-42766000,-78624000,-10111000,-16666000,24678000,24678000,22898000,76041000,159876000,53787000,0.07105,0.03032,0.04787,0.03388,0.02458,0.640089999999999,3.01295,0.37826,0.04677,70.60579,70.60579,1475.1006,2079.81572,45.19426,0.02916,0.01866,-2.44379,-3.4915
"15","2014_Q2",2643.42285714286,"Up",1479636000,-1354048000,-1300090000,125588000,-60385000,-60385000,65203000,10280000,8616000,-4820000,13436000,-5693000,6644000,713000,75483000,75483000,-27034000,48449000,48449000,48166000,48166000,431099000,38877000,392222000,548306000,548306000,650440000,148573000,124823000,1778418000,858010000,703386000,408643000,232590000,1561396000,3339814000,143305000,143305000,57432000,321676000,72691000,248985000,522413000,238474000,67629000,170845000,318958000,841371000,1187000,2699621000,-207365000,2493443000,5e+06,2498443000,3339814000,48449000,22963000,-8291000,80849000,143970000,-36354000,-103113000,-139508000,-15923000,-20454000,-15992000,-15992000,-16178000,88166000,137916000,159695000,0.08488,0.04407,0.03255,0.01928,0.01442,3.31551,3.40424,0.33676,0.04129,40.55466,40.55466,1245.81937,2099.42148,134.45951,0.01675,0.05555,-3.32535,-4.49646
"16","2014_Q3",2830.64203125,"Up",1694591000,-1497164000,-1451731000,197427000,-63088000,-63088000,134339000,10905000,4748000,-3856000,8604000,-2994000,8757000,394000,145244000,145244000,-49851000,95393000,95393000,94631000,94631000,398788000,73654000,325134000,582520000,582520000,724636000,151117000,125947000,1857061000,862673000,716149000,417652000,236407000,1578822000,3435883000,193658000,193658000,123498000,324490000,61658000,262832000,641646000,252366000,78893000,173473000,252994000,894640000,1171000,2743937000,-209612000,2535496000,5747000,2541243000,3435883000,95393000,23094000,-4081000,-55463000,58943000,-29607000,67493000,36141000,-13923000,-63191000,31893000,31893000,34777000,157433000,124126000,122214000,0.1165,0.07928,0.05584,0.03724,0.02754,1.29148,2.89421,0.35205,0.03613,79.81704,79.81704,1429.3121,2138.57805,103.08207,0.03243,0.04189,-1.74463,-2.04454
"17","2014_Q4",3325.6453125,"Up",1622641000,-1461698000,-1426900000,160943000,-64857000,-64857000,96086000,7738000,711000,-8408000,9119000,-530000,9892000,-2335000,103824000,168216000,-63536000,104680000,104680000,105149000,105149000,418998000,56033000,362965000,535013000,535013000,733640000,156293000,128651000,1843944000,846178000,779947000,522071000,238970000,1626125000,3470069000,165882000,165882000,28834000,373506000,72471000,301035000,568222000,259268000,81276000,177992000,259268000,827490000,1171000,2848686000,-212368000,2637489000,5090000,2642579000,3470069000,104680000,23265000,-8e+07,32408000,80353000,-26065000,41445000,-4917000,-93372000,-93402000,-17966000,-17966000,-17621000,119351000,28834000,189230000,0.09919,0.05922,0.0648,0.03979,0.0303,1.79964,3.24511,0.31314,0.00831,89.84245,89.84245,1386.43302,2253.54952,161.68377,0.03588,0.06457,-3.26905,-4.06057
"18","2015_Q1",3958.51213114754,"Up",1676132000,-1482090000,-1452279000,194042000,-65670000,-65670000,128372000,17077000,6925000,-2916000,9841000,217000,11707000,-1772000,145449000,147057000,-27579000,119478000,119478000,119054000,119054000,5.27e+08,3.6e+07,4.91e+08,6.34e+08,6.34e+08,7.36e+08,1.56e+08,1.1e+08,2.053e+09,8.47e+08,7.92e+08,5.43e+08,2.3e+08,1.639e+09,3.692e+09,3.83e+08,1.82e+08,7.6e+07,1.76e+08,5.1e+07,1.25e+08,6.35e+08,3.22e+08,9.6e+07,9e+07,3.22e+08,9.57e+08,1e+06,2.982e+09,-2.53e+08,2.73e+09,5e+06,2.735e+09,3.692e+09,119478000,22678000,3372000,-54794000,90734000,-20974000,-126825000,-156716000,49218000,48047000,-17935000,-17935000,-19978000,151050000,7.6e+07,102861000,0.11577,0.07659,0.07103,0.04353,0.03225,0.86399,3.23307,0.34991,0.02059,101.74573,101.74573,1432.4531,2333.108,87.90689,0.038,0.03283,-2.98577,-3.51323
"19","2015_Q2",3531.70238095238,"Down",1.452e+09,-1.359e+09,-1.338e+09,9.3e+07,-6.5e+07,-6.5e+07,2.8e+07,2e+07,5e+06,-5e+06,1e+07,1e+06,1.1e+07,3e+06,4.8e+07,4.8e+07,-1.5e+07,3.3e+07,3.3e+07,3.3e+07,3.3e+07,645535000,47916000,597619000,526365000,526365000,716084000,166517000,121270000,2054501000,849185000,810978000,539004000,271974000,1660163000,3714664000,165036000,165036000,123311000,362347000,69724000,292623000,650694000,314269000,87007000,227262000,314269000,964963000,1171000,3000714000,-256636000,2745249000,4452000,2749701000,3714664000,3.3e+07,2.4e+07,-1.9e+07,8.5e+07,1.23e+08,-2.8e+07,-1.14e+08,-1.6e+08,4.9e+07,4.9e+07,1.2e+07,1.2e+07,1.2e+07,5.2e+07,123311000,1.24e+08,0.06405,0.01928,0.02273,0.012,0.00888,3.75758,3.1574,0.35093,0.0332,28.19188,28.19188,1240.44253,2345.26419,105.93311,0.01035,0.0389,-10.04277,-18.65086
"20","2015_Q3",3285.2509375,"Down",1.428e+09,-1.328e+09,-1.305e+09,1e+08,-6.8e+07,-6.8e+07,3.2e+07,1.9e+07,7e+06,-3e+06,1e+07,1e+06,1.2e+07,-1e+06,5.1e+07,5.1e+07,-1.9e+07,3.2e+07,3.2e+07,3.2e+07,3.2e+07,706630000,80093000,626537000,488986000,488986000,664970000,171119000,124684000,2031705000,839661000,866980000,605014000,261966000,1706641000,3738346000,163977000,163977000,103252000,373081000,66713000,306368000,640310000,310137000,76029000,234108000,310137000,950447000,1171000,3046355000,-264530000,2782996000,4903000,2787899000,3738346000,3.2e+07,2.2e+07,-1.7e+07,1.04e+08,1.41e+08,-1.6e+07,-4.3e+07,-9.1e+07,-1.8e+07,-1.8e+07,3.2e+07,3.2e+07,3.2e+07,5.4e+07,103252000,1.61e+08,0.07003,0.02241,0.02241,0.01148,0.00856,5.03125,3.173,0.34092,0.02762,27.33758,27.33758,1219.93934,2377.51143,137.54218,0.01,0.05029,-11.17367,-18.85556
