"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",33.4915873015873,"Down",147965000,-47072000,100893000,-84007000,-14506000,-67446000,-2055000,16886000,-54188000,-37036000,-17152000,-37302000,-37302000,-109000,-37411000,-37411000,-37326000,-37326000,-108206993.034753,-117943391.142508,9652703.11612716,9652703.11612716,47651096.3037371,9603679.24486004,37954265.2746986,-50903193.6148884,1579662480.09964,1806393738.15979,1584291527.76743,222102210.392362,3386056218.25943,3335153024.64455,92951639.9878175,-17270139.4488272,88930401.4782348,21291377.9584098,22674765.8256566,71336092.617858,66770827.470187,4565265.14767092,97781464.7819811,2663116493.32437,111609072.225312,111609072.225312,2774725565.54968,2872507030.33166,2193921993.55228,-1773650838.92867,1275837.28977534,421546991.913386,462645994.312885,3335153024.64455,-37411000,67446000,19742000,-12359000,37418000,-12148000,-62645000,-389256762.690672,-72776000,-2062000,-3856000,-1767000,-7685000,-43043000,-43043000,-852724.298399521,-43043000,84332000,0,59934000,0.68187,0.11412,-0.25226,-0.965144432156788,-0.0744933944486068,-1.60569,-0.0076091798625324,48.4623488326798,0.780039940128984,-0.33448,-0.33448,1.32591,3.77731051208869,0.53707,-0.0774716891888566,0.0522882893774741,36.5400720885378,308.327475256161
"2","2010_Q3",35.67765625,"Up",154515000,-49958000,104557000,-84533000,-14308000,-68831000,-1394000,20024000,-103896000,-37536000,-66360000,-83872000,-83872000,18000,-83854000,-83854000,-83699000,-83699000,232161000,227939000,17065000,17065000,53873000,11987000,41886000,303099000,1490542000,1640048000,1433110000,206938000,3130590000,3433689000,67320000,10078000,31980000,25262000,29591000,59906000,56554000,3352000,156817000,2777839000,101209000,101209000,2879048000,3035865000,2241540000,-1845679000,1305000,397166000,397824000,3433689000,-83854000,68831000,68866000,6874000,60717000,-15315000,-83795000,-209639273.435025,-97600000,1213776000,-86472000,-980756000,146548000,109665000,109665000,-254574.766133174,109665000,88855000,2807430000,80396000,0.67668,0.12959,-0.54169,-0.21039,-0.02438,-0.96054,1.93282,7.63118,0.81761,-0.75002,-0.75002,1.38461,3.55899,0.72043,-0.02531,0.02431,28.98283,128.60912
"3","2010_Q4",38.438125,"Up",158642000,-50601000,108041000,-87373000,-14417000,-69727000,-3229000,20668000,-54524000,-37456000,-17068000,-33856000,-33856000,-719000,-34575000,-34575000,-34488000,-34488000,200796000,197236000,19007000,19007000,58372000,13023000,45349000,278175000,1498165000,1647596000,1437615000,209981000,3145761000,3423936000,64207000,15170000,24671000,24366000,30076000,60870000,57373000,3497000,155153000,2792443000,104413000,104413000,2896856000,3052009000,2249745000,-1880167000,1735000,371313000,371927000,3423936000,-34575000,69727000,19705000,-10182000,44675000,-20467000,-60901000,-94626102.5381344,-78448000,-979943000,5733000,977284000,3074000,-30699000,-30699000,-4000,-30703000,90395000,2822519000,60465000,0.68104,0.13028,-0.2174,-0.09273,-0.01007,-1.75322,1.79291,8.20594,0.82435,-0.30905,-0.30905,1.42159,3.32733,0.54183,-0.01045,0.01833,29.00296,126.84938
"4","2011_Q1",40.0046774193548,"Up",165497000,-51811000,113686000,-96991000,-14978000,-72723000,-9290000,16695000,-55081000,-37461000,-17620000,-38386000,-38386000,-195000,-38581000,-38581000,-39161000,-39161000,68270000,64254000,18784000,18784000,59673000,12442000,47231000,146727000,1534318000,1719130000,1500012000,219118000,3253448000,3400175000,65569000,11847000,32293000,21429000,27825628.9755107,65015000,61138000,3877000,130584000,2827450000,112008000,112008000,2939458000,3070042000,2244605000,-1929670000,2175000,317110000,330133000,3400175000,-38581000,72723000,25705000,-1517000,58330000,-18688000,-120704000,-30376000,-176215000,970014000.000001,-6698000,-978432000,-15116000,-133001000,-133001000,19000,-132982000,89418000,2827450000,69408000,0.68694,0.10088,-0.23663,-0.11862,-0.01152,-1.77238,1.12362,9.29941,0.83156,-0.35092,-0.35092,1.48301,2.84161,0.62196,-0.01198,0.02123,30.8571,165.26984
"5","2011_Q2",37.5866666666667,"Down",167749000,-50704000,117045000,-93146000,-15895000,-74878000,-2373000,23899000,-57584000,-37751000,-19833000,-33685000,-33685000,-691000,-34376000,-34376000,-34251000,-34251000,97436000,95104000,19347000,19347000,56604000,10603000,46001000,173387000,1538293000,1754578000,1530599000,223979000,3292871000,3466258000,56979000,13033000,24661000,19285000,20676402.6758026,63268000,59766000,3502000,120247000,3004999000,115559000,115559000,3120558000,3240805000,2249658000,-2038939000,2359000,213078000,225453000,3466258000,-34376000,74878000,22361000,-9675000,53188000,-20137000,-90297000,-3047715.82062187,-108748000,157962000,-70117000,-1444000,86401000,30841000,30841000,9000,30850000,98777000,3004999000,69656000,0.69774,0.14247,-0.20418,-0.15192,-0.00988,-2.03369,1.44192,14.37464,0.86693,-0.30692,-0.30692,1.50319,1.90939,0.62419,-0.01024,0.02082,29.43563,121.66045
"6","2011_Q3",35.9121875,"Down",171053000,-50107000,120946000,-93737000,-15721000,-76691000,-1325000,27209000,-56417000,-38499000,-17918000,-29208000,-29208000,-702000,-29910000,-29910000,-29819000,-29819000,280578000,277749000,18272000,18272000,53957000,14639000,39318000,352807000,1553942000,1786260000,1551428000,234832000,3340202000,3693009000,68399000,15511000,32316000,20572000,5e+06,55832000,52533000,3299000,129231000,3319362000,119211000,119211000,3438573000,3567804000,2254271000,-2143774000,2424000,112921000,125205000,3693009000,-29910000,76691000,21065000,1855000,69701000,-35600000,-75747000,1200000,-111833000,-1.95e+08,-73608000,493299000,224691000,182559000,182559000,86000,182645000,103900000,3324362000,70857000,0.70707,0.15907,-0.17433,-0.23816,-0.00807,-2.37624,2.73005,28.4957,0.90018,-0.26721,-0.26721,1.5328,1.01188,0.63495,-0.00836,0.01985,29.29532,111.86681
"7","2011_Q4",38.0303174603175,"Up",175549000,-51847000,123702000,-96131000,-15415000,-78136000,-2580000,27571000,-60617000,-42269000,-18348000,-33046000,-33046000,-391000,-33437000,-33437000,-33305000,-33305000,184591000,179305000,17842000,17842000,58120000,16608000,41512000,260553000,1560829000,1787756000,1550003000,237753000,3348585000,3609138000,69693000,15973000,29093000,24627000,5e+06,58201000,54966000,3235000,132894000,3334201000,123592000,123592000,3457793000,3590687000,2258973000,-2252057000,-617000,6299000,18451000,3609138000,-33437000,78136000,21772000,-2933000,63538000,-40969000,-43311000,-2389000,-86669000,-1250000,-73096000,-673000,-75019000,-98150000,-98150000,-294000,-98444000,105707000,3339201000,62196000,0.70466,0.15706,-0.18972,-1.80505,-0.00923,-1.86747,1.96061,194.60663,0.92521,-0.29845,-0.29845,1.57309,0.05645,0.55734,-0.00957,0.01787,29.84296,114.41769
"8","2012_Q1",45.6196774193548,"Up",183819000,-50263000,133556000,-101576000,-15797000,-79441000,-6338000,31980000,-60820000,-42241000,-18579000,-28840000,-28840000,-329000,-29169000,-29169000,-29081000,-29081000,53089000,47316000,22100000,22100000,54167000,14246000,39921000,129356000,1583393000,1893650000,1639784000,253866000,3477043000,3606399000,68852000,12755000,32351000,23746000,5e+06,53029000,49779000,3250000,126881000,3349485000,129282000,129282000,3478767000,3605648000,2269341000,-2281139000,485000,-11313000,751000,3606399000,-29169000,79441000,25338000,-12979000,62631000,-30232000,-169965000,-441000,-200638000,1250000,7550000,-2825999.99999994,5974000,-132033000,-132033000,43999.9999999999,-131989000,111421000,3354485000,68539000,0.72656,0.17398,-0.1582,-38.72304,-0.00806,-2.35683,1.01951,4801.12916,0.93015,-0.26059,-0.26059,1.6472,-0.10138,0.61418,-0.00835,0.01967,29.62993,103.23315
"9","2012_Q2",51.397619047619,"Up",192490000,-52193000,140297000,-100008000,-17215000,-82100000,-693000,40289000,-61613000,-42201000,-19412000,-21324000,-21324000,-1327000,-22651000,-22651000,-22631000,-22631000,531303000,525554000,23916000,23916000,49401000,14932000,34469000,604620000,1575262000,1906747000,1644434000,262313000,3482009000,4086629000,57505000,13123000,24670000,19712000,5e+06,51428000,47809000,3619000,113933000,3565226000,135854000,135854000,3701080000,3815013000,2562115000,-2303770000,1227000,259572000,271616000,4086629000,-22651000,82100000,22913000,-16322000,66040000,-24852000,-51148000,110000,-75890000,198459000,289665000,-33000,488091000,478241000,478241000,-3000,478238000,122389000,3570226000,82542000,0.72885,0.2093,-0.11757,-0.0833200000000076,-0.00554,-3.6473,5.3068,14.045610000001,0.87364,-0.2028,-0.2028,1.7249,2.32602,0.73966,-0.00569,0.02075,24.83003,75.42811
"10","2012_Q3",57.8188888888889,"Up",229147000,-66205000,162942000,-128204000,-17744000,-93998000,-16462000,34738000,-87119000,-43865000,-43254000,-52381000,-52381000,-2453000,-54834000,-53454000,-53472000,-53472000,91755000,86739000,26249000,26249000,185160000,25150000,35010000,303164000,2066765000,2423731000,2121389000,302342000,4490496000,4793660000,73012000,16833000,24708000,31471000,918006000,59814000,54515000,5299000,1050832000,3091382000,159189000,159189000,3250571000,4301403000,2837189000,-2357242000,248000,480195000,492257000,4793660000,-54834000,93998000,49483000,-5918000,82729000,-23435000,-900243000,-1286000,-924964000,198213000,7818000,196110000,402141000,-440094000,-438714000,-101000,-438815000,128736000,4009388000,101836000,0.71108,0.1516,-0.23335,-0.10863,-0.01115,-1.90447,0.2885,8.73812,0.83639,-0.45948,-0.45948,1.96906,4.12631,0.87508,-0.01147,0.02185,30.43153,112.77658
