"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.35078125,"Up",576012000,-46311000,-10583000,-13477000,-22251000,39343000,-6165000,-6542000,377000,33178000,-29160000,4018000,-155000,3863000,3863000,5068000,5068000,-8093500.79752375,-8093500.79752375,66859760.2433958,66859760.2433958,-10006473.576594,27433334.1360193,27433334.1360192,76193120.0052974,750469545.791945,829515349.329543,-79045803.5375981,372120683.468116,661453638.555791,123986878.570067,325046000,212420759.985724,1784043867.81585,1860236987.82115,107212902.30616,10357696.3841016,96855205.9220581,107212902.30616,346048329.50457,7170324.33915992,16660347.8871585,-9490023.54799853,353218653.84373,460431556.149889,1399805431.67124,1399805431.67126,1399805431.67126,1860236987.82115,3863000,13477000,5116000,905000,23361000,-1692000,-883000,-2575000,21100000,-44861000,-23761000,-2975000,-2975000,-2975000,52820000,0,52188000,0.0683,0.0088,-0.310308818418453,-0.12859104340158,10.29755,1.03641042328942,-0.530380184577806,0.157998734143836,0.04134,0.04134,4.69911,11.4196142365355,0.42575,-0.150430434770671,0.0519167299455488,-82.8374632873885,-76.5089265233553
"2","2011_Q1",11.6232258064516,"Up",602243000,-130634000,-89728000,-13080000,-27826000,-37775000,-7985000,-9418000,1433000,-45760000,-28129000,-73889000,-761000,-74650000,-74650000,-74650000,-74650000,5762000,5762000,171550000,171550000,55428000,19798000,19798000,252538000,265056000,373339000,-108283000,343434000,645707000,120175000,325046000,200486000,1254197000,1506735000,206714000,165978000,40736000,206714000,6.1e+08,20757000,15193000,5564000,630757000,837471000,669264000,669264000,669264000,1506735000,-74650000,13080000,74971000,42988000,56389000,-3582000,3041000,-333003000,1.84e+08,-21029000,279318000,2704000,2704000,2704000,-24695000,6.1e+08,15472000,-0.06272,-0.12395,-0.11154,-0.04954,-0.20726,1.22168,1.25133,0.40485,-0.609,-0.609,4.9131,5.45986,0.12622,-0.05742,0.0119,-24.46803,-15.99571
"3","2011_Q2",11.8085714285714,"Up",689798000,-51543000,-8054000,-13903000,-29586000,41116000,-5502000,-8699000,3197000,35614000,-28284000,7330000,-3e+05,7030000,7030000,7030000,7030000,8247416.93250792,8247416.93250792,215630663.252201,215630663.252201,83118157.8588647,19031221.9546602,19031221.9546603,326027459.998234,153320401.402685,271546300.223486,-118225898.820801,331511188.843961,635655370.481403,114959790.476644,325046000,195649580.004759,1120486960.72805,1446514420.72628,243331865.897947,213458351.205299,29873514.6926473,243331865.897947,683258890.165143,22798141.8869467,14537217.3709472,8260924.51599951,706057032.05209,949388897.950037,497125522.776253,497125522.776247,497125522.776247,1446514420.72628,7030000,13903000,4222000,-27260000,-2105000,-5489000,2263000,-3420000,29500000,-25582000,3918000,-1607000,-1607000,-1607000,55019000,0,22570000,0.05961,0.01019,-0.00876122719384909,-0.00625215219947324,3.21053,1.33211735890353,1.71275339485927,0.464305421952055,0.05735,0.05735,5.62737,4.05555525448817,0.18413,-0.006817355076443,0.0177619233514837,2.51246359579617,9.63684467445177
"4","2011_Q3",10.9028125,"Down",762790000,-52897000,-8379999.99999999,-14253000,-30264000,56349000,-8419000,-9011000,592000,47930000,-30418000,17512000,-154000,17358000,17358000,17358000,17358000,5434000,5434000,225776000,225776000,88820000,22212000,22212000,342242000,256475000,374284000,-117809000,335404000,628642000,108663000,325046000,194933000,1220521000,1562763000,245330000,202332000,42998000,245330000,6.56e+08,19970000,14247000,5723000,675970000,921300000,641463000,641463000,641463000,1562763000,17358000,14253000,-9235000,-10849000,11527000,-3839000,4874000,1034999.99999997,16500000,-27783000,-11283000,1279000,1279000,1279000,70602000,6.56e+08,56068000,0.07387,0.02276,0.02706,0.01111,3.2301,1.39503,1.43625,0.41977,0.14161,0.14161,6.22284,5.23306,0.4574,0.01318,0.04256,9.21455,11.5453
"5","2011_Q4",11.4968253968254,"Up",830200000,-53985000,-8905000,-14944000,-30136000,65860000,-9372000,-8960000,-412000,56488000,-37228000,19260000,-172000,19088000,19088000,19088000,19088000,4376000,4376000,223797000,223797000,89730000,25460000,25460000,343363000,394965000,511899000,-116934000,331703000,621172000,101323000,325046000,194803000,1347840000,1691203000,237562000,180994000,56568000,237562000,617900000,20099000,13715000,6384000,637999000,875561000,815642000,815642000,815642000,1691203000,19088000,14944000,-8068000,3760000,29724000,-1385000,1569000,-143305000,-38100000,-34346000,112523000,-1058000,-1058000,-1058000,80804000,617900000,83351000,0.07933,0.02299,0.0234,0.01129,4.36667,1.44536,1.07346,0.36536,0.15572,0.15572,6.77278,6.65401,0.67998,0.01313,0.05734,7.59274,9.31558
"6","2012_Q1",13.5966129032258,"Up",155009000,-64376000,-8519000,-19061000,-36796000,57416000,-9131000,-9101000,-30000,48285000,-42233000,6052000,1843000,7895000,7773000,7773000,7773000,10817000,10817000,237989000,237989000,101124000,26174000,26174000,376104000,416925000,541138000,-124213000,326947000,610868000,93356000,325046000,192466000,1354740000,1730844000,249428000,199357000,50071000,249428000,659300000,29478000,12549000,16929000,688778000,938206000,792638000,792638000,792638000,1730844000,7773000,19090000,3028000,-10730000,19161000,-10855000,4238000,-26607000,41400000,-27513000,13887000.0000001,6441000,6441000,6441000,76506000,659300000,53078000,0.3704,0.05015,0.00981,0.00449,6.82851,1.50787,1.18365,0.38091,0.06341,0.06341,1.26456,6.46634,0.43301,0.00525,0.03583,8.47624,11.29446
"7","2012_Q2",13.5222222222222,"Down",960717000,-55150000,-9592000,-14779000,-30779000,69698000,-7104000,-10596000,3492000,62594000,-42968000,19626000,-22000,19604000,19604000,19604000,19604000,14324000,14324000,293871000,293871000,103432000,30504000,30504000,442131000,485683000,617611000,-131928000,536749000,605712000,88444000,325046000,192222000,1628144000,2070275000,294885000,251849000,43036000,294885000,789181000,35620000,12512000,23108000,824801000,1119686000,950589000,950589000,950589000,2070275000,19604000,14779000,-2655000,-11806000,19922000,-47114000,4217000,-282015000,129900000,-33824000,265600000,3507000,3507000,3507000,84477000,789181000,25579000,0.07255,0.02041,0.02062,0.00947,1.30478,1.49933,1.17789,0.3812,0.15993,0.15993,7.83753,7.75491,0.20867,0.01104,0.01441,9.1724,11.11735
"8","2012_Q3",14.6790476190476,"Up",1013431000,-56847000,-9967000,-15830000,-31050000,73408000,-9181000,-10228000,1047000,64227000,-45739000,18488000,96000,18584000,18584000,18584000,18584000,15042000,15042000,231526000,231526000,72978000,22177000,22177000,341723000,512252000,652178000,-139926000,547896000,598479000,83525000,325046000,189908000,1658627000,2000350000,235781000,189105000,46676000,235781000,795953000,35314000,12110000,23204000,831267000,1067048000,933302000,933302000,933302000,2000350000,18584000,15830000,2287000,42656000,79357000,-32610000,2177000,-48322000.0000001,6799999.99999999,-37014000,-30317000,718000,718000,718000,89238000,795953000,99188000,0.07244,0.01834,0.01991,0.00929,5.33728,1.44932,1.1433,0.39791,0.15161,0.15161,8.26757,7.61388,0.80918,0.01053,0.05621,8.75088,10.63795
"9","2012_Q4",15.97,"Up",1041837000,-54456000,-10375000,-14838000,-29243000,75982000,-6441000,-9873000,3432000,69541000,-46864000,22677000,8517000,31194000,31194000,31194000,31194000,15461000,15461000,318892000,318892000,67298000,25616000,25616000,427267000,535951000,684663000,-148712000,547925000,596012000,79140000,325046000,191826000,1679888000,2107155000,318379000,254688000,63691000,318379000,833924000,26919000,11598000,15321000,860843000,1179222000,927933000,927933000,927933000,2107155000,31194000,14838000,-6790000,4417000,43659000,-36311000,3512000,-38440000,3.8e+07,-42800000,-4800000,419000,419000,419000,90820000,833924000,50409000,0.07293,0.02994,0.03362,0.0148,1.61598,1.34201,1.27081,0.39576,0.25448,0.25448,8.49931,7.57008,0.41124,0.01744,0.02818,9.01192,10.7718
"10","2013_Q1",20.4385,"Up",351376000,-140558000,-11903000,-15703000,-112952000,292000,-3852000,-10226000,6374000,-3560000,30901000,27341000,614000,27955000,26937000,26937000,26937000,11282000,11282000,270925000,270925000,87050000,34777000,34777000,404034000,565281000,723225000,-157944000,549235000,591114000,75065000,325046000,191003000,1705630000,2109664000,312651000,258053000,54598000,312651000,850895000,29623000,13810000,15813000,880518000,1193169000,916495000,916495000,916495000,2109664000,26937000,15719000,4108000,-398000.000000004,46366000,-29648000,3495000,-32830000,1.7e+07,-34715000,-17715000,-4179000,-4179000,-4179000,16011000,850895000,-14649000,0.000829999999999984,0.07666,0.02939,0.01277,-0.543819999999999,1.29228,1.30188,0.40333,0.21975,0.21975,2.86653,7.47677,-0.11951,0.01499,-0.00815,52.43976,2875.38699
