"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.1453125,"Up",-13265000,-3892000,-8862000,-511000,-13265000,-33000,-33000,-13298000,-2059000,-15357000,-15357000,-15357000,-15357000,-15357000,124625251.932276,19351377.1390844,105273874.793192,-4332091.17110055,-4332091.17110055,121777393.319824,2163996.05830162,1870020.53568651,1870156.11416499,4034020.36424102,125811413.684065,11263563.7935813,11263563.7935813,20290108.3275361,19299758.7671977,19299794.8174764,20391807.0905421,40681915.4180782,293677406.745095,-208414087.268854,-133821.21025449,85129498.2659872,85129498.2659872,125811413.684065,-15357000,511000,3542000,241000,-11063000,-60000,8970000,8910000,-369000,-3000,-3000,-372000,-2525000,-2525000,-2525000,-12754000,0,-0.03111434103825,-0.0649770588845162,6.49372541657679,0.273071241806892,0.0232142379247524,-0.55371,-0.55371,3.52606964576072,-0.0750470117450896,8.92773977188626,8.64143248444949
"2","2011_Q1",5.89951612903226,"Up",-17458000,-3823000,-13154000,-481000,-16536000,1255000,-22000,-15281000,-946000,-16227000,-15088000,-15088000,-15088000,-15088000,107445000,29572000,77873000,2236000,2236000,109681000,2604000,267000,267000,2871000,112552000,8290000,8290000,16223000,30351000,30351000,31395000,47618000,290654000,-225692000,-28000,64934000,64934000,112552000,-15088000,481000,2551000,34421000,22365000,-189000,-42428000,-42617000,-359000,28086000,28086000,27727000,7475000,7475000,7475000,-16055000,2337000,-0.23236,-0.13405,6.76083,0.73333,0.02076,-0.54401,-0.54401,2.34125,-0.15456,6.54675,6.35631
"3","2011_Q2",6.98396825396825,"Up",-15965000,-4402000,-11125000,-438000,-9999000,81000,11000,-9918000,-3432000,-13350000,-13350000,-13350000,-13350000,-13350000,93442499.3559079,30077374.2869719,63365125.068936,3903280.39036685,3903280.39036685,97812785.5600585,2342501.31389946,-79840.1785621712,-79885.3713883293,2262659.87858633,100075445.438645,7028145.40213956,7028145.40213956,15601213.8908213,32045413.7442674,32045401.7275079,32812064.3031526,48413278.1939739,291513031.084968,-239849804.243715,-1059.59658183659,51662167.2446709,51662167.2446709,100075445.438645,-13350000,438000,4850000,-5244000,-13306000,-71000,11790000,11719000,-353000,30000,30000,-323000,-1910000,-1910000,-1910000,-9561000,0,-0.297789386320583,-0.151692647038495,6.15887152780774,0.955605419397703,0.0194002540250825,-0.38697,-0.38697,1.63096511807976,-0.17802599608497,5.65397674270458,5.4959950051835
"4","2011_Q3",5.19171875,"Down",-18764000,-6720000,-11618000,-426000,-14724000,5000,5000,-14719000,2078000,-12641000,-12641000,-12641000,-12641000,-12641000,83046000,25789000,57257000,3076000,3076000,88099000,1922000,267000,267000,2189000,90288000,7019000,7019000,16878000,28385000,28385000,28803000,45681000,296304000,-251683000,-14000,44607000,44607000,90288000,-12641000,426000,1806000,-198000,-10607000,-111000,8840000,8729000,-313000,318000,318000,5000,-1873000,-1873000,-1873000,-14298000,1671000,-0.28339,-0.14001,5.21975,1.02408,0.01851,-0.36608,-0.36608,1.29181,-0.16931,5.69136,5.52669
"5","2011_Q4",3.25301587301587,"Down",-18932000,-4841000,-13712000,-379000,-13134000,-1000,-1000,-13135000,3376000,-9759000,-9759000,-9759000,-9759000,-9759000,69528000,22810000,46718000,3038000,3038000,76394000,1759000,714000,714000,2473000,78867000,8098000,8098000,18625000,23349000,23349000,23453000,42078000,298256000,-261442000,-25000,36789000,36789000,78867000,-9759000,379000,-1435000,-2173000,-12988000,-216000,10528000,10312000,-314000,11000,11000,-303000,-2979000,-2979000,-2979000,-12755000,1357000,-0.26527,-0.12374,4.10169,1.14377,0.01721,-0.27899,-0.27899,1.05172,-0.1587,5.34465,5.19042
"6","2012_Q1",5.75161290322581,"Up",-18660000,-3917000,-14401000,-342000,-13030000,-3000,-3000,-13033000,742000,-12291000,-8662000,-8662000,-8662000,-8662000,55702000,25668000,30034000,5903000,5903000,66648000,2438000,709000,709000,3147000,69795000,9708000,9708000,19256000,20947000,20947000,20947000,40203000,299692000,-270104000,4000,29592000,29592000,69795000,-8662000,342000,694000,-4895000,-12521000,-1022000,16714000,15692000,-313000,0,0,-313000.000000002,2858000,2858000,2858000,-12688000,1044000,-0.29271,-0.12411,3.46115,1.35858,0.01496,-0.25276,-0.25276,0.86351,-0.16792,4.30785,4.19478
"7","2012_Q2",4.94730158730159,"Down",-18519000,-4095000,-14004000,-420000,-10745000,-16000,-16000,-10761000,-2376000,-13137000,-13137000,-13137000,-13137000,-13137000,108196000,24523000,83673000,2789000,2789000,115286000,5073000,442000,442000,5515000,120801000,8449000,8449000,17765000,21663000,21663000,22260000,40025000,363980000,-283241000,37000,80776000,80776000,120801000,-13137000,420000,3791000,887000,-8039000,-3082000,-53606000,-56688000,682000,62900000,62900000,63582000,-1145000,-1145000,-1145000,-10325000,1726000,-0.16263,-0.10875,6.4895,0.49551,0.01429,-0.34674,-0.34674,2.13199,-0.12612,10.31186,9.90879
"8","2012_Q3",5.32825396825397,"Up",-19984000,-5819000,-13723000,-442000,-9347000,122000,101000,-9225000,-118000,-9343000,-9343000,-9343000,-9343000,-9343000,95772000,28858000,66914000,2658000,2658000,105667000,5489000,442000,442000,5931000,111598000,9067000,9067000,17812000,20121000,20121000,20619000,38431000,365734000,-292584000,17000,73167000,73167000,111598000,-9343000,442000,1875000,-4105000,-11131000,-857000,16739000,15882000,-413000,-2999.99999999255,-2999.99999999255,-415999.999999978,4335000,4335000,4335000,-8905000,1314000,-0.12769,-0.08372,5.93235,0.52525,0.01177,-0.19934,-0.19934,1.56106,-0.09876,10.6073,10.1057
"9","2012_Q4",5.03612903225806,"Down",-16916000,-4995000,-11499000,-422000,-16916000,73000,73000,-16843000,553000,-16290000,-16290000,-16290000,-16290000,-16290000,106215000,24273000,81942000,3077000,3077000,112476000,5293000,442000,442000,5735000,118211000,9428000,9428000,9930000,31124000,31124000,31522000,41452000,385596000,-308874000,37000,76759000,76759000,118211000,-16290000,422000,1046000,7622000,-7200000,-228000,-15008000,-15236000,-413000,18264000,18264000,17851000,-4585000,-4585000,-4585000,-16494000,9e+05,-0.21222,-0.1378,11.32689,0.54003,0.00761,-0.33578,-0.33578,1.58221,-0.14975,6.38505,6.22576
"10","2013_Q1",3.38016666666667,"Down",-15923000,-4455000,-11047000,-421000,-15923000,69000,69000,-15854000,2594000,-13260000,-10015000,-10015000,-10015000,-10015000,99122000,33971000,65151000,2270000,2270000,104617000,5029000,442000,442000,5471000,110088000,8845000,8845000,9243000,31326000,31326000,31625000,40868000,388095000,-318889000,14000,69220000,69220000,110088000,-10015000,421000,-1146000,3366000,-7374000,-157000,16768000,16611000,-203000,663999.999999996,663999.999999996,461000.000000007,9698000,9698000,9698000,-15502000,697000,-0.14468,-0.09097,11.31851,0.59041,0.00633,-0.20443,-0.20443,1.41295,-0.09892,6.34918,6.18131
