"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",38.6219047619048,"Up",8.41e+08,-6.81e+08,-6.81e+08,1.6e+08,-1.39e+08,-6.9e+07,-7e+07,2.1e+07,-4e+06,-1.2e+07,-1.2e+07,-8e+06,1.6e+07,1.7e+07,7e+06,2.4e+07,-1.7e+07,7e+06,5e+06,5e+06,5e+06,-3909985504.5234,-4453488024.75349,543502520.230091,541460931.618857,541460931.618857,67974776.929108,-403854153.426744,361761739.357938,81417391.798598,-1154348562.94128,-3704403949.40218,-2655447941.09195,998953544.011077,-26896195.1710749,-733815230.293756,103448400.036374,-352336870.011294,955807505.097602,-1683390592.25195,-5387794541.65413,2855726166.71268,1791274803.97701,1064451362.73566,626375589.025658,3482056937.11435,-4930440455.68308,192508943.32027,192508943.32027,-4737931512.36281,-1255874575.24846,-6927115391.45009,2091153670.61728,708527893.317215,-4128433827.28318,-3486139.12248823,-4131919966.40566,-5387794541.65413,7e+06,5e+06,7e+07,-1.7e+07,6e+07,-3.7e+07,-4e+07,-1.2e+07,-8.9e+07,-2e+06,191597332.353902,-1e+06,-3e+06,-3.2e+07,-3.1e+07,1.2e+07,-1.9e+07,9.1e+07,0,0.19025,0.02497,0.00595,0.223528746173183,0.153886250061095,-22.7206380410707,0.477188409941379,-0.391449547108147,0.02874,0.02873,4.83434,-13.148923737093,0.168021360007727,87.2350746868912,900.638778066907
"2","2010_Q3",37.01640625,"Down",8.89e+08,-7.06e+08,-7.06e+08,1.83e+08,-1.24e+08,-5.8e+07,-6.6e+07,5.9e+07,-2.9e+07,-1.2e+07,-1.2e+07,-1.1e+07,-5999999.99999999,3e+07,-1.1e+07,1.9e+07,-7.45058059692383e-09,1.9e+07,2.4e+07,2.5e+07,2.5e+07,-792492752.2617,-1324744012.37675,532251260.115045,327230465.809429,327230465.809429,86487388.464554,-16927076.713372,204880869.678969,23708695.899299,-420674281.470641,-395701974.701089,941776029.454025,563476772.005539,787551902.414463,-144407615.146878,102724200.018187,-107668435.005647,936903752.548801,2292804703.87403,1897102729.17294,1551363083.35634,875137401.988506,676225681.367832,292187794.512829,1843528468.55718,-1606220227.84154,518254471.660135,518254471.660135,-1087965756.18141,755562712.375769,-802557695.725043,1692576835.30864,246763946.658607,1135783086.35841,5756930.43875589,1141540016.79717,1897102729.17294,2.5e+07,2.4e+07,6.6e+07,3.3e+07,1.24e+08,-5.3e+07,-2.98e+08,9.2e+07,-2.59e+08,-2e+06,1e+06,-1e+06,-2e+06,-1.37e+08,-1.38e+08,8999999.99999999,-1.29e+08,1.25e+08,0,0.20585,0.06637,0.02812,0.0948893730865915,0.0652781250305475,-7.82526902053536,0.459379204970689,-0.0957947735540736,0.14358,0.14351,5.10575,11.1380831314535,0.0712606800038637,33.2526123434456,353.503449033454
"3","2010_Q4",41.2909375,"Up",8.79e+08,-7.31e+08,-7.31e+08,1.48e+08,-1.36e+08,-6.8e+07,-6.8e+07,1.2e+07,3.2e+07,-1.6e+07,-1.6e+07,-4e+06,5.2e+07,4.4e+07,2e+06,4.6e+07,-1.7e+07,2.9e+07,3e+07,3e+07,3e+07,935502415.912767,409751995.874418,525750420.038348,224743488.603143,224743488.603143,96495796.1548513,176024307.762209,114293623.226323,2902898.63309968,-33224760.4902137,1432766008.43297,2796925343.15134,331158924.001846,1217517300.80482,165197461.617707,102241400.006062,17777188.3314511,932301250.8496,4345601567.95801,5778367576.39098,832454361.118779,362712467.329502,469741893.789277,119062598.170943,951509489.519058,108259924.05282,709751490.553378,709751490.553378,818011414.606198,1769520904.12526,2495147434.75832,1480192278.43621,23587982.2195358,3997927695.4528,10918976.8129186,4008846672.26572,5778367576.39098,3e+07,3e+07,6.8e+07,1.6e+07,1.16e+08,-6e+07,-1.51e+08,-5.7e+07,-2.68e+08,-2e+06,-1000000.00000001,0,-3e+06,-1.55e+08,-1.5e+08,-2.3e+07,-1.73e+08,8e+07,0,0.16837,0.01365,0.03413,0.0264631243621972,0.0181960416768492,0.349356993154881,0.433133068323563,0.0547584088153088,0.17227,0.17219,5.04738,24.2679777104845,0.0198502266679546,3.0019574478152,58.3786796778179
"4","2011_Q1",45.2790322580645,"Up",9.18e+08,-7.46e+08,-7.46e+08,1.72e+08,-1.56e+08,-8.1e+07,-7.5e+07,1.6e+07,-2.2e+07,-1.4e+07,-1.4e+07,-1.7e+07,9000000.00000001,-6e+06,5e+06,-1e+06,-3e+06,-4e+06,-4e+06,6e+06,6e+06,1.634e+09,1.11e+09,5.24e+08,1.99e+08,1.99e+08,1e+08,2.32e+08,7.3e+07,6e+06,1.06e+08,2.165e+09,3.453e+09,2.45e+08,1.38e+09,2.8e+08,1.02e+08,6.2e+07,9.36e+08,5.078e+09,7.243e+09,5.39e+08,1.45e+08,3.94e+08,5.7e+07,5.96e+08,7.14e+08,8.02e+08,8.02e+08,1.516e+09,2.112e+09,3.753e+09,1.404e+09,-3.8e+07,5.118e+09,1.3e+07,5.131e+09,7.243e+09,-4000000.00000001,-4e+06,7.5e+07,1e+07,1.5e+08,-1.6e+08,90999999.9999999,2.2e+07,-4.7e+07,-3.3e+07,0,2e+06,-3.1e+07,7.2e+07,9.4e+07,1e+07,1.04e+08,9.1e+07,7.71e+08,0.18736,0.01743,0.00654,0.00117,0.00083,3.63255,0.41162,0.10645,0.03444,0.03429,5.2689,29.375,0.00089,-9.48352,-53.9375
"5","2011_Q2",41.4350793650794,"Down",8.75e+08,-7.17e+08,-7.17e+08,1.58e+08,-1.41e+08,-7e+07,-7.1e+07,1.7e+07,-7e+06,-1.3e+07,-1.3e+07,3e+06,3e+06,1e+07,6e+06,1.6e+07,-6e+06,1e+07,1e+07,1e+07,1e+07,1.663e+09,1.136e+09,5.27e+08,2.15e+08,2.15e+08,9.9e+07,2.08e+08,6.4e+07,2e+07,9.5e+07,2.185e+09,3.453e+09,2.48e+08,1.392e+09,2.85e+08,1.02e+08,6.3e+07,9.42e+08,5.093e+09,7.278e+09,5.11e+08,1.13e+08,3.98e+08,5.6e+07,5.67e+08,7.12e+08,8.3e+08,8.3e+08,1.542e+09,2.109e+09,3.758e+09,1.414e+09,-1.5e+07,5.156e+09,1.3e+07,5.169e+09,7.278e+09,1e+07,1e+07,7.1e+07,-4e+07,4.1e+07,-2.8e+07,-7e+06,-4e+06,-3.9e+07,2.4e+07,-296887414.340518,2281642.77236947,2.4e+07,2.6e+07,2.6e+07,0,2.6e+07,8.8e+07,7.68e+08,0.18057,0.01943,0.01143,0.00193,0.00137,3.85362,0.40801,0.10552,0.0574,0.05731,5.02215,29.59339,0.00148,-10.17045,-52.64706
"6","2011_Q3",35.015625,"Down",9.36e+08,-7.38e+08,-7.38e+08,1.98e+08,-1.43e+08,-7.1e+07,-7.2e+07,5.5e+07,-2.1e+07,-1.4e+07,-1.4e+07,2e+06,-9e+06,3.4e+07,3e+06,3.7e+07,999999.999999999,3.8e+07,3.8e+07,3.9e+07,3.9e+07,1.397e+09,8.76e+08,5.21e+08,2.33e+08,2.33e+08,9.6e+07,1.72e+08,6.8e+07,2.7e+07,4.7e+07,1.898e+09,3.451e+09,2.78e+08,1.37e+09,2.82e+08,1.02e+08,4.8e+07,9.38e+08,5.099e+09,6.997e+09,5.72e+08,1.46e+08,4.26e+08,5.5e+07,6.27e+08,7.14e+08,8.22e+08,8.22e+08,1.536e+09,2.163e+09,3.37e+09,1.451e+09,2e+06,4.822e+09,1.2e+07,4.834e+09,6.997e+09,3.6e+07,3.6e+07,7.2e+07,6.1e+07,1.69e+08,-7.2e+07,-1999999.99999999,1.2e+08,-3.1e+07,1e+06,-3.96e+08,-3e+06,-3.98e+08,-2.6e+08,-2.6e+08,0,-2.6e+08,1.27e+08,7.69e+08,0.21154,0.05876,0.04167,0.00807,0.00557,3.02711,0.44746,0.1099,0.22954,0.22922,5.5089,28.38023,0.00607,-4.94488,-11.41818
"7","2011_Q4",34.3534920634921,"Down",8.97e+08,-7.11e+08,-7.11e+08,1.86e+08,-1.33e+08,-5.8e+07,-7.5e+07,5.3e+07,-2.9e+07,-1.5e+07,-1.5e+07,1e+06,-1.5e+07,2.4e+07,-1.8e+07,6e+06,5e+06,1.1e+07,1.1e+07,1.2e+07,1.2e+07,1.196e+09,6.9e+08,5.06e+08,2.18e+08,2.18e+08,9.3e+07,1.81e+08,6.8e+07,1.4e+07,6e+07,1.688e+09,3.99e+09,2.78e+08,1.431e+09,3.56e+08,1.02e+08,5.5e+07,9.18e+08,5.699e+09,7.387e+09,5.62e+08,1.35e+08,4.27e+08,3999999.99999999,5.66e+08,1.221e+09,8.13e+08,8.13e+08,2.034e+09,2.6e+09,3.376e+09,1.465e+09,-6.4e+07,4.776e+09,1.1e+07,4.787e+09,7.387e+09,1.3e+07,1.3e+07,7.5e+07,3.6e+07,1.28e+08,-9.8e+07,-1e+06,-2.5e+07,-7.35e+08,4.4e+08,0,-1e+07,4.3e+08,-1.77e+08,-1.77e+08,-9e+06,-1.86e+08,1.28e+08,1.225e+09,0.20736,0.05909,0.01338,0.00251,0.00162,2.98233,0.54314,0.16583,0.07254,0.07244,5.42215,28.86976,0.00176,0.22656,0.547170000000001
"8","2012_Q1",40.5322580645161,"Up",9.9e+08,-7.91e+08,-7.91e+08,1.99e+08,-1.71e+08,-8.4e+07,-8.7e+07,2.8e+07,-7e+06,-1.5e+07,-1.5e+07,-2e+06,1e+07,2.1e+07,3e+06,2.4e+07,2.8e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,1.122e+09,5.34e+08,5.88e+08,2.25e+08,2.25e+08,8.7e+07,1.57e+08,7.8e+07,2.9e+07,2.7e+07,1.591e+09,4.043e+09,2.8e+08,1.593e+09,3.59e+08,1.02e+08,1.97e+08,9.35e+08,5.916e+09,7.507e+09,5.64e+08,1.44e+08,4.2e+08,4e+06,5.68e+08,1.221e+09,8.9e+08,8.9e+08,2.111e+09,2.679e+09,3.382e+09,1.517e+09,-8e+07,4.818e+09,1e+07,4.828e+09,7.507e+09,5.2e+07,5.2e+07,8.7e+07,-1.21e+08,5.5e+07,-1.33e+08,-7.6e+07,2.7e+07,-2.1e+08,0,0,1.86264514923096e-09,-1.19209289550781e-07,-1.55e+08,-1.55e+08,-1e+06,-1.56e+08,1.15e+08,1.225e+09,0.20101,0.02828,0.05253,0.01077,0.00693,2.80106,0.55489,0.16318,0.31424,0.31198,5.98262,29.11543,0.00749,0.89565,3.67857
"9","2012_Q2",38.0501587301587,"Down",9.58e+08,-7.72e+08,-7.72e+08,1.86e+08,-1.79e+08,-9.3e+07,-8.6e+07,7e+06,-7e+06,-1.8e+07,-1.8e+07,-1e+06,1.2e+07,0,1.4e+07,1.4e+07,-4e+06,1e+07,1e+07,1e+07,1e+07,1.051e+09,5.42e+08,5.09e+08,2.67e+08,2.67e+08,8.6e+07,1.77e+08,8.2e+07,3.4e+07,3.8e+07,1.581e+09,4.04e+09,3e+08,1.641e+09,3.64e+08,1.02e+08,2.4e+08,9.35e+08,5.981e+09,7.562e+09,5.44e+08,1.3e+08,4.14e+08,4e+06,5.48e+08,1.22e+09,9.3e+08,9.3e+08,2.15e+09,2.698e+09,3.388e+09,1.527e+09,-6e+07,4.854e+09,1e+07,4.864e+09,7.562e+09,1e+07,1e+07,8.6e+07,-3.5e+07,6.1e+07,-9.5e+07,9.1e+07,-4.5e+07,-4.9e+07,0,0,0,0,1.2e+07,1.2e+07,-4e+06,8e+06,9.3e+07,1.224e+09,0.19415,0.00731,0.01044,0.00206,0.00132,2.88504,0.55469,0.16186,0.06041,0.06023,5.78764,29.32486,0.00142,1.86022,24.71429
"10","2012_Q3",36.8049206349206,"Down",1.014e+09,-7.82e+08,-7.82e+08,2.32e+08,-1.59e+08,-7e+07,-8.9e+07,7.3e+07,-1.2e+07,-1.7e+07,-1.7e+07,-1.16415321826935e-10,5e+06,6.1e+07,-4e+06,5.7e+07,-1.8e+07,3.9e+07,3.9e+07,3.9e+07,3.9e+07,9.06e+08,4.04e+08,5.02e+08,2.8e+08,2.8e+08,8.5e+07,1.69e+08,7.8e+07,3e+07,4.3e+07,1.44e+09,4.184e+09,3.17e+08,1.74e+09,3.76e+08,1.32e+08,2.44e+08,9.88e+08,6.241e+09,7.681e+09,6.07e+08,1.16e+08,4.91e+08,4e+06,6.11e+08,1.22e+09,9.67e+08,9.67e+08,2.187e+09,2.798e+09,3.392e+09,1.566e+09,-8.4e+07,4.873e+09,1e+07,4.883e+09,7.681e+09,3.9e+07,3.9e+07,8.9e+07,4.2e+07,1.7e+08,-6.2e+07,1.7e+07,-8e+07,-3.04e+08,0,3.72529029846191e-09,-3e+06,-3e+06,-1.37e+08,-1.37e+08,-1e+06,-1.38e+08,1.62e+08,1.224e+09,0.2288,0.07199,0.03846,0.00799,0.00508,2.35679,0.57301,0.15935,0.23501,0.23498,6.11031,29.36443,0.00551,1.96296,4.35616
