"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",0.132063492063492,"Down",2384069,-2021207,362862,-480930,-401288,-14448,-386840,-118068,2149,-115919,-115919,0,-115919,-115919,-115919,-115919,100954,100954,135283,135283,145067,78727,66340,381304,76077,76077,76077,457381,313570,93659,211909,68151,68151,381721,61887,443608,1644181,-1629401,-1007,13773,13773,457381,-115919,1027,13498,76099,-25295,-32250,-32250,59450,59450,59450,1905,1905,1905,-117041,61887,-73192,0.1522,-0.04952,-0.04862,-8.41639,-0.25344,0.63141,0.99891,32.20852,0.13531,-0.00121,-0.00121,0.0249,0.00014,-0.00076,-1.5321,-0.96738,0.33379,0.33089
"2","2014_Q3",0.13484375,"Up",3550011,-2978108,571903,-534105,-483900,-15502,-468398,37798,1133,38931,38931,-500.000000000007,38431,38431,38431,38431,205599,205599,194229,194229,167886,83132,84754,567714,75630,75630,75630,643344,387223,60170,318586,82565,82565,531675,0,531675,1702697,-1590970,-58.0000000000001,111669,111669,643344,38431,1198,54110,10708,104447,-750,-750,-7.27595761418343e-12,-7.27595761418343e-12,0,103697,103697,103697,38996,61887,49454,0.1611,0.01065,0.01083,0.344149999999997,0.05974,1.28683,1.06778,4.76117,0.0962,4e-04,4e-04,0.03697,0.00116,0.00051,0.22143,0.28495,-3.6853,-3.80211
"3","2014_Q4",0.11921875,"Down",3877289,-3225542,651747,-602347,-529517,-19825,-509692,49400,111,49511,49511,-2348,47163,47163,47163,47163,268703,268703,257418,257418,130855,65402,65453,656976,76956,76956,76956,733932,397058,61067,327059,57404,57404,516349,0,516349,1761422,-1543807,-32,217583,217583,733932,47163,4847,76456,-59215,69251,-6174,-6174,0,0,0,63077,63077,63077,54247,61887,-8794,0.16809,0.01274,0.01216,0.21676,0.06426,-0.18646,1.27235,2.37311,0.08432,0.00049,0.00049,0.04032,0.00226,-9e-05,0.16876,-0.03147,-3.81249,-4.18656
"4","2015_Q1",0.135409836065574,"Up",3557536,-2874893,682643,-618341,-544460,-26244,-518216,64302,-4335,59966.9999999999,59967.0000000001,74201,134168,134168,134168,134168,353374,353374,183026,183026,222181,74673,147508,758581,154589,154589,154589,913170,296109,79389,207323,141508,141508,499504,9.09494701772928e-13,499504,1824847,-1409639,-1542,413666,413666,913170,134168,7421,13838.0000000001,-59388,96039,-9858,-9858,0,0,9.09494701772928e-13,86181,86181,86181,71722.9999999999,61887,-71724,0.19189,0.01807,0.03771,0.32434,0.14693,-0.53458,1.51867,1.20751,0.06777,0.00139,0.00107,0.03682,0.00428,-0.00074,0.28213,-0.15082,-4.06407,-4.53309
"5","2015_Q2",0.440634920634921,"Up",3449241,-2877744,571497,-572896,-496293,-46357,-449936,-1399,3225,1826,1826,-18643,-16817,-16817,-16817,-16817,197623,197623,252790,252790,374870,163269,211601,825283,153843,153843,153843,979126,397050,101444,285748,206351,206351,665288,0,665288,1749706,-1426456,-9412,313838,313838,979126,-16817,5323,-160605,31927,-140172,-4577,-4577,-3132,-259.792315667541,-3132,-147881,-147881,-155751,3924,61887,49917,0.16569,-0.00041,-0.00488,-0.05358,-0.01718,-2.96825,1.24049,2.11985,0.06321,-0.00017,-0.00017,0.03539,0.00322,0.00051,-0.04476,0.13286,-34.59123,97.02359
"6","2015_Q3",0.3965625,"Down",5584963,-4767527,817436,-5810943,-5712111,-43006,-5669105,-4993507,2433,-4991074,-4991074,-7080,-4998154,-4998154,-4998154,-4998154,288294,288294,284178,284178,343357,130300,213057,915829,176416,176416,176416,1092245,469867,95096,364449,209534,209534,726288,0,726288,6806571,-6424610,-16004,365957,365957,1092245,-4998154,7824,5089834,43156,142660,-30397,-30397,-4.54747350886464e-13,-9.09494701772928e-13,-15000,97263.0000000001,97263.0000000001,90671,-4985683,46887,-4965844,0.14636,-0.8941,-0.89493,-13.65776,-4.57604,0.99354,1.26097,1.98463,0.04293,-0.05081,-0.05081,0.05678,0.00372,-0.05048,-12.10664,-12.02838,0.0484200000000072,0.0483399999999818
"7","2015_Q4",0.38390625,"Down",7419103,-6354951,1064152,446695,584696,-77011,661707,1510847,117,1510964,1510964,-1244,1509720,1509720,1517108,1517108,448904,448904,501249,501249,554637,153845,400792,1504790,173390,173390,173390,1678180,657860,69783,588077,399536,399536,1057396,0,1057396,5557929,-4907502,-24205,626222,620784,1678180,1509720,5863,-1272187,-26811,216585,-2847,-2847,0,0,-44927,168811,168811,160610,1516710,0,1488296,0.14343,0.20364,0.20449,2.44386,0.90402,0.98101,1.42311,1.70332,0,0.01526,0.01483,0.07462,0.0063,0.01497,2.44386,2.39745,-0.29597,-0.29712
"8","2016_Q1",0.402295081967213,"Up",6010999,-5125343,885656,742149.000000001,868476,-45082,913557.999999999,1627805,-6879,1620926,1620926,-76102,1544824,1544824,1558962,1558962,571814,571814,341643,341643,233064,84451,148613,1146521,110195,110195,110195,1256716,515597,89984,425613,148613,148613,664210,-3.5527136788005e-15,664210,6612283,-5991088,-9113,612082,592506,1256716,1544824,7294,-1440931,15926,127113,-19295,-19295,4.54747350886464e-13,0,0,107818,107818,122910,1635099,0,1707832,0.14734,0.2708,0.25935,2.63113,1.2405,1.09549,1.72614,1.12102,0,0.01559,0.01605,0.0601,0.00612,0.01707,2.63113,2.88239,-0.349710000000001,-0.35128
"9","2016_Q2",0.86390625,"Up",6986983,-5989924,997059,-1510530,-1367155,-77143,-1290012,-513471,7,-513464,-513464,-11603,-525067,-525067,-519487,-519487,424501,424501,526738,526738,447401,202941,244460,1398640,161596,161596,161596,1560236,660455,113304,547151,244460,244460,904915,0,904915,7294537,-6610955,-2105,681477,655321,1560236,-525067,12626,367538,55610,-89293,-64028,-64028,0,0,-1000,-154321,-154321,-147313,-500845,0,-497660,0.1427,-0.07349,-0.07435,-0.79272,-0.33295,0.95798,1.5456,1.38087,0,-0.00513,-0.00513,0.06902,0.00673,-0.00492,-0.79272,-0.75941,0.84757,0.82673
"10","2016_Q3",1.4803125,"Up",13083827,-11345050,1738777,-2257982,-2127964,-122285,-2005679,-519205,439,-518766,-518766,-13968,-532734,-532734,-526014,-526014,886193,886193,1021061,1021061,539932,190815,349117,2447186,233967,233967,233967,2681153,1090767,61662,1029105,349117,349117,1439884,0,1439884,13895031,-12616862,-4024,1274145,1241269,2681153,-532734,12929,1028070,40646,548911,-86300,-86300,999.999999999993,999.999999999993,1000.00000000001,463611,463611,461692,-506276,0,-537962,0.1329,-0.03968,-0.0402,-0.42377,-0.19619,1.02271,1.69957,1.16001,0,-0.00516,-0.00516,0.12842,0.01251,-0.00528,-0.42377,-0.4334,1.75041,1.70683
