"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",16.3112698412698,"Down",19932000,-6173000,13759000,-16188000,-12271000,-8605000,-3666000,-3917000,-2429000,-165000,-195000,-195000,30000,-2594000,-2594000,-35000,-2629000,-2629000,-2629000,-2629000,62296000,62296000,15995000,15995000,5785000,2559000,3226000,84076000,3128000,19587000,2738000,7839000,9010000,22715000,106791000,12935000,2967000,9968000,48109000,47556000,553000,61044000,1716000,1516000,94000,106000,1716000,62760000,131334000,-86990000,-313000,44031000,44031000,106791000,-2629000,1974000,814000,8067000,8226000,-393000,-393000,-393000,-1254000,-1647000,70338000,70338000,-290000,54548000,61127000,61127000,121000,61248000,-455000,0,7254000,0.6903,-0.12186,-0.1319,-0.05971,-0.02462,-2.75922,1.3773,1.42536,0,-0.17764,-0.17764,1.34682,2.97521,0.49016,-0.05747,0.15857,136.91429,25.64677
"2","2017_Q1",18.9162903225806,"Up",21280000,-6443000,14837000,-17434000,-13229000,-9188000,-4041000,-4205000,-2597000,20000,34000,-2.91038304567337e-11,-14000,-2577000,-2577000,-51000,-2628000,-2628000,-2628000,-2628000,60765000,60765000,17812000,17812000,4306000,1770000,2536000,82883000,2923000,22516000,3940000,9676000,8900000,25439000,108322000,11847000,2434000,9413000,51936000,51388000,548000,63783000,2187000,1246000,494000,447000,2187000,65970000,132273000,-89618000,-303000,42352000,42352000,108322000,-2628000,2067000,6571000,-3042000,2968000,-481000,-481000,-231000,-1200000,-3987000,2000,2000,-588000,-586000,-1605000,-1605000,74000,-1531000,-530000,0,-4002000,0.69723,-0.12204,-0.1235,-0.06205,-0.02426,1.52283,1.29945,1.55766,0,-0.09639,-0.09639,0.78049,1.55336,-0.14678,-0.059,-0.08985,114.65094,23.39815
"3","2017_Q2",23.8330158730159,"Up",22844000,-7654000,15190000,-21383000,-16106000,-10906000,-5200000,-5277000,-6193000,18000,50000,-1000,-32000,-6175000,-6175000,-27000,-6202000,-6202000,-6202000,-6202000,39679000,39679000,14988000,14988000,5733000,3083000,2650000,60400000,2687000,50872000,11023000,30932000,8917000,53559000,113959000,13471000,2630000,10841000,60526000,54496000,6030000,73997000,1937000,1382000,501000,54000,1937000,75934000,134107000,-95820000,-262000,38025000,38025000,113959000,-6202000,2933000,2456000,2272000,1459000,-223000,-223000,-223000,-1487000,-22945000,866000,866000,-298000,568000,-20918000,-20918000,-168000,-21086000,-3260000,0,-1184000,0.66494,-0.2711,-0.27149,-0.1631,-0.05442,0.19091,0.81625,1.99695,0,-0.22826,-0.22826,0.84075,1.39948,-0.04358,-0.1552,-0.02963,12.17147,6.40707
"4","2017_Q3",23.394126984127,"Down",25021000,-7239000,17782000,-21301000,-16122000,-11057000,-5065000,-5179000,-3519000,69000,75000,-2000,-6000,-3450000,-3450000,13000,-3437000,-3437000,-3437000,-3437000,45268000,32833000,21876000,21876000,6128000,3056000,3072000,73272000,2924000,50862000,10288000,31052000,9522000,53786000,127058000,13692000,3175000,10517000,63968000,58039000,5929000,77660000,2651000,1523000,574000,554000,2651000,80311000,146181000,-99257000,-177000,46747000,46747000,127058000,-3437000,2295000,2798000,-5474000,-3818000,-282000,-282000,-282000,-13589000,-14165000,11547000,11547000,-431000,11116000,-6867000,-6867000,21000,-6846000,-1224000,9.31322574615479e-10,-6993000,0.71068,-0.14064,-0.13736,-0.07352,-0.02705,2.03462,0.9435,1.71799,-3.46944695195361e-18,-0.12327,-0.12327,0.89741,1.67665,-0.25081,-0.06958,-0.14156,36.98366,12.86388
"5","2017_Q4",27.2471428571429,"Up",27312000,-8076000,19236000,-23627000,-18001000,-11626000,-6375000,-5626000,-4391000,81000,104000,-2000,-23000,-4310000,-4310000,79000,-4231000,-4231000,-4231000,-4231000,47657000,23628000,22273000,22273000,6641000,3564000,3077000,76571000,2844000,50704000,9499000,31343000,9862000,53548000,130119000,15004000,3223000,11781000,65359000,63040000,2319000,80363000,2582000,1455000,594000,533000,2582000,82945000,150642000,-103488000,20000,47174000,47174000,130119000,-4231000,2418000,4315000,4236000,6738000,-832000,-832000,-832000,-12671000,-13209000,1658000,1658000,-3933000,-2275000,-8746000,-8746000,-162000,-8908000,-1973000,0,1352000,0.70431,-0.16077,-0.15491,-0.08969,-0.03252,-0.31955,0.95281,1.75828,0,-0.15053,-0.15053,0.97173,1.6784,0.0481,-0.08503,0.02717,24.15459,10.85334
"6","2018_Q1",33.4654098360656,"Up",29175000,-8534000,20641000,-25823000,-19664000,-13409000,-6255000,-6159000,-5182000,-470000,-445000,-686000,-25000,-5652000,-5652000,-112000,-5764000,-5764000,-5764000,-5764000,145662000,102754000,31699000,31699000,6100000,2563000,3537000,183461000,2796000,50156000,8634000,31328000,10194000,52952000,236413000,15382000,2446000,12936000,71580000,70090000,1490000,86962000,3979000,2982000,482000,515000,93460000,180422000,165023000,-109252000,220000,55991000,55991000,236413000,-5764000,2561000,5470000,-1783000,484000,-330000,-330000,-330000,-20323000,-20653000,-90000,-90000,-2922000,99066000,78897000,78897000,229000,79126000,-2621000,89481000,-4622000,0.70749,-0.17762,-0.19757,-0.10295,-0.02438,0.80187,2.10967,3.22234,0.37849,-0.20374,-0.20374,1.03125,1.97911,-0.16337,-0.03857,-0.03093,21.43495,10.84157
"7","2018_Q2",42.55546875,"Up",30519000,-9660000,20859000,-31791000,-23620000,-15776000,-7844000,-8171000,-10932000,-1314000,-1116000,-1572000,-198000,-12246000,-12246000,-96000,-12342000,-12342000,-12342000,-12342000,152132000,103633000,22393000,22393000,12331000,4214000,8117000,186856000,2481000,57509000,7952000,31077000,18480000,59990000,246846000,21751000,3029000,18722000,70519000,68514000,2005000,92270000,3463000,2486000,512000,465000,94078000,186348000,173042000,-112497000,-47000,60498000,60498000,246846000,-12342000,2638000,8720000,8492000,7508000,-389000,-389000,-253000,-7431000,-8128000,2347000,2347000,-1106000,1241000,621000,621000,-39000,582000,-8294000,90615000,-95000,0.68348,-0.3582,-0.4044,-0.20401,-0.05,0.0077,2.0251,3.08023,0.36709,-0.43405,-0.43405,1.0733,2.12761,-0.00334,-0.07984,-0.00061,7.41705,5.62724
"8","2018_Q3",53.9396825396825,"Up",35822000,-11532000,24290000,-39841000,-27814000,-19179000,-8635000,-12027000,-15551000,-1178000,-1172000,-1572000,-6000,-16729000,-16729000,-189000,-16918000,-16918000,-16918000,-16918000,106022000,102599000,33064000,33064000,13226000,4949000,8277000,152312000,2722000,96411000,23842000,53048000,19521000,99133000,251445000,21158000,4154000,17004000,80208000,79417000,791000,101806000,5047000,3046000,922000,1079000,96802000,198608000,184683000,-129415000,-2431000,52837000,52837000,251445000,-16918000,3690000,12310000,-8042000,-8960000,-193000,-193000,-161000,43106000,7364000,4369000,4369000,-3181000,1188000.00000001,-408000,-408000,-626000,-1033999.99999999,-11861000,92195000,-19907000,0.67807,-0.43412,-0.47228,-0.32019,-0.06728,1.17668,1.4961,3.75888,0.36666,-0.58639,-0.58639,1.24162,1.83137,-0.68999,-0.11273,-0.13264,1.16575,0.88914
"9","2018_Q4",51.9119047619048,"Down",38925000,-12296000,26629000,-33828000,-23478000,-16348000,-7130000,-10350000,-7199000,-1165000,-1132000,-1592000,-33000,-8364000,-8364000,-86000,-8450000,-8450000,-8450000,-8450000,103127000,76271000,37033000,37033000,14644000,5353000,9291000,154804000,2918000,96866000,2.2e+07,53132000,21734000,99784000,254588000,21762000,4141000,17621000,83505000,82263000,1242000,105699000,8250000,6376000,885000,989000,101166000,206865000,187938000,-137865000,-2350000,47723000,47723000,254588000,-8450000,3844000,6153000,-871000,676000,-457000,-457000,-441000,-26037000,-26494000,3863000,3863000,-4269000,-406000,-26224000,-26224000,-81000,-26305000,-3355000,93348000,-4597000,0.68411,-0.18495,-0.21708,-0.17706,-0.03319,0.54402,1.46457,4.3347,0.36666,-0.28674,-0.28674,1.32087,1.61942,-0.15599,-0.05659,-0.03079,2.91475,1.35838
"10","2019_Q1",65.3029508196721,"Up",41828000,-13322000,28506000,-36915000,-26158000,-18305000,-7853000,-10757000,-8409000,-971000,-1084000,-1610000,113000,-9380000,-9380000,-425000,-9805000,-9805000,-9805000,-9805000,105519000,59978000,41107000,41107000,15889000,4890000,10999000,162515000,4650000,95015000,23197000,48382000,23353000,99665000,262180000,25392000,2719000,22673000,94228000,92738000,1490000,120047000,5878000,2898000,1032000,1948000,99975000,220022000,194896000,-147670000,-5068000,42158000,42158000,262180000,-9805000,3521000,8235000,2120000,4071000,-883000,-883000,-866000,-20272000,-21155000,1118000.00000001,1118000.00000001,-42000,1076000,-16008000,-16008000,-218000,-16226000,-4888000,94524000,-3226000,0.68151,-0.20104,-0.23441,-0.23258,-0.0374,0.32902,1.35376,5.21899,0.36053,-0.33042,-0.33042,1.40958,1.4207,-0.10871,-0.06878,-0.02263,2.24939,1.30753
