"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",273.959206349206,"Down",203393000,-158791000,44602000,-35107000,-29486000,-5621000,9495000,-5104000,-5104000,4391000,-29988000,-25597000,9776000,-15821000,-15821000,-15821000,-15821000,21131558.9126348,-28786883.4751793,49918442.387814,-10128772.8613256,62439863.5695904,62439863.5695904,73441008.3202322,294041270.43357,294041270.43357,-945894572.803455,333875417.499771,28963659.706825,305588157.080885,-317977884.870114,-244536876.549881,-177008047.791014,-177008047.791014,9798997.3153027,-158871043.093839,-159148864.627086,-224758910.727975,65610046.1008896,49854346.6525859,-109016696.441253,383124904.505896,-802321903.035681,263536410.137911,20140408.2832451,-135520180.108628,-135520180.108628,-244536876.549881,-15821000,5621000,20236000,-173000,9863000,-1940000,-16945000,18653000,-232000,-15570000,-1356000,-16896000,-7265000,-7265000,17000,-7248000,15116000,0,3227000,0.21929,0.04668,-0.07779,-1.30726912480344,-0.722315238159116,-0.20397,2.81114682019574,0.822651692975567,0.534577890497456,-10.00582,-10.00582,128.63368,-85.7079448624867,2.04088,-0.813919275544171,-1.5624462709707,217.842783559973,714.28595503783
"2","2017_Q3",226.292698412698,"Down",212954000,-168219000,44735000,-37088000,-31655000,-5433000,7647000,-5099000,-5099000,2548000,32495000,35043000,-13917000,21126000,21126000,21126000,21126000,46475279.4563174,10156058.2624104,36319221.193907,296113.569337223,39833431.7847952,39833431.7847952,86604004.1601161,296399135.216785,296399135.216785,-68447286.4017274,191841208.749886,49045829.8534125,143133578.540442,419793057.564943,506397061.725059,-16313023.8955069,-16313023.8955069,8185498.65765135,-3958521.54691952,-2328932.31354275,-40092455.3639876,37763523.0504448,236089673.326293,232131151.779373,383083452.252948,-587168951.51784,469329705.068956,9021704.14162255,274265909.945686,274265909.945686,506397061.725059,21126000,5433000,-22925000,2879000,6513000,-2319000,-6195000,0,-8514000,-603000.000000002,-1370000,-1973000,-3974000,-3974000,83000,-3891000,13080000,2.98023223876953e-08,27557000,0.21007,0.03591,0.0992000000000001,-0.536159562401719,-0.296417619079558,1.30441,1.69732341009787,0.831630846487784,0.371893945248728,13.36091,13.36091,134.68043,173.456612568757,17.42812,-0.333999637772086,-0.686518135485348,106.375551779987,343.165477518915
"3","2017_Q4",240.528888888889,"Up",214234000,-172191000,42043000,-37757000,-32480000,-5277000,4286000,-4974000,-4974000,-688000,-49238000,-49926000,25226000,-24700000,-24700000,-24700000,-24700000,61735759.8187725,33796019.4208035,27939740.397969,5593704.52311241,27069810.5949317,27069810.5949317,94399001.3867054,295044045.072262,295044045.072262,386844571.199424,114374069.583295,60965276.6178042,53521526.1801475,796262685.854981,890661687.241686,71284992.034831,71284992.034831,7123832.88588378,79798492.8176935,75983355.8954857,55981514.8786708,20001841.0168149,328082891.108764,407881383.926458,383058484.084316,-458224317.172613,555581235.022985,2364901.38054085,482780303.315229,482780303.315229,890661687.241686,-24700000,5277000,21522000,-1531000,568000,-981000,-17456000,17469000,-968000,-639000,-1377000,-2016000,-2416000,-2416000,45000,-2371000,9563000,0,-18175000,0.19625,0.02001,-0.11529,-0.139439854133906,-0.0771658730265193,0.73583,1.09986780336596,0.840856948829261,0.286967981749576,-15.62124,-15.62124,135.48995,305.329164189586,-11.49458,-0.0869332125906952,-0.204836045161783,45.6184705933289,133.318059172972
"4","2018_Q2",226.62703125,"Down",202225000,-159867000,42358000,-37596000,-32650000,-4946000,4762000,-4940000,-4940000,-178000,-2432999.99999999,-2610999.99999999,797000,-1814000,-1814000,-1814000,-1814000,69601000,45444000,24157000,7312000,21486000,21486000,98399000,291625000,291625000,545939000,84620000,66774000,17846000,922184000,1020583000,106708000,106708000,6524000,113232000,100656000,89387000,11269000,355644000,468876000,383046000,-394153000,563780000,-966000,551707000,551707000,1020583000,-1814000,4946000,2420000,-14997000,-9445000,-928000,-18340000,17492000,-1776000,-589000,-1400000,-1947000,-13168000,-13168000,35000,-13133000,9708000,261512000,-7014000,0.20946,0.02355,-0.00897000000000003,-0.00329,-0.00178,3.86659,0.869,0.84986,0.25624,-1.14724,-1.14724,127.89499,348.92106,-4.43593,-0.00198,-0.00768,19.76834,40.3005
"5","2018_Q3",191.391111111111,"Down",208739000,-161539000,47200000,-37766000,-32950000,-4816000,9434000,-5049000,-5049000,4385000,-12814000,-8429000,890000,-7539000,-7539000,-7539000,-7539000,72759000,48411000,24348000,6999000,20419000,20419000,100177000,287791000,287791000,534794000,85725000,68524000,17201000,908310000,1008487000,110878000,110878000,6296000,117174000,96557000,86048000,10509000,348583000,465757000,383042000,-373620000,535415000,-2107000,542730000,542730000,1008487000,-7539000,4816000,8085000,3618000,8980000,-3814000,-6632000,6508000,-3938000,-643000,-1349000,-1985000,3057000,3057000,-90000,2967000,14250000,258322000,13164000,0.22612,0.0452,-0.03612,-0.01389,-0.00748,-1.74612,0.85494,0.85817,0.25615,-4.76796,-4.76796,132.0147,343.24365,8.32543,-0.0084,0.01467,13.02196,19.6696
"6","2018_Q4",147.511428571429,"Down",203582000,-162283000,41299000,-36419000,-31641000,-4778000,4880000,-4958000,-4958000,-78000,-24824000,-24902000,11199000,-13703000,-13703000,-13703000,-13703000,76135000,48345000,27790000,6558000,22471000,22471000,105164000,281605000,281605000,496655000,90591000,68304000,22287000,868851000,974015000,107423000,107423000,6058000,113481000,86733000,76568000,10165000,332116000,445597000,383042000,-374091000,521712000,-2245000,528418000,528418000,974015000,-13703000,4778000,10402000,-6596000,-5119000,-3148000,-32508000,43591000,7935000,-593000,-1272000,-1865000,951000.000000002,951000.000000002,-8000,943000,9658000,251441000,-11285000,0.20286,0.02397,-0.06731,-0.02593,-0.01407,0.823539999999998,0.92671,0.84327,0.25815,-8.66631,-8.66631,128.75321,334.19219,-7.13707,-0.01581,-0.01302,18.15138,35.92336
"7","2019_Q1",131.478360655738,"Down",195348000,-156919000,38429000,-34769000,-29991000,-4778000,3660000,-4937000,-4937000,-1277000,53974000,52697000,-10249000,42448000,42448000,42448000,42448000,82417000,48557000,33860000,7537000,24979000,24979000,114933000,274716000,274716000,557480000,82364000,68166000,14198000,914560000,1029493000,117265000,117265000,5720000,122985000,96052000,86871000,9181000,336053000,459038000,383042000,-374231000,564160000,-2516000,570455000,570455000,1029493000,42448000,4778000,-26896000,5932000,26262000,-7316000,-1162000,-19033000,-27511000,-550000,-1183000,-1733000,-2982000,-2982000,-15000,-2997000,8438000,245721000,17303000,0.19672,0.01874,0.21729,0.07441,0.04123,0.40763,0.93453,0.80469,0.23868,26.84577,26.84577,123.54571,360.77803,10.94309,0.04653,0.01897,19.3534,44.61858
"8","2019_Q2",119.434920634921,"Down",181859000,-153397000,28462000,-38462000,-32991000,-5471000,-1e+07,-5067000,-5067000,-15067000,26629000,11562000,-1744000,9817999.99999999,9817999.99999999,9817999.99999999,9817999.99999999,71811000,31093000,40718000,6544000,14238000,14238000,92593000,296513000,296513000,591520000,148077000,67806000,80271000,1036110000,1128703000,121500000,121500000,7030000,140553000,142451000,79699000,62752000,406796000,547349000,383042000,-374345000,575477000,-2820000,581354000,581354000,1128703000,9817999.99999999,5471000,-39615000,14289000,-10037000,-3244000,-63510000,61300000,-5454000.00000001,-550000,-1418000,-1968000,-17459000,-17459000,-5000,-17464000,-4529000,271375000,8260000,0.15651,-0.05499,0.05399,0.01689,0.0087,0.84131000000001,0.65878,0.94151,0.24043,6.20929,6.20929,115.01474,367.67098,5.22395,0.00987,0.0083,-44.06359,-19.9564
"9","2019_Q3",98.9440625,"Down",168343000,-132391000,35952000,-33494000,-28288000,-5206000,2458000,-5153000,-5153000,-2695000,30565000,27870000,-5896000,21974000,21974000,21974000,21974000,69138000,27662000,41476000,5166000,13443000,13443000,87747000,296694000,296694000,622066000,148162000,67820000,80342000,1066922000,1154669000,130442000,130442000,6924000,149284000,137214000,74952000,62262000,403023000,552307000,383042000,-375507000,597451000,-2624000,602362000,602362000,1154669000,21974000,5206000,-35652000,10214000,1742000,-2604000,-32811000,32250000,-3165000,-550000,-1466000,-2016000,-3439000,-3439000,8000,-3431000,7664000,272733000,21170000,0.21356,0.0146,0.13053,0.03648,0.01903,0.96341,0.58779,0.9169,0.2362,13.89722,13.89722,106.46669,380.95726,13.38873,0.02171,0.02091,26.56511,82.82954
"10","2019_Q4",101.92890625,"Up",160216000,-116507000,43709000,-28106000,-20592000,-7514000,15603000,-5024000,-5024000,10579000,-11210000,-630999.999999993,614000,-17000.0000000075,-17000.0000000075,-17000.0000000075,-17000.0000000075,62824000,19058000,43766000,4651000,22502000,22502000,89977000,355489000,355489000,561479000,147005000,67227000,79778000,1063973000,1153950000,138822000,138822000,7005000,157589000,129984000,56562000,73422000,394841000,552430000,383042000,-375704000,597434000,-3252000,601520000,601520000,1153950000,-17000.0000000075,7514000,42198000,-1541000,48154000,-1694000,4394000,-6300000,-54657000,-550000,-1469000,-2019000,-8522000,-8522000,-32000,-8554000,23117000,271862000,19268000,0.27281,0.09739,-0.000110000000000027,-3e-05,-1e-05,-1133.41176,0.57096,0.91839,0.23559,-0.0107499999999998,-0.0107499999999998,101.32686,380.42475,12.18584,-2e-05,0.0192,9.04261,13.3973
"11","2020_Q1",98.2485483870968,"Down",158420000,-109094000,49326000,-29666000,-18279000,-11387000,19660000,-5014000,-5014000,14646000,1694000,16340000,-2735000,13605000,13605000,13605000,13605000,112628000,67772000,44856000,4674000,28089000,28089000,145391000,350627000,350627000,505542000,137749000,27349000,70360000,993918000,1139309000,121079000,121079000,7103000,139817000,120012000,54230000,65782000,383194000,523011000,382926000,-374857000,611039000,-2810000,616298000,616298000,1139309000,13605000,11387000,53925000,-25093000,53824000,-5560000,86109000,-87250000,-6706000,-550000,-1457000,-2007000,45111000,45111000,24000,45135000,31047000,270285000,3129000,0.31136,0.1241,0.08588,0.02208,0.01194,0.22999,1.03987,0.84863,0.23724,8.60433,8.60433,100.191,389.77093,1.9789,0.01352,0.00311,5.07801,8.01918
"12","2020_Q2",64.3488888888889,"Down",135700000,-93498000,42202000,-27289000,-17227000,-10062000,14913000,-4274000,-4274000,10639000,-192354000,-181715000,43830000,-137885000,-137885000,-137885000,-137885000,114533000,33281000,81252000,4001000,24249000,24249000,142783000,337625000,337625000,318689000,148531000,78780000,69751000,804845000,947628000,133840000,133840000,164632000,310210000,77662000,15689000,61973000,158228000,468438000,382926000,-373768000,473154000,-3122000,479190000,479190000,947628000,-137885000,10062000,189186000,-10886000,50477000,-4649000,-26685000,-133522863.03025,-65574000,-17883000,-1525000,-19408000,-34505000,-34505000,14000,-34491000,24975000,245198000,-34390000,0.31099,0.1099,-1.0161,-0.28775,-0.14551,0.249409999999968,0.46028,0.97756,0.25875,-87.20386,-87.20386,85.82198,303.05848,-21.74958,-0.17192,-0.04288,5.23183,8.76182
"13","2020_Q3",82.07921875,"Up",96502000,-70095000,26407000,-24792000,-17845000,-6947000,1615000,-3635000,-3635000,-2020000,59250000,57230000,-14764000,42466000,42466000,42466000,42466000,121223000,36438000,84785000,3019000,25279000,25279000,149521000,328758000,328758000,369129000,141410000,75307000,66103000,839297000,988818000,129460000,129460000,160083000,301593000,86748000,28798000,57950000,164675000,466268000,382926000,-373676000,515620000,-2320000,522550000,522550000,988818000,42466000,6947000,2108000,-3313000,48208000,-3567000,-34219000,-124856930.890434,-37786000,-3856000,-892000,-4748000,5674000,5674000,-17000,5657000,8562000,238010000,16446000,0.27364,0.01674,0.44005,0.08127,0.04295,0.38727,0.49577,0.89229,0.2407,26.85716,26.85716,61.03163,330.48103,10.40109,0.05012,0.01941,13.64015,72.31393
"14","2020_Q4",102.7134375,"Up",101835000,-39205000,62630000,-27177000,-19902000,-7275000,35453000,-3743000,-3743000,31710000,-4991999.99999997,26718000,-5617000,21101000,21101000,21101000,21101000,118246000,33164000,85082000,2908000,21773000,21773000,142927000,320966000,320966000,383670000,136038000,75656000,60382000,840674000,983601000,117888000,117888000,159631000,288190000,81094000,30130000,50964000,157193000,445383000,382926000,-379453000,536721000,-1976000,538218000,538218000,983601000,21101000,7275000,-9012000,-11682000,7682000,-1167000,61776000,-69330000,-8721000,-490000,-1735000,-2225000,-3264000.00000001,-3264000.00000001,-10000,-3274000,42728000,235730000,35496000,0.61501,0.34814,0.20721,0.03921,0.02145,1.68219999999999,0.49595,0.82751,0.23966,13.3451,13.3451,64.40443,340.39009,22.44906,0.02468,0.04151,2.74958,3.3138
"15","2021_Q1",125.655409836066,"Up",99646000,-54713000,44933000,-29324000,-21386000,-7938000,15609000,-3884000,-3884000,11725000,35841000,47566000,-11237000,36329000,36329000,36329000,36329000,119364000,24503000,94861000,2737000,6492000,6492000,147778000,316122000,316122000,419550000,134518000,77839746.3248812,56857000,870190000,1017968000,90892000,90892000,169626000,288447000,164693000,41346000,123347000,164693000,453140000,382926000,-389617000,573050000,-1531000,564828000,564828000,1017968000,36329000,7938000,-34224000,1146000,11189000,-6904000,-7755000,-8e+05,-17406000,-1050000,-1678000,-2728000,-8945000,-8945000,23000,-8922000,23547000,169626000,29026000,0.45093,0.15664,0.36458,0.06432,0.03569,0.79898,0.51232,0.80226,0.16663,22.97588,22.97588,63.02002,357.21929,18.35718,0.0404,0.03228,2.13454,3.22007
"16","2021_Q2",153.916507936508,"Up",94288000,-48509000,45779000,-22718000,-15540000,-7178000,23061000,-2741000,-2741000,20320000,73403000,93723000,-22016000,71707000,71707000,71707000,71707000,127865000,28438000,99427000,2590000,23201000,23201000,153656000,317432000,317432000,356795000,132003000,77273000,54730000,806230000,959886000,120304000,120304000,14850000,135154000,185592000,64649000,120943000,185592000,320746000,382926000,-386568000,644757000,-1975000,639140000,639140000,959886000,71707000,7178000,88384000,-1971000,165298000,-4698000,-1082000.00000001,-3e+06,-8780000,-149952000,-2609000,-152561000,3957000,3957000,-22000,3935000,30239000,14850000,45586000,0.48552,0.24458,0.76051,0.11219,0.0747,0.63573,1.1369,0.50184,0.01547,45.35031,45.35031,59.63141,404.2171,28.83037,0.08541,0.0543,-3.73739,-4.9007
"17","2021_Q3",168.228125,"Up",90787000,-44870000,45917000,-25798000,-18419000,-7379000,20119000,-1537000,-1537000,18582000,-45517000,-26935000,6198000,-20737000,-20737000,-20737000,-20737000,124306000,28212000,96094000,3523000,24450000,24450000,152279000,340710000,340710000,311878000,129028000,77376000,51652000,781616000,933895000,99974000,99974000,16776000,141926000,72869000,60909000,11960000,178477000,320403000,382926000,-391594000,624020000,-1860000,613492000,613492000,933895000,-20737000,7379000,39431000,-4163000,21910000,-19391000,-2868000,-1800000,-24059000,0,-575000,-575000,-2724000,-2724000,-2000,-2726000,27498000,122384000,-2254000,0.50577,0.22161,-0.22841,-0.0338,-0.0222,0.10869,1.07295,0.52226,0.13105,-13.11489,-13.11489,57.41725,387.99631,-1.42552,-0.02564,-0.00278999999999999,-0.069900000000001,-0.0955300000000001
"18","2021_Q4",155.02828125,"Down",82083000,-44624000,37459000,-24571000,-16889000,-7682000,12888000,-1462000,-1462000,11426000,-26369000,-14943000,4274000,-10669000,-10669000,-10669000,-10669000,126801000,27795000,99006000,3102000,6763000,6763000,160551000,352822000,352822000,273089000,132909000,77179000,55730000,758820000,919371000,100898000,100898000,17230000,142832000,177973000,57910000,120063000,177973000,320805000,382926000,-395802000,613351000,-1909000,598566000,598566000,919371000,-10669000,7682000,27159000,-134999.999999999,24037000,-19648000,-3295000,4800000,-22943000,1.49011611938477e-08,-1450000,-1449999.99999999,-356000,-356000,-61000,-417000,20570000,17230000,-3487000,0.45636,0.15701,-0.12998,-0.01782,-0.0116,0.326829999999999,1.12405,0.53596,0.01874,-6.74748999999999,-6.74748999999999,51.9125,378.55652,-2.20532,-0.01344,-0.00439,-5.32674,-8.50178
"19","2022_Q1",134.152903225806,"Down",98948000,-42233000,56715000,-32981000,-25170000,-7811000,23734000,-1420000,-1420000,22314000,-31892000,-9578000,4755000,-4823000,-4823000,-4823000,-4823000,125410000,42349000,83061000,3803000,7088000,7088000,164809000,349351000,349351000,250399000,130248000,77010000,53238000,729998000,894807000,100467000,100467000,16898000,143641000,163470000,46533000,116937000,163470000,307111000,382926000,-401851000,608528000,-1907000,587696000,587696000,894807000,-4823000,7811000,18045000,-3511000,17522000,-10711000,15468000,-12300000,-2743000,0,-1571000,-1571000,13208000,13208000,21000,13229000,31545000,16898000,12568000,0.57318,0.23986,-0.04874,-0.00821,-0.00539,-2.60585,1.14737,0.52257,0.01888,-3.05025,-3.05025,62.57858,371.68191,7.94849,-0.00628,0.01636,-3.43991,-4.57201
"20","2022_Q2",134.005322580645,"Down",85372000,-40124000,45248000,-24095000,-16224000,-7871000,21153000,-1412000,-1412000,19741000,-20210000,-469000,170999.999999999,-298000,-298000,-298000,-298000,132927000,45777000,87150000,4376000,8067000,8067000,167797000,347609000,347609000,242368000,128080000,76854000,51226000,718057000,885854000,99761000,99761000,17057000,143136000,155421000,41763000,113658000,155421000,298557000,382926000,-401721000,608230000,-2138000,587297000,587297000,885854000,-298000,7871000,6053000,7466000,21092000,-9184000,-3893000,-3e+06,-16077000,200043433.784844,-1564000,-1564000,3451000,3451000,-23000,3428000,29024000,17057000,27135000,0.53001,0.24777,-0.00349,-0.00051,-0.00034,-91.05705,1.17229,0.50836,0.01925,-0.18847,-0.18847,53.99259,371.42957,17.16123,-0.00039,0.03571,-3.99221,-5.47771
"21","2022_Q3",125.24390625,"Down",92367000,-40475000,51892000,-24382000,-16582000,-7800000,27510000,-1385000,-1385000,26125000,-122614000,-96489000,22709000,-73780000,-73780000,-73780000,-73780000,112283000,40512000,71771000,3458000,7744000,7744000,150427000,343878000,343878000,151753000,127294000,76379000,50915000,622925000,773352000,94176000,94176000,17019000,138284000,129332000,17765000,111567000,129332000,267616000,382926000,-408481000,534450000,-3159000,505736000,505736000,773352000,-73780000,7800000,84851000,-5759000,13112000,-7120000,6764000,-16386000,-16742000,750082301.354531,-1570000,-1570000,-5200000,-5200000,-65000,-5265000,35310000,17019000,-278000,0.5618,0.29783,-0.79877,-0.14589,-0.0954,0.00377,1.08781,0.52916,0.02201,-46.66135,-46.66135,58.4165,319.8472,-0.17582,-0.11314,-0.000429999999999993,-2.69793,-3.46289
