"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2015_Q3",872587.52953125,"Down",63142,-16957,46185,-3214671,-1463383,-1300156,-1751288,-3168486,-1921088,-1936611,15523,-5089574,-5262675,-5262675,-5262675,-5262675,-5421963,12379078,12379078,306724,154348,149114,12869537,866236,988399,13857936,797508,349097,448411,1946807,1573214,2744315,2744315,29724457,-18610836,11113621,11113621,13857936,-5262675,2408868,-2837930,-5691737,-1486012,17324472,11632735,11632735,11632735,0,0.73145,-50.18032,-85.86936,-0.48787,-0.39125,4.68953,0.24693,0,-236392.71006,-236392.71006,2752.93441,484543.87955,-0.48787,3.90694
"2","2015_Q4",581166.1409375,"Down",77666,-36634,41032,-2796005,-1556174,-1390429,-1239831,-2754973,-205698,-163595,-42103,-2960671,-2960671,-2960671,-2960671,-2960671,-2960671,10377483,10377483,256129,460379,353944,11102689,834387,5538633,16641322,925124,276767,648357,1436712,1100000,3815866,8275520,29937309,-21571507,8365802,8365802,16641322,-2960671,321209,-715887,-3355349,5843804,5856454,-2001595,-2001595,-2001595,5912024,0.52831,-35.47206,-38.12055,-0.3539,-0.17791,2.90961,0.98921,0.35526,-85739.47937,-85739.47937,2249.16663,242269.2383,-0.20734,1.62087
"3","2016_Q1",497717.170491803,"Down",55186,-35568,19618,-3862584,-1800895,-1555079,-2061689,-3842966,-287855,-284049,-3806,-4130821,-4130821,-4130821,-4130821,-4130821,-4130821,7697531,7697531,229871,470513,324083,8453782,829232,3951395,12405177,1372896,574462,798434,826936,575000,3907731,8006080,30101425,-25702328,4399097,4399097,12405177,-4130821,291828,-96090,-3929928,-250024,-250024,-2679952,-2679952,-2679952,5802927,0.35549,-69.63661,-74.8527,-0.93902,-0.33299,2.16335,1.81994,0.46778,-119925.52741,-119925.52741,1602.1537,127714.08586,-0.40477,0.49301
"4","2016_Q2",387683.29703125,"Down",38146,-18368,19778,-3704539,-1952798,-1788385,-1751741,-3684761,-299443,-284236,-15207,-3984204,-3984204,-3984204,-3984204,-3984204,-3984204,7214052,7214052,269631,628289,625743,8124768,907077,3850500,11975268,1143630,559860,583770,429065,150000,3692425,7326731,34335069,-29686532,4648537,4648537,11975268,-3984204,234665,-786197,-4527858,-178740,3951362,-483479,-483479,-483479,5749055,0.51848,-96.59626,-104.44618,-0.85709,-0.3327,2.20039,1.57614,0.48008,-101243.35043,-101243.35043,969.33512,118124.84012,-0.383,0.39758
"5","2016_Q3",354171.97296875,"Down",24143,-8641,15502,-3423856,-1470209,-1416159,-1953647,-3408354,-249121,-254758,5637,-3657475,-3657475,-3657475,-3657475,-3657475,-3657475,3875044,3875044,276624,850230,850230,5021010,916007,2182467,7203477,1067560,413816,653744,412666,150000,2945939,5638161,34909323,-33344007,1565316,1565316,7203477,-3657475,263418,-390694,-3775197,-1676963,-1228231,-3339008,-3339008,-3339008,4151293,0.64209,-141.17359,-151.49215,-2.33657,-0.50774,1.70438,3.60193,0.57629,-83868.90055,-83868.90055,553.61879,35893.9793,-0.63906,-0.08105
"6","2016_Q4",199709.624920635,"Down",50357,-9858,40499,-3219322,-1252194,-1115312,-1967128,-3178823,-236667,-235191,-1476,-3415490,-3415490,-3415490,-3415490,-3415490,-3415490,1813411,1813411,276227,1983860,655207,4078461,900976,1023139,5101600,854387,443729,410658,396235,150000,3096723,5374636,36486461,-36759497,-273036,-273036,5101600,-3415490,376466,-359459,-3383452,-155717,1172043,-2061633,-2061633,-2061633,4117215,0.80424,-63.12574,-67.82553,12.5093,-0.66949,1.31702,-19.68472,0.80704,-71642.10606,-71642.10606,1056.27056,-5727.10623,-0.88691,-0.72473
"7","2017_Q1",208811.087096774,"Up",28877,-15099,13778,-3327825,-1793477,-1663382,-1534348,-3314047,-211364,-211364,0,-3525411,-3676611,-3676611,-3676611,-3676611,-3676611,950979,950979,412754,1186345,302694,2555041,885945,1008108,3563149,1099522,517000,582522,1173655,949201,4192852,6017334,37981923,-40436108,-2454185,-2454185,3563149,-3676611,543863,390506,-2727211,-477286,1387492,-862432,-862432,-862432,3737201,0.47713,-114.76424,-127.3197,1.4981,-1.03184,0.60938,-2.45187,1.04885,-67367.16591,-67367.16591,529.11816,-44968.44732,-2.85015,-0.84073
"8","2017_Q2",172904.144603175,"Down",822410,-16145,806265,-4681867,-3426415,-3303503,-1255452,-3875602,-178624,-180072,1448,-4054226,-4715358,-4715358,-4715358,-4715358,-4715358,1205061,1205061,392640,983770,387912,2581471,870914,993077,3574548,2731841,1465494,1266347,3699867,3491609,8425723,9765540,38960474,-45151466,-6190992,-6190992,3574548,-4715358,985940,3425667,-288720,-490101,52701,-236019,-236019,-236019,3326718,0.98037,-4.71249000000002,-5.73359000000001,0.76165,-1.31915,0.30638,-1.57738,0.93067,-78774.1717,-78774.1717,13739.07698,-103425.92584,1.65037,-0.54744
"9","2017_Q3",117581.928888889,"Down",896521,-24762,871759,-3222012,-2295221,-2137990,-926791,-2350253,-156129,-156129,0,-2506382,-1805642,-1805642,-1805642,-1805642,-1805642,2760848,2760848,396175,791331,360501,3960545,855883,978046,4938591,4304775,3443924,860851,3985689,2349226,10362110,11205357,40690342,-46957108,-6266766,-6266766,4938591,-1805642,-400708,1013828,-1177491,1198352,2712086,1534595,1534595,1534595,2907622,0.97238,-2.62153,-2.01405,0.28813,-0.36562,0.38221,-1.78806,0.58876,-29085.20954,-29085.20954,14441.12462,-100944.81753,0.5387,-0.06245
"10","2017_Q4",40033.5015873016,"Down",1100214,-206228,893986,-4586075,-3734467,-3070702,-851608,-3692089,-479560,-464684,-14876,-4171649,-7430849,4759844,4759844,4759844,4759844,220590,220590,1831662,1430818,609506,4242247,840852,55745808,59988055,9790633,7857404,1933229,4434326,3395289,16026186,28177735,74007584,-42197264,31810320,31810320,59988055,4759844,-8384167,299604,-3028577,-1169513,2545659,-2028965,-2028965,-2028965,12962227,0.81256,-3.35579,4.32629,0.14963,0.0793499999999999,0.26471,0.8858,0.21608,20154.01121,20154.01121,4658.49832,134690.45325,0.10401,-3.45106
"11","2018_Q1",38148.5655737705,"Down",1542041,-633270,908771,-6110887,-4875283,-2735452,-1235604,-5202116,-306770,-408747,101977,-5508886,-21198007,-20207458,-20207458,-20207458,-20207458,520698,520698,2072817,737922,497373,3799095,1222068,39830111,43629206,9559065,7354932,2204133,3076305,2898916,15385767,26368204,79661462,-62404722,17261002,17261002,43629206,-20207458,15229960,-610789,-5330152,839168,5369428,27983,27983,27983,13732834,0.58933,-3.37353,-13.10436,-1.1707,-0.46316,0.24692,1.52762,0.31476,-53724.52066,-53724.52066,4099.74444,45879.59973,-0.65198,-2.53976
"12","2018_Q2",34919.7434375,"Down",804356,-464161,340195,-5468456,-4710590,-2998400,-757866,-5128261,-304522,-602022,297500,-5432783,-5696637,-5696637,-5696637,-5696637,-6691637,7808324,7808324,2328520,367749,365335,10867402,1213564,39399940,50267342,4829653,3162179,1667474,898643,898643,9384395,20259695,89104742,-68101359,30007647,30007647,50267342,-5696637,970842,-5225459,-9621693,9620803,16676677,7048457,7048457,7048457,14531399,0.42294,-6.37561,-8.31925,-0.223,-0.13312,1.15803,0.67515,0.28908,-12230.41293,-12230.41293,1470.13444,38388.22204,-0.15024,-1.31099
"13","2018_Q3",15522.25,"Down",883846,-608024,275822,-7354896,-5750010,-3059748,-1604886,-7079074,-696598,-711802,15204,-7775672,-7657183,-7657183,-7657183,-7657183,-7657183,2411473,2411473,2844505,1036540,966084,6876130,1198424,39280134,46156264,7637208,5000748,2636460,742493,742493,12369805,23137968,89772806,-75758542,23018296,23018296,46156264,-7657183,508714,1421980,-5396820,-1,-31,-5396851,-5396851,-5396851,14758267,0.31207,-8.0094,-8.66348,-0.33266,-0.1659,0.55588,1.0052,0.31975,-10623.43792,-10623.43792,1226.23204,19443.13773,-0.2027,-1.74413
"14","2018_Q4",6835.37507936508,"Down",1132067,-736733,395334,-6901546,-5420380,-2703628,-1481166,-6506212,-862504,-872044,9540,-7368716,-6138352,-6138352,-6138352,-6138352,-6138352,726128.999999999,726128.999999999,2550034,3197179,1765234,7502012,775975,38620138,46122150,10500360,6450354,4050006,1104232,1104232,16136544,26797570,92217442,-81896894,19324580,19324580,46122150,-6138352,1247607,1750618,-2810241,5e+05,1124897,-1685344,-1685344,-1685344,15192978,0.34921,-5.7472,-5.42225,-0.31764,-0.13309,0.46491,1.38671,0.32941,-9682.6081,-9682.6081,1785.71726,16279.58476,-0.17783,-2.22354
"15","2019_Q1",3931.81967213115,"Down",1595876,-956828,639048,-7538648,-6227818,-3515446,-1310830,-6899600,-449370,-442817,-6553,-7348970,-12653885,-12653885,-12653885,-12653885,-11658885,2568191,2568191,3342177,1243890,1237772,8149941,760617,32892004,41041945,10353701,5414260,4939441,11459546,11459546,26658822,26658822,99929870,-94550779,14383123,14383123,41041945,-12653885,6294158,1127762,-4902078,-138311,6744140,1842062,1842062,1842062,4845575,0.40044,-4.32339,-7.30563,-0.81059,-0.28407,0.30571,1.85348,0.11806,-6416.72366,-6416.72366,878.32544,2960.50098,-0.60633,-0.33007
"16","2019_Q2",2891.78571428571,"Down",1590000,-865000,725000,-6500000,-5079000,-3514000,-1421000,-5775000,-541000,-547000,6000,-6316000,-8304000,-8304000,-8304000,-8304000,-8304000,2571778,2571778,2960048,868466,866170,7315050,745405,33347483,40662533,10544605,6563892,3980713,12947174,12947174,24750325,24866653,109650528,-102854650,15795880,15795880,40662533,-8304000,2649000,1753000,-3465000,7e+05,3469000,4000,4000,4000.00000000047,1258546,0.45597,-3.63208,-5.22264,-0.52571,-0.20422,0.29555,1.57425,0.03095,-3798.18012,-3798.18012,727.2527,3108.37774,-0.48361,0.2274
"17","2019_Q3",414.26375,"Down",1705000,-1260000,445000,-7068000,-5370000,-3197000,-1698000,-6623000,-3642000,-3657000,15000,-10265000,-16721000,-16721000,-16721000,-16721000,-16721000,1606627,1606627,2393233,1251308,822796,7348381,737317,28718566,36066947,11663904,6390289,5273615,5608028,5608028,20835000,28710970,117931742,-119575767,7355977,7355977,36066947,-16721000,10910000,70000,-5305000,4247000,4347000,-965000,-965000,-965000,11322710,0.261,-3.88446,-9.80704,-2.27312,-0.46361,0.35269,3.90308,0.31394,-3398.95522,-3398.95522,346.58326,-334.18859,-0.88965,-1.46702
"18","2019_Q4",161.393125,"Down",973000,-948000,24999.9999999999,-6111000,-4804000,-3106000,-1307000,-6086000,-1325000,-1353000,28000,-7411000,-7545000,-7555000,-7555000,-7555000,-11683000,2069534,2069534,2322137,1563458,1563458,7548660,720345,28077884,35626544,8116118,4752097,3364021,452046,452046,8568164,15246625,138101348,-127130832,20379919,20379919,35626544,-7555000,2951000,-4375000,-8547000,9439000,9003000,463000,463000,463000,6678461,0.0256899999999999,-6.25488,-12.00719,-0.57326,-0.32793,0.88101,0.74812,0.18746,-397.119720000001,-397.119720000001,33.07348,372.9015,-0.43177,-0.7573
"19","2020_Q1",147.555806451613,"Down",1507000,-743000,764000,-6579000,-5185000,-3685000,-1394000,-5815000,-142000,-174000,32000,-5957000,-5959000,-5959000,-5959000,-5959000,-8018000,3495000,3495000,2129000,2206000,1263000,9522000,710000,26888000,36410000,8274000,5352000,2922000,340000,340000,15392000,15842000,151942000,-133090000,20568000,20568000,36410000,-5959000,1507000,880000,-3140000,3334000,4953000,1813000,1813000,1813000,7228000,0.50697,-3.85866,-5.3205,-0.38983,-0.22021,0.61863,0.77023,0.19852,-155.63472,-155.63472,29.25187,365.92987,-0.28846,-0.64196
"20","2020_Q2",110.825238095238,"Down",869000,-676000,193000,-6200000,-4618000,-3149000,-1582000,-6007000,-281000,-199000,-82000,-6288000,-7936000,-7936000,-7936000,-7936000,-8416000,1215000,1215000,2704000,1838000,1074000,6840000,707000,26436000,33276000,8906000,5597000,3309000,230000,230000,16268000,16668000,145867000,-141026000,16608000,16608000,33276000,-7936000,2696000,511999.999999999,-4296000,2023000,2023000,-2280000,-2280000,-2280000,7532000,0.22209,-6.91254,-9.6847,-0.50674,-0.25292,0.42046,1.00361,0.22635,-125.38288,-125.38288,12.9465,72.12197,-0.34863,-1.05161
