"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.08703125,"Down",12931000,-8174000,4757000,-7926000,-5806000,-2937000,-2869000,-224000,-1896000,-3169000,88000,88000,-3081000,-3016000,-3062000,-3062000,-3062000,-3062000,8428676.20046292,8428676.20046328,9957772.4185605,9957772.4185605,1816576.33750882,1454081.23461601,20203024.9565322,939907.417115594,16338788.0964638,4595462.47123755,66652.1650249447,15265246.1639676,35468271.1204998,5010115.95448723,-618506.815869681,5628622.77035691,5928143.0609593,367961.385446474,367961.385446474,5368156.8490566,11296299.9100159,304842520.724652,-280670549.514169,24171971.2104839,24171971.2104839,35468271.1204998,-3062000,223000,432000,-520000,-2927000,-625000,-10625000,0,7000,7000,7000,-13545000,-13545000,-13545000,-2946000,0,0.36788,-0.24507,-0.2368,-0.328136791311916,-0.198408783632681,3.2252874733064,0.46930367809443,0.140274669466438,-0.33289,-0.31448,1.40579,2.59792819167189,-0.265266235937694,19.9040174535893,404.089691356914
"2","2011_Q1",5.42387096774194,"Up",14660000,-8905000,5755000,-9045000,-6157000,-3007000,-3150000,-498000,-2390000,-3290000,12000,12000,-3278000,-3210000,-3298000,-3298000,-3298000,-3298000,8819000,8819000,9067000,9067000,1197000,797000,19083000,1733000,16016000,4258000,81000,18749000,37832000,8708000,3713000,4995000,9272000,457000,457000,5457000,14729000,305402000,-282299000,23103000,23103000,37832000,-3298000,499000,547000,1666000,-586000.000000001,-683000,-1083000,0,156000,156000,156000,-1513000,-1513000,-1513000,-2791000,5e+06,0.39256,-0.22442,-0.22497,-0.14275,-0.08717,2.05813,0.63754,0.13216,-0.35854,-0.33872,1.59376,2.51164,-0.11548,1.36833,1.16079
"3","2011_Q2",6.10952380952381,"Up",16032000,-9872000,6160000,-6674000,-4503000,-2419000,-2084000,-446000,-1725000,-514000,9000,9000,-505000,-438000,-571000,-571000,-571000,-571000,8676274.5998457,8676274.59984557,9284992.5271465,9284992.5271465,1021474.55416373,608972.921794664,18982741.6811559,2004030.86096147,15679487.3011787,3918262.50958748,84115.9449916851,19349334.6120108,38332076.2931667,9322544.68183759,5130168.93862323,4192375.74321436,9791035.6463469,521679.538184509,521679.538184509,5521614.3836478,15312650.0299947,305853409.758449,-282833983.495277,23019426.263172,23019426.263172,38332076.2931667,-571000,510000,461000,-1636000,-1236000,-258000,-258000,-83000,289000,289000,206000,-1288000,-1288000,-1288000,-4000,0,0.38423,-0.03206,-0.03562,-0.037866902896028,-0.0235070721224398,1.86999500889787,0.663033773968523,0.130437610177854,-0.06208,-0.05864,1.74292,2.50891643610937,-0.0306745880207687,-5.59996165119642,-122.991857118971
"4","2011_Q3",4.749375,"Down",15248000,-8886000,6362000,-6320000,-4155000,-2211000,-1944000,-504000,-1661000,42000,14000,14000,56000.0000000002,317000,2e+05,2e+05,2e+05,2e+05,8567000,8567000,10018000,10018000,1066000,666000,19651000,1941000,15335000,3577000,81000,18293000,37944000,8338000,4769000,3569000,8825000,566000,566000,5566000,14391000,306223000,-282670000,23553000,23553000,37944000,2e+05,565000,523000,161000,1449000,-344000,-361000,-84000,32000,32000,-52000,1036000,1036000,1036000,607000,5e+06,0.41724,0.00275000000000001,0.01312,0.00849,0.00526999999999997,2.22674,0.611,0.13177,0.02174,0.02054,1.65769,2.56056,0.00686999999999999,-5.87644,-84.92857
"5","2011_Q4",4.13126984126984,"Down",16309000,-9738000,6571000,-6207000,-3933000,-2152000,-1781000,-419000,-1855000,364000,8000,8000,372000,437000,446000,446000,446000,446000,9243000,9243000,10481000,10481000,1126000,726000,20850000,1756000,14989000,3235000,77000,16939000,37789000,7451000,3700000,3751000,7899000,593000,593000,5593000,13492000,306521000,-282224000,24297000,24297000,37789000,446000,528000,495000,-1562000,-93000,-1000,822000,-83000,30000,30000,-53000,676000,676000,676000,892000,5e+06,0.40291,0.02232,0.02735,0.01836,0.0118,2.63957,0.55529,0.13231,0.0484,0.04706,1.76975,2.63656,0.01492,-4.75673,-11.65659
"6","2012_Q1",4.55467741935484,"Up",16223000,-9333000,6890000,-6508000,-4302000,-2124000,-2178000,-402000,-1804000,382000,9000,9000,391000,449000,341000,341000,341000,341000,11209000,11209000,10144000,10144000,971000,571000,22324000,1629000,14647000,2893000,77000,16470000,38794000,8075000,3081000,4994000,8291000,607000,607000,5607000,13898000,306779000,-281883000,24896000,24896000,38794000,341000,508000,507000,728000,2084000,-39000,-39000.0000000001,-83000,3999.99999999999,4000,-79000,1966000,1966000,1966000,890000,5e+06,0.42471,0.02355,0.02102,0.0137,0.00879,2.69256,0.55824,0.12889,0.03709,0.03576,1.76461,2.70799,0.01118,-6.9764,-16.25393
"7","2012_Q2",4.11873015873016,"Down",16705000,-9869000,6836000,-6590000,-4360000,-2345000,-2015000,-402000,-1828000,246000,-1000,-1000,245000,315000,253000,253000,253000,253000,12112000,12112000,10586000,10586000,433000,383000,23131000,1502000,14305000,2551000,77000,16001000,39132000,8197000,4105000,4092000,8313000,608000,608000,5608000,13921000,306841000,-281630000,25211000,25211000,39132000,253000,508000,403000,-270000,894000,-39000,311000,-83000,-219000,5000,-302000,903000,903000,903000,754000,5e+06,0.40922,0.01473,0.01515,0.01004,0.00647,2.78251,0.55218,0.12777,0.02745,0.02664,1.81232,2.73513,0.00821,-9.43236,-28.91057
"8","2012_Q3",3.71428571428571,"Down",15731000,-9396000,6335000,-6061000,-4041000,-2268000,-1773000,-401000,-1619000,274000,-3000,-3000,271000,338000,231000,231000,231000,231000,12409000,12409000,9861000,9861000,503000,453000,22773000,1748000,13963000,2210000,76000,15905000,38678000,8524000,4622000,3902000,8682000,555000,555000,5555000,14237000,305840000,-281399000,24441000,24441000,38678000,231000,511000,275000,999000,2016000,-416000,-416000,-84000,-1219000,10000,-1303000,297000,297000,297000,785000,5e+06,0.40271,0.01742,0.01468,0.00945,0.00597,2.62301,0.5825,0.12927,0.02549,0.0249,1.73597,2.69715,0.0077,-9.43822,-27.04015
"9","2012_Q4",3.92193548387097,"Up",17455000,-10739000,6716000,-6162000,-4019000,-2035000,-1984000,-492000,-1651000,554000,16000,16000,570000,638000,551000,551000,551000,551000,13706000,13706000,11056000,11056000,596000,596000,25358000,1646000,13628000,1874000,77000,15468000,40826000,9978000,5294000,4684000,10064000,554000,554000,5554000,15618000,306056000,-280848000,25208000,25208000,40826000,551000,607000,382000,-81000,1459000,-169000,-119000,-50000,7000,7000,-43000,1297000,1297000,1297000,1161000,5e+06,0.38476,0.03174,0.03157,0.02186,0.0135,2.51967,0.61957,0.12247,0.06226,0.06121,1.97216,2.84814,0.01791,-7.49871,-15.7148
"10","2013_Q1",4.16533333333333,"Up",16911000,-10526000,6385000,-6140000,-3968000,-1888000,-2080000,-422000,-1750000,245000,127000,127000,372000,440000,352000,352000,352000,352000,15296000,15296000,10081000,10081000,504000,504000,25881000,1593000,13293000,1539000,77000,14886000,40767000,9214000,3837000,5377000,9382000,620000,620000,5620000,15002000,306261000,-280496000,25765000,25765000,40767000,352000,536000,273000,276000,1437000,-148000,178000,-28000,3000,5000,-25000,1590000,1590000,1590000,781000,5e+06,0.37756,0.01449,0.02081,0.01366,0.00863,2.75858,0.58226,0.12265,0.03976,0.03894,1.91013,2.91021,0.01122,-13.1831,-42.02449
