"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","other_intangible_assets","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.90546875,"Down",22864000,-20270000,2594000,-3780000,-3435000,-345000,-1186000,-246000,-246000,-1432000,-143000,-1575000,609000,-966000,-1e+05,-1e+05,-1066000,-1066000,-1066000,35420122.9351929,35420122.9351929,7537232.65047972,7537232.65047972,601544.034016874,-8863685.14673106,4051814.60027422,-4586274.09511914,34695214.4729584,36936045.5639737,68545000.3694558,-31608954.8054821,21834767.6872184,-4919531.65298028,111454.13802013,36660252.6470035,58770813.2511939,93466027.7241524,5653431.27681674,-15507290.6101406,21160721.8869573,2217742.97814228,378257.823880892,10187562.3745291,-9809304.55064817,8249432.07883991,-24389994.9085914,13982071.6220251,17993807.6512562,-10407923.2865662,-2158491.20772631,98902612.1962032,-88000,-3823123.39815949,84194.2185082417,96283120.2552911,95624518.9318787,93466027.7241524,-966000,-1066000,1e+05,1154000,-220000,1356000,-69000,1255000,-380000,-1468000,247000,239000,26000,26000,26000,-32000,0,335000,0.11345,-0.05187,-0.04662,0.30301670404321,0.193163809220996,-0.31426,1.96287922093144,-0.0903775355812058,-0.122837479631708,-0.09685,-0.09685,2.07737,8.79319801823944,0.03044,0.243009713885499,0.300950595995262,-7.89877991873161,-19.4869781485199
"2","2011_Q1",7.65193548387097,"Down",25513000,-19617000,5896000,-3295000,-3108000,-187000,2601000,-245000,-264000,2356000,7000,2363000,794000,3157000,-211000,-211000,2946000,2946000,2946000,101000,101000,8541000,8541000,465000,16109000,2870000,9471000,25216000,40443000,72196000,-31753000,59656000,271000,4209000,39846000,100099000,125315000,10887000,4891000,5996000,3612000,8388000,3527000,4861000,22887000,6637000,17287000,16107000,23924000,46811000,100876000,-88000,-23569000,0,78504000,78504000,125315000,3157000,2946000,211000,1156000,-153000,-905000,-242000,3013000,-95000,-234000,-2731000,-2754000,25000,25000,25000,3757000,10249000,1963000,0.2311,0.10195,0.11547,0.03753,0.02351,0.666329999999998,1.10176,0.59629,0.08179,0.26809,0.26767,2.32169,7.02694,0.17863,0.02778,0.01851,2.70109,3.90158
"3","2011_Q2",7.08460317460318,"Down",23615000,-20585000,3030000,-3638000,-3372000,-266000,-608000,-265000,-265000,-873000,-622352.584948155,-873000,340000,-533000,212000,212000,-321000,-321000,-321000,-7621540.97839763,-7621540.97839763,11403339.1165068,11403339.1165068,395151.988661042,20801478.3822437,2177978.46657526,12830424.698373,24978428.5090139,40929318.1453421,73633916.5435147,-32704598.3981726,67960327.4375939,3305518.99178817,5161931.95399329,41259082.4509988,108889645.582935,133868074.091949,12572856.2410611,9583430.20338018,2989426.0376809,3288835.67395257,11806414.0587064,3449729.20849031,8356684.85021606,27668105.97372,12941164.9695305,17557392.7926583,15328314.1162479,30498557.7621887,58166663.7359088,101384712.601266,-88000,-27000375.5339468,-37266.531104945,75579876.5815696,75701410.3560404,133868074.091949,-533000,-321000,-212000,1156000,5000,-1390000,-61000,-823000,-717000,-2630000,3407000,3380000,-73000,-73000,-73000,548000,0,-1899000,0.12831,-0.02575,-0.01359,-0.0191555680144034,-0.0129096030736653,5.91589,0.917826926356188,0.748738345193735,0.11763249321057,-0.02913,-0.02913,2.14292,6.72310732725352,-0.17232,-0.0177865712951663,-0.0254160319984207,4.19264747291054,8.14678271617329
"4","2011_Q3",7.04515625,"Down",28913000,-20864000,8049000,-3831000,-3436000,-395000,4218000,-221000,-224000,3997000,2.3283064365387e-10,3997000,-1445000,2552000,-32000.0000000001,-32000.0000000001,2520000,2520000,2520000,27000.0000000075,27000.0000000075,14878000,14878000,385000,15414000,2072000,10593000,30704000,39863000,73885000,-34022000,61715000,4688425.32238422,4213000,41332000,101578000,132282000,13049000,6480000,6569000,2328000,12523000,6410000,6113000,27900000,6929000,16414000,15179000,23343000,51243000,101212000,-88000,-21370000,-41155.3748065933,81039000,81039000,132282000,2552000,2520000,32000.0000000001,1176000,1628000,-461000,30000,4925000,-972000,-1099000,-3799000,-3827000,-999.999999999534,-999.999999999534,-1000.00000000047,5394000,9257000,5406000,0.27839,0.14589,0.08716,0.0311,0.01905,2.14524,1.1005,0.63233,0.06998,0.22853,0.22853,2.62197,7.23248,0.49024,0.02362,0.0506600000000001,1.71116,2.18824
"5","2011_Q4",7.17063492063492,"Up",32787000,-21486000,11301000,-4379000,-4021000,-358000,6922000,-102000,-107000,6820000,1777000,8597000,-2399000,6198000,-187000,-187000,6011000,6011000,6011000,10641000,10641000,17032000,17032000,449000,12246000,2895000,8740000,40368000,39046000,74189000,-35143000,58925000,4924118.99178817,2631000,40124000,97971000,138339000,15787000,5286000,10501000,2075000,13576000,8487000,5089000,31438000,3487000,16243000,14981000,19730000,51168000,101333000,-88000,-15359000,-25216.531104945,87171000,87171000,138339000,4421000,6011000,-1590000,1171000,650000,3729000,-710000,9261000,-306000,5152000,-3705000,-3799000,10614000,10614000,10614000,8093000,5562000,13915000,0.34468,0.21112,0.18333,0.06896,0.04345,2.31492,1.28405,0.58698,0.04021,0.54473,0.54473,2.97124,7.78319,1.26101,0.05516,0.12769,-0.62758,-0.73375
"6","2012_Q1",8.15322580645161,"Up",32782000,-26742000,6040000,-5218000,-4735000,-483000,822000,-213000,-210000,609000,-344000,265000,-574000,-308999.999999998,189000,189000,-120000,-142000,-142000,12055000,12055000,16848000,16848000,573000,20798000,4661000,12079000,50274000,39835000,75501000,-35666000,73545000,4517000,1650000,38192000,113380000,163654000,22747000,13313000,9434000,3521000,16472000,6260000,10212000,42740000,14195000,18410000,14322000,32605000,75345000,102467000,-88000,-15744000,-3000.00000000003,87917000,88309000,163654000,-41000,-120000,79000,1313000,159000,8442000,-1792000,8081000,-283000,-14408000,6749000,7741000,1414000,1414000,1414000,2135000,17716000,10868000,0.18425,0.02507,-0.00433,-0.00161,-0.00087000000000001,-76.53521,1.17628,0.8532,0.10825,-0.01273,-0.01271,2.93904,7.7669,0.97436,-0.00114,0.08734,2.65152,6.88686
"7","2012_Q2",6.66984126984127,"Down",37936000,-33567000,4369000,-5391000,-5038000,-353000,-1022000,-240000,-240000,-1262000,0,-1262000,455000,-807000,-138000,-138000,-945000,-1001000,-1001000,2697000,2697000,20419000,20419000,479000,20464000,3984000,12782000,44059000,38822000,75707000,-36885000,74293000,4019000,1614000,39980000,113115000,157174000,20725000,12078000,8647000,3709000,9960000,3333000,6627000,34394000,14092000,15007000,14980000,29099000,63493000,102582000,-88000,-10555000,9000,93233000,93681000,157174000,-807000,-945000,138000,1392000,-1409000,-7091000,-187000,-8102000,-206000,-598000,-587000,-658000,-9358000,-9358000,-9358000,370000,17801000,-7382000,0.11517,-0.02694,-0.02639,-0.01069,-0.00637,7.37463,1.28101,0.67776,0.11326,-0.08928,-0.08928,3.3834,8.20056,-0.65838,-0.00791,-0.05836,40.82162,-14.77886
"8","2012_Q3",5.29428571428571,"Down",33698000,-29768000,3930000,-5124000,-4589000,-535000,-1194000,-218000,-219000,-1412000,2999.99999999988,-1409000,4e+05,-1009000,-59999.9999999999,-59999.9999999999,-1069000,-1171000,-1171000,1260000,1260000,17404000,17404000,401000,21428000,3478000,13883000,40493000,37788000,75887000,-38099000,73920000,3906000,1614000,40084000,111708000,152201000,18087000,10747000,7340000,3649000,9799000,2691000,7108000,31535000,13814000,14285000,14231000,28099000,59634000,102667000,-88000,-11846000,-1000,92017000,92567000,152201000,-1009000,-1069000,60000.0000000001,1361000,-1132000,249000.000000002,-185000,-716000,-178000,-185000,-338999.999999998,-535999.999999999,-1437000,-1437000,-1437000,167000,17463000,-162000,0.11662,-0.03543,-0.03475,-0.01265,-0.00769,0.138340000000003,1.28407,0.64423,0.11474,-0.10438,-0.10438,3.00371,8.0875,-0.01444,-0.00942,-0.00130000000000002,97.02395,-13.57035
"9","2012_Q4",4.29967741935484,"Down",29190000,-24964000,4226000,-4700000,-4198000,-502000,-474000,-227000,-236000,-701000,-18000,-719000,247000,-472000,-61000,-61000,-533000,-554000,-554000,2753000,2753000,14981000,14981000,443000,17919000,6078000,9128000,36096000,36487000,75750000,-39263000,75925000,3787000,1614000,40025000,112412000,148508000,16210000,9026000,7184000,3636000,9653000,4256000,5397000,29499000,12803000,13943000,13943000,26746000,56245000,102766000,-88000,-12271000,0,91692000,92263000,148508000,-472000,-533000,61000,1349000,-1473000,3631000,-86000,2949000,93000,82000,-1340000,-1538000,1493000,1493000,1493000,875000,16439000,4352000,0.14478,-0.01624,-0.01898,-0.006,-0.00373,-7.8556,1.22363,0.60962,0.11069,-0.04934,-0.04934,2.59975,8.05192,0.3876,-0.00452,0.03548,15.64114,-28.87342
"10","2013_Q1",4.104,"Down",26685000,-23406000,3279000,-4998000,-4565000,-433000,-1719000,-191000,-189000,-1910000,0,-1910000,1049000,-861000,229000,229000,-632000,-633000,-633000,4368000,4368000,11395000,11395000,473000,13974000,3282000,8877000,30210000,35314000,75690000,-40376000,74167000,3610000,1614000,39757000,109481000,139691000,15329000,8657000,6672000,2794000,9435000,3695000,5740000,27558000,11402000,15192000,13852000,26594000,54152000,102875000,-88000,-19103000,-2000,84967000,85539000,139691000,-861000,-632000,-229000,1368000,673000,1744000,-464000,2460000,0,-10000.0000000001,-1266000,-835000,1615000,1615000,1615000,-351000,14196000,344000,0.12288,-0.06442,-0.02372,-0.0074,-0.00453,-0.54344,1.09623,0.63307,0.10162,-0.05631,-0.05632,2.37394,7.44449,0.0306,-0.00551,0.00299,-28,-5.71727999999999
