"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",19.5193548387097,"Up",374511000,-258880000,115631000,-84103000,-77424000,31528000,-6022000,-6022000,25506000,25506000,-10850000,14656000,15503000,15503000,15503000,13873000,13873000,247731000,247731000,23290000,6017000,5335000,284894000,25320000,788721000,275585000,497013000,16123000,814041000,1098935000,83060000,5378000,69113000,36420000,36420000,129480000,429088000,23912000,15674000,8238000,4.53e+08,582480000,468076000,50365000,-1986000,516455000,516455000,1098935000,15503000,8496000,2248000,-2716000,23531000,-3712000,-3712000,-3712000,-1292000,-5300000,4684000,-22816000,-4585000,-4585000,35000,-4550000,40024000,439088000,44446000,0.30875,0.08418,0.0414,0.03002,0.01411,2.86693,2.20029,1.12784,0.39956,0.29693,0.29093,7.17303,9.89169,0.85128,5,0.01583,0.04538,10.624,13.4869
"12","2013_Q1",23.5833333333333,"Up",337480000,-237688000,99792000,-73898000,-67232000,25894000,-5088000,-5088000,20806000,20806000,-9391000,11415000,14205000,14205000,14205000,27479000,27479000,245201000,245201000,39717000,8839000,20731000,312397000,26862000,775204000,263840000,496158000,15206000,802066000,1114463000,66963000,6810000,59962000,58206000,58206000,135169000,416588000,29983000,23009000,6974000,446571000,581740000,472241000,61687000,-1205000,532723000,532723000,1114463000,14205000,8679000,7975000,-4801000.00000001,26058000,-3471000,-3471000,-3471000,1016000,-2455000.00000006,-6048000,-10163999.9999999,13439000,13439000,167000,13606000,34573000,426588000,35692000,0.2957,0.07673,0.04209,0.02666,0.01275,2.51264,2.31116,1.09201,0.38277,0.26993,0.26363,6.41292,10.123,0.67823,4,0.01436,0.03608,11.54395,15.41318
"13","2013_Q2",25.17484375,"Up",379044000,-268933000,110111000,-87256000,-81877000,22855000,-5096000,-5096000,17759000,17759000,-7543000,10216000,24613000,24613000,24613000,11774000,11774000,257196000,257196000,26390000,6744000,9528000,295360000,27742000,770334000,258324000,497580000,14430000,798076000,1093436000,85293000,5453000,68144000,33606000,33606000,128899000,373588000,29166000,22966000,6200000,402754000,531653000,477880000,86300000,-2397000,561783000,561783000,1093436000,24613000,7244000,-10666000,-17616000,3575000,-2785000,-2785000,-2785000,-1689000,24419000,-420000,-43420000,-15426000,-15426000,-279000,-15705000,30099000,383588000,17241000,0.2905,0.0603,0.06493,0.04381,0.02251,0.70048,2.29141,0.94637,0.35081,0.46399,0.45549,7.14557,10.59049,0.32502,5,0.02526,0.01769,12.35303,16.26839
"14","2013_Q3",31.0034375,"Up",407864000,-286532000,121332000,-89557000,-84282000,31775000,-4081000,-4081000,27694000,12736000,-5493000,7243000,7339000,7339000,7339000,14111000,14111000,266567000,266567000,21243000,7469000,3703000,301921000,30552000,756560000,253106000,495638000,7816000,787112000,1089033000,84232000,5599000,70576000,32595000,32595000,127077000,359063000,28694000,22913000,5781000,387757000,514834000,482478000,93639000,-1918000,574199000,574199000,1089033000,7339000,7190000,19015000,-6792000,26752000,-4543000,-4543000,-4543000,-183000,-1697000,-8568000,-22843000,2212000,2212000,125000,2337000,38965000,369313000,33123000,0.29748,0.07791,0.01799,0.01278,0.00674,4.51329,2.37589,0.89661,0.33912,0.13749,0.13489,7.64076,10.75682,0.62051,6,0.00755,0.03407,9.11592,11.17866
"15","2013_Q4",33.32203125,"Up",421491000,-294281000,127210000,-91528000,-86329000,35682000,-3257000,-3257000,32425000,32425000,-12954000,19471000,20150000,20150000,20150000,45077000,45077000,267231000,267231000,20013000,7454000,2476000,332321000,33481000,752680000,248069000,496553000,8058000,786161000,1118482000,96156000,6388000,77353000,32909000,32909000,139065000,347813000,28598000,22963000,5635000,376411000,515476000,489602000,113789000,-385000,603006000,603006000,1118482000,20150000,7224000,4704000,11543000,43621000,-4965000,-4965000,-4965000,271000,-4694000,3231000,-8269000,30658000,30658000,308000,30966000,42906000,357813000,62438000,0.30181,0.08466,0.04781,0.03342,0.01802,3.09866,2.38968,0.85484,0.31991,0.37576,0.36812,7.86012,11.24508,1.16437,6,0.02037,0.06311,7.28886,8.76453
"16","2014_Q1",33.5295081967213,"Up",314702000,-218480000,96222000,-69947000,-64857000,26275000,-1497000,-1497000,24778000,24778000,-10568000,14210000,32410000,32410000,32410000,37350000,37350000,262200000,262200000,50887000,8686000,24671000,350437000,38128000,870244000,287855000,573063000,9326000,908372000,1258809000,98057000,8370000,76567000,60238000,60238000,168295000,389813000,60568000,50606000,9962000,450381000,618676000,493818000,146199000,116000,640133000,640133000,1258809000,32410000,8224000,-9831000,5773000,36576000,-4238000,-4238000,-4238000,578000,-86383000,-6912000,42142000,-7665000,-7665000,-62000,-7727000,34499000,399813000,46602000,0.30576,0.08349,0.10299,0.05063,0.02575,1.43789,2.08228,0.96648,0.31761,0.60159,0.58887,5.84144,11.88204,0.86502,6,0.02945,0.04235,10.50648,13.79498
"17","2014_Q2",35.7944444444444,"Up",406851000,-278696000,128155000,-101647000,-96109000,26508000,-3328000,-3328000,23180000,23180000,-9575000,13605000,13917000,13917000,13917000,23394000,23394000,277553000,277553000,46684000,6383000,23096000,347631000,40193000,866580000,282282000,575225000,9073000,906773000,1254404000,84042000,5687000,77377000,54876000,54876000,157168000,375563000,61159000,49559000,11600000,436722000,593890000,500282000,160116000,116000,660514000,660514000,1254404000,13917000,8959000,4723000,-31920000,-4321000,-4020000,-4020000,-4020000,130000,-3890000,-2326000,-5359000,-13570000,-13570000,-386000,-13956000,35467000,393813000,9102000,0.31499,0.06515,0.03421,0.02107,0.01109,0.65402,2.21184,0.89913,0.31394,0.25723,0.25315,7.5198,12.20823,0.16823,3,0.01248,0.00816,10.44405,13.97386
"18","2014_Q3",31.01484375,"Down",434424000,-292519000,141905000,-105136000,-99614000,36769000,-3103000,-3103000,33666000,33666000,-14025000,19641000,20789000,20789000,20789000,30753000,30753000,295935000,295935000,46985000,6091000,23694000,373673000,42200000,859706000,276104000,574951000,8651000,901906000,1275579000,96013000,5545000,84685000,56295000,56295000,170558000,358500000,61261000,49525000,11736000,419761000,590319000,504392000,180905000,-36999.9999999999,685260000,685260000,1275579000,20789000,9504000,5793000,-6755999.99999999,29330000,-5618000,-5618000,-5618000,228000,-5342000,-138000,-16900000,7088000,7088000,271000,7359000,46273000,376750000,47924000,0.32665,0.08464,0.04785,0.03034,0.0163,2.30526,2.19089,0.86145,0.29536,0.38233,0.37647,7.98955,12.60271,0.88138,6,0.01851,0.04266,7.4773,9.41002
"19","2014_Q4",30.09421875,"Down",442443000,-297605000,144838000,-106140000,-100608000,38698000,-3101000,-3101000,35597000,35597000,-14874000,20723000,22005000,22005000,22005000,29881000,29881000,296506000,296506000,45221000,5664000,22367000,371608000,43495000,851952000,269821000,574023000,8108000,895447000,1267055000,100590000,7166000,90976000,53348000,53348000,172188000,385438000,66414000,54799000,11615000,451852000,624040000,489777000,156140000,-2902000,643015000,643015000,1267055000,22005000,9626000,6684000,4634000,42949000,-4622000,-4622000,-4622000,119000,-4503000,-296000,-38718000,-272000,-272000,-6e+05,-872000,48324000,403688000,63210000,0.32736,0.08746,0.04974,0.03422,0.01737,2.87253,2.15815,0.97049,0.3186,0.41218,0.40588,8.28747,12.04441,1.184,6,0.01977,0.05679,7.73543,9.65959
"20","2015_Q1",36.4319672131148,"Up",441023000,-298486000,142537000,-106730000,-101192000,35807000,-3198000,-3198000,32609000,32609000,-13083000,19526000,20473000,20473000,20473000,28860000,28860000,277146000,277146000,60020000,13308000,15680000,366026000,44311000,841502000,250609000,512060000,5160000,885813000,1251839000,90828000,7925000,82563000,56488000,36293000,164755000,394418000,58258000,48075000,7937000,452676000,617431000,484416000,154562000,-4570000,634408000,634408000,1251839000,20473000,10207000,21780000,-24396000,28064000,-5469000,-5469000,-5469000,-308000,-5825000,47000.0000000001,-20115000,2124000,2124000,-291000,1833000,46014000,411857000,29232000,0.3232,0.08119,0.04642,0.03227,0.01635,1.42783,2.22164,0.97324,0.329,0.3946,0.38801,8.50034,12.22767,0.56342,7,0.01854,0.02647,8.32349,10.69615
"21","2015_Q2",38.1892063492064,"Up",430045000,-294170000,135875000,-110804000,-105935000,25071000,-3067000,-3067000,22004000,22004000,-8981000,13023000,39135000,39135000,39135000,76363000,76363000,287759000,287759000,45649000,4712000,24967000,409771000,44954000,762913000,245410000,510164000,7339000,807867000,1217638000,102986000,6157000,84340000,33455000,33455000,154691000,316313000,71806000,63734000,8072000,388119000,542810000,490618000,192457000,-8247000,674828000,674828000,1217638000,39135000,8665000,-21185000,-6672000,19943000,-8e+06,-8e+06,-8e+06,12000,106896000,-2834000,-81487000,45352000,45352000,-703000,44649000,33736000,334563000,28045000,0.31596,0.0583,0.091,0.05799,0.03214,0.71662,2.64896,0.80437,0.27476,0.75962,0.74958,8.34731,13.09862,0.54436,8,0.0362,0.02594,7.65355,10.29875
"22","2015_Q3",37.9775,"Down",485323000,-326789000,158534000,-125824000,-118867000,32710000,-4736000,-4736000,27974000,24223000,-9888000,14335000,14252000,14252000,14252000,41863000,41863000,330958000,330958000,44877000,6550000,22428000,417698000,51728000,1327708000,440885000,878862000,7961000,1379436000,1797134000,112418000,7960000,102432000,58729000,58729000,171147000,830085000,70806000,65712000,5094000,900891000,1072038000,525731000,206709000,-7344000,725096000,725096000,1797134000,14252000,11148000,12165000,-5088000,32477000,-5331000,-5331000,-5331000,-596000,-558165000,-23956000,491729000,-33959000,-33959000,-541000,-34500000,43858000,830085000,43327000,0.32666,0.0674,0.02937,0.01966,0.00793,3.04006,2.44058,1.47848,0.46189,0.27419,0.27064,9.33691,13.94979,0.83355,6,0.00877,0.02665,17.97214,24.09728
"23","2015_Q4",43.71125,"Up",572123000,-380719000,191404000,-139939000,-128614000,51465000,-9543000,-9543000,41922000,41922000,-17031000,24891000,24925000,24925000,24925000,28916000,28916000,358649000,358649000,44539000,6526000,22715000,432104000,51767000,1312929000,429621000,875714000,7594000,1364696000,1796800000,127328000,6686000,113219000,54821000,54821000,182149000,784797000,71266000,66142000,5124000,856063000,1038212000,534008000,231634000,-7054000,758588000,758588000,1796800000,24925000,15682000,11520000,-17250000,34877000,-4846000,-4846000,-4846000,6e+05,-4246000,-370000,-43775000,-13144000,-13144000,197000,-12947000,67147000,784797000,62082000,0.33455,0.08995,0.04357,0.03286,0.01387,2.49075,2.37226,1.36861,0.43677,0.47331,0.4667,10.86426,14.40512,1.1789,7,0.01544,0.03845,11.25711,14.68728
"24","2016_Q1",35.3062295081967,"Down",577517000,-384585000,192932000,-150070000,-138754000,42862000,-9098000,-9098000,33764000,33764000,-14591000,19173000,19338000,19338000,19338000,23869000,23869000,354808000,354808000,35531000,12686000,22845000,414208000,53196000,1299903000,417925000,874906000,7072000,1353099000,1767307000,97905000,9132000,88100000,62445000,62445000,160350000,755508000,66655000,61539000,5116000,822163000,982513000,543389000,249567000,-8162000,784794000,784794000,1767307000,19338000,16074000,28854000,-27519000,36747000,-6512000,-6512000,-6512000,480000,-6015000.00000012,-5553000,-35359000,-4627000,-4627000,-420000,-5047000,58936000,755508000,39496000,0.33407,0.07422,0.03348,0.02464,0.01094,2.0424,2.58315,1.25194,0.42749,0.36572,0.35982,10.92189,14.84188,0.74694,6,0.01203,0.02458,12.41413,17.06964
"25","2016_Q2",36.79328125,"Up",582040000,-394258000,187782000,-150025000,-139881000,37757000,-9025000,-9025000,28732000,28732000,-11384000,17348000,17401000,17401000,17401000,28369000,28369000,378087000,378087000,25712000,8849000,16863000,432168000,54481000,1290406000,408099000,875657000,6650000,1344887000,1777055000,120207000,6164000,110886000,55547000,55547000,175754000,723219000,66645000,61612000,5033000,789864000,965618000,551288000,266968000,-6819000,811437000,811437000,1777055000,17401000,15427000,11082000,-5682000,38228000,-7282000,-7282000,-7282000,176000,-1106000,-3590000,-32567000,4555000,4555000,-55000,4500000,53184000,723219000,51604000,0.32263,0.06487,0.0299,0.02144,0.00979,2.96558,2.45894,1.19001,0.40698,0.32741,0.32438,10.95151,15.26779,0.97097,5,0.01087,0.03223,13.06502,18.40321
