"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",37.19703125,"Up",608088000,-406002000,202086000,-151382000,-141350000,50704000,-7959000,-7959000,42745000,42745000,-16732000,26013000,26004000,26004000,26004000,34782000,34782000,383722000,383722000,23722000,7822000,15900000,442226000,56020000,1279469000,397787000,874919000,6763000,1335489000,1777715000,133250000,5554000,118113000,44357000,44357000,177607000,691930000,67247000,61553000,5694000,759177000,936784000,558505000,290328000,-7902000,840931000,840931000,1777715000,26004000,15404000,10617000,9871000,61896000,-6627000,-6627000,-6627000,-526000,-7153000,-15490000,-48379000,6364000,6364000,49000,6413000,66108000,691930000,86084000,0.33233,0.08338,0.04276,0.03092,0.01463,3.31041,2.48991,1.11398,0.38922,0.48677,0.48225,11.38294,15.74158,1.61143,8,0.01625,0.0538,9.94052,12.96048
"27","2016_Q4",39.7587301587302,"Up",629401000,-422281000,207120000,-151710000,-141968000,55410000,-8294000,-8294000,47116000,47116000,-17341000,29775000,29768000,29768000,29768000,16972000,16972000,393843000,393843000,23667000,5896000,17771000,434482000,57778000,1269900000,388061000,875015000,6824000,1327678000,1762160000,133072000,6021000,113513000,41026000,41026000,174098000,658642000,68180000,61730000,6450000,726822000,900920000,562215000,306507000,-7482000,861240000,861240000,1762160000,29768000,15340000,11486000,-13811000,42783000,-6642000,-6642000,-6642000,-437000,-7079000,-4591000,-53737000,-18033000,-18033000,223000,-17810000,70750000,658642000,67638000,0.32907,0.08804,0.0473,0.03456,0.01689,2.27217,2.49562,1.04607,0.37377,0.55876,0.55336,11.81419,16.16593,1.2696,6,0.01874,0.04259,9.06954,11.5804
"28","2017_Q1",46.3256451612903,"Up",620884000,-422689000,198195000,-152340000,-142630000,45855000,-7049000,-7049000,38806000,38806000,-14746000,24060000,24028000,24028000,24028000,27044000,27044000,386858000,386858000,23622000,6331000,17291000,437524000,56942000,1258201000,377730000,873513000,6958000,1315143000,1752667000,119122000,6266000,111596000,43377000,43377000,162499000,640355000,80874000,74282000,6592000,721229000,883728000,563389000,315573000,-10023000,868939000,868939000,1752667000,24028000,16078000,21016000,-4698000,56424000,-6587000,-6587000,-6587000,-59000,-6646000,-1056000,-39382000,10396000,10396000,-324000,10072000,61933000,640355000,65394000,0.31921,0.07385,0.0387,0.02765,0.01371,2.72157,2.69247,1.01702,0.36536,0.454,0.44806,11.73139,16.41831,1.2356,7,0.01511,0.04112,9.90281,13.37501
"29","2017_Q2",51.3679365079365,"Up",626528000,-428384000,198144000,-154536000,-146072000,43608000,-8501000,-8501000,35107000,35107000,-12725000,22382000,22391000,22391000,22391000,24005000,24005000,394394000,394394000,23585000,6817000,16768000,441984000,59568000,1250535000,369339000,873872000,7324000,1310103000,1752087000,131802000,7342000,111659000,35857000,35857000,167659000,617068000,81050000,74267000,6783000,698118000,865777000,565362000,330269000,-9321000,886310000,886310000,1752087000,22391000,14475000,11519000,-4585000,43800000,-6792000,-6792000,-6792000,17000,-6775000,-8185000,-40215000,-3190000,-3190000,151000,-3039000,58083000,617068000,59431000,0.31626,0.0696,0.03574,0.02526,0.01278,2.65424,2.63621,0.97683,0.35219,0.42522,0.4205,11.89806,16.83144,1.12862,7,0.01413,0.03751,10.21061,13.59987
"30","2017_Q3",50.0292063492063,"Down",653313000,-440376000,212937000,-153476000,-145177000,59461000,-6067000,-6067000,53394000,53394000,-20158000,33236000,33097000,33097000,33097000,18963000,18963000,417267000,417267000,26450000,8761000,17689000,462680000,59800000,1244164000,361540000,875431000,7193000,1303964000,1766644000,137757000,6314000,118115000,40620000,40620000,178377000,579782000,81123000,74366000,6757000,660905000,839282000,570174000,363366000,-6178000,927362000,927362000,1766644000,33097000,14367000,9908000,-17579000,39793000,-6416000,-6416000,-6416000,-165000,-6581000,-1119000,-39077000,-5865000,-5865000,823000,-5042000,73828000,579782000,69991000,0.32593,0.09101,0.05066,0.03569,0.01873,2.11472,2.59383,0.90502,0.32818,0.62655,0.61862,12.36773,17.55569,1.32498,8,0.02084,0.04407,7.59629,9.43171
"31","2017_Q4",60.5342857142857,"Up",667048000,-448733000,218315000,-157445000,-149197000,60870000,-7099000,-7099000,53771000,53771000,-18892000,34879000,34856000,34856000,34856000,27977000,27977000,432718000,432718000,25059000,7644000,17415000,485754000,58231000,1260883000,361140000,893776000,5967000,1319114000,1804868000,148296000,6164000,127005000,40900000,40900000,189196000,609997000,80697000,74860000,5837000,690694000,879890000,568251000,361122000,-4395000,924978000,924978000,1804868000,34856000,14651000,12130000,-7043000,54594000,-4830000,-4830000,-4830000,148000,-30510000,-1754000,-15525000,8559000,8559000,455000,9014000,75521000,609997000,82540000,0.32729,0.09125,0.05225,0.03768,0.01931,2.36803,2.56746,0.95126,0.33797,0.66395,0.6551,12.70616,17.6193,1.57225,8,0.02157,0.05109,7.70673,9.56169
"32","2018_Q1",74.8732786885246,"Up",679111000,-458407000,220704000,-159943000,-151554000,60761000,-5933000,-5933000,54828000,54828000,12575000,67403000,67356000,67356000,67356000,36667000,36667000,428536000,428536000,34320000,18592000,15728000,499523000,57996000,1252610000,352766000,894095000,5749000,1310606000,1810129000,122931000,6870000,114832000,43786000,43786000,166717000,575213000,76808000,69436000,7372000,652021000,818738000,566611000,428419000,-3639000,991391000,991391000,1810129000,67356000,15107000,6943000,-31193000,58213000,-6262000,-6262000,-6262000,1e+05,-6233999.99999999,-7142000,-43683000,8296000,8296000,371000,8667000,75868000,575213000,25838000,0.32499,0.08947,0.09918,0.06794,0.03721,0.3836,2.99623,0.82585,0.31777,1.29481,1.27464,13.05481,19.05788,0.49669,8,0.04099,0.01572,7.09846,8.86335
"33","2018_Q2",81.8146875,"Up",685200000,-467500000,217700000,-1.72e+08,-164400000,45700000,-6600000,-6600000,39100000,39100000,-9900000,29200000,29100000,29100000,29100000,77900000,77900000,443338000,443338000,31033000,10646000,20387000,552271000,57067000,1248821000,345370000,894888000,8563000,1305888000,1858159000,135600000,14467000,120356000,47148000,47148000,182748000,565929000,79266000,69439000,9827000,645195000,827943000,574869000,457511000,-2164000,1030216000,1030216000,1858159000,29100000,14400000,6700000,4500000,54700000,-6200000,-6200000,-6200000,-21896.0929240592,-6200000,-2100000,-7700000,40800000,40800000,4e+05,41200000,60100000,565929000,68300000,0.31772,0.0667,0.04247,0.02825,0.01566,2.34708,3.02204,0.80366,0.30456,0.55747,0.55081,13.12644,19.73594,1.30843,9,0.01737,0.04077,8.12028,10.67897
"34","2018_Q3",86.3652380952381,"Up",878500000,-614600000,263900000,-198200000,-179700000,65700000,-20500000,-20500000,45200000,45200000,-11500000,33700000,33600000,33600000,33600000,44657000,44657000,558040000,558040000,34608000,15291000,19317000,637305000,83986000,1953743000,521198000,1420012000,12533000,2037729000,2675034000,211993000,26983000,179830000,67127000,67127000,279120000,1240886000,86286000,68755000,17531000,1327172000,1606292000,582469000,491072000,-4799000,1068742000,1068742000,2675034000,33600000,28600000,16700000,-2100000,76800000,-8400000,-8400000,-8400000,-1e+05,-7.69e+08,-28900000,660100000,-32100000,-32100000,-1100000,-33200000,94300000,1240886000,95300000,0.3004,0.07479,0.03825,0.03144,0.01256,2.83631,2.28327,1.50297,0.46388,0.64264,0.63385,16.80246,20.44109,1.82274,5,0.01402,0.03978,12.68536,18.20744
"35","2018_Q4",65.1879365079365,"Down",906400000,-636300000,270100000,-195900000,-177300000,74200000,-14600000,-14600000,59600000,59600000,-10500000,49100000,49100000,49100000,49100000,40888000,40888000,572864000,572864000,32847000,13606000,19241000,646599000,81672000,1936319000,502557000,1420636000,13126000,2017991000,2664590000,232799000,28921000,195698000,58618000,58618000,291417000,1154154000,89195000,71712000,17483000,1243349000,1534766000,594647000,540244000,-5067000,1129824000,1129824000,2664590000,49100000,28300000,14300000,4e+05,92100000,-7500000,-7500000,-7500000,0,-7300000,-5400000,-88500000,-3700000,-3700000,-1e+05,-3800000,102500000,1154154000,105900000,0.29799,0.08186,0.05417,0.04346,0.01843,2.15682,2.21881,1.35841,0.43315,0.93674,0.92363,17.29243,21.55495,2.02038,5,0.02069,0.04462,10.86113,15.00358
"36","2019_Q1",62.5219672131148,"Down",929700000,-657700000,2.72e+08,-197400000,-183600000,74600000,-14300000,-14300000,60300000,60300000,-14300000,4.6e+07,45900000,45900000,45900000,41800000,41800000,613800000,613800000,30700000,11400000,19300000,686300000,79100000,1922400000,488700000,1421100000,12600000,2001500000,2687800000,241300000,43100000,194800000,66900000,66900000,308200000,1100400000,97100000,79800000,17300000,1197500000,1505700000,602300000,586100000,-6300000,1182100000,1182100000,2687800000,45900000,23700000,23600000,-29400000,63800000,-6600000,-6600000,-6600000,3e+05,-6200000.00000012,-1200000,-56100000,1500000,1500000,-6e+05,900000.000000007,98300000,1100400000,76600000,0.29257,0.08024,0.04937,0.03883,0.01708,1.66885,2.2268,1.27375,0.40941,0.87542,0.85955,17.73154,22.54539,1.46094,4,0.01929,0.03219,10.76907,14.19035
"37","2019_Q2",60.0690476190476,"Down",923700000,-659800000,263900000,-201200000,-187400000,62700000,-14500000,-14500000,48200000,48200000,-13300000,34900000,34900000,34900000,34900000,35600000,35600000,618700000,618700000,37100000,16900000,20200000,691400000,7.7e+07,2046200000,493400000,1445500000,107300000,2123200000,2814600000,231700000,27800000,188200000,8.2e+07,8.2e+07,313700000,1107700000,165900000,79700000,86200000,1273600000,1587300000,613700000,6.21e+08,-7400000,1227300000,1227300000,2814600000,34900000,23500000,12200000,-26600000,4.4e+07,-7500000,-7500000,-7500000,-7e+05,-5.7e+07,-5500000,7400000,-5600000,-5600000,-6e+05,-6200000,86200000,1107700000,65400000,0.2857,0.06788,0.03778,0.02844,0.0124,1.87393,2.20402,1.29333,0.39356,0.6635,0.65602,17.56084,23.3327,1.24335,4,0.01395,0.02615,12.43735,17.09888
"38","2019_Q3",61.750625,"Up",972300000,-687100000,285200000,-211900000,-198800000,73300000,-1.4e+07,-1.4e+07,59300000,59300000,-16200000,43100000,43100000,43100000,43100000,40100000,40100000,621500000,621500000,35500000,15200000,20300000,697100000,75200000,2026700000,476900000,1445600000,104200000,2101900000,2.799e+09,234100000,24100000,196500000,92400000,92400000,326500000,1.026e+09,162800000,78900000,83900000,1188800000,1515300000,6.26e+08,664100000,-6400000,1283700000,1283700000,2.799e+09,43100000,23100000,19600000,10700000,96500000,-8400000,-8400000,-8400000,-2e+05,-8300000.00000001,-1300000,-84300000,3900000,3900000,6e+05,4500000,96400000,1.026e+09,114900000,0.29333,0.07539,0.04433,0.03357,0.0154,2.66589,2.13507,1.18042,0.36656,0.81629,0.80712,18.41477,24.3125,2.17614,5,0.01743,0.04647,10.22718,13.4502
"39","2019_Q4",65.2778125,"Up",1002700000,-711300000,291400000,-200500000,-188600000,90900000,-12700000,-12700000,78200000,78200000,-20700000,57500000,57400000,57400000,57400000,67500000,67500000,650500000,650500000,29100000,10200000,18900000,747100000,72600000,2011900000,464900000,1444700000,102300000,2084500000,2831600000,266600000,27100000,220700000,86800000,86800000,353400000,985200000,161500000,78700000,82800000,1146700000,1500100000,634900000,705400000,-8800000,1331500000,1331500000,2831600000,57400000,22200000,11400000,3e+05,91300000,-6900000,-6900000,-6900000,8e+05,-6100000,-9e+05,-57100000,28100000,28100000,-7e+05,27400000,113100000,985200000,127200000,0.29062,0.09066,0.05725,0.04311,0.02027,2.21603,2.11404,1.12662,0.34793,1.08918,1.0709,19.02657,25.26565,2.41366,5,0.02316,0.05133,8.11406,10.09571
"40","2020_Q1",56.65,"Down",516900000,-385900000,1.31e+08,-81700000,-70200000,49300000,-11700000,-11700000,37600000,18700000,-4500000,14200000,39300000,39300000,39300000,95200000,95200000,648700000,648700000,47600000,29400000,18200000,791500000,73700000,2076200000,476500000,1486900000,112800000,2149900000,2941400000,242400000,39200000,203200000,98500000,98500000,340900000,1032300000,1.92e+08,98700000,93300000,1224300000,1565200000,638500000,744700000,-7e+06,1376200000,1376200000,2941400000,39300000,22400000,49900000,-30200000,81400000,-9900000,-9900000,-9900000,1e+05,-77700000,-12300000,23500000,27200000,27200000,5e+05,27700000,71700000,1032300000,36100000,0.25343,0.09538,0.07603,0.02856,0.01336,0.91858,2.3218,1.13733,0.35096,0.74011,0.73596,9.73446,25.91714,0.67985,5,0.01511,0.01388,13.06974,19.00811
"41","2020_Q2",53.0509523809524,"Down",990500000,-709600000,280900000,-2.1e+08,-197900000,70900000,-11400000,-11400000,59500000,59500000,-15700000,43800000,43800000,43800000,43800000,6.4e+07,6.4e+07,6.83e+08,6.83e+08,42700000,21600000,21100000,789700000,8e+07,2147800000,487100000,1.547e+09,113700000,2227800000,3017500000,249200000,33700000,215500000,1.12e+08,1.12e+08,361200000,1065500000,191300000,98600000,92700000,1256800000,1.618e+09,639200000,769800000,-9500000,1399500000,1399500000,3017500000,43800000,21400000,10400000,-11500000,64100000,-15300000,-15300000,-15300000,-2e+05,-1.01e+08,-4900000,6100000,-30800000,-30800000,-4e+05,-31200000,92300000,1065500000,81200000,0.28359,0.07158,0.04422,0.0313,0.01452,1.85388,2.18632,1.15613,0.35311,0.82955,0.82176,18.75947,26.50568,1.53788,5,0.01649,0.03057,10.85049,14.12553
"42","2020_Q3",68.80578125,"Up",706800000,-517600000,189200000,-126300000,-1.14e+08,62900000,-9700000,-9700000,53200000,53200000,-14400000,38800000,48800000,48800000,48800000,207900000,207900000,612100000,612100000,34600000,15900000,18700000,854600000,79200000,2131700000,474600000,1547300000,109800000,2210900000,3065500000,2.44e+08,37500000,206500000,113300000,113300000,357300000,1032900000,218200000,98600000,119600000,1251100000,1608400000,646400000,818600000,-7900000,1457100000,1457100000,3065500000,48800000,21600000,1e+07,105700000,186100000,-7300000,-7300000,-7300000,-1e+05,-7400000.00000001,-2300000,-35300000,143400000,143400000,5e+05,143900000,84500000,1032900000,197300000,0.26769,0.08899,0.06904,0.03349,0.01592,4.04303,2.39183,1.10384,0.33694,0.92776,0.9225,13.43726,27.70152,3.75095,7,0.01802,0.07285,9.76331,13.11606
"43","2020_Q4",76.91203125,"Up",904400000,-668100000,236300000,-162800000,-150100000,73500000,-9300000,-9300000,64200000,64200000,-17500000,46700000,52300000,52300000,52300000,229700000,229700000,676500000,676500000,28500000,10300000,18200000,934700000,74200000,2202700000,496800000,1590900000,1.15e+08,2276900000,3211600000,286600000,50100000,236500000,102800000,102800000,389400000,1033200000,264800000,107200000,157600000,1.298e+09,1687400000,658200000,870900000,-4900000,1524200000,1524200000,3211600000,52300000,22599999,8900000,3800000,87599999,-5700000,-5700000,-5700000,0,-71700000,-1e+06,4800000,20699999,20699999,1100000,21799999,96099999,1033200000,111699999,0.26128,0.08127,0.05783,0.03431,0.01628,2.13576,2.40036,1.10707,0.32171,0.99809,0.98493,17.25954,29.08779,2.13168,6,0.01853,0.03958,8.36108,10.93197
"44","2021_Q1",92.3640983606557,"Up",900400000,-659600000,240800000,-166900000,-1.53e+08,73900000,-9300000,-9300000,64600000,64600000,-16300000,48300000,55400000,55400000,55400000,274400000,274400000,602800000,602800000,117200000,22500000,17300000,994400000,54900000,2228700000,469900000,1420700000,93600000,2283600000,3.278e+09,276800000,38300000,238500000,139400000,139400000,416200000,1033400000,241300000,108500000,132800000,1274700000,1690900000,661800000,926300000,-1e+06,1587100000,1587100000,3.278e+09,55400000,24100001,10199999,-2700000.00000001,8.7e+07,-4300000,-4300000,-4300000,1e+05,-38900000,-5e+06,-4600000.00000001,43500000,43500000,1200000,44700000,98000001,1033400000,107300001,0.26744,0.08207,0.06153,0.03491,0.0169,1.93682,2.38924,1.0654,0.31525,1.04528,1.02783,16.98868,29.94528,2.02453,8,0.01936,0.03749,7.7449,10.27064
"45","2021_Q2",102.177301587302,"Up",9.07e+08,-663300000,243700000,-176300000,-164300000,67400000,-9200000,-9200000,58200000,58200000,-15400000,42800000,48700000,48700000,48700000,386500000,386500000,646900000,646900000,40800000,20200000,20600000,1074200000,68300000,2.192e+09,475600000,1617500000,98900000,2260300000,3334500000,314600000,29900000,284700000,114300000,114300000,428900000,1033700000,226100000,108600000,117500000,1259800000,1688700000,6.75e+08,9.75e+08,-4200000,1645800000,1645800000,3334500000,48700000,2.2e+07,11300000,37800000,119800000,-9300000,-9300000,-9300000,-1e+05,-9400000,-4800000,2900000,113300000,113300000,-1200000,112100000,89400000,1033700000,133300000,0.26869,0.07431,0.05369,0.02959,0.0146,2.73717,2.50455,1.02607,0.31,0.91887,0.90689,17.11321,31.05283,2.51509,6,0.01676,0.04588,7.23937,9.60237
"46","2021_Q3",105.24421875,"Up",974900000,-698600000,276300000,-188400000,-176400000,87900000,-9400000,-9400000,78500000,78500000,-21200000,57300000,64200000,64200000,64200000,375400000,375400000,624700000,624700000,371500000,12700000,16900000,1371600000,54200000,2.033e+09,475500000,1475500000,8.2e+07,2087200000,3458800000,311600000,33100000,278500000,186800000,124700000,498400000,1033700000,206900000,98097121.6984316,206900000,1240600000,1.739e+09,683500000,1039200000,-2900000,1719800000,1719800000,3458800000,64200000,21400000,12600000,-13300000,84900000,-8300000,-8300000,-8300000,1e+05,-9.4e+07,-3100000,-3100000,-12200000,-12200000,1200000,-1.1e+07,109300000,1033700000,108900000,0.28341,0.09016,0.06585,0.03733,0.01856,1.69626,2.75201,1.01116,0.29886,1.20677,1.19109,18.32519,32.32707,2.04699,8,0.02169,0.03679,6.02287,7.48919
"47","2021_Q4",122.28140625,"Up",1073800000,-765100000,308700000,-208600000,-192700000,100100000,-9600000,-9600000,90500000,90500000,-24200000,66300000,2.12e+08,2.12e+08,2.12e+08,679400000,679400000,697700000,697700000,45100000,10900000,34200000,1422200000,52100000,2152200000,509900000,1562600000,79700000,2204300000,3626500000,474299999,3.2e+07,312100000,116700000,116700000,590999999,1033500000,167600000,6.6e+07,101600000,1201100000,1792099999,689200000,1145500000,-3e+05,1834400000,1834400000,3626499999,2.12e+08,24100000,-239500000,74600000,71200000,-8e+06,-8e+06,-8e+06,1e+05,352600000,-7400000,-119200000,304600000,304600000,-7e+05,303900000,124200000,1033500000,2.15e+08,0.28748,0.09322,0.19743,0.11557,0.05846,1.01415,2.40643,0.97694,0.28499,4.01515,3.96262,20.33712,34.74242,4.07197,7,0.06984,0.07083,2.85105,3.53746
"48","2022_Q1",113.349516129032,"Down",1053800000,-740100000,313700000,-218200000,-202400000,95500000,-9300000,-9300000,86200000,86200000,-20800000,65400000,8.5e+07,8.5e+07,8.5e+07,529600000,529600000,708200000,708200000,71600000,41200000,30400000,1309400000,5.5e+07,2138400000,487900000,1569500000,8.1e+07,2193400000,3502800000,325600000,20100000,305500000,125300000,125300000,450900000,1033900000,152600000,2508634.90470535,152600000,1186500000,1637400000,691300000,1174400000,-3e+05,1865400000,1865400000,3502800000,8.5e+07,22100000,3.8e+07,-227300000,-82200000,-9100000,-9100000,-9100000,1e+05,-2700000,-2100000,-6.5e+07,-149900000,-149900000,1e+05,-149800000,117600000,1033900000,-9.8e+07,0.29768,0.09062,0.08066,0.04557,0.02427,-1.15294,2.90397,0.87777,0.29516,1.64093,1.61905,20.34363,36.01158,-1.89189,7,0.02785,-0.03211,4.28827,5.28063
"49","2022_Q2",102.549677419355,"Down",1.091e+09,-764400000,326600000,-2.26e+08,-212100000,100600000,-9300000,-9300000,91300000,91300000,-23700000,67600000,66800000,66800000,66800000,502400000,502400000,775800000,775800000,34199999,17800000,16399999,1312399999,58600000,2120200000,4.74e+08,1569600000,76600000,2178800000,3491199999,333600000,21400000,312200000,105500000,105500000,439100000,1034200000,148700000,-102176973.587452,148700000,1182900000,1.622e+09,696500000,1.173e+09,-3e+05,1869200000,1869200000,3491200000,66800000,20100000,15600000,-46500000,5.6e+07,-9600000,-9600000,-9600000,698767.320470032,2e+05,-16900000,-83400000,-27200000,-27200000,11801519.508541,-27200000,120700000,1034200000,88300000,0.29936,0.09221,0.06123,0.03574,0.01913,1.32186,2.98884,0.86775,0.29623,1.28462,1.26276,20.98077,35.94615,1.69808,8,0.02189,0.02893,4.40597,5.28628
"50","2022_Q3",98.85175,"Down",1141800000,-797800000,3.44e+08,-233900000,-220400000,110100000,-10100000,-10100000,1e+08,1e+08,-27400000,72600000,72500000,72500000,72500000,490600000,490600000,843200000,843200000,32500000,17200000,15300000,1366300000,59500000,2098700000,460500000,1560100000,78100000,2158200000,3524500000,370099999,32799999,337300000,122300000,122300000,492399999,1034500000,141500000,-257856825.476473,141500000,1.176e+09,1668399999,692600000,1165500000,-2e+06,1856100000,1856100000,3524499999,72500000,19700000,13500000,-17300000,88400000,-8800000,-8800000,-8800000,2500000,-6300000,-179800000,-2.71e+08,-188900000,-188900000,41404558.5256229,-188900000,166823593.185939,1034500000,1787461528.43347,0.30128,0.09643,0.0635,0.03906,0.02057,15.0980822983435,2.77478,0.89887,0.29352,1.40504,1.38623,22.12791,35.97093,34.2011981994983,9.52446864437062,0.02391,0.586116461862437,-3.55293060095849,4.94005
