"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",2.6209375,"Down",11305000,-5853000,5452000,-3766000,-2999000,-767000,1686000,1670000,1694000,-16000,1678000,1678000,1678000,1678000,11828208.2726842,11828208.2726842,-950363.289035039,-950363.289035039,5197987.51717265,3476619.87166245,1671424.62186947,19552452.3724842,-107273.05155335,4582538.02416654,-4689811.0757199,12582193.8807283,1282367.8049143,1678630.05208026,152229.004375447,12474920.8291749,32027373.2016591,6053138.98470856,939260.669490848,5113878.31521771,-759482.879089768,-759220.445004794,5293656.10561879,-406093.637585307,-406093.637580847,-406093.637585307,4887562.46804039,25823240.2047598,-428252.211385927,1012944.63637814,731878.103866714,27139810.7336188,27139810.7336188,32027373.2016591,1678000,91000,166000,1085000,3020000,-9000,-9000,3011000,3011000,52000,3063000,1777000,0,2869000,0.48226,0.14914,0.14843,0.558077092324816,0.469236439171903,1.70977,3.30739812947882,0.199270525422671,3.36656488798731e-24,0.16725,0.1646,1.12678,2.69850929938679,0.28596,0.560762804893308,-0.555120485785068,-3.96351202672866,-5.36612766132775
"2","2011_Q1",3.58370967741935,"Up",10110000,-5322000,4788000,-3424000,-2635000,-789000,1364000,1360000,1425000,-131000,1294000,1294000,1294000,1294000,6895000,6895000,6244000,6244000,3489000,430000,430000,17058000,718000,4299000,-3581000,3632000,1077000,1656000,899000,4350000,21408000,4703000,1672000,3031000,562000,562000,5265000,39000,39000,39000,5304000,26078000,-736000,-10549000,1311000,16104000,16104000,21408000,1294000,114000,-235000,1633000,2806000,-575000,-575000,706000,706000,-8000.00000000001,698000,1478000,0,2667000,0.47359,0.13492,0.12799,0.08035,0.06044,2.06105,3.23989,0.32936,0,0.12915,0.12759,1.00908,1.60735,0.26619,0.08016,0.16521,-4.66509,-5.05499
"3","2011_Q2",3.47920634920635,"Down",11704000,-6611000,5093000,-3832000,-3019000,-813000,1261000,1263000,1317000,-60000,1257000,1257000,1257000,1257000,6600430.57577194,6600430.57577194,8698204.42967835,8698204.42967835,3477920.82760912,-342789.957220816,50191.7927101762,18433765.8758386,1072591.01718445,4136153.99194449,-3063562.97476004,1639602.03975724,986127.398361902,1648456.64930658,1053673.66520818,2712193.05694169,21145958.9327803,4548953.67176381,2044996.44350305,2503957.22826076,1007910.95969659,1007823.48166826,5556864.6314604,161281.212528436,161281.212526949,161281.212528436,5718145.84398654,26159753.2650801,-749582.596204691,-11458064.8787927,1475707.2987111,15427813.0887937,15427813.0887937,21145958.9327803,1257000,104000,1000,-2535000,-1173000,-534000,-534000,-1677000,-1677000,30000,-1647000,1365000,0,-1644000,0.43515,0.10774,0.1074,0.00767263589172798,-0.00329881305730106,-1.30788,3.37690729017373,0.344828158192443,-1.12218829599577e-24,0.12485,0.12244,1.16252,1.53152106687107,-0.16329,0.006676565035564,0.323976828595023,-3.66404015775711,-3.51487327955742
"4","2011_Q3",2.96203125,"Down",13800000,-7002000,6798000,-4075000,-3253000,-822000,2723000,2725000,2733000,-77999.9999999999,2655000,2655000,2655000,2655000,8879000,8879000,8278000,8278000,4267000,166000,166000,21590000,1137000,4069000,-2932000,3547000,1010000,1656000,881000,4684000,26274000,4940000,2105000,2835000,941000,941000,5881000,98000,98000.0000000001,98000,5979000,26144000,-610000,-6637000,1398000,20295000,20295000,26274000,2655000,105000,158000,771000,3689000,-66000.0000000001,-66000,3623000,3623000,7999.99999999999,3631000,2828000,0,3611000,0.49261,0.19732,0.19239,0.13082,0.10105,1.36008,3.67114,0.2946,0,0.26166,0.25784,1.36006,2.00017,0.35588,0.13019,0.17707,-3.13967,-3.26074
"5","2011_Q4",2.39873015873016,"Down",11681000,-5548000,6133000,-3718000,-2909000,-809000,2415000,2416000,2420000,2762000,5182000,5182000,5182000,5182000,12064000,12064000,6816000,6816000,4674000,850000,367000,24404000,1098000,4064000,-2966000,5725000,976000,1656000,671000,6823000,31227000,5009000,1733000,3276000,777000,777000,5786000,0,0,0,5786000,26113000,-472000,-1455000,1255000,25441000,25441000,31227000,5182000,95000,-2577000,593000,3293000,-45000,-45000,3248000,3248000,-63000,3185000,2510000,0,296000,0.52504,0.20675,0.44363,0.20369,0.16595,0.05712,4.21777,0.22743,0,0.5089,0.50324,1.14713,2.49843,0.02907,0.20369,0.01163,-4.80637,-4.99545
"6","2012_Q1",3.22112903225806,"Up",10081000,-5212000,4869000,-3690000,-2894000,-796000,1179000,1174000,1189000,-420000,769000,769000,769000,769000,13957000,13957000,6189000,6189000,3896000,755000,302000,24797000,1134000,4099000,-2965000,5306000,942000,1656000,680000,6440000,31237000,4177000,1031000,3146000,861000,861000,5038000,-7.27595761418343e-12,7.27595761418343e-12,-7.27595761418343e-12,5038000,26140000,-472000,-686000,1217000,26199000,26199000,31237000,769000,90000,846000,308000,2013000,-81000,-81000,1932000,1932000,-39000,1893000,1269000,-2.46519032881566e-32,1916000,0.48299,0.11695,0.07628,0.02935,0.02462,2.49155,4.92199,0.1923,7.3468396926393e-40,0.07544,0.07479,0.98895,2.57012,0.18796,0.02935,0.07313,-10.99842,-11.838
"7","2012_Q2",3.3515873015873,"Up",10731000,-6135000,4596000,-4321000,-3397000,-924000,275000,275000,-71000,28000,-43000,-43000,-43000,-43000,10101000,10101000,7942000,7942000,4740000,775000,302000,23558000,1236000,4242000,-3006000,7074000,2522000,1835000,702000,8310000,31868000,4754000,1941000,2813000,884000,884000,5638000,0,0,0,5638000,26167000,-472000,-729000,1264000,26230000,26230000,31868000,-43000,218000,217000,-478000,-86000,-106342.094864782,-3802000,-3888000,-3888000,32000,-3856000,493000,0,2428945.93563249,0.42829,0.02563,-0.00401,-0.00164,-0.00135,2.24726405827013,4.17843,0.21494,0,-0.00421,-0.00421,1.05153,2.57028,0.238126993985819,-0.00164,0.0877919707443396,-20.48884,-36.73091
"8","2012_Q3",2.83460317460317,"Down",13576000,-7382000,6194000,-4200000,-3220000,-980000,1994000,1994000,1994000,-660000,1334000,1334000,1334000,1334000,11699000,11699000,9270000,9270000,4449000,723000,251000,26141000,1230000,4339000,-3109000,6396000,2407000,1706000,645000,7626000,33767000,4942000,2117000,2825000,1241000,1241000,6183000,0,0,0,6183000,26145000,-341000,605000,1175000,27584000,27584000,33767000,1334000,253000,781000,-575000,1793000,-129000,-129000,1664000,1664000,-66000,1598000,2247000,3.94430452610506e-31,2203000,0.45625,0.14688,0.09826,0.04836,0.03951,1.65142,4.22788,0.22415,0,0.12984,0.12877,1.32142,2.68488,0.21443,0.04836,0.07987,-5.2065,-5.8671
"9","2012_Q4",2.47225806451613,"Down",10799000,-6037000,4762000,-3773000,-2767000,-1006000,989000,989000,1012000,-348000,664000,664000,664000,664000,14700000,14700000,6892000,6892000,3843000,811000,373000,26246000,1246000,4420000,-3174000,6176000,2300000,1706000,615000,7422000,33668000,4465000,1488000,2977000,822000,822000,5287000,0,0,0,5287000,26115000,-204000,1269000,1201000,28381000,28381000,33668000,664000,225000,387000,1843000,3119000,-141000,-141000,2978000,2978000,23000,3001000,1214000,0,3264000,0.44097,0.09158,0.06149,0.0234,0.01972,4.91566,4.96425,0.18629,0,0.06445,0.06409,1.0482,2.75479,0.31682,0.0234,0.11501,-12.10873,-14.8635
"10","2013_Q1",3.08,"Up",8270000,-4763000,3507000,-3456000,-2471000,-985000,50999.9999999998,50999.9999999999,118000,83000,201000,201000,201000,201000,15576000,15576000,5501000,5501000,3135000,1367000,363000,25579000,1250000,4539000,-3289000,5570000,2194000,1706000,636000,6820000,32399000,3865000,1041000,2824000,714000,631000,4579000,2.8421709430404e-14,0,0,4579000,26135000,-204000,636000,1253000,27820000,27820000,32399000,201000,237000,156000,1225000,1819000,-142000,-142000,843000,843000,33000,876000,288000,6.3108872417681e-30,1288000,0.42406,0.00616999999999998,0.0243,0.00723,0.0062,6.40796,5.58615,0.16459,0,0.01949,0.01921,0.80197,2.69778,0.1249,0.0372,0.0463,-54.08333,-305.41176
