"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",32.3091803278689,"Up",417800000,-173200000,244600000,-343500000,-171900000,-171600000,-98900000,-131500000,-127800000,-3700000,-230400000,-385800000,4500000,-381300000,-381300000,430700000,49400000,-510800000,1803200000,1803200000,441200000,396400000,172300000,2640800000,2436500000,16265700000,10445100000,5235700000,584900000,18702200000,2.1343e+10,6.3e+08,2.23e+08,4.07e+08,1128800000,1.87e+08,1.87e+08,1945800000,9070200000,2690600000,1982800000,707800000,11760800000,13706600000,1.755e+09,2.31e+08,-107800000,5175200000,2461200000,7636400000,2.1343e+10,-381300000,20100000,315800000,-70900000,-116300000,-20200000,-3.9e+08,-7.781e+09,-28200000,8.886e+09,4e+05,4e+05,-158200000,8.7e+09,802700000,802700000,-13200000,789500000,-78800000,1.0199e+10,-174400000,0.58545,-0.23672,-1.22259,-0.06689,-0.02393,0.34143,1.35718,1.7949,0.47786,-1.60075,-1.43806,1.30931,5.88593,-0.54654,0.08837,-0.02351,-0.0085,-0.05521,-106.54569,-84.89181
"2","2015_Q2",32.0426984126984,"Down",933300000,-562300000,3.71e+08,-148600000,-1.11e+08,-37600000,222400000,-121400000,-123100000,1700000,1.01e+08,101300000,-50700000,50600000,50600000,9800000,60400000,-8300000,1021900000,1021900000,361500000,339900000,198700000,1723300000,2400500000,15251600000,8819700000,5360200000,1071700000,17652100000,19375400000,774800000,233900000,540900000,39100000,125900000,125900000,939800000,9122500000,2499400000,1756300000,743100000,11621900000,12561700000,1766400000,201300000,-4.4e+08,4824700000,1.989e+09,6813700000,19375400000,50600000,48800000,107400000,54900000,261700000,-29400000,62099999.9999999,32700000,-111704928.65662,-1020600000,2500000,2500000,1400000,-1016700000,-722300000,-722300000,-5.9e+07,-781300000,271200000,9161600000,347400000,0.39751,0.23829,-0.00889000000000006,-0.00122,-0.000429999999999996,-41.85542,1.83369,1.84359,0.47285,-0.04105,-0.0177700000000003,4.61573,7.55539,1.7181,0.536946504376984,-0.000449999999999999,0.0188,15.6817834416912,30.01364,36.59937
"3","2015_Q3",32.296875,"Up",1042200000,-596500000,445700000,-137200000,-1.02e+08,-35200000,308500000,-129600000,-123200000,-6400000,178900000,1.39e+08,-45200000,93800000,93800000,-15300000,78500000,1.1e+07,688900000,688900000,360200000,355200000,196900000,1404300000,2.393e+09,15230400000,8898100000,5437900000,894400000,17623400000,19027700000,830500000,250800000,579700000,46300000,125800000,125800000,1002600000,8813200000,2370600000,1736800000,633800000,11183800000,12186400000,1774400000,190400000,-420300000,4841500000,1999800000,6841300000,19027700000,93800000,45900000,45500000,61300000,246500000,-27600000,-29600000,-57200000,-124500000,-321800000,1200000,1200000,-83400000,-528500000,-339200000,-339200000,6200000,-3.33e+08,354400000,8859500000,433300000,0.42765,0.29601,0.01055,0.00161,0.00058,39.39091,1.40066,1.7813,0.46561,0.05435,0.02265,5.14921,7.63093,2.14081,0.61512,0.0075,0.02398,11.31818,23.05474,26.48493
"4","2015_Q4",30.02484375,"Down",1019700000,-5.61e+08,458700000,-113700000,-104300000,-9400000,3.45e+08,-1.17e+08,-1.16e+08,-1e+06,2.28e+08,227600000,-44800000,182800000,182800000,-65800000,1.17e+08,49500000,975500000,975500000,371500000,294600000,154700000,1641600000,2.212e+09,15181100000,9408900000,4617300000,1154900000,17393100000,19034700000,1046600000,337500000,709100000,56500000,112600000,112600000,1215700000,8679600000,2537600000,1689200000,848400000,11217200000,12432900000,1794600000,220500000,-561100000,4.751e+09,1850800000,6601800000,19034700000,182800000,43100000,-4100000.00000001,220400000,442200000,-25900000,10400000,-15500000.0000001,-114300000,-18199999.9999998,0,0,-3200000,-135700000,2.91e+08,2.91e+08,-4400000,286600000,388100000,8736100000,627400000,0.44984,0.33833,0.04854,0.0075,0.0026,12.67475,1.35033,1.88326,0.45896,0.24469,0.1039,5.04053,7.18735,3.10133,0.565,0.00916,0.0351,2.30909,19.99639,22.49449
"5","2016_Q1",28.5419672131148,"Down",1.057e+09,-592900000,464100000,-143700000,-120400000,-23300000,320400000,-114400000,-1.16e+08,1600000,2.06e+08,2.06e+08,-21500000,184500000,184500000,-65300000,119200000,51700000,757800000,757800000,4.22e+08,108400000,50900000,1369500000,2150600000,1.4891e+10,9147800000,4574400000,337900000,17041600000,18411100000,896400000,361500000,534900000,56100000,168500000,168500000,1.121e+09,8665700000,2414700000,1618800000,795900000,11080400000,12201400000,1824500000,245800000,-733700000,4633600000,1576100000,6209700000,18411100000,184500000,44200000,128100000,-102400000,254400000,-32400000,10900000,-21500000,-123600000,-17200000,-7e+05,-7e+05,-292800000,-434300000,-201400000,-201400000,-16300000,-217700000,364600000,8721800000,251300000,0.43907,0.30312,0.04891,0.00833,0.00281,4.86074,1.22168,1.96489,0.47373,0.24964,0.10889,5.10381,6.45389,1.21342,0.59681,0.01011,0.01449,2.39072,21.84312,24.85643
"6","2016_Q2",34.07515625,"Up",918500000,-492400000,426100000,-1.14e+08,-73200000,-40800000,312100000,-96600000,-115100000,18500000,215500000,215500000,-47200000,168300000,168300000,-50800000,117500000,5e+07,825900000,825900000,366400000,280700000,229800000,1.473e+09,2169600000,15313900000,9539500000,4797700000,976700000,17483500000,18956500000,919600000,361300000,558300000,57600000,132500000,132500000,1109700000,8679200000,2531900000,1613400000,918500000,11211100000,12320800000,1907800000,263300000,-568700000,4899400000,1736300000,6635700000,18956500000,168300000,42100000,37600000,-64700000,183300000,-5599999.99999999,12400000,6800000,-128300000,-17200000,6500000,6500000,3099999.99999994,-135900000,54200000.0000001,54200000.0000001,13900000,68100000,354200000,8736800000,331100000,0.46391,0.33979,0.05444,0.00754,0.00264,6.622,1.32739,1.85674,0.46089,0.21739,0.10675,3.99348,6.96696,1.43957,0.55783,0.00996,0.01849,2.566,22.33456,25.34732
"7","2016_Q3",37.4821875,"Up",1040200000,-549900000,490300000,-61800000,-73100000,11300000,428500000,-121700000,-117200000,-4500000,306800000,306800000,-59200000,247600000,247600000,-89200000,158400000,90900000,998100000,998100000,380200000,262200000,217500000,1640500000,2140500000,15340800000,9541200000,4815700000,983900000,17481300000,19121800000,920400000,359900000,560500000,94900000,131400000,131400000,1146700000,8636800000,2522900000,1631200000,891700000,11159700000,12306400000,1923200000,318800000,-540400000,4998600000,1816800000,6815400000,19121800000,247600000,43600000,29800000,1e+06,3.22e+08,-7200000,12200000,5e+06,-131900000,-17400000,4200000,4200000,-2e+06,-147100000,179900000,179900000,-7700000,172200000,472100000,8731700000,525100000,0.47135,0.41194,0.08739,0.01334,0.00475,5.77668,1.43063,1.80568,0.45664,0.40009,0.19336,4.57835,7.48944,2.31118,0.58055,0.01233,0.02906,1.45105,16.38128,18.04807
"8","2016_Q4",38.2461904761905,"Up",1075700000,-566900000,508800000,-90900000,-82200000,-8700000,417900000,-114700000,-117300000,2600000,303200000,303200000,-64600000,238600000,238600000,-84800000,153800000,86300000,1274400000,1274400000,374300000,228500000,170800000,1877200000,2095800000,15220400000,9.434e+09,4.762e+09,1024400000,17316200000,19193400000,971600000,352100000,619500000,94100000,124200000,124200000,1189900000,8635200000,2552200000,1648700000,903500000,11187400000,12377300000,1935800000,367400000,-594900000,5005300000,1810800000,6816100000,19193400000,238600000,43300000,4.5e+07,86800000,413700000,-5400000,12900000,7499999.99999999,-136700000,-18100000,1800000,1800000,-299999.999999985,-153300000,267900000,267900000,8400000,276300000,461200000,8729300000,607200000,0.47299,0.38849,0.08023,0.01266,0.0045,7.03592,1.57761,1.81589,0.45481,0.38001,0.18338,4.73668,7.52224,2.67371,0.60194,0.01232,0.03355,1.58401,16.16414,17.83896
"9","2017_Q1",43.5641935483871,"Up",1111600000,-571800000,539800000,-51300000,-90500000,39200000,488500000,-1.14e+08,-117400000,3400000,374500000,374500000,-7.3e+07,301500000,301500000,-115200000,186300000,118800000,1460400000,1460400000,403500000,161300000,103600000,2.097e+09,2054700000,14973200000,9.228e+09,4675100000,352200000,17027900000,19124900000,922400000,369800000,552600000,93900000,194400000,194400000,1210700000,8628600000,2.5e+09,1715100000,784900000,11128600000,12339300000,1955100000,445700000,-698300000,4999500000,1786100000,6785600000,19124900000,301500000,4.3e+07,26600000,-40100000,3.31e+08,-15800000,23500000,7700000,-141100000,-17300000,1500000,1500000,2200000,-154700000,1.84e+08,1.84e+08,-16600000,167400000,531500000,8722500000,548600000,0.48561,0.43946,0.10687,0.01751,0.00621,4.61785,1.73206,1.81845,0.45608,0.48039,0.25228,4.49495,6.88435,2.21836,0.57056,0.01443,0.03046,1.18771,13.66341,14.86612
"10","2017_Q2",49.2198412698413,"Up",1000600000,-534400000,466200000,-135700000,-121900000,-13800000,330500000,-105700000,-111400000,5700000,224800000,204400000,-37800000,166600000,166600000,-48900000,117700000,50200000,923900000,923900000,3.62e+08,207900000,122200000,1577100000,2140400000,17104900000,10293500000,5787300000,364300000,19245300000,20822400000,1025700000,391400000,634300000,110100000,139100000,139100000,1274900000,9.758e+09,2895200000,2089200000,8.06e+08,12653200000,13928100000,1.987e+09,453300000,-666600000,5070700000,1823600000,6894300000,20822400000,166600000,43400000,72300000,6600000,288900000,-4100000,15300000.0000001,-1624700000,-145900000,980100000,8e+06,8e+06,-32900000,809300000,-526500000,-526500000,3300000,-523200000,373900000,9868100000,414200000,0.46592,0.3303,0.05017,0.00728,0.00241,8.251,1.23704,2.02023,0.47392,0.22124,0.10535,4.40987,7.8171,1.82547,0.64301,0.00998,0.02107,2.90637,23.92137,27.06263
