"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.67109375,"Down",-38342000,-22014000,-11883000,-6457000,-1318000,-897000,-7775000,-7775000,2340000,-5435000,-5435000,-5435000,-5435000,163383000,160073000,3310000,19602000,3126000,239035000,2227000,244866000,9369000,247093000,486128000,86373000,82653000,3720000,103453000,23297000,19841000,98297000,201750000,465433000,-182109000,931000,284378000,284378000,486128000,-5435000,5346000,-5598000,27330000,21643000,-44000,-44000,-44000,-44000,-7e+05,952000,-1084000,20515000,20515000,20375000,-1111000,7.5e+07,23835000,-0.01911,-0.01118,-4.38546,2.31057,0.70944,0.15428,-0.09184,-0.09184,4.80312,0.40274,-0.0142,0.06229,79.55266,13.68794
"12","2013_Q3",8.09640625,"Up",-38493000,-22584000,-10460000,-12529000,-163000,234000,-12692000,-12692000,2970000,-9722000,-9722000,-9722000,-9722000,124415000,121103000,3312000,20934000,7149000,213040000,2004000,245525000,13568000,247529000,460569000,89612000,85249000,4363000,107759000,25210000,21530000,75210000,182969000,468713000,-192286000,1050000,277600000,277600000,460569000,-9722000,5426000,-179000,-13724000,-18199000,-83000,-83000,-83000,-3083000,185000,185000,-17644000,-38926000,-38926000,-38970000,-7103000,5e+07,-23880000,-0.03502,-0.02111,2.45628,1.977,0.65911,0.10856,-0.16531,-0.16531,4.71819,-0.40605,-0.02756,-0.06769,10.47656,5.93942
"13","2013_Q4",8.9315625,"Up",-47505000,-29003000,-13567000,-13287000,743000,1467000,-12544000,-12544000,4939000,-7605000,-7605000,-7605000,-7605000,75286000,71974000,3312000,8676000,4852000,153527000,1741000,298465000,8614000,300206000,453733000,79091000,71320000,7771000,93990000,32379000,28239000,57379000,151369000,499847000,-198241000,635000,302364000,302364000,453733000,-7605000,5477000,2229000,-13551000,-13450000,0,0,0,-11189000,1833000,1833000,-23369000,-48008000,-48008000,-49129000,-7810000,2.5e+07,-26300000,-0.02515,-0.01676,3.45825,1.63344,0.50062,0.0551,-0.12256,-0.12256,4.87092,-0.42385,-0.02114,-0.07311,6.43867,3.7846
"14","2014_Q1",8.46295081967213,"Down",-41719000,-25714000,-10760000,-6512000,16000,666000,-6496000,-3625000,-35747000,-39372000,-39372000,-39372000,-39372000,159777000,156306000,3471000,12411000,3213000,235190000,1535000,262430000,12577000,263965000,499155000,86709000,79837000,6872000,89984000,36085000,28917000,127565000,217549000,518208000,-237619000,894000,281606000,281606000,499155000,-39372000,5847000,703000,40742000,7920000,-34000,-34000,-34000,-13000,13219000,13218000,77355000,85262000,85262000,84332000,-665000.000000002,91480000,75790000,-0.13981,-0.07888,-1.92497,2.61369,0.77253,0.18327,-0.62619,-0.62619,4.47687,1.20541,-0.09622,0.18523,102.70226,10.48787
"15","2014_Q2",7.58730158730159,"Down",-58260000,-23403000,-29497000,-24414000,-2425000,-358000,-26839000,-27563000,-78000,-27641000,-27641000,-27641000,-27641000,121206000,117734000,3472000,27544000,17697000,215676000,1597000,257708000,13621000,259305000,474981000,75822000,71414000,4408000,79399000,37104000,28863000,129731000,209130000,529810000,-265260000,1178000,265851000,265851000,474981000,-27641000,5980000,11929000,-30257000,-39989000,-320000,-320000,-320000,-320000,1241000,1241000,1241000,-39068000,-39068000,-38572000,-18434000,92627000,-48933000,-0.10397,-0.05819,1.7703,2.71636,0.78664,0.19501,-0.43565,-0.43565,4.18817,-0.77124,-0.06987,-0.1237,1.55034,1.1706
"16","2014_Q3",7.8253125,"Up",-42095000,-25399000,-11335000,-1396000,-2463000,-487000,-3859000,-4864000,1301000,-3563000,-3563000,-3563000,-3563000,135711000,132405000,3306000,16799000,3410000,220133000,1407000,253408000,15197000,254815000,474948000,74327000,69178000,5149000,77479000,38003000,29836000,131815000,209294000,532620000,-268823000,1734000,265654000,265654000,474948000,-3563000,6199000,6333000,6690000,15659000,-285000,-285000,-285000,-120000,98000,98000,-144000.000000015,15395000,15395000,14671000,4803000,93812000,9907000,-0.01341,-0.0075,-2.78052,2.8412,0.78784,0.19752,-0.05515,-0.0551499999999999,4.1098,0.15334,-0.00895999999999999,0.02493,-8.72351,30.01361
"17","2014_Q4",7.35328125,"Down",-45587000,-24125000,-14420000,-4127000,-3754000,-1393000,-7881000,-8062000,-3477000,-11539000,-11539000,-11539000,-11539000,147540000,144234000,3306000,13991000,4505000,231559000,1414000,276695000,21156000,278109000,509668000,108664000,101801000,6863000,112873000,45167000,29309000,140203000,253076000,535711000,-280362000,1120000,256592000,256592000,509668000,-11539000,6513000,8449000,6264000,9687000,-203000,-203000,-203000,3725000,121000,121000,27000,13439000,13439000,11829000,2386000,95036000,11924000,-0.04497,-0.02264,-1.03337,2.0515,0.9863,0.18647,-0.17817,-0.17817,3.95999,0.18411,-0.02908,0.03005,-22.00503,12.72207
"18","2015_Q1",6.6527868852459,"Down",-45420000,-24485000,-14410000,-1632000,-4309000,-2129000,-5941000,-3044000,68000.0000000005,-2976000,-2976000,-2976000,-2976000,133248000,129942000,3306000,9263000,3774000,222469000,1405000,266159000,17864000,267564000,490033000,93438000,84994000,8444000,109439000,29742000,23173000,126040000,235479000,538619000,-283338000,-850000,254554000,254554000,490033000,-2976000,6660000,3266000,4066000,11016000,-126000,-126000,-126000,-25126000,446000,446000,-312000,-14422000,-14422000,-14292000,5028000,96298000,8900000,-0.01169,-0.00606999999999999,-2.99059,2.03281,0.92507,0.19651,-0.04508,-0.04508,3.85437,0.13483,-0.00782,0.02338,-7.34885,22.64093
"19","2015_Q2",6.34952380952381,"Down",-53208000,-23335000,-15851000,-21661000,-3263000,-1035000,-24924000,-25424000,-138000,-25562000,-25562000,-25562000,-25562000,126673000,123365000,3308000,11459000,3375000,215966000,1313000,251363000,18808000,252676000,468642000,86531000,82153000,4378000,109808000,30897000,23673000,128465000,238273000,541223000,-308900000,-2077000,230369000,230369000,468642000,-25562000,7017000,12726000,532000,-5287000,-78000,-78000,-78000,-78000,404000,404000,142000,-5223000,-5223000,-6577000,-14644000,97568000,-14052000,-0.11096,-0.05454,0.54972,1.96676,1.03431,0.20819,-0.39398,-0.39398,3.54876,-0.21658,-0.07124,-0.03916,1.9875,1.34366
"20","2015_Q3",6.94203125,"Up",-39025000,-22551000,-9558000,-34000,-2189000,69000,-2223000,-2368999.99999999,23000,-2346000,-2346000,-2346000,-2346000,145579000,142271000,3308000,11105000,2688000,207162000,1265000,245902000,19952000,247167000,454329000,77600000,71823000,5777000,90503000,30822000,23655000,129688000,220191000,545425000,-311245000,-165000,234138000,234138000,454329000,-2346000,7112000,7958000,5551000,18275000,-134000,-134000,-134000,-134000,592000,592000,674000,18815000,18815000,18906000,7078000,98866000,12472000,-0.01002,-0.00516000000000001,-5.31628,2.28901,0.94043,0.21761,-0.0358399999999999,-0.03584,3.5746,0.19051,-0.00645000000000001,0.03428,-6.59975,1373.91176
