"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",18.52453125,"Down",-48946000,-24104000,-17895000,-25264000,9742000,9972000,-15522000,-15813000,-3000,-15816000,-15816000,-15816000,-15816000,231916000,183513000,48403000,6709000,3803000,277028000,593000,166652000,18106000,167245000,444273000,54328000,50927000,3401000,54603000,26557000,25110000,65376000,119979000,820804000,-495691000,-819000,324294000,324294000,444273000,-15816000,6995000,5355000,-13083000,-16549000,-52000,-52000,-52000,-6119000,1920000,1920000,-21121000,-43789000,-43789000,-43810000,-18269000,38819000,-31401000,-0.04877,-0.0356,1.98539,5.07349,0.36997,0.08738,-0.15689,-0.15689,3.21689,-0.31149,-0.04059,-0.08058,10.56965,7.64317
"32","2018_Q3",21.6407936507937,"Up",-51872000,-23452000,-21487000,-34312000,48249000,48491000,13937000,13745000,-3000,13742000,13742000,13742000,13742000,269658000,174371000,95287000,7684000,4769000,309520000,523000,154479000,13159000,155002000,464522000,54832000,49886000,4946000,55043000,25933000,24486000,65360000,120403000,829155000,-481948000,-3088000,344119000,344119000,464522000,13742000,6998000,-53087000,9649000,-22698000,5999.99999999999,6000.00000000001,6000.00000000001,10203000,2884000,2884000,3618000,-8877000,-8877000,-9142000,-27314000,39427000,-17656000,0.03993,0.02958,-1.28482,5.62324,0.34989,0.08488,0.13394,0.12202,3.35408,-0.17209,0.03356,-0.04312,8.42905,6.70993
"33","2018_Q4",12.7374603174603,"Down",-47821000,-19837000,-21060000,-29024000,-40892000,-40880000,-69916000,-68716000,-2000,-68718000,-68718000,-68718000,-68718000,220555000,166541000,54014000,13431000,8300000,267450000,437000,144740000,10376000,145177000,412627000,65377000,57633000,7744000,65588000,24904000,23457000,60261000,125849000,840787000,-550667000,-3342000,286778000,286778000,412627000,-68718000,7007000,44244000,6621000,-10846000,0,0,0,0,3039000,3039000,3039000,-7807000,-7807000,-7830000,-22017000,35357000,-15394000,-0.23962,-0.16654,0.22402,4.07773,0.43884,0.08569,-0.66008,-0.66008,2.75467,-0.14787,-0.19801,-0.04436,8.41159,6.38086
"34","2019_Q1",10.7086885245902,"Down",-65115000,-23307000,-34514000,-42577000,-7859000,-8003000.00000001,-50436000,-49226000,6999.99999999953,-49219000,-49219000,-49219000,-49219000,203988000,157480000,46508000,16827000,7574000,250688000,385000,139813000,139813000,140198000,390886000,79313000,69460000,9853000,86474000,21150000,19681000,21150000,107624000,886850000,-599886000,-3702000,283262000,283262000,390886000,-49219000,7409000,10785000,18715000,-12310000,-61000,-61000,-61000,-2710999.99999999,6754000,6754000,6007000,-9014000.00000001,-9014000.00000001,-9060999.99999999,-35168000,0,-16521000,-0.17376,-0.12592,0.33566,2.899,0.37995,0,-0.4656,-0.51436,2.6796,-0.15629,-0.16169,-0.05427,5.80039,4.79104
"35","2019_Q2",8.94492063492063,"Down",-37838000,-15952000,-21886000,-37838000,-10224000,-11285000,-48062000,-48062000,8242000,-39820000,-19155000,-19155000,-19155000,305881000,272652000,33229000,19421000,7955000,340238000,466000,11954000,11954000,12420000,352658000,65470000,60302000,5168000,70320000,9789000,9789000,9789000,80109000,895682000,-619041000,-4092000,272549000,272549000,352658000,-19155000,1331000,-12944000,-9287000,-40055000,-314000,-314000,-314000,158451000,831000,831000,831000,119227000,119227000,119172000,-36507000,0,-54350000,-0.07028,-0.05432,2.83738,4.83842,0.29393,0,-0.17485,-0.17485,2.48784,-0.49611,-0.06784,-0.1925,8.37869,8.08396
"36","2019_Q3",8.08875,"Down",-34212000,-17230000,-16982000,-34212000,5217000,3722000,-28995000,-28995000,212000,-28783000,-28395000,-28395000,-28395000,278385000,118251000,160134000,25088000,10839000,306015000,4534000,12119000,12119000,16653000,322668000,49717000,44455000,5262000,56962000,10923000,10923000,10923000,67885000,905983000,-647436000,-3764000,254783000,254783000,322668000,-28395000,69000.0000000009,3246000,-12692000,-37772000,-927000,-927000,-927000,-121939000,5281000,5281000,5281000,-154430000,-154430000,-154381000,-34143000,0,-47974000,-0.11145,-0.088,1.68952,5.37227,0.26644,0,-0.25829,-0.25829,2.31755,-0.43638,-0.10687,-0.18055,8.1535,8.13706
"37","2019_Q4",8.07953125,"Down",-30293000,-13126000,-17167000,-30293000,3536000,2016000,-26757000,-26757000,174000,-26583000,-26089000,-26089000,-26089000,247762000,124598000,123164000,24472000,12680000,272717000,8965000,12144000,12144000,21109000,293826000,46434000,39959000,6475000,47794000,11313000,11313000,11313000,59107000,912671000,-673421000,-4531000,234719000,234719000,293826000,-26089000,87000,4135000,-3745000,-25612000,-2355000,-7429000,-7429000,29613000,2504000,2504000,2504000,6505000,6505000,6367000,-30206000,0,-36480000,-0.11115,-0.08879,1.39829,5.70609,0.25182,0,-0.23422,-0.23422,2.10729,-0.32751,-0.10604,-0.14827,8.20241,8.17885
"38","2020_Q1",2.73725806451613,"Down",-38355000,-15065000,-23290000,-38355000,-2425000,-3345000,-40780000,-40780000,580000,-40200000,-84444000,-84444000,-84444000,223873000,64418000,159455000,19706000,10148000,244020000,11607000,7806000,7806000,19413000,263433000,61970000,54284000,7686000,61970000,11070000,11070000,11070000,73040000,918318000,-724427000,-3498000,190393000,190393000,263433000,-39050000,133000,3894000,3831000,-31192000,-298000,-348000,-348000,-34133000,1011000,1011000,1011000,-64314000,-64314000,-64220000,-38222000,0,-35269000,-0.44352,-0.32055,0.41766,3.93771,0.38363,0,-0.75755,-0.75755,1.70802,-0.3164,-0.41915,-0.17506,5.85718,5.83687
"39","2020_Q2",2.91333333333333,"Up",-30787000,-14794000,-15993000,-30787000,-9830000,-10534000,-40617000,-40617000,213240.232289859,-40617000,-40572000,-40572000,-40572000,177793000,70352000,107441000,19052000,10263000,197280000,12058000,6654000,6654000,18712000,215992000,53698000,49130000,4568000,53698000,8526000,8526000,8526000,62224000,923594000,-764999000,-4827000,153768000,153768000,215992000,-40572000,140000,15654000,-8565000,-33343000,-1395000,3490369.15151411,3490369.15151411,39363000,-28600081.9221187,-28599240.9378176,-22776824.5230319,6020000,6020000,5934000,-30647000,0,-36845309.1302006,-0.26385,-0.18784,0.629468023508501,3.67388,0.40466,0,-0.36296,-0.36296,1.37562,-0.33354845262098,-0.24999,-0.248257478441468,5.80132,5.77494
"40","2020_Q3",3.80171875,"Up",-36490000,-14744000,-21746000,-36490000,4270000,3945000,-32220000,-32220000,-9000,-32229000,-32085000,-32085000,-32085000,156516000,85126000,71390000,18083000,11789000,175040000,12547000,6666000,6666000,19213000,194253000,55558000,49684000,5874000,55558000,8098000,8098000,8098000,63656000,930935000,-797084000,-3254000,130597000,130597000,194253000,-32085000,142000,867000.000000002,4027000,-27049000,-828000,1843000,1843000,38479000,3353000,3353000,3353000.00000001,14783000,14783000,14774000,-36348000,-3.63797880709171e-12,-33140000,-0.24568,-0.16517,1.03288,3.15058,0.48742,-1.35525271560688e-20,-0.2849,-0.2849,1.15965,-0.29427,-0.23133,-0.23894,4.30604,4.28928
"41","2020_Q4",4.115625,"Up",-39569000,-15116000,-24453000,-39569000,-8943000,-9131000,-48512000,-48512000,-6000,-48518000,-48452000,-48452000,-48452000,198311000,77132000,121179000,14062000,10876000,212826000,18456000,6656000,6656000,25112000,237938000,61098000,52985000,8113000,61098000,8480000,8480000,8480000,69578000,1016620000,-845536000,-2724000,168360000,168360000,237938000,-48452000,-387000,13934000,6971000,-27934000,-2925000,0,0,-61642000,81578000,81578000,81578000,-7998000,-7998000,-7994000,-39956000,0,-35904000,-0.28779,-0.20363,0.74102,3.48335,0.41327,0,-0.36819,-0.36819,1.27937,-0.27283,-0.27399,-0.20303,4.96323,5.01178
"42","2021_Q1",3.58459016393443,"Down",-62888000,-15703000,-47185000,-62888000,12905000,12780000,-49983000,-49983000,75000,-49908000,-39759000,-39759000,-39759000,180025000,46009000,134016000,6555000,4161000,186647000,3577000,6574000,6574000,10151000,196798000,53146000,43771000,9375000,53146000,9409000,9409000,9409000,62555000,1021367000,-885295000,-1829000,134243000,134243000,196798000,-39759000,366000,21052000,-14962000,-33303000,3567000,2111000,2111000,1872000,-69366000,-69366000,299000,-31132000,-31132000,-31123000,-62522000,0,-73992000,-0.29617,-0.20203,1.86101,3.51197,0.46598,0,-0.28088,-0.28088,0.94837,-0.52272,-0.27677,-0.51508,2.87939,2.86263
"43","2021_Q2",3.47460317460317,"Down",-33686000,-14315000,-19371000,-33686000,-1997000,-2081000,-35683000,-35683000,7000,-35676000,-35697000,-35697000,-35697000,162857000,69521000,93336000,6286000,3491000,169207000,3613000,6187000,6187000,9800000,179007000,47379000,42412000,4967000,47379000,9189000,9189000,9189000,56568000,1046938000,-920992000,-3507000,122439000,122439000,179007000,-35697000,65000,6824000,-5683000,-34491000,2785000,2858000,2858000,36644000,21357000,21357000,21357000,23510000,23510000,23512000,-33621000,0,-36526000,-0.29155,-0.19942,1.02322,3.57135,0.46201,0,-0.24556,-0.24556,0.84225,-0.25126,-0.2712,-0.27749,4.84391,4.83456
"44","2021_Q3",2.7321875,"Down",-44071000,-14957000,-29114000,-44071000,-5850000,-5876000,-49921000,-49921000,-16000,-49937000,-50132000,-50132000,-50132000,158817000,114573000,44244000,6889000,3357000,165706000,3580000,5759000,5759000,9339000,175045000,56699000,50295000,6404000,56699000,9758000,9758000,9758000,66457000,1083039000,-971124000,-3327000,108588000,108588000,175045000,-50132000,72999.9999999999,10968000,9441000,-29650000,1137000,1204000,1204000,42950000,31741000,31741000,31741000,45041000,45041000,45052000,-43998000,0,-33404000,-0.46167,-0.28639,0.66632,2.92256,0.61201,0,-0.34485,-0.34485,0.74697,-0.22978,-0.42361,-0.28226,3.60964,3.60366
"45","2021_Q4",1.78796875,"Down",-33093000,-12243000,-20850000,-33093000,20000,9000,-33073000,-33073000,-758.568772561177,-33073000,-33084000,-33084000,-33084000,133595000,107435000,26160000,6403000,2540000,139998000,507000,7296000,7296000,7803000,147801000,57272000,48982000,8290000,57272000,11065000,11065000,11065000,68337000,1087153000,-1004208000,-3481000,79464000,79464000,147801000,-33084000,74000,7619000,393000,-24998000,344000,-4202000,-4202000,17875000,2000,2000,2000,-7121000,-7121000,-7138000,-33019000,0,-37917490.1021874,-0.41634,-0.22384,0.466452762502673,2.44444,0.85997,0,-0.21575,-0.21575,0.51821,-0.231899068902572,-0.36545,-0.499304707506682,4.046,4.03696
"46","2022_Q1",0.920806451612903,"Down",-36853000,-18891000,-17962000,-36853000,-2902000,-2944000,-39755000,-39755000,5000,-39750000,-39715000,-39715000,-39715000,100647000,88539000,12108000,3305000,2277000,103952000,455000,7141000,7141000,7596000,111548000,53229000,41258000,11971000,53229000,10766000,10766000,10766000,63995000,1094518000,-1043923000,-3042000,47553000,47553000,111548000,-39715000,74000,10798000,-1504000,-30347000,1487000,6114000,6114000,11242000,210000,210000,210000,-18895000,-18895000,-18896000,-36779000,1.77635683940025e-15,-36801000,-0.83517,-0.35604,0.92663,1.95292,1.34576,0,-0.22435,-0.22435,0.26863,-0.20789,-0.681,-0.63103,2.73653,2.73104
"47","2022_Q2",0.881612903225806,"Down",-14063000,-9870000,-4193000,-14063000,-1323000,-1334000,-15386000,-15386000,-16000,-15402000,-15442000,-15442000,-15442000,89214000,78679000,10535000,3967000,3328000,93181000,418000,6455000,6455000,6873000,100054000,39208000,32575000,6633000,39208000,5590000,5590000,5590000,44798000,1117529000,-1059365000,-2908000,55256000,55256000,100054000,-15442000,73000,4727000,-19654000,-30296000,248000,287000,287000,428000,98898605.433589,98898603.6108108,2e+07,-9868000,-9868000,-9860000,-13990000,0,-33380000,-0.27946,-0.15434,2.16164,2.37658,0.81074,0,-0.09983,-0.09983,0.35723,-0.2158,-0.25379,-0.5486,6.37698,6.34388
"48","2022_Q3",0.9771875,"Up",-25392000,-9385000,-16007000,-25392000,-3640000,-3757000,-29032000,-29032000,-13000,-29045000,-29048000,-29048000,-29048000,67959000,25512000,42447000,5620000,5012000,73579000,347000,5503000,5503000,5850000,79429000,41041000,33123000,7918000,41041000,4946000,4946000,4946000,45987000,1124810000,-1088413000,-2955000,33442000,33442000,79429000,-29048000,74000,5370000,158000,-23446000,692000,698000,698000,-14901000,370137816.300767,370137810.832432,-14796000,-53143000,-53143000,-53167000,-25318000,0,-24455000,-0.86861,-0.36571,0.84188,1.79282,1.37513,0,-0.17114,-0.17114,0.19702,-0.14408,-0.75669,-0.63705,2.68422,2.67639
