"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",24.2790476190476,"Down",109480000,-70166000,39314000,-29066000,-17583000,-11483000,10248000,311000,311000,311000,0,10559000,10559000,10559000,10559000,10559000,-29666000,213694000,212436000,20922000,4472000,16450000,247952000,21600000,19533000,6931000,41133000,289085000,43403000,3343000,40060000,12174000,12174000,55577000,0,0,0,55577000,360712000,-127204000,233508000,233508000,289085000,10559000,1787000,2528000,-3948000,10926000,-1064000,244000,-820000,144873000,1502000,1502000,0,146375000,156481000,156481000,156481000,12035000,0,0.3591,0.09361,-0.27097,-0.12704,-0.10262,4.46141,0.23801,0,-0.50393,-0.50393,1.85973,3.96658,-0.12704,-17.75604,-20.85226
"2","2018_Q1",23.042131147541,"Down",95754000,-66583000,29171000,-31540000,-20253000,-11287000,-2369000,570000,495000,495000,75000,-1799000,-1799000,-1799000,-1799000,-1799000,-1799000,208342000,208342000,15148000,8613000,6535000,240206000,22318000,19431000,6951000,41749000,281955000,32574000,1901000,30673000,13951000,13951000,46525000,0,0,0,46525000,364433000,-129003000,235430000,235430000,281955000,-1799000,1850000,1907000,-7376000,-5418000,-1614000,1258000,-356000,-4590000,483999.999999999,483999.999999999,0,-4106000,-9880000,-9880000,-9880000,-519000,0,0.30465,-0.0247399999999998,-0.0187899999999999,-0.00764000000000004,-0.00638000000000001,5.16294,0.19762,0,-0.0218499999999999,-0.0218499999999999,1.16293,2.85928,-0.00763999999999998,401.42967,87.94512
"3","2018_Q2",22.51875,"Down",79893000,-74197000,5696000,-42870000,-30108000,-12762000,-37174000,735000,577000,577000,158000,-36439000,-36439000,-36439000,-36439000,-36439000,-36439000,190773000,190773000,24794000,4761000,20033000,227660000,22879000,19411000,7053000,42290000,269950000,47671000,2929000,44742000,13024000,13024000,60695000,0,0,0,60695000,374697000,-165442000,209255000,209255000,269950000,-36439000,2003000,4606000,9338000,-20492000,-2305000,0,-2305000,6149000,5946000,5946000,-59000,12036000,-10761000,-10761000,-10761000,-35171000,0,0.0713,-0.4653,-0.4561,-0.17414,-0.13498,3.75089,0.29005,0,-0.44432,-0.44432,0.97418,2.55155,-0.17414,5.42416,5.13189
"4","2018_Q3",21.1531746031746,"Down",142643000,-97429000,45214000,-42758000,-29724000,-13034000,2456000,751000,730000,730000,21000,3207000,3207000,3207000,3207000,3207000,3207000,194237000,194237000,26157000,3337000,22820000,253815000,23855000,19313000,7077000,43168000,296983000,55600000,3855000,51745000,15770000,15770000,71370000,2.91038304567337e-11,-2.91038304567337e-11,-3.72529029846191e-09,71370000,387848000,-162235000,225613000,225613000,296983000,3207000,1899000,2674000,-13529000,-5749000,-1740000,0,-1740000,8957000.00000001,8448000,8448000,-168000,17237000,9747999.99999999,9747999.99999999,9748000.00000001,4355000,3.72529029846191e-09,0.31697,0.0172200000000001,0.02248,0.01421,0.0108,3.55633,0.31634,0,0.03856,0.03534,1.71519,2.71285,0.01421,-44.60092,-79.08673
"5","2018_Q4",15.8753968253968,"Down",140255000,-97950000,42305000,-39015000,-24706000,-14309000,3290000,186000,165000,165000,21000,3476000,3476000,3476000,3476000,3476000,3476000,448968000,448968000,24811000,5933000,18878000,512194000,23361000,19362000,7248000,42723000,554917000,52300000,2601000,49699000,17739000,17739000,70039000,0,0,112130000,182169000,531507000,-158759000,372748000,372748000,554917000,3476000,2221000,4290000,-4554000,5433000,-1483000,0,-1483000,242899000,2920000,2920000,-478000,245341000,249291000,249291000,249291000,5511000,112130000,0.30163,0.02346,0.02478,0.00933,0.00626,7.31298,0.48872,0.20207,0.03962,0.03673,1.59847,4.24817,0.00717,-61.12103,-102.38237
"6","2019_Q1",18.2409836065574,"Up",124129000,-97920000,26209000,-38715000,-25023000,-13692000,-12506000,284000,263000,3944000,21000,-12222000,-12222000,-12222000,-12222000,-12222000,-12222000,432608000,432608000,25582000,11916000,13666000,496247000,25187000,21387000,9395000,46574000,542821000,39897000,2516000,37381000,1588000,1588000,46218000,11079000,11079000,124665000,170883000,542919000,-170981000,371938000,371938000,542821000,-12222000,2342000,11233000,-17247000,-15894000,-2775000,-2e+06,-4775000,-116335000,113686000,113686000,1437000,-1211999.99999997,-21881000,-21881000,-21881000,-10164000,118319000,0.21114,-0.10075,-0.09846,-0.03286,-0.02252,10.73709,0.45944,0.21797,-0.13617,-0.16235,1.38294,4.14382,-0.02438,30.92178,25.13106
"7","2019_Q2",19.1811111111111,"Up",110141000,-107388000,2753000,-70205000,-54649000,-15556000,-67452000,272000,180000,2316000,92000,-67180000,-67180000,-67180000,-67180000,-67180000,-67180000,395618000,395618000,39805000,13586000,26219000,489982000,30618000,54010000,42140000,84628000,574610000,81971000,17533000,64438000,6436000,6436000,103600000,41567000,41567000,156661000,260261000,552509000,-238160000,314349000,314349000,574610000,-67180000,1637000,-1706000,20092000,-47157000,-3151000,-42867628.9989888,-3151000,10460000,3732000,3732000,3150000,17342000,-32966000,-32966000,-32966000,-65815000,130287000,0.025,-0.61241,-0.60995,-0.21371,-0.11691,4.72956,0.82794,0.22674,-0.74142,-0.74142,1.21554,3.46924,-0.13817,4.03147,3.93363
"8","2019_Q3",17.61828125,"Down",197781000,-149433000,48348000,-60767000,-44703000,-16064000,-12419000,-205000,-241000,1913000,36000,-12624000,-12624000,-12624000,-12624000,-12624000,-12624000,276469000,241104000,60925000,6763000,54162000,461734000,35675000,67205000,55457000,137834000,599568000,79890000,4217000,75673000,8755000,8755000,118072000,52634000,52634000,169251000,287323000,562986000,-250785000,312245000,312245000,599568000,-12624000,2172000,-5293000,-80707000,-96452000,-6353000,-70212000,-76565000,14234000,5232999.99999999,5232999.99999999,6660000,26127000,-146890000,-146890000,-146852000,-10247000,146044000,0.24445,-0.06279,-0.06383,-0.04043,-0.02106,3.91061,0.92018,0.24358,-0.13839,-0.13839,2.16817,3.42298,-0.02471,12.72812,10.50205
"9","2019_Q4",19.14703125,"Up",238683000,-185306000,53377000,-45941000,-27140000,-18801000,7436000,-655000,-699000,1575000,44000,6781000,6781000,6781000,6781000,6781000,6781000,271288000,209234000,46384000,8391000,37993000,447566000,37560000,68379000,56753000,144419000,591985000,61197000,3173000,58024000,9863000,9863000,93047000,53059000,53059000,171217000,264264000,571699000,-244004000,327721000,327721000,591985000,6781000,2557000,18459000,-16826000,10971000,-3317000,-34846000,-33263000,3429000,-8965000,-8965000,-12181000,-17717000,-40009000,-40009000,-40019000,9993000,140145000,0.22363,0.03115,0.02841,0.02069,0.01145,4.81011,0.80637,0.23674,0.0737,0.0737,2.59419,3.56193,0.01302,-13.12349,-17.63623
"10","2020_Q1",23.2945161290323,"Up",233191000,-193566000,39625000,-46436000,-27092000,-19344000,-6811000,-971000,-1022000,1342000,51000.0000000001,-7782000,-7782000,-7782000,-7782000,-7782000,-7782000,304708000,234679000,72295000,14822000,57473000,451593000,39577000,74065000,62561000,144620000,596213000,48028000,2122000,45906000,15852000,15852000,85182000,59869000,59869000,179585000,264767000,583190000,-251786000,331446000,331446000,596213000,-7782000,2864000,28524000,1422000,25028000,-2712000,4679000,-2932999.99999999,-7182000,16107000,16107000,-2794000,6131000,28226000,28226000,28230000,-3947000,141018000,0.16993,-0.02921,-0.03337,-0.02348,-0.01305,5.30151,0.79882,0.23652,-0.08413,-0.08413,2.52107,3.58332,-0.01462,41.472,24.03318
"11","2020_Q2",26.3449206349206,"Up",190995000,-178116000,12879000,-70309000,-50035000,-20274000,-57430000,-2687000,-1341000,1103000,-1346000,-60117000,-60117000,-60117000,-60117000,-60117000,-60117000,288989000,213940000,97712000,9555000,88157000,457350000,40496000,70277000,58895000,137484000,594834000,73082000,2909000,70173000,20434000,20434000,136102000,57254000,57254000,178546000,314648000,591515000,-311904000,280186000,280186000,594834000,-60117000,3307000,123235000,-109874000,-43449000,-3406000,-62000,-3468000,25726000,4103000,4103000,377000,30206000,-16711000,-16711000,-16736000,-54123000,163878000,0.06743,-0.30069,-0.31476,-0.21456,-0.10107,3.36035,1.123,0.2755,-0.64336,-0.64336,2.04398,2.99848,-0.11992,2.31161,2.1785
"12","2020_Q3",44.23140625,"Up",213665000,-167626000,46039000,-50465000,-32504000,-17961000,-4426000,-2185000,-2228000,437000,43000,-6611000,-6610999.99999999,-6611000,-6611000,-6611000,-7895000,453408000,325352000,123902000,7624000,116278000,586747000,41414000,68387000,57127000,128593000,715340000,79970000,3389000,76581000,18829000,18829000,139365000,58030000,58030000,180914000,320279000,673333000,-318514000,355260000,395061000,715340000,-6611000,3558000,-101546000,156792000,52193000,-2666000,-45128000,-47794000,36080000,76650000,76650000,12610000,125340000,129739000,129739000,129742000,-868000.000000007,163450000,0.21547,-0.0207100000000001,-0.0369499999999999,-0.01998,-0.01104,4.21015,0.81071,0.22849,-0.0799199999999999,-0.07992,2.16292,3.59628,-0.01281,334.053,65.51243
"13","2020_Q4",53.44046875,"Up",236916000,-143844000,93072000,-56063000,-33611000,-22452000,37009000,-2843000,-2203000,319000,-640000,34166000,34166000,34166000,34166000,34166000,32636000,501382000,371573000,112286000,7698000,104588000,638661000,42210000,65306000,54168000,124588000,763249000,71442000,3375000,68067000,26605000,26605000,262850000,60308000,60308000,60308000,323158000,684319000,-284348000,400279000,440091000,763249000,34166000,3716000,15604000,-10695000,42791000,-4319000,-573000,-4892000,7421000,4067000,4067000,-21881000,-10393000,27506000,27506000,27512000,40725000,164803000,0.39285,0.15621,0.13775,0.07416,0.04276,2.42975,0.7343,0.21592,0.32679,0.32679,2.37231,4.00811,0.04906,-8.26468,-9.09452
"14","2021_Q1",76.2662295081967,"Up",244517000,-164397000,80120000,-47965000,-24355000,-23610000,32155000,-11604000,-11649000,259570.286334574,45000.0000000002,20551000,14035000,14035000,14035000,14035000,12395000,1056837000,925276000,80112000,12131000,67981000,1240826000,43988000,63784000,52768000,119694000,1360520000,88288000,5644000,82644000,35922000,35922000,185721000,56151000,56151000,544419000,730140000,860659000,-270313000,590557000,630380000,1360520000,14035000,3983000,25349000,-33635000,9732000,-4295000,3330000,-965000,547009000,5953000.00000001,5953000.00000001,-3888000.00000001,549074000,557841000,557841000,557854000,36138000,549779000,0.32767,0.1315,0.05069,0.01966,0.00910999999999999,6.68113,1.15825,0.40409,0.12128,0.12128,2.39247,5.77829,0.01003,-14.03116,-15.76918
"15","2021_Q2",61.1269841269841,"Down",268319000,-225961000,42358000,-76871000,-49193000,-27678000,-34513000,-1271000,-1179000,159000,-92000,-35784000,-35784000,-35784000,-35784000,-35784000,-38120000,1382098000,1241255000,167475000,15224000,152251000,1694360000,47649000,67662000,56768000,122217000,1816577000,110439000,15568000,94871000,61462000,61462000,235992000,60145000,60145000,1197119000,1433111000,641806000,-298335000,343632000,383466000,1816577000,-35784000,4341000,15028000,-34350000,-50765000,-5285000,-4288000,-9573000,515161000,3411000,3411000,-61010000,457562000,397224000,397224000,397225000,-30172000,1201065000,0.15786,-0.12863,-0.14207,-0.09941,-0.02098,7.17973,3.73726,0.66117,-0.36857,-0.36857,2.59426,3.32243,-0.02318,6.00003,5.24536
"16","2021_Q3",54.06203125,"Down",471315000,-345179000,126136000,-156452000,-114964000,-41488000,-30316000,-2614000,-2679000,134000,65000.0000000002,-32930000,-32930000,-27878000,-27878000,-27878000,-29756000,764992000,735387000,129118000,18028000,111090000,1227870000,53907000,683213000,72203000,773205000,2001075000,145807000,26095000,119712000,138403000,138403000,354063000,70053000,70053000,1281570000,1635633000,651732000,-326213000,325596000,365442000,2001075000,-27878000,13677000,19357000,-168029000,-162873000,-8295000,81790000,-534505000,153231000,9085000,9085000,-20300000,142016000,-555362000,-555362000,-555363000,-16639000,1281370000,0.26763,-0.06432,-0.06313,-0.08142,-0.01487,3.46794,4.47577,0.64034,-0.2877,-0.2877,4.55695,3.14805,-0.01733,-31.0342,-17.03318
"17","2021_Q4",45.4234375,"Down",540074000,-412772000,127302000,-147196000,-103538000,-43658000,-19894000,634000,-3494000,178000,4128000,-19260000,-19260000,-18949000,-18949000,-18949000,-20611000,591292000,562714000,144986000,19155000,125831000,1263354000,55535000,670970000,68886000,779993000,2043347000,128868000,10075000,118793000,214420000,214420000,406356000,66483000,65600000,1279250000,1685606000,662999000,-345162000,317884000,357741000,2043347000,-18949000,14285000,13641000,-209460000,-200483000,-6995000,-11789000,-18784000,69044000,1698000,1698000,-1908000,68834000,-150433000,-150433000,-150436000,-5609000,1275835000,0.23571,-0.03684,-0.03816,-0.05761,-0.01009,3.10898,4.71181,0.62438,-0.19756,-0.19756,5.17671,3.04698,-0.01212,-122.04368,-34.40952
"18","2022_Q1",25.7595161290323,"Down",643057000,-535033000,108024000,-133254000,-89360000,-43894000,-25230000,-2516000,-3775000,162282.836045488,1259000,-27746000,-27746000,-27002000,-27002000,-27002000,-28395000,624740000,591003000,193509000,22948000,170561000,1246064000,58671000,662409000,67098000,775908000,2021972000,130668000,12546000,118122000,15040000,15040000,378532000,56423000,55222000,1293720000,1672252000,722058000,-372164000,349720000,349720000,2021972000,-27002000,14603000,19903000,105049000,112553000,-6917000,-6527000.00000001,-13444000,-9016000,8578000,8578000,-17633000,-18071000,81038000.0000001,81038000.0000001,81034999.9999999,-10627000,1470121000,0.16799,-0.03923,-0.04416,-0.08119,-0.01404,3.29183,4.78169,0.72707,-0.2639,-0.2639,5.97655,3.25029,-0.01513,-79.5503,-33.50698
