"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2010_Q2",19.7068253968254,"Down",85122000,-11062000,74060000,-44348000,-38672000,-5676000,29712000,1698000,1698000,31410000,31410000,-968000,30442000,30442000,30442000,30442000,30442000,1779000,10014000,-19054000,23181000,-1577000,2889000,1312000,3193000,3193000,27686000,27686000,27686000,31491000,0,11828000,0.87005,0.34905,0.35763,0.38854,0.3172,0.30597,0.88696,0.12325
"2","2010_Q3",15.6340625,"Down",92768000,-11083000,81685000,-47163000,-42104000,-5059000,34522000,1818000,1818000,36340000,36340000,-980000,35360000,35360000,35360000,35360000,35360000,1735000,11160000,-5628000,42627000,-4343000,-72079000,-76422000,3030000,3030000,-30765000,-30765000,-30765000,36257000,0,27266000,0.88053,0.37213,0.38117,0.7711,0.3673,0.35564,0.96362,0.28322
"3","2010_Q4",20.7765625,"Up",90830000,-10879000,79951000,-46725000,-40840000,-5885000,33226000,1254000,1254000,34480000,34480000,-1229000,33251000,33251000,33251000,33251000,33251000,1778000,9742000,-2115000,42656000,-848000,-12581000,-13429000,12491000,12491000,41718000,41718000,41718000,35004000,0,33270000,0.88023,0.3658,0.36608,1.00057,0.34335,0.33369,0.93791,0.34355
"4","2011_Q1",19.8285483870968,"Down",93928000,-11262000,82666000,-45051000,-39798000,-5253000,37615000,989000,989000,38604000,38604000,14646000,53250000,53250000,53250000,53250000,53250000,1792000,-17615000,9095000,46522000,-827000,12798000,11971000,3591000,-67802000,-9309000,-9309000,-9308999.99999999,39407000,0,33029000,0.8801,0.40047,0.56692,0.62026,0.55314,0.54312,0.97568,0.34309
"5","2011_Q2",22.7292063492064,"Up",91858000,-11011000,80847000,-45256000,-39494000,-5762000,35591000,587000,587000,36178000,36178000,-13640000,22538000,22538000,22538000,22538000,22538000,1757000,10923000,-5922000,29296000,-1959000,18632000,16673000,13102000,-15504000,30465000,30465000,30465000,37348000,0,43107000,0.88013,0.38746,0.24536,1.91264,0.24166,0.23791,0.98494,0.46221
"6","2011_Q3",20.35765625,"Down",100440000,-12047000,88393000,-49807000,-43716000,-6091000,38586000,468000,468000,39054000,39054000,-14863000,24191000,24191000,24191000,24191000,24191000,1784000,9856000,1194000,37025000,-2565000,-49940000,-52505000,21774000,-40156000,-55636000,-55636000,-55636000,40370000,0,53862000,0.88006,0.38417,0.24085,2.22653,0.2643,0.25839,1.09738,0.58848
"7","2011_Q4",20.3520634920635,"Down",102374000,-11133000,91241000,-49417000,-42750000,-6667000,41824000,488000,488000,42312000,42312000,-14371000,27941000,27941000,27941000,27941000,27941000,1800000,7217000,-8922000,28036000,-158000,42638000,42480000,17264000,-70807000,-291000,-291000,-291000,43624000,0,48915000,0.89125,0.40854,0.27293,1.75065,0.31655,0.30983,1.15982,0.55417
"8","2012_Q1",23.2332258064516,"Up",107412000,-12523000,94889000,-53112000,-43881000,-9231000,41777000,330000,330000,42107000,42107000,-16067000,26040000,26040000,26040000,26040000,26040000,1878000,9596000,-1141000,36373000,-1110000,19589000,-60938000,31751000,9868000,-14697000,-14697000,-14697000,43655000,-2.71050543121376e-20,57471000,0.88341,0.38894,0.24243,2.20703,0.30237,0.29498,1.24725,0.66734
"9","2012_Q2",24.4019047619048,"Up",110452000,-14361000,96091000,-54619000,-46114000,-8505000,41472000,333000,333000,41805000,41805000,-16706000,25099000,25099000,25099000,25099000,25099000,2147000,8657000,-4079000,31824000,-2109000,25376000,-2532000,17884000,-19297000,9995000,9995000,9995000,43619000,0,54137000,0.86998,0.37548,0.22724,2.15694,0.29445,0.28837,1.29576,0.63511
"10","2012_Q3",25.812380952381,"Up",122811000,-16118000,106693000,-61229000,-50986000,-10243000,45464000,1318000,1318000,46782000,46782000,-18487000,28295000,28295000,28295000,28295000,28295000,2291000,15709000,-18865000,27430000,-3857000,19592000,15735000,21292000,3007000,46172000,46172000,46172000,47755000,4.33680868994202e-19,43520000,0.86876,0.37019,0.23039,1.53808,0.33486,0.32837,1.4534,0.51504
"11","2012_Q4",27.9791935483871,"Up",129777000,-17228000,112549000,-66453000,-54699000,-11754000,46096000,1385000,1385000,47481000,47481000,-17866000,29615000,29615000,29615000,29615000,29615000,2303000,15376000,-6547000,40747000,-2e+06,-41817000,-43817000,11079000,-926000,-3996000,-3996000,-3996000,48399000,0,57718000,0.86725,0.35519,0.2282,1.94894,0.35087,0.34274,1.53755,0.68382
"12","2013_Q1",25.9263333333333,"Down",132965000,-16952000,116013000,-68727000,-56584000,-12143000,47286000,1186000,-3443000,48472000,48472000,-19330000,29142000,29142000,29142000,29142000,29142000,2328000,11085000,-852000,41703000,-2192000,-5982000,-8174000.00000001,8967000,-52029000,-18500000,-18500000,-18500000,49614000,3.46944695195361e-18,65900000,0.87251,0.35563,0.21917,2.26134,0.34575,0.33788,1.57753,0.78185
"13","2013_Q2",28.9840625,"Up",133437000,-17327000,116110000,-67528000,-56128000,-11400000,48582000,1240000,1240000,49822000,49822000,-19686000,30136000,30136000,30136000,30136000,30136000,2211000,15557000,3452000,51356000,-2461000,-2544000,-5005000,9079000,-37120000,9231000,9231000,9231000,50793000,0,71470000,0.87015,0.36408,0.22584,2.37158,0.36944,0.35913,1.63582,0.87616
