"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"16","2014_Q1",27.1549180327869,"Up",204394000,-116714000,87680000,-56728000,-39874000,-16252000,-602000,30952000,204000,204000,31156000,4.65661287307739e-10,31156000,-10919000,20237000,20237000,20237000,20237000,589617000,288902000,300715000,116744000,116744000,142727000,30143000,16715000,879231000,77536000,195846000,13090000,150909000,31847000,333787000,1213018000,94180000,40074000,10444000,43662000,34242000,34242000,128422000,63073000,63073000,63073000,191495000,730684000,278966000,11873000,1021523000,1021523000,1213018000,20237000,4387000,375000,9306000,34305000,-3256000,9605000,6192000,-8517000,2110000,-6407000,34090000,34090000,34000,34124000,35339000,0,52308000,0.42898,0.15143,0.09901,0.01981,0.01668,2.58477,6.84642,0.18746,0,0.38004,0.37689,3.83838,19.18353,0.98231,0.15994,0.02651,0.04823,0.42086,-16.6846,-19.0494
"17","2014_Q2",26.3688888888889,"Down",206353000,-116981000,89372000,-50619000,-34591000,-15618000,-410000,38753000,235000,235000,38988000,-975000,38013000,-6768000,31245000,31245000,31245000,31245000,593603000,287090000,306513000,119463000,119463000,147511000,35032000,17552000,895609000,75517000,198014000,12519000,151112000,34383000,327151000,1222760000,79768000,35385000,8620000,35763000,36442000,36442000,116210000,60782000,60782000,60782000,176992000,732854000,301147000,11767000,1045768000,1045768000,1222760000,31245000,4150000,1601000,-27093000,9903000,-3098000,1047000,-1972000,-8553000,-573000,-10071000,-2140000,-2140000,328000,-1812000,42903000,0,19480000,0.4331,0.1878,0.15142,0.02988,0.02555,0.62346,7.70682,0.16925,0,0.58499,0.58102,3.86349,19.57964,0.36472,0.16014,0.03597,0.0176,0.27374,-13.83593,-15.3176
"18","2014_Q3",29.95921875,"Up",184697000,-105062000,79635000,-48704000,-32239000,-15421000,-1044000,30931000,231000,231000,31162000,-271000,30891000,-9667000,21224000,21224000,21224000,21224000,464917000,262789000,202128000,101487000,101487000,155872000,40752000,28707000,763028000,75960000,278001000,51012000,193050000,33939000,434873000,1197901000,53265000,26654000,4168000,22443000,39507000,39507000,92772000,61843000,61843000,61843000,154615000,726944000,303277000,13065000,1043286000,1043286000,1197901000,21224000,4815000,11330000,-19458000,17911000,-4157000,77157000,-13894000,-8773000,910000,-27727000,-23710000,-23710000,-591000,-24301000,35746000,3.63797880709171e-12,21798000,0.43117,0.16747,0.11491,0.02034,0.01772,1.02704,8.22477,0.1482,0,0.39774,0.39643,3.46127,19.55147,0.4085,0.16441,0.02714,0.01972,0.41335,-13.00613,-15.03078
"19","2014_Q4",32.5128125,"Up",186798000,-107473000,79325000,-49952000,-32365000,-15827000,-1760000,29373000,394000,394000,29767000,-1223000,28544000,573000,29117000,29117000,29117000,29117000,435498000,295456000,140042000,106290000,106290000,153930000,41157000,28735000,736875000,73642000,272102000,48812000,193125000,30165000,480493000,1217368000,61907000,30809000,3821000,27277000,42961000,42961000,104868000,53940000,53940000,53940000,158808000,730223000,323639000,4698000,1058560000,1058560000,1217368000,29117000,5792000,5059000,-82000,39886000,-599000,7837000,7156000,-8755000,536000,-8219000,38823000,38823000,-6156000,32667000,35165000,0,33911000,0.42466,0.15724,0.15587,0.02751,0.02392,1.16465,7.02669,0.15002,3.3881317890172e-21,0.5488,0.54619,3.52077,19.95175,0.63915,0.16501,0.03404,0.03048,0.30068,-12.38442,-14.82647
"20","2015_Q1",32.4519672131148,"Down",203021000,-113587000,89434000,-50386000,-32633000,-16022000,-1731000,39048000,391000,391000,39439000,-494000,38945000,-4753000,34192000,34192000,34192000,34192000,592232000,305437000,286795000,106362000,106362000,155169000,41529000,27512000,895292000,72776000,255976000,46389000,192381000,17206000,328752000,1224044000,67838000,34166000,6702000,26970000,35789000,35789000,103627000,38595000,38595000,38595000,142222000,734845000,349061000,-2084000,1081822000,1081822000,1224044000,34192000,5757000,13259000,-18994000,34214000,-5329000,-12309000,-16098000,-8770000,2066000,-6704000,11412000,11412000,-1431000,9981000.00000001,44805000,-5.82076609134674e-11,25235000,0.44052,0.19233,0.16842,0.03161,0.02793,0.73804,8.63956,0.13147,0,0.64392,0.63986,3.82337,20.3733,0.47524,0.16516,0.03834,0.02252,0.25649,-13.21799,-15.16677
"21","2015_Q2",33.7834920634921,"Up",213839000,-116793000,97046000,-49218000,-30867000,-16680000,-1671000,47828000,504000,504000,48332000,-818000,47514000,-13728000,33786000,33786000,33786000,33786000,351344000,192713000,158631000,124445000,124445000,164412000,35140000,21580000,675341000,70908000,266048000,49553000,199330000,17165000,574269000,1249610000,65353000,37549000,6455000,21349000,38513000,38513000,103866000,41055000,41055000,41055000,144921000,736403000,374063000,-5777000,1104689000,1104689000,1249610000,33786000,5532000,5936000,-25649000,19605000,-2504000,-108708000,-121074000,-8784000,-1581000,-10365000,-111834000,-111834000,-890000,-112724000,53360000,0,38935000,0.45383,0.22366,0.158,0.03058,0.02704,1.1524,6.50204,0.13119,0,0.63491,0.63117,4.01847,20.75937,0.73167,0.16507,0.03715,0.03398,0.25999,-6.58441,-7.34599
"22","2015_Q3",32.415625,"Down",217966000,-119168000,98798000,-52545000,-33269000,-17567000,-1709000,46253000,-504000,-504000,45749000,1075000,46824000,-13604000,33220000,33220000,33220000,33220000,355752000,178319000,177433000,124553000,124553000,165590000,41773000,28203000,687668000,69898000,265912000,47822000,200212000,17878000,592665000,1280333000,66310000,34054000,8615000,23641000,45668000,45668000,111978000,38919000,38919000,38919000,150897000,739680000,395455000,-5699000,1129436000,1129436000,1280333000,33220000,5550000,6748000,-6927000,38591000,-2830000,-38787000,-41665000,-9084000,1326000,-12099000,-15173000,-15173000,779000,-14394000,51803000,0,55650000,0.45327,0.2122,0.15241,0.02941,0.02595,1.6752,6.1411,0.1336,0,0.62228,0.6199,4.08298,21.15683,1.04245,0.17016,0.03621,0.04763,0.27345,-6.8674,-7.69144
"23","2015_Q4",33.36171875,"Up",209332000,-115103000,94229000,-52304000,-33396000,-17217000,-1691000,41925000,898494.198334397,898494.519894772,41925000,159000,42084000,-12315000,29769000,29769000,29769000,29769000,391989000,195147000,196842000,115988000,115988000,168079000,43306000,28894000,719362000,69193000,263882000,45647000,199562000,18673000,573983000,1293345000,64777000,26326000,9279000,29172000,42835000,42835000,107612000,39061000,39061000,39061000,146673000,741536000,413419000,-8283000,1146672000,1146672000,1293345000,29769000,5524000,3429000,-1348000,37374000,-3489000,-4121000,-7610000,-9060000,339000,-13246000,16518000,16518000,310000,16828000,47449000,0,54927000,0.45014,0.20028,0.14221,0.02596,0.02302,1.84511,6.68477,0.12791,-8.67361737988404e-19,0.55837,0.55572,3.9264,21.5079,1.03025,0.16994,0.03275,0.04632,0.30434,-8.26127,-9.34977
"24","2016_Q1",32.1591803278689,"Down",172387000,-99588000,72799000,-50089000,-31555000,-16841000,-1693000,22710000,2856000,2856000,25566000,-2520000,23046000,2476000,25522000,25522000,25522000,25522000,658237000,227574000,430663000,101883000,101883000,152631000,26760000,18078000,939511000,68856000,264980000,44027000,199703000,21250000,333836000,1273347000,55625000,23177000,4024000,28424000,35359000,28170000,90984000,21482000,18827000,21482000,112466000,744838000,427214000,-11171000,1160881000,1160881000,1273347000,25522000,5497000,10028000,1678000,42725000,-3591000,6561000,2977999.99999999,-9041000,2082000,-11387000,34316000,34316000,-1889000,32427000,28207000,-7.45058059692383e-09,23818000,0.4223,0.13174,0.14805,0.02199,0.02004,0.93323,10.32611,0.09688,0,0.47959,0.47657,3.23938,21.81451,0.44757,0.16989,0.02923,0.02014,0.35424,-23.33594,-28.98446
"25","2016_Q2",36.71828125,"Up",183681000,-105768000,77913000,-52860000,-33950000,-17227000,-1683000,25053000,880000,880000,25933000,-2128000,23805000,-6242000,17563000,17563000,17563000,17563000,666623000,357855000,308768000,113472000,113472000,151650000,27388000,27388000,959133000,67561000,263966000,42575000,199999000,21392000,331527000,1290660000,52569000,28076000,3510000,20983000,45372000,45372000,97941000,21650000,21650000,21650000,119591000,745953000,434803000,-9687000,1171069000,1171069000,1290660000,17563000,5278000,7299000,-6959000,23181000,-2156000,123087000,120931000,-9056000,-2354000,-12955000,131157000,131157000,-876000,130281000,30331000,0,27458000,0.42418,0.13639,0.09562,0.015,0.01361,1.5634,9.79297,0.10212,-1.38777878078145e-17,0.32991,0.32789,3.45038,21.9981,0.51579,0.17011,0.02232,0.02302,0.51563,-21.97827,-26.60851
"26","2016_Q3",44.78078125,"Up",325861000,-189948000,135913000,-96648000,-59579000,-28214000,-8855000,39265000,-7945000,-7945000,31320000,-18952000,12368000,-3158000,9210000,9210000,9210000,9210000,425648000,354275000,71373000,233951000,233951000,278360000,63554000,63554000,1001513000,184221000,1044164000,426983000,592605000,24576000,1243615000,2245128000,127920000,61538000,7022000,59360000,67092000,67092000,207690000,158922000,56821000,855828000,1063518000,765506000,434928000,-18824000,1181610000,1181610000,2245128000,9210000,16430000,27719000,-24770000,28589000,-5108000,228184000,-716515000,-9085000,-115000,687512000,-414000.000000015,-414000.000000015,-3166000,-3580000.00000001,55695000,709584000,28975000,0.41709,0.1205,0.02826,0.00779,0.0041,3.14604,4.82215,0.90006,0.31606,0.17228,0.17117,6.0953,22.10228,0.54198,0.16994,0.00892,0.01413,0.98643,5.09805,7.23127
"27","2016_Q4",51.4188888888889,"Up",380660000,-212275000,168385000,-112736000,-68016000,-32268000,-12452000,55649000,-11603000,-11603000,44046000,-1798000,42248000,-9699000,32549000,32549000,32549000,32549000,419978000,366874000,53104000,243853000,243853000,278965000,59547000,59547000,1002343000,179694000,1044372000,419811000,594635000,29926000,1239322000,2241665000,145553000,68371000,13758000,63424000,73354000,73354000,230435000,156623000,64695000,795691000,1026126000,770557000,458369000,-13387000,1215539000,1215539000,2241665000,32549000,22049000,7443000,13566000,75607000,-4655000,18852000,14197000,-9108000,39000,-72891000,16913000,16913000,-4314000,12599000,77698000,650596000,96308000,0.44235,0.14619,0.08551,0.02678,0.01452,2.95886,4.34979,0.84417,0.29023,0.60756,0.59926,7.10544,22.6894,1.7977,0.17001,0.02059,0.04761,0.27982,2.96813,4.14415
"28","2017_Q1",62.8920967741935,"Up",405140000,-221732000,183408000,-113187000,-66387000,-32870000,-12691000,70221000,-9383000,-9383000,60838000,-11282000,49556000,-4069000,45487000,45487000,45487000,45487000,418086000,228623000,189463000,248757000,248757000,275869000,56057000,56057000,998769000,174559000,1029056000,408004000,588585000,32467000,1213473000,2212242000,159859000,69337000,22794000,67728000,66448000,51985000,237300000,131921000,65475000,733150000,970450000,777595000,494744000,-30547000,1241792000,1241792000,2212242000,45487000,22169000,-10764000,-4171000,52721000,-7204000,-138668000,-145599000,-9112000,1976000,-41546000,-134424000,-134424000,1460000,-132964000,92390000,612222000,85084000,0.4527,0.17333,0.11227,0.03663,0.02056,1.87051,4.20889,0.78149,0.27674,0.84834,0.83433,7.5559,23.15955,1.58683,0.16994,0.02749,0.04284,0.20032,2.10127,2.76464
