"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",72.567619047619,"Up",437153000,-231606000,205547000,-120003000,-74220000,-33282000,-12501000,85544000,-8316000,-8316000,77228000,57000,77285000,-12225000,65060000,65060000,65060000,65060000,411211000,255912000,155299000,267249000,267249000,285518000,57540000,57540000,1021518000,169833000,1019263000,396409000,590502000,32352000,1199029000,2220547000,147996000,70493000,27469000,50034000,71777000,55580000,230396000,132514000,68293000,684746000,915142000,783484000,550385000,-28464000,1305405000,1305405000,2220547000,65060000,21833000,15120000,-35956000,66057000,-4099000,34559000,30460000,-9419000,-2894000,-64545000,31972000,31972000,-4696000,27276000,107377000,562855000,79547000,0.47019,0.19568,0.14883,0.04984,0.0293,1.22267,4.43375,0.70104,0.25348,1.20999,1.18381,8.13021,24.27802,1.47942,0.17518,0.03723,0.03976,0.14477,1.41226,1.7727
"30","2017_Q3",78.4904761904762,"Up",480757000,-261174000,219583000,-117127000,-71979000,-33680000,-11468000,102456000,-6490000,-6490000,95966000,62006000,157972000,-37532000,120440000,120440000,120440000,120440000,571846000,422830000,149016000,268544000,268544000,304707000,57003000,57003000,1202100000,167212000,1005042000,386075000,586865000,32102000,1182583000,2384683000,180676000,73291000,42142000,65243000,67770000,57795000,258256000,144825000,72930000,696671000,954927000,779171000,661341000,-10756000,1429756000,1429756000,2384683000,120440000,20588000,-44419000,12807000,109416000,-5640000,6412000,73281000,-9484000,-10519000,-21536000,161161000,161161000,5765000,166926000,123044000,561656000,167743000,0.45674,0.21311,0.25052,0.08424,0.05051,1.39275,4.65468,0.6679,0.23553,2.22308,2.18982,8.87382,26.39046,3.0962,0.17506,0.06082,0.07852,0.07874,-0.08282,-0.09946
"31","2017_Q4",95.8334920634921,"Up",486267000,-258272000,227995000,-115364000,-71347000,-32548000,-10977000,112631000,-6299000,-6299000,106332000,-4961000,101371000,-25377000,75994000,75994000,75994000,75994000,534608000,305977000,228631000,280302000,280302000,319460000,60833000,60833000,1195203000,166928000,997621000,376334000,589099000,32188000,1175142000,2370345000,192176000,77842000,38609000,75725000,86416000,68604000,282612000,144297000,73187000,580028000,862640000,782710000,727835000,-2840000,1507705000,1507705000,2370345000,75994000,20129000,10853000,-8013000,98963000,-8118000,-79633000,-87751000,-9500000,-1306000,-135301000,-124089000,-124089000,2071000,-122018000,132760000,439751000,142006000,0.46887,0.23162,0.15628,0.0504,0.03206,1.86865,4.22913,0.57215,0.18552,1.39999,1.37915,8.95816,27.77541,2.61608,0.17501,0.04087,0.06789,0.12501,-0.7145,-0.84219
"32","2018_Q1",105.790983606557,"Up",511800000,-273474000,238326000,-116352000,-72510000,-33045000,-10797000,121974000,-6864000,-6864000,115110000,-4113000,110997000,-33359000,77638000,77638000,77638000,77638000,543321000,333887000,209434000,300308000,300308000,339081000,53543000,53543000,1236253000,171782000,995328000,366398000,591047000,37883000,1177765000,2414018000,200063000,82518000,21398000,96147000,86787000,60593000,289822000,145296000,83725000,535289000,825111000,789757000,795698000,3452000,1588907000,1588907000,2414018000,77638000,20006000,2417000,-19275000,80786000,-13430000,20011000,6647000.00000003,-9775000,2503000,-58313000,29120000,29120000,-1327000,27793000,141980000,392965000,142634000,0.46566,0.23832,0.1517,0.04886,0.03216,1.83717,4.26556,0.51929,0.16278,1.42927,1.40557,9.42194,29.25087,2.62581,0.17995,0.04109,0.06705,0.1259,-1.05899,-1.23269
"33","2018_Q2",105.244375,"Down",554275000,-291420000,262855000,-129996000,-82949000,-34857000,-11190000,132859000,-4325000,-4325000,128534000,-1792000,126742000,-21621000,105121000,105121000,105121000,105121000,541502000,340888000,200614000,341718000,341718000,365709000,59093000,59093000,1308022000,172802000,989791000,356345000,593494000,39952000,1173434000,2481456000,185965000,92364000,31096000,62505000,99604000,85601000,291025000,150801000,89032000,492091000,783116000,791263000,892820000,14257000,1698340000,1698340000,2481456000,105121000,20492000,17442000,-70299000,72756000,-9390000,8773000,-617000,-9808000,-8921000,-67096000,5043000,5043000,1958000,7001000,153351000,346746000,95283000,0.47423,0.2397,0.18965,0.0619,0.04236,0.90641,4.49453,0.46111,0.13973,1.93155,1.9014,10.18457,31.20629,1.75079,0.18022,0.05234,0.04339,0.0933,-1.27,-1.46588
"34","2018_Q3",88.3188888888889,"Down",573140000,-298263000,274877000,-123964000,-76559000,-36504000,-10901000,150913000,-2466000,-2466000,148447000,97000.0000000009,148544000,-25682000,122862000,122862000,122862000,122862000,631117000,427431000,203686000,339958000,339958000,384929000,61720000,61720000,1417724000,174054000,971234000,342684000,588718000,39832000,1155764000,2573488000,180630000,87699000,17294000,75637000,88930000,78201000,282071000,147883000,83131000,489979000,772050000,793497000,1004698000,3243000,1801438000,1801438000,2573488000,122862000,19885000,14755000,-47891000,109611000,-12428000,-3492000,-15920000,-10942000,-4131000,-7776000,85915000,85915000,628000,86543000,170798000,354607000,136161000,0.4796,0.26331,0.21437,0.0682,0.04774,1.10824,5.02612,0.42857,0.13779,2.24533,2.22278,10.47424,32.92162,2.48837,0.19997,0.05808,0.0591,0.08906,-1.61893,-1.83225
"35","2018_Q4",70.0638095238095,"Down",487152000,-255292000,231860000,-113415000,-70444000,-31898000,-10695000,118445000,-2203000,-2203000,116242000,-1726000,114516000,-21239000,93277000,93277000,93277000,93277000,619626000,399850000,219776000,318470000,318470000,399077000,75298000,75298000,1412471000,180182000,961539000,331288000,587861000,42390000,1152125000,2564596000,168900000,81486000,12942000,74472000,87463000,78327000,262493000,148840000,87300000,491810000,754303000,786251000,1023959000,83000.0000000019,1810293000,1810293000,2564596000,93277000,19529000,7032000,-23882000,95956000,-15067000,-15848000,-30915000,-10858000,-589000,-92620000,-27579000,-27579000,-2000,-27581000,137974000,349100000,120264000,0.47595,0.24314,0.19147,0.05153,0.03637,1.28932,5.38099,0.41667,0.13612,1.71226,1.69737,8.94251,33.23102,2.20765,0.19932,0.04511,0.0521,0.11641,-1.9607,-2.28398
"36","2019_Q1",78.3595081967213,"Up",460533000,-250625000,209908000,-110325000,-68148000,-32441000,-10714000,99583000,-4106000,-2106000,95477000,-4279000,91198000,-19558000,71640000,71640000,71640000,71640000,718171000,644345000,73826000,295454000,295454000,384689000,65790000,65790000,1464104000,194367000,945485000,319807000,586996000,38682000,1150142000,2614246000,182533000,83825000,16358000,82350000,76766000,62520000,263285000,133932000,85709000,477774000,741059000,794045000,1084797000,-5655000,1873187000,1873187000,2614246000,71640000,19894000,-329000,44272000,135477000,-26015000,146167000,120152000,-10792000,2541000,-10508000,245121000,245121000,-684000,244437000,119477000,347828000,157292000,0.45579,0.21623,0.15556,0.03824,0.0274,2.19559,5.56091,0.39561,0.13305,1.32652,1.31561,8.52744,34.68479,2.91249,0.19983,0.035,0.06679,0.15064,-3.0997,-3.71894
"37","2019_Q2",82.3338095238095,"Up",463561000,-265443000,198118000,-142962000,-82455000,-38933000,-15727000,55156000,-7405000,-7405000,47751000,-32415000,15336000,-2881000,12455000,12455000,12455000,12455000,462342000,418016000,44326000,335990000,335990000,475633000,86387000,86387000,1360352000,251424000,1790612000,619091000,1057331000,114190000,2052386000,3412738000,171195000,95317000,14355000,61523000,115083000,94027000,296559000,218495000,139591000,1195318000,1491877000,844374000,1086409000,-9922000,1920861000,1920861000,3412738000,12455000,25211000,36424000,-45040000,29050000,-14494000,128961000,-874132000,-10843000,-8987000,618632000,-226450000,-226450000,121000,-226329000,80367000,987104000,23714000,0.42738,0.11898,0.02687,0.00647999999999999,0.00365,1.90397,4.58712,0.77667,0.28924,0.23002,0.22708,8.56116,35.47493,0.43796,0.20025,0.00745,0.00758,0.87057,6.52957,9.51414
"38","2019_Q3",80.6725,"Down",474110000,-263083000,211027000,-142643000,-83236000,-41855000,-17552000,68384000,-11251000,-11251000,57133000,-5270000,51863000,-14124000,37739000,37739000,37739000,37739000,459920000,366935000,92985000,313530000,313530000,479497000,117053000,80303000,1.37e+09,230649000,1770898000,599372000,1058667000,112859000,2011948000,3381948000,165272000,88046000,12811000,64415000,108953000,82356000,285156000,224426000,148384000,1151305000,1436461000,849698000,1113036000,-17247000,1945487000,1945487000,3381948000,37739000,27444000,18574000,-6203000.00000001,77554000,-13725000,-48784000,-62509000,-10880000,-2025000,-63978999.9999998,-48934000,-48934000,-2147000,-51081000,95828000,937810000,90024000,0.4451,0.14424,0.0796,0.0194,0.01116,2.38544,4.80439,0.73836,0.2773,0.68848,0.68512,8.64927,35.49187,1.64232,0.19849,0.01564,0.02897,0.2883,4.98696,6.98833
"39","2019_Q4",102.57453125,"Up",462429000,-257474000,204955000,-141295000,-82109000,-41512000,-17021000,63660000,-12344000,-12344000,51316000,4085000,55401000,-7995000,47406000,47406000,47406000,47406000,475128000,386281000,88847000,327983000,327983000,463263000,94011000,94011000,1360385000,236124000,1747889000,580880000,1054091000,112918000,1994159000,3354544000,186171000,88078000,11048000,87045000,111863000,89500000,310657000,196906000,127716000,1070356000,1381013000,856550000,1149457000,-32476000,1973531000,1973531000,3354544000,47406000,27245000,4502000,-18457000,60696000,24719000,4223000,28941000,-10877000,-788000,-64653000,24984000,24984000,-5574000,19410000,90905000,886073000,105162000,0.44321,0.13766,0.10252,0.02402,0.01413,2.21833,4.37906,0.69977,0.26414,0.86277,0.85876,8.41606,35.91765,1.91392,0.19796,0.01907,0.03441,0.22944,4.5206,6.45531
"40","2020_Q1",100.372903225806,"Down",499700000,-283400000,216300000,-141500000,-82500000,-41800000,-17100000,74800000,-1.1e+07,-7700000,63800000,-8600000,55200000,-12400000,42800000,42800000,42800000,42800000,5.24e+08,414600000,109400000,341100000,341100000,462100000,106300000,106300000,1433500000,241900000,1735100000,564600000,1058500000,1.12e+08,1982800000,3416300000,204700000,88400000,15400000,100900000,100900000,79400000,317700000,203600000,131200000,1075300000,1.393e+09,864400000,1181200000,-22300000,2023300000,2023300000,3416300000,42800000,30100000,23100000,-18800000,77200000,-18300000,-21200000,-39500000,-10900000,8e+05,-13800000,23900000,23900000,4400000,28300000,104900000,883800000,80200000,0.43286,0.14969,0.08565,0.02115,0.01253,1.87383,4.51212,0.68848,0.2587,0.77909,0.77383,9.09604,36.83013,1.45988,0.19841,0.01726,0.02578,0.25467,3.42993,4.81016
"41","2020_Q2",97.7846031746032,"Down",535700000,-296100000,239600000,-145900000,-87200000,-42400000,-16300000,93700000,-8600000,-8200000,85100000,-3800000,81300000,-12200000,69100000,69100000,69100000,69100000,503400000,4.42e+08,61400000,3.81e+08,3.81e+08,474200000,9.8e+07,9.8e+07,1456600000,238200000,1774100000,547700000,1056400000,1.7e+08,2018300000,3474900000,208200000,110700000,14700000,82800000,99100000,77200000,321600000,280400000,208800000,1100800000,1422400000,852500000,1239300000,-39300000,2052500000,2052500000,3474900000,69100000,28400000,17700000,-40300000,74900000,-1e+07,4.8e+07,3.8e+07,-1.1e+07,-20400000,-81500000,31400000,31400000,-4e+06,27400000,122100000,834700000,8.4e+07,0.44727,0.17491,0.12899,0.03367,0.01989,1.21563,4.52923,0.69301,0.24021,1.25865,1.25181,9.75774,37.38616,1.53005,0.20036,0.02529,0.02652,0.15919,2.71335,3.53575
"42","2020_Q3",115.38796875,"Up",544300000,-2.98e+08,246300000,-142700000,-86100000,-42800000,-13800000,103600000,-8400000,-6900000,95200000,-2800000,92400000,-18700000,73700000,73700000,73700000,73700000,6.07e+08,428900000,178100000,381100000,381100000,490200000,91500000,91500000,1569800000,248400000,1806900000,534400000,1058100000,214400000,2061300000,3631100000,225300000,1.05e+08,1.6e+07,104300000,1.15e+08,86300000,351600000,334300000,263300000,1152900000,1504500000,858800000,1.302e+09,-34200000,2126600000,2126600000,3631100000,73700000,24100000,16200000,2.5e+07,1.39e+08,-20900000,-116500000,-137400000,-1.1e+07,-5e+05,-16700000,-15100000,-15100000,2e+06,-13100000,127700000,829900000,150500000,0.45251,0.19034,0.1354,0.03466,0.0203,2.04206,4.46473,0.70747,0.22855,1.33757,1.33032,9.8784,38.59528,2.7314,0.19964,0.02574,0.04573,0.14925,1.7455,2.15154
"43","2020_Q4",129.013125,"Up",589800000,-327800000,2.62e+08,-1.42e+08,-8.7e+07,-42500000,-12500000,1.2e+08,-7600000,-6500000,112400000,-3600000,108800000,-17100000,91700000,91700000,91700000,91700000,715700000,493300000,222400000,363900000,363900000,494200000,95900000,95900000,1669700000,267899999,1806999998,523299999,1062099999,221600000,2081199997,3750899997,227600000,113400000,18800000,95400000,124700000,94300000,364300000,3.43e+08,275800000,1159800000,1524100000,861700000,1382700000,-17600000,2226800000,2226800000,3750900000,91700000,23300000,11800000,25300000,152100000,-2.9e+07,-43900000,-72900000,-1.1e+07,-4500000,-17100000,62100000,62100000,2300000,64400000,143300000,828800000,156700000,0.44422,0.20346,0.15548,0.04118,0.02445,1.70883,4.58331,0.68444,0.22096,1.65823,1.65823,10.66546,40.26763,2.83363,0.19892,0.03022,0.04611,0.11996,0.78925,0.9425
"44","2021_Q1",165.977213114754,"Up",660200000,-358600000,301600000,-150800000,-92800000,-45400000,-12600000,150800000,-6200000,-6100000,144600000,-4100000,140500000,-24900000,115600000,115600000,115600000,115600000,8.36e+08,608300000,227700000,392700000,392700000,501400000,74300000,74300000,1804400000,284300000,1808600000,512200000,1066400000,2.3e+08,2099400000,3903800000,246800000,110600000,18300000,117900000,112599999,81399999,373899999,3.54e+08,294800000,1.169e+09,1542899999,873300000,1487300000,3e+05,2360900000,2360900000,3903799999,115600000,23400000,6800000,1400000,147200000,-2.5e+07,-5100000,-30100000,-1.1e+07,4700000,-6200000,110900000,110900000,4100000,1.15e+08,174200000,829500000,175500000,0.45683,0.22842,0.1751,0.04896,0.02961,1.51817,4.82589,0.65352,0.21249,2.098,2.09042,11.98185,42.84755,3.18512,0.19964,0.03572,0.04951,0.09516,-0.03731,-0.0431
"45","2021_Q2",179.620476190476,"Up",6.94e+08,-3.72e+08,3.22e+08,-1.55e+08,-9.6e+07,-4.7e+07,-1.2e+07,1.67e+08,-8e+06,-6e+06,1.59e+08,-1.1e+07,1.48e+08,-2.6e+07,1.22e+08,1.22e+08,1.22e+08,1.22e+08,909500000,699800000,209700000,420800000,420800000,515200000,7.7e+07,7.7e+07,1922500000,2.97e+08,1791899999,498400000,1062099999,231400000,2095399999,4017899999,242900000,146700000,19900000,76300000,119700000,84300000,371900000,363700000,292500000,1.177e+09,1548900000,8.78e+08,1598500000,-7500000,2.469e+09,2.469e+09,4017900000,1.22e+08,2.4e+07,2.5e+07,-4.4e+07,1.27e+08,-2.7e+07,1.8e+07,-9e+06,-1.1e+07,-5e+06,-2.3e+07,9.5e+07,9.5e+07,-3e+06,9.2e+07,1.91e+08,822600000,1.46e+08,0.46398,0.24063,0.17579,0.04941,0.03036,1.19672,5.1694,0.62734,0.20473,2.20615,2.19424,12.54973,44.64738,2.64014,0.19892,0.03639,0.03994,0.09016,-0.45497,-0.52036
"46","2021_Q3",151.95609375,"Down",7.5e+08,-3.95e+08,3.55e+08,-1.6e+08,-9.7e+07,-5e+07,-1.3e+07,1.95e+08,-1.3e+07,-6e+06,1.82e+08,-9e+06,1.73e+08,-2.6e+07,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.039e+09,755200000,283800000,431700000,431700000,5.27e+08,1.24e+08,1.24e+08,2121700000,303900000,1776700000,486300000,1063700000,226700000,2087200000,4208900000,266100000,148100000,18700000,99300000,145200000,108900000,420300000,362300000,290500000,1173800000,1594100000,884400000,1732800000,-2400000,2614800000,2614800000,4208900000,1.47e+08,2.5e+07,2e+07,-2.7e+07,1.65e+08,-1.6e+07,-7.5e+07,-9.1e+07,-1.2e+07,-3e+06,-1.8e+07,5.6e+07,5.6e+07,-999999.999999999,5.5e+07,2.2e+08,820500000,2.03e+08,0.47333,0.26,0.196,0.05622,0.03493,1.38095,5.04806,0.60965,0.19494,2.65823,2.64388,13.56239,47.28391,3.67089,0.217,0.04187,0.05345,0.08163,-0.99318,-1.12051
"47","2021_Q4",154.9909375,"Up",7.42e+08,-3.94e+08,3.48e+08,-1.62e+08,-9.5e+07,-5.2e+07,-1.5e+07,1.86e+08,-9e+06,-6e+06,1.77e+08,-1.1e+07,1.66e+08,-3.4e+07,1.32e+08,1.32e+08,1.32e+08,1.32e+08,879600000,633300000,246300000,443400000,443400000,550400000,121500000,121500000,1994900000,316800000,2047800000,589500000,1226200000,232100000,2.371e+09,4365900000,286200000,150800000,16500000,118900000,141900000,104300000,437100000,390500000,2.92e+08,1200200000,1637300000,892900000,1.853e+09,-17300000,2728600000,2728600000,4365900000,1.32e+08,2.7e+07,6e+06,-1.2e+07,1.53e+08,-2e+07,3.7e+07,-2.51e+08,-1.3e+07,-6e+06,-2.1e+07,-1.19e+08,-1.19e+08,-3e+06,-1.22e+08,2.13e+08,818700000,2.15e+08,0.469,0.25067,0.1779,0.04838,0.03023,1.62879,4.56394,0.60005,0.18752,2.38267,2.36984,13.3935,49.25271,3.88087,0.23466,0.03682,0.0546,0.09848,-0.28592,-0.32742
"48","2022_Q1",154.243870967742,"Down",763600000,-408400000,355200000,-163400000,-97100000,-5.1e+07,-15300000,191800000,-3400000,-6800000,188400000,-9900000,178500000,-28100000,150400000,150400000,150400000,150400000,1.042e+09,9.66e+08,7.6e+07,4.43e+08,4.43e+08,5.77e+08,8.5e+07,8.5e+07,2.147e+09,3.26e+08,2.067e+09,5.76e+08,1.228e+09,2.63e+08,2.393e+09,4.54e+09,3.25e+08,1.68e+08,2.5e+07,1.32e+08,1.26e+08,8.9e+07,4.6e+08,3.85e+08,2.86e+08,1.193e+09,1.653e+09,9.07e+08,1.991e+09,-1.1e+07,2.887e+09,2.887e+09,4.54e+09,150400000,28100000,4500000,11500000,194500000,-23700000,170500000,146400001,-11600000,10700000,-3100000,337800001,337800001,-4800000,333000001,219900000,8.17e+08,235800000,0.46517,0.25118,0.19696,0.0521,0.03313,1.56782,4.66739,0.57257,0.17996,2.69534,2.70018,13.68459,51.73835,4.22581,0.20789,0.03962,0.05767,0.07713,-1.02319,-1.1731
"49","2022_Q2",115.836935483871,"Down",7.42e+08,-4.08e+08,3.34e+08,-1.59e+08,-9.2e+07,-5.2e+07,-1.5e+07,1.75e+08,-1e+06,-6e+06,1.74e+08,-3e+06,1.71e+08,-2.8e+07,1.43e+08,1.43e+08,1.43e+08,1.43e+08,1.053e+09,1.011e+09,4.2e+07,4.8e+08,4.8e+08,6.36e+08,8.9e+07,8.9e+07,2.258e+09,3.31e+08,2.06e+09,5.61e+08,1.227e+09,2.72e+08,2.391e+09,4.649e+09,2.77e+08,1.73e+08,3.2e+07,7.2e+07,1.47e+08,1.01e+08,4.36e+08,3.8e+08,2.77e+08,1.186e+09,1.622e+09,9.09e+08,2.122e+09,-4e+06,3.027e+09,3.027e+09,4.649e+09,1.43e+08,2.8e+07,6e+06,-1.36e+08,4.1e+07,-1.2e+07,3.5e+07,2.3e+07,-1.2e+07,-6e+06,-1.7e+07,4.7e+07,4.7e+07,-2e+06,4.5e+07,2.03e+08,8.18e+08,8.3e+07,0.45013,0.23585,0.19272,0.04724,0.03076,0.58042,5.1789,0.53584,0.17595,2.57658,2.56732,13.36937,54.54054,1.4955,0.21622,0.03669,0.01964,0.08392,-1.15764,-1.34286
"50","2022_Q3",102.595,"Down",7.65e+08,-4.27e+08,3.38e+08,-1.69e+08,-1.01e+08,-5.3e+07,-1.5e+07,1.69e+08,-8e+06,-6e+06,1.61e+08,-5e+06,1.56e+08,-2.6e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,1.067e+09,1.065e+09,2e+06,4.81e+08,4.81e+08,6.89e+08,1.12e+08,1.12e+08,2.349e+09,3.77e+08,2.023e+09,5.44e+08,1.22e+09,2.59e+08,2.4e+09,4.749e+09,2.96e+08,1.81e+08,3.1e+07,8.4e+07,1.5e+08,9.9e+07,4.57e+08,3.59e+08,2.58e+08,1.163e+09,1.62e+09,9.23e+08,2.24e+09,-3.4e+07,3.129e+09,3.129e+09,4.749e+09,1.3e+08,2.8e+07,2.2e+07,-7.5e+07,1.05e+08,-6.4e+07,4e+07,-2.4e+07,-1.2e+07,1e+06,-1.4e+07,6.7e+07,6.7e+07,-1.3e+07,5.4e+07,1.97e+08,8.15e+08,8.4e+07,0.44183,0.22092,0.16993,0.04155,0.02737,0.64615,5.14004,0.51774,0.17162,2.33393,2.32975,13.73429,56.17594,1.50808,0.21544,0.033,0.01952,0.09231,-1.27919,-1.49112
