"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.53609375,"Up",53325000,-21011000,32314000,-18903000,-10213000,-4867000,-3823000,13411000,-4302000,-4302000,9109000,8122000,-1764000,6358000,6358000,6408000,6408000,62064979.8686056,62064979.866522,35835736.1461573,35835736.1461573,11604323.974392,9572472.89909101,109505039.989155,72448831.3968909,298808347.824267,245413473.701665,34799937.8296672,18595819.2936192,371257179.221158,480762219.210313,-16124909.2127209,-16124909.2127209,-13494052.8374645,422648370.179824,48575920.4668208,10971686.6608497,471224290.646644,457730237.80918,948592750.534597,-925560765.000641,23031981.4011327,23031981.4011327,480762219.210313,6408000,4867000,-2034000,-1400000,7841000,-1033000,-1033000,36397000,14000,22681000,29489000,29489000,29489000,18278000,0,17609000,0.60598,0.2515,0.12017,-14.4267446662083,-0.154810488227371,2.74797,7.89360944098901,1683.20175173801,0.884853248191503,0.07582,0.07531,0.63097,0.272736643572637,0.20836,-0.189110130813273,-0.17031130497134,29.4842865193305,60.2302709447244
"2","2011_Q1",1.51209677419355,"Down",50647000,-20861000,29786000,-21975000,-9842000,-4765000,-7368000,7811000,-9257000,-9257000,-1446000,-37555000,8478000,-29077000,-29077000,-29273000,-29273000,72390000,72390000,41552000,41552000,7676000,6867000,121618000,71777000,297415000,246638000,35912000,14865000,369192000,490810000,38550000,38550000,39668000,395119000,45666000,10294000,440785000,480453000,941179000,-930822000,10357000,10357000,490810000,-29273000,4765000,32529000,12061000,20082000,-1572000,-1572000,0,6000,-1330000,17180000,17180000,17180000,12576000,396119000,14587000,0.58811,0.15422,-0.57798,-2.8264,-0.05964,-0.498310000000002,3.0659,46.38921,0.80707,-0.34635,-0.35565,0.59925,0.12254,0.17259,-0.06474,0.03226,25.74181,41.44527
"3","2011_Q2",1.40619047619048,"Down",44044000,-20821000,23223000,-17720000,-9243000,-4732000,-3745000,5503000,-8754000,-9441000,-3251000,-3251000,-1181000,-4432000,-4432000,-4432000,-4432000,76495590.0437981,76495590.0444927,42995921.2846142,42995921.2846142,6398475.34186934,6199342.36696966,125889986.670282,70433306.2010364,296342884.058578,246763092.099445,36466437.3901109,13113060.2354602,366776190.259614,492666176.929896,50728469.7375736,50728469.7375736,51092184.2791548,390042293.273392,45201359.8443931,9710187.77971677,435243653.117785,486335837.39694,940170749.821801,-933840411.666453,6330339.53295576,6330339.53295576,492666176.929896,-4432000,4732000,663000,-4418000,-3455000,-2513000,-2861000,-6876408.20109172,27000,-2000,-6318000,-6318000,-6318000,10235000,0,4485000,0.52727,0.12494,-0.10063,0.685483222069434,-0.0137256705908764,-1.01196,2.07520851967033,-258.236969746002,0.791668083936166,-0.05246,-0.05246,0.5213,0.0746111188091209,0.05308,-0.0108149563955757,0.0793496016571135,23.0413878268898,32.6279696850919
"4","2011_Q3",0.9734375,"Down",50265000,-22487000,27778000,-17483000,-9286000,-4425000,-3772000,10295000,-9459000,-9459000,836000,836000,-1188000,-352000,-352000,-352000,-352000,75269000,75269000,42164000,42164000,6594000,6594000,124027000,68682000,295409000,246237000,36647000,12525000,364091000,488118000,39925000,39925000,40043000,395398000,46197000,9208000,441595000,481638000,942086000,-935606000,6480000,6480000,488118000,-352000,4425000,3214000,5287000,12574000,-2189000,-2392000,-1e+06,15000,-985000,9197000,9197000,9197000,14720000,395398000,19006000,0.55263,0.20481,-0.00699999999999995,-0.054320000000001,-0.000719999999999998,-53.99432,3.09735,74.3268500000001,0.81005,-0.00414000000000005,-0.00414000000000003,0.59103,0.07619,0.22348,-0.000789999999999999,0.04242,21.74789,31.09558
"5","2011_Q4",1.00587301587302,"Up",50115000,-22582000,27533000,-17521000,-8621000,-5015000,-3885000,10012000,-9444000,-9444000,568000,568000,-1952000,-1384000,-1384000,-1384000,-1384000,68979000,68979000,42032000,42032000,6802000,6802000,117813000,66867000,294409000,245611000,36647000,12151000,361276000,479089000,30274000,30274000,30392000,395542000,47564000,8748000,443106000,473498000,942581000,-936990000,5591000,5591000,479089000,-1384000,5015000,2481000,-10525000,-4413000,-1840000,-1877000,0,0,0,-6290000,-6290000,-6290000,15027000,395542000,4614000,0.5494,0.19978,-0.02762,-0.24754,-0.00289,-3.33382,3.87645,84.68932,0.82561,-0.01627,-0.01627,0.5892,0.06573,0.05425,-0.00308,0.01028,21.73175,32.61716
"6","2012_Q1",1.12048387096774,"Up",49972000,-22700000,27272000,-18109000,-9361000,-4481000,-4267000,9163000,-9303000,-9303000,-140000,-563000,-1469000,-2032000,-2032000,-2032000,-2032000,58719000,58719000,44270000,44270000,5939000,5939000,108928000,65226000,293167000,245299000,36647000,11221000,358393000,467321000,39750000,39750000,39868000,379662000,48352000,8327000,428014000,467882000,938461000,-939022000,-561000,-561000,467321000,-2032000,4481000,2808000,7647999.99999999,12905000,-1982000,-1992000,-16071000,0,-21173000,-10260000,-10260000,-10260000,13644000,379662000,20779000,0.54575,0.18336,-0.04066,3.6221,-0.00435,-10.22589,2.73222,-834.01426,0.81242,-0.02389,-0.02389,0.58752,-0.0066,0.2443,0.00718,0.04861,23.52265,35.02597
"7","2012_Q2",0.956825396825397,"Down",46524000,-21634000,24890000,-17600000,-9372000,-4347000,-3881000,7290000,-9096000,-9096000,-1806000,-1806000,-1589000,-3395000,-3395000,-3395000,-3395000,51169000,51169000,41189000,41189000,6365000,6365000,98723000,63089000,291807000,244377000,36647000,10783000,354896000,453619000,28149000,28149000,28267000,379807000,49240000,8109000,429047000,457314000,938722000,-942417000,-3695000,-3695000,453619000,-3395000,4347000,1656000,-8914000,-6306000,-1164000,-1164000,-28633950.5008289,-2809.17279012491,-80000,-7550000,-7550000,-7550000,11637000,379807000,3148000,0.53499,0.15669,-0.07297,0.91881,-0.00748,-0.92725,3.49252,-123.76563,0.83728,-0.03957,-0.03957,0.5422,-0.04306,0.03669,-0.00798,0.0074,28.24078,45.08066
"8","2012_Q3",0.887460317460318,"Down",54491000,-22876000,31615000,-17892000,-9635000,-4076000,-4181000,13723000,-8950000,-8950000,4773000,3543000,-1477000,2066000,2066000,2066000,2066000,40757000,40757000,48306000,48306000,5697000,5697000,94760000,61923000,290260000,243768000,36647000,9845000,352183000,446943000,37466000,37466000,37584000,360155000,50096000,7666000,410251000,447835000,939459000,-940351000,-892000,-892000,446943000,2066000,4076000,3561000,2968000,12671000,-2483000,-2483000,-20600000,0,-20600000,-10412000,-10412000,-10412000,17799000,360155000,19761000,0.58019,0.25184,0.03791,-2.31614,0.00462,9.56486,2.52129,-502.05717,0.80582,0.02407,0.02407,0.63481,-0.01039,0.23021,0.00505,0.04827,17.94472,23.27465
"9","2012_Q4",0.976612903225806,"Up",58486000,-23293000,35193000,-18071000,-9593000,-4013000,-4465000,17122000,-8661000,-8661000,8461000,8461000,-1228000,7233000,7233000,7233000,7233000,45238000,45238000,48059000,48059000,6876000,6876000,100173000,62063000,289271000,243158000,36647000,9466000,351334000,451507000,32382000,32382000,32500000,360299000,51580000,8070000,411879000,444379000,940246000,-933118000,7128000,7128000,451507000,7233000,4013000,2154000,-6087000,7313000,-2855000,-2855000,0,23000,23000,4481000,4481000,4481000,21135000,360299000,13421000,0.60173,0.29275,0.12367,1.01473,0.01602,1.85552,3.08225,62.34273,0.79799,0.08416,0.08312,0.68054,0.08294,0.15617,0.01726,0.03203,14.90707,18.40095
"10","2013_Q1",1.54,"Up",63752000,-24453000,39299000,-18657000,-9218000,-3990000,-5449000,20642000,-8614000,-8614000,12028000,9515000,-1818000,7697000,7697000,7697000,7697000,36130000,36130000,48030000,48030000,4245000,3820000,88405000,61435000,288211000,243050000,36647000,8514000,349646000,438051000,39158000,39158000,39426000,340664000,52560000,7359000,393224000,432650000,930822000,-925421000,5401000,5401000,438051000,7697000,3990000,6793000,7874000,26354000,-3354000,-3354000,-21200000,7.27595761418343e-12,-32108000,-9108000,-9108000,-9108000,24632000,340814000,30970000,0.61644,0.32379,0.12073,1.42511,0.01757,4.02365,2.2423,80.10554,0.77802,0.08956,0.08889,0.74177,0.06284,0.36034,0.04516,0.07766,12.36944,14.76039
