"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital"
"1","2010_Q4",5.096875,"Up",25294596,-22160682,3133914,-2289262,-2289262,844652,-362614,-362614,482038,482038,-174620,307418,307418,307418,307418,14288685,14288685,8252471,3996446,1162445,29015918,43902316,3220534,1097433,47122850,76138768,8058103,6945222,1041660,4457849,2821836,2821836,15337788,14199997,9714040,9199598,23914037,39251825,23761491,-26226440,35424661,3927231,36886943,36886943,76138768,307418,1027327,992801,-1930621,396925,-125384,-125384,-920000,-870436,-598895,-598895,-598895,1871979,18657846,-9406,0.1239,0.03339,0.01215,0.00833,0.00404,-0.0306,1.89179,1.06411,0.24505,0.04488,0.04488,3.69241,5.38462,-0.00137,-134.946942231844,0.00471,-0.00014
"2","2011_Q1",6.29709677419355,"Up",31045572,-25333215,5712357,-3023468,-3023468,2688889,-100913,-100913,2587976,2587976,-766755,1821221,1821221,1821221,1821221,14746000,14746000,8409000,3266000,874000,32078000,43343000,3641000,1097000,46984000,79062000,8399000,6488000,1911000,4151000,4612000,4612000,17162000,13581000,10255000,9904000,23836000,40998000,23859000,-26254000,37246000,3213000,38064000,38064000,79062000,1821221,954957,-409492,2131447,4498133,-339128,-339128,-924999,-980483,3178522,3178522,3178522,3643846,17732000,6202920,0.184,0.08661,0.05866,0.04785,0.02304,3.40591,1.86913,1.07708,0.22428,0.25813,0.25813,4.40029,5.39506,0.87918,-65.5681653391063,0.02757,0.09391
"3","2011_Q2",8.70142857142857,"Up",28989000,-22397000,6592000,-2923000,-2923000,3669000,-181000,-181000,3488000,3488000,-1219000,2269000,2269000,2269000,2269000,18973643,18973643,9532931,3624869,1102176,32509723,42754691,3639029,1097433,46393720,78903443,8407698,6220682,2123596,4059289,4442739,4442739,16909726,11362854,10200850,9927456,21563704,38473430,23989784,-26253478,39515305,3178402,40430013,40430013,78903443,2269000,984000,-142000,-5793000,-2682000,-344000,-344000,-710000,-2253000,-5279000,-5279000,-5279000,4653000,15422143,-265000,0.2274,0.12657,0.07827,0.05612,0.02876,-0.11679,1.92255,0.95161,0.19546,0.32922,0.31335,4.20618,5.86622,-0.03845,-22.7840826695532,0.03435,-0.00401
"4","2011_Q3",8.4715625,"Down",35294000,-27564000,7730000,-3177000,-3177000,4553000,-268000,-268000,4285000,4285000,-1443000,2842000,2842000,2842000,2842000,20382412,20382412,10647714,3747456,1091653,34777582,44910034,3657026,1097433,48567060,83344642,9505076,7476896,1974413,4074289,5499055,5499055,19078420,10739282,10225869,9901564,20965151,40043571,24114667,-26314186,42357196,3143394,43301071,43301071,83344642,2842000,983000,118000,-614000.000000001,3329000,-3043000,-3043000,-609000,-664000,-378000,-378000,-378000,5536000,14813571,3322000,0.21902,0.129,0.08052,0.06563,0.0341,1.1689,1.82288,0.92477,0.17774,0.41147,0.38756,5.10989,6.26916,0.48096,-0.594694223184385,0.04159,0.04861
"5","2011_Q4",8.15142857142857,"Down",37836000,-29665000,8171000,-3417000,-3417000,4754000,-171000,-171000,4583000,4583000,-1727000,2856000,2856000,2856000,2856000,24408791,24408791,10504727,3318306,936207,40246079,45777352,3675024,1097433,49452376,89698455,12126042,8785606,3340436,4089289,6754823,6754823,22970154,10110711,10287962,9910618,20398673,43368827,24497255,-26488934,45212922,3108385,46329628,46329628,89698455,2856000,973000,405000,-169000,4065000,-1553000,-1553000,-614000,-498000,2014000,2014000,2014000,5727000,14200000,5732000,0.21596,0.12565,0.07548,0.06165,0.03184,2.007,1.7521,0.93609,0.15831,0.40923,0.39242,5.42141,6.63843,0.82132,7,0.04033,0.08094
"6","2012_Q1",8.99306451612903,"Up",41302000,-33912000,7390000,-3422000,-3422000,3968000,-76000,-76000,3892000,3892000,-1333000,2559000,2559000,2559000,2559000,22048000,22048000,11408000,3707000,954000,41797000,49344000,2157000,1097000,51501000,93298000,12561000,9813000,2748000,4104000,8322000,8322000,24987000,9477000,8738000,8580000,18215000,43202000,24942000,-26495000,47772000,3877000,50096000,50096000,93298000,2559000,1002000,738000,2464000,6763000,-3866000,-3866000,-618000,-277000,2620000,2620000,2620000,4970000,13581000,4901000,0.17893,0.09607,0.06196,0.05108,0.02743,1.9152,1.67275,0.86238,0.14557,0.3636,0.34826,5.86843,7.11793,0.69636,6,0.03534,0.06768
"7","2012_Q2",8.15380952380952,"Down",44529000,-36898000,7631000,-3613000,-3613000,4018000,-109000,-109000,3909000,3909000,-1274000,2635000,2635000,2635000,2635000,25044000,25044000,12385000,3687000,836000,41116000,50300000,2179000,1097000,52479000,93595000,15235000,11050000,4185000,4317000,5439000,5439000,24991000,7239000,8513000,8390000,15752000,40743000,25112000,-26504000,50407000,3837000,52852000,52852000,93595000,2635000,1202000,0,-4049000,-212000,-2469000,-2469000,-425000,-1953000,-4634000,-4634000,-4634000,5220000,11556000,-24000,0.17137,0.09023,0.05917,0.04986,0.02815,-0.00911,1.64523,0.77089,0.12347,0.3727,0.35623,6.2983,7.47553,-0.00339,3,0.03613,-0.00033
"8","2012_Q3",7.63714285714286,"Down",44544000,-37518000,7026000,-3587000,-3587000,3439000,-16000,-16000,3423000,3423000,-1082000,2341000,2341000,2341000,2341000,26254000,26254000,12600000,4626000,1726000,43480000,51893000,2202000,1097000,54095000,97575000,14768000,12849000,1919000,6372000,6253000,6253000,27393000,6600000,8379000,8257000,14979000,42372000,25243000,-26587000,52748000,3799000,55203000,55203000,97575000,2341000,1202000,157000,-2201000,1499000,-2832000,-2832000,1416000,1333000,0,0,0,4641000,12972000,690000,0.15773,0.0772,0.05255,0.04241,0.02399,0.29475,1.58727,0.76757,0.13294,0.33046,0.31807,6.28797,7.79263,0.0973999999999999,4,0.03058,0.00901000000000001
"9","2012_Q4",6.85322580645161,"Down",37681000,-32692000,4989000,-3032000,-3032000,1957000,-96000,-96000,1861000,1861000,-710000,1151000,1151000,1151000,1151000,20842000,20842000,12033000,4587000,1210000,37462000,52338000,2224000,1097000,54562000,92024000,9993000,9160000,833000,4691000,6576000,6576000,21260000,6171000,8343000,8221000,14514000,35774000,25338000,-26748000,53899000,3761000,56250000,56250000,92024000,1151000,1088000,31000,1766000,4036000,-1765000,-1765000,-2110000,-2271000,0,0,0,3045000,10862000,3756000,0.1324,0.05194,0.03055,0.02046,0.01251,3.26325,1.76209,0.63598,0.11803,0.16148,0.1559,5.28634,7.89141,0.52694,5,0.01525,0.04978
"10","2013_Q1",6.97583333333333,"Up",35696000,-29494000,6202000,-3126000,-3126000,3076000,-113000,-113000,2963000,2963000,-9e+05,2063000,2063000,2063000,2063000,14623000,14623000,9965000,5300000,1063000,37726000,51558000,2565000,1097000,54123000,91849000,7890000,6871000,1019000,3734000,7463000,7463000,19087000,5743000,9021000,8922000,14764000,33851000,25597000,-26748000,55962000,3187000,57998000,57998000,91849000,2063000,1031000,-620000,7001000,9475000,-415000,-415000,-1385000,-1222000,7838000,7838000,7838000,4107000,9477000,11593000,0.17374,0.08617,0.05779,0.03557,0.02246,5.61949,1.97653,0.58366,0.10318,0.28918,0.27969,5.00364,8.1298,1.62504,5,0.02697,0.15155
