"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","total_assets","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","earnings_per_share_basic","earnings_per_share_diluted"
"1","2016_Q2",31.6875,"Up",-72016,-70558,-63430,-72016,-72016,-72016,-72016,-72016,-72016,-72016,140010,140010,150565,859631,39688,39688,20768,-3966294,4765069,819943,819943,859631,-72016,-55309,53393,-66804,51477,51477,51477,0,-0.35126,-0.35126
"2","2016_Q3",33.3546875,"Up",-191071,-190703,-177346,-191071,-190350,-190350,-190350,-190350,-190350,-190350,151689,151689,162006,856481.000000002,13411,13411,21058,-4156644,4978256,843070,843070,856481.000000002,-190350,66489,37717.9999999999,-72786,11679,11679,11679,0,-0.90905,-0.90905
"3","2016_Q4",36.1142857142857,"Up",-133503,-83503,-70077,-133503,-133503,-133503,-133503,-133503,-133503,-133503,81854,81854,93766,781025,61662,61662,21086,-4290147,4987424,719363,719363,781025,-133503,170467,-116491,-66745,-69835,-69835,-69835,0,-0.63397,-0.63397
"4","2017_Q1",40.4112903225806,"Up",-2195428,-2245428,-1700883,-2144661,-2144693,-2144693,-2144693,-2144693,-2144693,-2144693,436529,436529,604366,33019542,357421,357421,27834,-6434840,39068127,32662121,32662121,33019542,-2144693,1152833,214841,-231830,354675,354675,354675,2261,-7.21504,-7.21504
"5","2017_Q2",38.2460317460317,"Down",-845735,-845367,-356609,-779825,-792642,-792642,-792642,-792642,-792642,-792642,205392,205392,367711,32317084,379605,379605,32318,-7227482,39131643,31937479,31937479,32317084,-792642,283060,-258839,-279663,-231137,-231137,-231137,0,-2.66656,-2.66656
"6","2017_Q3",34.5,"Down",-1122812,-1122812,-313026,-1096677,-1201379,-1201379,-1201379,-1201379,-1201379,-1201379,238406,238406,475275,31650692,234005,234005,32970,-8441678,39824492,31416784,31416687,31650692,-1201379,-281378,253164,-419807,33013.9999999999,33013.9999999999,33013.9999999999,20564,-3.69403,-3.69403
"7","2017_Q4",25.1225806451613,"Down",-1482022,-1481992,-477675,-1449419,-1449577,-1449577,-1449577,-1449577,-1449577,-1449577,150049,150049,229240,30426731,164773,164773,33278,-9891255,40118935,30261958,30261958,30426731,-1449577,339729,-176803,-282334,-88357,-88357,-88357,15423,-4.42657,-4.42657
"8","2018_Q1",19.8737704918033,"Down",-1515178,-1514985,-499506,-1488158,-10042111,-10042111,-10042111,-10042111,-10042111,-10042111,57128,57128,128631,20792802,301291,451291,33409,-19933366,40240468,20341511,20341511,20792802,-10042111,8883698,-237127,-380061,-92921,-92921,-92921,231045,-29.9761,-29.9761
"9","2018_Q2",22.21953125,"Up",-1051996,-1049681,-489141,-1040384,-1056515,-1056515,-1056515,-1056515,-1056515,-1056515,41912,41912,129357,20244886,487641,787641,33608,-20989881,40412518,19457245,19457245,20244886,-1056515,296735,-185624,-384864,-15216,-15216,-15216,470833,-3.15374,-3.15374
"10","2018_Q3",31.8611111111111,"Up",-1069742,-711751,-504232,-1026754,-1124742,-1124742,-1124742,-1124742,-1124742,-1124742,172222,172222,1076307,20780653,1259208,1559208,34489,-22114623,41300597,19221463,19221445,20780653,-1124742,127547,175383,-268300,130310,130310,130310,764668,-3.33091,-3.33091
