"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",6.46983606557377,"Down",146212000,-69413000,76799000,-95612000,-55202000,-40410000,-18813000,188000,-509000,697000,-18625000,-16850000,-35475000,19761000,-15714000,-15714000,-15714000,-15714000,74297000,57073000,165156000,165156000,21303000,21463000,21463000,282219000,24780000,594853000,244414000,335716000,8434000,6289000,628664000,910883000,122231000,45851000,76380000,120571000,120571000,242802000,52660000,2787000,49873000,52660000,295462000,1684778000,-1072426000,3069000,615421000,615421000,910883000,-15714000,13498000,-2096000,3345000,-967000,-734000,10463000,1931000,468000,468000,-6350000,-3951000,5545000,5545000,248000,5793000,-5315000,0,-22465000,0.52526,-0.12867,-0.10747,-0.02553,-0.01725,1.42962,1.16234,0.4801,0,-0.18087,-0.18166,1.68296,7.08374,-0.25858,-0.02352,-0.03363,13.97874,3.94924
"2","2018_Q2",5.858125,"Down",121180000,-65907000,55273000,-86576000,-47527000,-39049000,-31303000,-351000,-599000,248000,-31654000,-11080000,-42734000,-2170000,-44904000,-44904000,-44904000,-44904000,82313000,58589000,125504000,125504000,21422000,22192000,22192000,251431000,24002000,583420000,232105000,335716000,8154000,7445000,609647000,861078000,99868000,37119000,62749000,123162000,123162000,223030000,53013000,3092000,49921000,53013000,276043000,1687241000,-1105366000,3160000,585035000,585035000,861078000,-44904000,14816000,3375000,30105000,3391999.99999999,-1827000,-1582000,-3.72529029846191e-09,185549.764990729,88353.6379334606,-499999.999999999,-5e+05,1310000,1310000,206000,1516000,-16487000,0,13961000,0.45612,-0.25832,-0.37056,-0.07675,-0.05215,-0.31091,1.12734,0.47184,0,-0.44059,-0.44059,1.18901,5.74031,0.13698,-0.07038,0.02188,4.9926,2.62956000000001
"3","2018_Q3",7.11952380952381,"Up",137361000,-62250000,75111000,-81370000,-45766000,-35604000,-6259000,-2787000,-735000,-2052000,-9046000,-10377000,-19423000,-499000,-19922000,-19922000,-19922000,-19922000,55335000,33411000,136395000,136395000,19036000,22014000,22014000,232780000,23835000,571087000,220141000,335716000,7643000,7587000,594922000,827702000,95175000,34172000,61003000,107935000,107935000,203110000,57342000,3291000,54051000,57342000,260452000,1688976000,-1124799000,3073000,567250000,567250000,827702000,-19922000,14775000,4426000,-25362000,-26083000,-1665000,2368000,-293000,10000,10000,-840000,-1123000,-24838000,-24838000,-340000,-25178000,8516000,0,-18012000,0.54681,-0.04557,-0.14503,-0.03512,-0.02407,0.90413,1.14608,0.45915,0,-0.19501,-0.19501,1.34457,5.55256,-0.17631,-0.0319,-0.02884,-6.49777,8.84087
"4","2018_Q4",5.79650793650794,"Down",152468000,-70234000,82234000,-81833000,-47430000,-34403000,401000,-2674000,-1420000,-1254000,-2273000,-7967000,-10240000,82000.0000000005,-10158000,-10158000,-10158000,-10158000,43268000,35984000,150677000,150677000,21724000,19830000,19830000,235499000,25960000,662594000,263393000,382493000,8212000,8496000,688554000,924053000,117825000,43215000,74610000,140489000,140489000,258314000,75377000,3869000,71508000,75377000,333691000,1722127000,-1134957000,3192000,590362000,590362000,924053000,-10158000,16400000,2647000,-9739000,-850000,-2458000,-34206000,37857000,33000,33000,-114000,37776000,2720000,2720000,-147000,2573000.00000001,16801000,0,4521999.99999999,0.53935,0.00262999999999999,-0.06662,-0.01721,-0.01099,-0.44517,0.91168,0.56523,-1.0842021724855e-19,-0.09682,-0.09682,1.45321,5.62689,0.0431,-0.01526,0.00679,-2.57532,-107.90025
"5","2019_Q1",5.35524590163934,"Down",166896000,-32206000,134690000,-128971000,-42842000,-36406000,5719000,-2190000,-1476000,-714000,3529000,-4542000,-1013000,-813000,-1826000,-1826000,-1826000,-1826000,50978000,43694000,187853000,187853000,22602000,17002000,17002000,278435000,27042000,651682000,251391000,383655000,9152000,7484000,678724000,957159000,129567000,45304000,84263000,160087000,160087000,289654000,77207000,4738000,72469000,77207000,366861000,1723587000,-1136992000,3703000,590298000,590298000,957159000,-1826000,14932000,5952000,-5112000,13946000,-1957000,-1957000,-3216000,29999.9999999999,30000,-1194000,-4380000,7609000,7609000,101000,7710000,20651000,0,14395000,0.80703,0.03427,-0.01094,-0.00309,-0.00191,-7.88335,0.96127,0.62148,0,-0.01712,-0.01712,1.56462,5.53392,0.13495,-0.00274,0.02157,-2.46855,-8.9138
"6","2019_Q2",4.88333333333333,"Down",118928000,-62339000,56589000,-84686000,-48753000,-35933000,-28097000,6410000,-1364000,7774000,-21687000,-8131000,-29818000,-1014000,-30832000,-30832000,-30832000,-30832000,45936000,43938000,134801000,134801000,18870000,20444000,20444000,220051000,27630000,698368000,250669000,389196000,8969000,49534000,725998000,946049000,96443000,37989000,58454000,173497000,173497000,269940000,97046000,4861000,92185000,97046000,366986000,1743147000,-1167824000,3740000,579063000,579063000,946049000,-30832000,14843000,-3286000,38854000,19579000,-3766000,1529000,2e+06,-2837443.18473115,548244.499929643,-22923000,-20923000,185000.000000001,185000.000000001,59000,244000,-13254000,0,22848000,0.47583,-0.23625,-0.25925,-0.05324,-0.03259,-0.74105,0.81518,0.63376,-1.73472347597681e-18,-0.28504,-0.28504,1.09949,5.35342,0.21123,-0.0456,0.03379,3.46582,1.63491000000001
"7","2019_Q3",5.2528125,"Up",145421000,-64748000,80673000,-76660000,-41359000,-35301000,4013000,61599000,-1262000,62861000,65612000,-11109000,54503000,-5033000,49470000,49470000,49470000,49470000,51186000,51186000,155415000,155415000,16509000,27484000,27484000,250594000,28297000,698053000,238022000,389196000,5785000,65050000,726350000,976944000,88192000,33499000,54693000,139744000,139744000,230436000,72724000,5031000,67693000,119939000,350375000,1740574000,-1118354000,4349000,626569000,626569000,976944000,49470000,15617000,5710000,-61257000,9540000,-2387000,-387000,2784000,-3840000,696000,-917000,-1973000,7180000,7180000,68000,7248000,19630000,49715000,-38981000,0.55475,0.0276,0.34018,0.07895,0.05064,-0.78797,1.08748,0.5592,0.05089,0.44846,0.44497,1.31828,5.68002,-0.35337,0.06605,-0.05204,-0.07494,-0.36656
"8","2019_Q4",3.979375,"Down",137653000,-58776000,78877000,-72122000,-37900000,-34222000,6755000,-1233000,-726000,-507000.000000007,5522000.00000001,-4069000,1453000,197000,1650000,1650000,1650000,1650000,40397000,40397000,162964000,162964000,14103000,29880000,29880000,247344000,27023000,682714000,225762000,389196000,5463000,62293000,709737000,957081000,77763000,25113000,52650000,124991000,124991000,205254000,74207000,4865000,69342000,120812000,326066000,1743100000,-1116704000,4619000,631015000,631015000,957081000,1650000,15193000,3474999.99999999,-26806000,-6488000,-2441000,-2441000,-1823000.00000001,43000,43000,-8999.99999999627,-1789000.00000001,-10718000,-10718000,-71000,-10789000,21948000,49105000,-7496000,0.57301,0.04907,0.01199,0.00261000000000003,0.00172000000000001,-4.54303,1.20506,0.51673,0.05131,0.0149900000000001,0.01487,1.25036,5.73176,-0.0680900000000001,0.00219,-0.00993999999999998,0.39676,1.28912
"9","2020_Q1",3.00596774193548,"Down",161109000,-60164000,100945000,-79424000,-32168000,-35604000,21521000,-209000,-525000,316000,21312000,-170343000,-149031000,-1332000,-150363000,-150363000,-150363000,-150363000,44643000,44643000,192706000,192706000,14800000,27146000,27146000,279295000,28976000,506637000,213366000,224896000,4959000,63416000,535613000,814908000,88112000,31412000,56700000,116125000,116125000,206737000,78921000,4648000,74273000,124916000,331653000,1747795000,-1267067000,2527000,483255000,483255000,814908000,-150363000,15521000,169627000,-1731000,33054000,-2230000,-2230000,-26840000,359000,359000,-111000,-26592000,4232000,4232000,14000,4246000,37042000,48495000,34413000,0.62656,0.13358,-0.9333,-0.31115,-0.18452,-0.22887,1.35097,0.68629,0.05951,-1.36239,-1.3841,1.45976,4.37862,0.31181,-0.24623,0.05635,0.10399,0.17899
"10","2020_Q2",3.6315873015873,"Up",157982000,-67458000,90524000,-104805000,-48176000,-42295000,-14281000,-4239000,-3395000,-844000,-18520000,-14459000,-32979000,-191000,-33170000,-33170000,-33170000,-33170000,96830000,96830000,205793000,205793000,67067000,59142000,59142000,428832000,46903000,996754000,452930000,414389000,6225000,123210000,1043657000,1472489000,225342000,89323000,136019000,131900000,131900000,370742000,166300000,17443000,148857000,548043000,918785000,1860164000,-1300237000,-6223000,553704000,553704000,1472489000,-33170000,17808000,5516000.00000003,49778000,39932000,37483000,-309369000,346412000,5000,5000,-11365000,335052000,65615000,65615000,-190000,65425000,3527000,395243000,90979000,0.573,-0.0904,-0.20996,-0.05991,-0.02253,-2.74281,1.15669,1.65934,0.26842,-0.27415,-0.27415,1.30572,4.57637,0.75194,-0.0297399999999999,0.08158,84.60817,-20.89581
"11","2020_Q3",4.21640625,"Up",210493000,-87226000,123267000,-115457000,-48992000,-51796000,7810000,-7807000,-5400000,-2407000,3000,-6218000,-6215000,-2036000,-8251000,-8251000,-8251000,-8251000,80992000,80992000,204601000,204601000,58047000,65173000,65173000,408813000,48004000,971245000,449263000,416892000,6416000,98674000,1019249000,1428062000,203793000,73066000,130727000,123994000,123994000,342637000,163346000,17720000,145626000,540648000,883285000,1863388000,-1308488000,-10123000,544777000,544777000,1428062000,-8251000,19455000,6727000,-21151000,-3220000,-8874000,-8874000,-3980000,18000,18000,-16000,-3978000,-16072000,-16072000,48000,-16024000,27265000,392152000,-724000,0.58561,0.0371,-0.0392,-0.01515,-0.00578,0.08775,1.19314,1.62137,0.2746,-0.05711,-0.05711,1.45688,3.77055,-0.00501,-0.0075,-0.00066,11.41243,39.84123
"12","2020_Q4",5.279375,"Up",231118000,-96164000,134954000,-118381000,-52919000,-49113000,16573000,-6447000.00000001,-6854000,407000.000000007,10126000,-4656000,5470000,782000,6252000,6252000,6252000,6252000,103698000,103698000,207813000,207813000,50974000,40357000,40357000,402842000,48432000,954804000,432914000,416892000,8750000,96248000,1003236000,1406078000,194659000,60784000,133875000,111204000,111204000,319772000,157839000,17532000,140307000,530865000,850637000,1866976000,-1302236000,-9299000,555441000,555441000,1406078000,6252000,20843000,3477000,-2035999.99999999,28536000,-3794000,-3793999.99999997,-4182000,6000,6000,-3880000,-8056000,16686000,16686000,166000,16852000,37416000,386935000,30804000,0.58392,0.07171,0.02705,0.01126,0.00445,4.92706,1.25978,1.53146,0.27519,0.04311,0.0431100000000001,1.59351,3.82965,0.21239,0.00568,0.028,7.56993999999999,17.09027
"13","2021_Q1",8.27573770491803,"Up",244202000,-142130000,102072000,-77106000,-52517000,-51321000,24966000,110141000,-5393000,115534000,135107000,-8066000,127041000,-3281000,123760000,123760000,123760000,123760000,128428000,128428000,237738000,237738000,45750000,35730000,35730000,447646000,48888000,935548000,417356000,416892000,10651000,90649000,1099619000,1547265000,198252000,63387000,134865000,113847000,113847000,327630000,163747000,16842000,146905000,532782000,860412000,1870271000,-1178476000,-4942000,686853000,686853000,1547265000,123760000,19992000,-111721000,4285000,36316000,-8036000,-8036000,-3196000,41000,41000,-560000,-3715000,24565000,24565000,236000,24801000,44958000,384566000,44488000,0.41798,0.10224,0.50679,0.18018,0.07999,0.35947,1.36632,1.25269,0.24855,0.85142,0.73628,1.68002,4.72528,0.30606,0.1002,0.03602,5.69727,10.25947
"14","2021_Q2",7.6531746031746,"Down",192772000,-92286000,100486000,-105943000,-52771000,-47410000,-5457000,-31267000,-5819000,-25448000,-36724000,-7147000,-43871000,-816000,-44687000,-44687000,-44687000,-44687000,106228000,106228000,209163000,209163000,44854000,36677000,36677000,396922000,49237000,913883000,401533000,416892000,10832000,84626000,1055862000,1452784000,156734000,58549000,98185000,119730000,119730000,296522000,149641000,17303000,132338000,513529000,810051000,1864122000,-1223163000,1774000,642733000,642733000,1452784000,-44687000,20049000,32651000,-14225000,-6212000,-5357000,-5357000,-2779000,24000,24000,-12022000,-14777000,-26346000,-26346000,-464000,-26810000,14592000,383946000,-4174000,0.52127,-0.02831,-0.23181,-0.06953,-0.03076,0.09341,1.33859,1.26032,0.26428,-0.30621,-0.30621,1.32094,4.40421,-0.0286,-0.03799,-0.00354999999999999,19.03221,-50.89207
"15","2021_Q3",6.75265625,"Down",211210000,-92483000,118727000,-101893000,-47615000,-46797000,16834000,14132000,-3048000,17180000,30966000,-3882000,27084000,-3843000,23241000,23241000,23241000,23241000,112155000,112155000,219867000,219867000,46556000,34385000,34385000,412963000,49287000,890726000,384352000,416892000,10915000,78567000,1046025000,1458988000,147701000,57939000,89762000,119445000,119445000,287204000,143170000,17993000,125177000,502503000,789707000,1868081000,-1199922000,1122000,669281000,669281000,1458988000,23241000,21430000,-9787000,-20642000,14242000,-5213000,-2269000,-5250000,0,3.63797880709171e-12,-831000,-6081000,5892000,5892000,22000,5914000,38264000,379391000,16252000,0.56213,0.0797,0.11004,0.03473,0.01593,0.69928,1.43787,1.17993,0.26004,0.15925,0.15925,1.44728,4.58613,0.11136,0.0195,0.01364,6.98401,15.87478
"16","2021_Q4",5.929375,"Down",210398000,-99744000,110654000,-104940000,-48261000,-49132000,5714000,-60671000,-2969000,-57702000,-54957000,-3722000,-58679000,-752000,-59431000,-59431000,-59431000,-59431000,101212000,101212000,235710000,235710000,44789000,36942000,36942000,418653000,48557000,868976000,367131000,416892000,10673000,74280000,967972000,1386625000,157274000,63253000,94021000,107401000,107401000,284733000,133566000,13477000,120089000,488344000,773077000,1870726000,-1259353000,2175000,613548000,613548000,1386625000,-59431000,21430000,57687000,-19817000,-131000.000000007,-3709000,-3709000,-5243000,0,0,-1916000,-7159000,-10999000,-10999000,-46999.9999999999,-11046000,27144000,374836000,4370000,0.52593,0.02716,-0.28247,-0.09686,-0.04286,-0.07353,1.47034,1.26001,0.27032,-0.40373,-0.40373,1.4293,4.16801,0.02969,-0.05297,0.0039,10.08046,47.88659
