"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"40","2020_Q1",18.9298387096774,"Down",100237000,-40944000,59293000,-43857000,-20924000,-19543000,15436000,-1412000,-228000,14024000,55000,14079000,-92000.0000000001,13987000,13987000,13987000,13987000,118081000,118081000,64917000,64917000,54980000,24452000,24452000,262430000,39230000,310356000,35387000,349586000,612016000,78345000,44350000,33995000,99819000,59466000,59466000,184538000,284357000,763552000,-433290000,-2603000,327659000,327659000,612016000,13987000,4002000,11170000,10161000,39320000,-3861000,-3861000,-3856000,-7717000,988000,988000,-2271000,-11283000,20320000,20320000,20668000,19438000,146546000,25830000,0.59153,0.154,0.13954,0.04269,0.02285,1.84671,2.62906,0.86784,0.23945,0.10462,0.1028,0.74978,2.4509,0.19321,7,0.02621,0.0484,1.4644,1.84407
"41","2020_Q2",23.3525396825397,"Up",97316000,-39754000,57562000,-46884000,-22551000,-21693000,10678000,-1127000,-50000,9551000,-940000,8611000,-444000,8167000,8167000,8167000,8167000,176572000,176572000,68643000,68643000,48932000,24531000,24531000,318678000,39933000,305594000,33281000,345527000,664205000,67679000,59964000,7715000,93727000,56728000,56728000,227519000,321246000,770796000,-425123000,-2714000,342959000,342959000,664205000,8167000,9287000,8743000,-5094000,21103000,-3867000,-3867000,-2775000,-6642000,2370000,2370000,-3854000,44141000,58602000,58602000,58491000,19965000,192275000,11448000,0.5915,0.10973,0.08392,0.02381,0.0123,1.40174,3.40007,0.93669,0.28948,0.06083,0.05916,0.72487,2.55457,0.08527,6,0.0138,0.01934,0.78653,1.47059
"42","2020_Q3",29.39234375,"Up",100589000,-40012000,60577000,-47549000,-24488000,-22458000,13028000,-1008000,36999.9999999999,12020000,-546000,11474000,-845000,10629000,10629000,10629000,10629000,165175000,165175000,87408000,87408000,54061000,24354000,24354000,330998000,40268000,304764000,33063000,345032000,676030000,81539000,66266000,15273000,90522000,54877000,54877000,221378000,311900000,781187000,-414494000,-2563000,364130000,364130000,676030000,10629000,7145000,11145000,-13158000,15761000,-2962000,-2962000,-1851000,-4813000,2167000,2167000,-2788000,-22496000,-11548000,-11548000,-11397000,20173000,170505000,4898000,0.60222,0.12952,0.10567,0.02919,0.01572,0.46081,3.65655,0.85656,0.25222,0.07882,0.07622,0.74589,2.70012,0.03632,8,0.01803,0.00831,0.26421,0.40912
"43","2020_Q4",38.659375,"Up",103042000,-40736000,62306000,-46800000,-23758000,-22439000,15506000,-862000,-70000,14644000,-2692000,11952000,655000,12607000,12607000,12607000,12607000,182268000,182268000,72989000,72989000,59488000,24205000,24205000,338950000,39782000,303699000,32206000,343481000,682431000,74890000,59742000,15148000,87834000,55489000,55489000,217704000,305538000,780991000,-401887000,-2211000,376893000,376893000,682431000,12607000,7295000,10539000,1653000,32094000,-2952000,-2952000,-2224000,-5176000,2608000,2608000,-13292000,-10684000,16234000,16234000,17093000,22801000,170597000,20847000,0.60467,0.15048,0.12235,0.03345,0.01847,1.65361,3.85898,0.81068,0.24998,0.09297,0.08707,0.7599,2.77947,0.15374,5,0.02091,0.03457,-0.51186,-0.75268
"44","2021_Q1",44.3939344262295,"Up",107173000,-42312000,64861000,-47770000,-24534000,-22633000,17091000,-913000,-125000,16178000,241000,16419000,-430000,15989000,15989000,15989000,15989000,182332000,182332000,64581000,64581000,64599000,22331000,22331000,333843000,39666000,306558000,32723000,346224000,680067000,66969000,27530000,39439000,79731000,57975000,57975000,215909000,295640000,772073000,-385898000,-1748000,384427000,384427000,680067000,15989000,1413000,16049000,-10722000,22729000,-2340000,-1777998.63198344,-1897000,-4237000,-12031000,2958000,-7031000,-19062000,-570000,-570000,64000,18504000,170696000,5872000,0.6052,0.15947,0.14919,0.04159,0.02351,0.36725,4.18712,0.76904,0.251,0.11742,0.11196,0.78705,2.82312,0.04312,7,0.02608,0.00958,-0.62884,-0.68083
"45","2021_Q2",51.288253968254,"Up",115716000,-45130000,70586000,-49761000,-25092000,-24066000,20825000,-880000,-162000,19945000,-176000,19769000,-956000,18813000,18813000,18813000,18813000,185268000,185268000,71090000,71090000,59456000,21066000,21066000,336880000,38143000,312561000,37187000,350704000,687584000,63535000,27384000,36151000,80679000,61676000,61676000,215320000,295999000,760655000,-367085000,-1985000,391585000,391585000,687584000,18813000,5901000,12133000,-7476000,29371000,-1270000,-1270000,-3056000,-4326000,-13891000,1111000,-7981000,-21872000,3173000,3173000,2936000,26726000,170788000,18936000,0.60999,0.17997,0.16258,0.04804,0.02736,1.00654,4.17556,0.7559,0.24839,0.13792,0.13279,0.84835,2.87084,0.13883,8,0.03015,0.03034,-0.54179,-0.69532
"46","2021_Q3",59.0721875,"Up",125905000,-48721000,77184000,-53664000,-25607000,-27454000,23520000,-837000,-135000,22683000,-204000,22479000,-641000,21838000,21838000,21838000,21838000,187734000,187734000,71219000,71219000,65584000,21932000,21932000,346469000,37475000,309608000,35060000,347083000,693552000,71418000,34480000,36938000,88572000,58313000,58313000,207665000,296237000,744359000,-345247000,-1797000,397315000,397315000,693552000,21838000,5858000,13624000,13000,41333000,-3143000,-3143000,-3321000,-6464000,-22274000,2837000,-5942000,-32591000,2278000,2278000,2466000,29378000,166506000,26889000,0.61303,0.18681,0.17345,0.05496,0.03149,1.23129,3.91172,0.7456,0.24008,0.16012,0.15422,0.92315,2.91314,0.19715,8,0.0351,0.04322,-0.72258,-0.90255
"47","2021_Q4",74.20703125,"Up",131911000,-49086000,82825000,-55644000,-26272000,-28769000,27181000,-748000,-87000,26433000,-166000,26267000,472000,26739000,26739000,26739000,26739000,181452000,181452000,79606000,79606000,66105000,24596000,24596000,351759000,37261000,315819000,42099000,353080000,704839000,86206000,36323000,49883000,103369000,63513000,63513000,208570000,311939000,713224000,-318508000,-1816000,392900000,392900000,704839000,26739000,6080000,11950000,590000,45359000,-2705000,-4372776.78959471,-3157000,-5862000,-13721000,1292000,-27664000,-45760000,-6263000,-6263000,-6282000,33261000,162220000,30674000,0.62789,0.20606,0.2027,0.06806,0.03794,1.14716,3.40294,0.79394,0.23015,0.19569,0.18671,0.96539,2.87544,0.22449,8,0.04322,0.04958,-0.57821,-0.70755
"48","2022_Q1",60.0127419354839,"Down",141795000,-50715000,91080000,-59679000,-28646000,-30229000,31401000,-725000,-68000,30676000,-1565000,29111000,-579000,28532000,28532000,28532000,28532000,131570000,131570000,79859000,79859000,67594000,22328000,22328000,301351000,38094000,387049000,41909000,425143000,726494000,89008000,34597000,54411000,106181000,67920000,67920000,208680000,314861000,703060000,-289976000,-1451000,411633000,411633000,726494000,28532000,6590000,15116000,1421000,51659000,-2717000,-4584548.86610572,-2328000,-73144000,-11411000,3587000,-12604000,-28390000,-49875000,-49875000,-49882000,37991000,157933000,37274000,0.64234,0.22145,0.20122,0.06931,0.03927,1.30639,2.83809,0.76491,0.21739,0.20807,0.20374,1.03406,3.0019,0.27183,8,0.04476,0.05847,0.69393,0.83956
"49","2022_Q2",49.803064516129,"Down",150515000,-49748000,100767000,-62495000,-28771000,-32555000,38272000,-730000,-22000,37542000,-509000,37033000,-955000,36078000,36078000,36078000,36078000,122989000,122989000,83055000,83055000,71773000,21368000,21368000,299185000,39626000,382115000,38407000,421741000,720926000,81881000,38491000,43390000,99063000,63847000,63847000,200308000,299371000,677157000,-253898000,-1704000,421555000,421555000,720926000,36078000,7179000,15865000,-15917000,43205000,-4426000,-4426000,-2704000,-7130000,-14399000,601000,-25629000,-44403000,-8328000,-8328000,-8581000,45451000,153643000,26063000,0.66948,0.25427,0.2397,0.08558,0.05004,0.72241,3.02015,0.71016,0.21312,0.26325,0.25481,1.09826,3.07597,0.19017,8,0.05646,0.04078,0.67444,0.80095
"50","2022_Q3",55.36984375,"Up",161372000,-50887000,110485000,-63507000,-29024000,-33613000,46978000,-1134000,-243000,45844000,-192000,45652000,-1120000,44532000,44532000,44532000,44532000,117882000,117882000,93380000,93380000,77478000,25720000,25720000,314460000,42741000,379927000,37351000,422668000,737128000,89216000,39336000,49880000,106408000,62640000,62640000,194799000,301207000,647966000,-209366000,-2679000,435921000,435921000,737128000,44532000,7093000,14829000,-16741000,49713000,-4491000,-4491000,-2664000,-7155000,-32181000,2980000,-10134000,-46690000,-4132000,-4132000,-5107000,54071000,149351000,33959000,0.68466,0.29112,0.27596,0.10216,0.06041,0.76258,2.95523,0.69097,0.20261,0.32405,0.3177,1.17426,3.17209,0.24711,8,0.06873,0.05241,0.58199,0.66987
