"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.73539682539683,"Up",70432000,-29264000,41168000,-30100000,-15418000,-14682000,11068000,302000,302000,11370000,-82000,11288000,-199000,11089000,11089000,11089000,11089000,183525000,156120000,48303000,48303000,24680000,13602000,8348000,270110000,35863000,2779000,2779000,51464000,321574000,34717000,26731000,7986000,51452000,4645000,4645000,4645000,56097000,624902000,-359123000,24000,265477000,265477000,321574000,11089000,3508000,1195000,5102000,20894000,-1954000,-1954000,-9497609.65787483,-20810000,63000,63000,-96000,-33000,51000,51000,51000,14576000,0,17923000,0.58451,0.15714,0.15744,0.04177,0.03448,1.61629,5.24975,0.21131,0,0.09611,0.09611,0.61041,2.30081,0.15533,6,0.04105,0.06635,-12.5909,-16.58159
"2","2010_Q3",4.83234375,"Up",77119000,-29889000,47230000,-31543000,-16385000,-15158000,15687000,945000,945000,16632000,120000,16752000,-16000,16736000,16736000,16736000,16736000,211992000,164609000,47293000,47293000,26828000,10006000,9303000,296119000,35892000,3445000,3445000,52061000,348180000,38674000,29408000,9266000,56777000,5705000,5705000,5705000,62482000,628009000,-342387000,76000,285698000,285698000,348180000,16736000,3460000,502000,7345000,28043000,-2778000,-2778000,871000,-21710000,2278000,2278000,-122000,2156000,8489000,8489000,8489000,19147000,0,23730000,0.61243,0.20341,0.21702,0.05858,0.04807,1.4179,5.21547,0.2187,0,0.14386,0.14096,0.66292,2.45588,0.20399,6,0.05743,0.08143,-11.07181,-13.51386
"3","2010_Q4",5.01796875,"Up",77137000,-31551000,45586000,-30632000,-15818000,-14814000,14954000,669000,669000,15623000,-79000,15544000,-176000,15368000,15368000,15368000,15368000,229082000,166634000,49217000,49217000,31681000,9550000,9521000,319530000,36883000,2785000,2785000,49387000,368917000,41231000,29370000,11861000,59408000,5185000,5185000,5185000,64593000,631190000,-327019000,153000,304324000,304324000,368917000,15368000,3674000,672000,-4363000,15351000,-3799000,-3799000,2999.99999999907,-15474000,2585000,2585000,-437000,2148000,2025000,2025000,2025000,18628000,0,10642000,0.59097,0.19386,0.19923,0.0505,0.04166,0.69248,5.37857,0.21225,0,0.12657,0.12657,0.6353,2.50642,0.08765,5,0.04965,0.03438,-12.29772,-15.31911
"4","2011_Q1",6.20306451612903,"Up",73080000,-27239000,45841000,-32410000,-16738000,-15672000,13431000,558000,558000,13989000,30000,14019000,-140000,13879000,13879000,13879000,13879000,238220000,174384000,41188000,41188000,37333000,8648000,8648000,325389000,39322000,2744000,2744000,52298000,377687000,38648000,26994000,11654000,54340000,4625000,4625000,4625000,58965000,631363000,-313140000,499000,318722000,318722000,377687000,13879000,3850000,315000,-230000.000000002,17814000,-4454000,-5325000,-3665000,-9191000,-720000,1250000,-153000,-873000,7750000,7750000,7750000,17281000,-6.93889390390723e-18,12737000,0.62727,0.18378,0.18992,0.04355,0.03675,0.91772,5.98802,0.185,0,0.11771,0.11404,0.61981,2.70314,0.10802,6,0.04292,0.03939,-13.78508,-17.73658
"5","2011_Q2",6.39047619047619,"Up",82615000,-33006000,49609000,-37310000,-17170000,-20140000,12299000,663000,663000,12962000,-1835000,11127000,-208000,10919000,10919000,10919000,10919000,235669000,182450000,49904000,49904000,38069000,8502000,8502000,332144000,40385000,2534000,2534000,50308000,382452000,34541000,26281000,8260000,50466000,3867000,3867000,3867000,54333000,629890000,-302221000,450000,328119000,328119000,382452000,10919000,4083000,754000,-12431000,3325000,-4065000,-4065000,-2303000,7558000,-2594000,1736000,-223000,-2817000,8066000,8066000,8066000,16382000,0,94000,0.60048,0.14887,0.13217,0.03328,0.02855,0.00861,6.58154,0.16559,0,0.09254,0.0896,0.70015,2.78076,8e-04,5,0.03289,0.00028,-14.38585,-19.16164
"6","2011_Q3",5.71546875,"Down",83861000,-33190000,50671000,-36369000,-17738000,-18631000,14302000,268000,268000,14570000,-1387000,13183000,-152000,13031000,13031000,13031000,13031000,247537000,191035000,56373000,56373000,35069000,8424000,8424000,347403000,40459000,6255000,6255000,54103000,401506000,36070000,27777000,8293000,52651000,7496000,7496000,7496000,60147000,630245000,-289190000,304000,341359000,341359000,401506000,13031000,4426000,1873000,-3428000,15902000,-3242000,-3242000,743000,-5935000,-1170000,2477000,-212000,-1382000,8585000,8585000,8585000,18728000,0,12210000,0.60423,0.17054,0.15539,0.03817,0.03246,0.937,6.59822,0.1762,-1.03397576569128e-25,0.11039,0.10723,0.71041,2.89175,0.10343,4,0.03735,0.035,-13.21748,-17.30786
"7","2011_Q4",6.20015873015873,"Up",81720000,-33866000,47854000,-33808000,-16809000,-16999000,14046000,248000,248000,14294000,-1760000,12534000,803000,13337000,13337000,13337000,13337000,267236000,204920000,53482000,53482000,35121000,10659000,10659000,366498000,38735000,12687000,11790000,58811000,425309000,45763000,35498000,10265000,64844000,8492000,8492000,8492000,73336000,627529000,-275853000,297000,351973000,351973000,425309000,13337000,4089000,1756000,7330000,26512000,-1383000,-1383000,-60000,-8224000,-4241000,571000,-162000,-4403000,13885000,13885000,13885000,18135000,0,23279000,0.58558,0.17188,0.1632,0.03789,0.03136,1.74545,5.652,0.20836,0,0.11309,0.11055,0.69297,2.98464,0.1974,5,0.037,0.06458,-14.73593,-19.02577
"8","2012_Q1",6.5141935483871,"Up",70170000,-29707000,40463000,-33206000,-17121000,-16085000,7257000,255000,255000,7512000,-1633000,5879000,35066000,40945000,40945000,40945000,40945000,210134000,141423000,36993000,36993000,37278000,16200000,16200000,300605000,40430000,119943000,11628000,167319000,467924000,41215000,31842000,9373000,51976000,22387000,22387000,22387000,74363000,628814000,-234908000,-345000,393561000,393561000,467924000,40945000,4068000,-47706000,19315000,16622000,-22811000,-22811000,-5520000,-79631000,-258000,1389000,-45000,-303000,-63312000,-63312000,-63497000,11325000,-1.77635683940025e-15,-27237000,0.57664,0.10342,0.58351,0.10404,0.0875,-0.66521,5.78353,0.18895,3.30872245021211e-24,0.34838,0.33972,0.59704,3.3486,-0.23175,4,0.09844,-0.06548,-18.55488,-28.95604
"9","2012_Q2",4.94222222222222,"Down",71700000,-32215000,39485000,-37069000,-17923000,-19146000,2416000,64000,64000,2480000,-2263000,217000,-7931000,-7714000,-7714000,-7714000,-7714000,196159000,136507000,52813000,52813000,36845000,19915000,19915000,305732000,40724000,110602000,9923000,158272000,464004000,40595000,33221000,7374000,54576000,21310000,21310000,21310000,75886000,630995000,-242622000,-255000,388118000,388118000,464004000,-7714000,5027000,9144000,-16400000,-9943000,-3442000,-3442000,-1082000,4470000,933000,2491000,-376000,557000,-4916000,-4916000,-4916000,7443000,0,-4468000,0.5507,0.0337,-0.10759,-0.01988,-0.01662,0.57921,5.60195,0.19552,0,-0.06528,-0.06528,0.60673,3.28429,-0.03781,1,-0.01884,-0.01091,-26.35483,-81.19164
"10","2012_Q3",3.85952380952381,"Down",70792000,-33741000,37051000.0000001,-38768000,-19405000,-19363000,-1717000,694000,694000,-1023000,-1069000,-2092000,-10450000,-12542000,-12542000,-12542000,-12542000,184480000,132468000,60380000,60380000,37116000,16005000,16005000,297981000,42064000,99309000,8510000,146034000,444015000,38963000,31719000,7244000,51319000,20497000,20497000,20497000,71816000,627549000,-255164000,-186000,372199000,372199000,444015000,-12542000,5244000.00000001,11891000,-7783000,-3190000.00000001,-4633000,-4632999.99999999,-1258000,4390000.00000001,-5235000,176999.999999999,-265000,-5500000,-4300000,-4300000,-4038999.99999997,3527000.00000001,1.4210854715202e-14,1561000.00000001,0.52338,-0.02425,-0.17717,-0.0337,-0.02825,-0.12446,5.80645,0.19295,2.64697796016969e-23,-0.1064,-0.1064,0.60057,3.1576,0.0132400000000002,2,-0.03194,0.00398000000000001,-52.30508,107.44321
"11","2012_Q4",3.85016129032258,"Down",70889000,-32341000,38548000,-38166000,-17720000,-20446000,382000,88000,88000,470000,-729000,-259000,-1916000,-2175000,-2175000,-2175000,-2175000,186221000,138250000,56020000,56020000,37429000,16020000,16020000,295690000,41314000,96072000,7880000,142047000,437737000,40605000,32867000,7738000,51788000,18997000,18997000,18997000,70785000,624453000,-257339000,-162000,366952000,366952000,437737000,-2175000,5891000,3632000,5204000,12552000,-3155000,-3155000,-2498000,-1573000,-5088000,302000,-94000,-5182000,5797000,5797000,5782000,6273000,0,10238000,0.54378,0.00539,-0.03068,-0.00593,-0.00497,-4.70713,5.70962,0.1929,0,-0.01862,-0.01862,0.60699,3.14204,0.08766,4,-0.00564,0.02653,-29.68612,-487.48953
"12","2013_Q1",4.6605,"Up",65875000.0000019,-30202000,35673000.0000005,-35924000,-17269000.0000005,-18655000.0000002,-250999.99999994,-341000,-341000,-592000.00000006,-6135000,-6727000,-447999.99999997,-7175000,-7175000,-7175000,-7175000,183401000,118536000,46947000,46947000,44194000,12527000,12527000,287069000,40384000,82449000,6854000,127550000,414619000,42540000,36391000,6149000,53093000,3976000,3976000,3976000,57069000,622325000,-264514000,-261000,357550000,357550000,414619000,-7175000,5987000.00000006,1674000.00000006,4371000.00000024,4857000,-2363000.00000006,-2362999.99999994,-1284000,-20669999.9999999,-3776999.99999999,1412000,-97000,-3873999.99999999,-19687000,-19687000,-19713999.9999998,5735999.99999988,0,8192000.00000024,0.54153,-0.00381,-0.10892,-0.0200699999999999,-0.01731,-1.14174,5.40691,0.15961,0,-0.0618900000000004,-0.0618899999999997,0.568180000000002,3.08392,0.0706600000000005,3,-0.0198500000000001,0.0226600000000004,-31.97368,730.68127
"13","2013_Q2",5.02734375,"Up",71158000,-33003000,38155000,-35361000,-16498000,-18114000,2794000,-52000,-52000,2742000,-153000,2589000,-699000,1890000,1890000,1890000,1890000,179044000,105494000,55984000,55984000,43755000,14020000,14020000,292803000,40596000,96914000,8795000,142227000,435030000,45257000,37132000,8125000,56913000,18101000,18101000,18101000,75014000,623141000,-262624000,-501000,360016000,360016000,435030000,1890000,5066000,2279000,-5008000,4227000,-3054000,-3054000,-4194000,-16008000,-987000,1465000,-109000,-1096000,-12877000,-12877000,-13042000,7860000,0,497000,0.5362,0.03926,0.02656,0.00525,0.00434,0.26296,5.14475,0.20836,0,0.01613,0.01613,0.60718,3.07197,0.00424,5,0.005,0.00131,-22.77913,-64.0816
"14","2013_Q3",4.95640625,"Down",155780842000,-72553997000,83226845000,-73401639000,-33553502000,-38362886000,9825206000,-105948000,-105948000,9719258000,-171847000,9547411000,-2619301000,6928110000,6928110000,6928110000,6928110000,174224000,99276000.0000001,63605000,63605000,49654000,13342000,13342000,300825000,41733000,81025000.0000001,8503000,127475000,428300000,42013000,32819000,9194000.00000001,55903000,5222000,5222000,5222000,61124999.9999999,625380000,-257584000,-621000,367175000,367175000,428300000,6928110000,9956934000,6528721000,-22510992000,902773000.000002,-6833946000,-6833946000,-1514806000,-18352992000,-936013000,1513535000,-430891000,-1366904000,-18817123000,-18817123000,-19246958000,19782140000,0,-6943497000,0.53426,0.06307,0.04447,18.86869,16.17583,-1.00222,5.3812,0.16647,3.3881317890172e-21,59.95145,59.24753,1348.02826,3.1773,-60.0846,6,18.6041,-18.64542,-0.00880999999999332,-0.0177300000000429
"15","2013_Q4",5.17125,"Up",8.7154e+10,-4.0778e+10,4.6376e+10,-3.7376e+10,-1.6385e+10,-2.0254e+10,9e+09,3.46e+08,3.46e+08,9.346e+09,-8.5e+07,9.261e+09,-4.17e+08,8.844e+09,8.844e+09,8.844e+09,8.844e+09,210772000,120770000,52991000,52991000,42295000,14631000,14631000,320689000,42345000,78973000,7199000,126035000,446724000,44424000,33318000,11106000,62011000,5011000,5011000,5011000,67022000,628919000,-248740000,-477000,379702000,379702000,446724000,8.844e+09,5.211e+09,2.34e+09,2.6831e+10,4.3226e+10,-3.4e+09,-3.4e+09,-4.42e+09,-2.2934e+10,1.127e+09,1.127e+09,-1.5e+08,9.77e+08,2.1269e+10,2.1269e+10,2.1494e+10,1.4211e+10,0,3.8059e+10,0.53212,0.10327,0.10148,23.29195,19.79746,4.30337,5.17149,0.17651,0,76.19803,75.32642,750.90035,3.27143,327.90826,5,22.98857,98.92829,-0.01483,-0.02342
"16","2014_Q1",6.82901639344262,"Up",-242673475000,113210719000,-129462756000,110661930000,49887856000,58554034000,-18800826000,-240300000,-240148000,-19041126000,256612000,-18784514000,3032835000,-15751679000,-15751679000,-15751679000,-15751679000,215815000,114310000.000001,50085000,50085000,46221999.9999995,13679000.0000001,13679000.0000001,325801000.000004,41719000.0000002,75115000,6120000.00000006,122075000,447876000.000004,51113000.0000005,37454000.0000002,13659000,58607999.9999995,3588000.00000006,3588000.00000006,3588000.00000006,62196000,628018000.000008,-242192999.999998,-144999.999999996,385680000.000004,385679999.999996,447876000.000004,-15751679000,-15152193000,-8859120000,-4313503999.99999,-44076496000,10224500000,10224500000,5931647000,41246604000,-193085000,-2638924000,580256000,387171000,-2442721000.00001,-2442721000.00001,-2238225999.99999,-33953019000,-5.82076609134674e-11,-31074858000,0.53349,0.07747,0.06491,-40.84132,-35.16973,1.9728,5.55899,0.16126,0,-136.2437,-134.57797,-2098.99731,3.33593000000004,-268.7811,1,-40.46487,-79.82896,0.00635999999987636,0.0114799999999933
"17","2014_Q2",8.08920634920635,"Up",96637000,-42499000,54138000,-40725000,-18749000,-21239000,13413000,309000,357000,13722000,-11000,13711000,-1727000,11984000,11984000,11984000,11984000,219515000,112166000,66674000,66674000,58180000,12945000,12945000,357314000,41432000,72542000,5336000,119215000,476529000,51542000,42480000,9062000,68522000,3264000,3264000,3264000,71786000,635333000,-230209000,-381000,404743000,404743000,476529000,11984000,5860000,4356000,-19300000,2900000,-2395000,-2395000,-797999.999998093,-9093000,5774000,5774000,-1549000,4225000,-1968000,-1968000,-2144000,19273000,0,-695000,0.56022,0.1388,0.12401,0.02961,0.02515,-0.05799,5.21459,0.17736,0,0.10292,0.10078,0.82996,3.4761,-0.00597,6,0.02937,-0.0017,-11.38977,-16.36584
"18","2014_Q3",7.50296875,"Down",99319999.9999695,-44345000.0000153,54974999.9999847,-41871000.0000153,-18831999.9999924,-22301999.9999924,13104000,906000.00000006,943000,14010000,-2999.9999999702,14006999.9999981,-2236000,11771000,11771000,11771000,11771000,2.47037e+11,1.37976e+11,6.6289e+10,6.6289e+10,5.927e+10,1.3857e+10,1.3857e+10,3.86453e+11,4.1132e+10,7.4065e+10,8.921e+09,1.15197e+11,5.0165e+11,4.8274e+10,3.7774e+10,1.05e+10,7.1905e+10,7.195e+09,7.195e+09,7.195e+09,7.91e+10,6.41513e+11,-2.18438e+11,-5.25e+08,4.2255e+11,4.2255e+11,5.0165e+11,11771000,5773000,3180000,431000.000001907,21155000.0000153,-2480000,-2479999.99999905,-561000,817000,3644999.99999994,3644999.99999952,-784999.99999994,2860000,24832000,24832000,25810000,18877000,-9.31322574615479e-10,19064000,0.55351,0.13194,0.11852,2.99999999971746e-05,1.99999999956832e-05,1.61957,5.37449,0.1872,8.67361737988404e-19,0.0998400000000029,0.0971499999999847,0.84238000000002,3583.84788,0.161689999999955,4,3.00000000094044e-05,4.00000000122874e-05,-13086.66631,-18852.02991
"19","2014_Q4",6.563125,"Down",86570000,-35759000,50811000,-40435000,-17645000,-22053000,10376000,53000,16000,10429000,-2000,10427000,-1021000,9406000,9406000,9406000,9406000,2.57138e+11,1.23007e+11,4.9762e+10,4.9762e+10,6.5074e+10,1.6634e+10,1.6634e+10,3.88608e+11,4.007e+10,7.3467e+10,9.561e+09,1.13537e+11,5.02145e+11,4.9249e+10,3.6929e+10,1.232e+10,6.0543e+10,7.173e+09,7.173e+09,7.173e+09,6.7716e+10,6.46056e+11,-2.09032e+11,-8.95e+08,4.34429e+11,4.34429e+11,5.02145e+11,9406000,5251000,4136000,-3534000,15259000,-1998000,-1998000,-2441000,-29715000,58000,1758000,-348000,-290000,-14746000,-14746000,-14969000,15627000,0,11116000,0.58694,0.11986,0.10865,2e-05,2e-05,1.1818,6.41871,0.15587,0,0.07928,0.07757,0.72967,3661.64881,0.09369,5,2e-05,3e-05,-16454.7258,-24781.99692
"20","2015_Q1",6.63213114754098,"Up",83599999.9999981,-37337000,46262999.999999,-41523000,-18301000,-22484999.9999995,4739999.99999976,56999.9999999963,180999.999999996,4796999.99999976,-1000,4796000,10623000,15419000.0000001,15419000.0000001,15419000.0000001,15419000.0000001,254844000,115611000,62372000,62372000,64925000,16280999.9999981,16281000.0000019,398422000,27796000,84312000,9862000,112108000,510529999.999939,45800000,32171000,13629000,60746000,8809000.00000095,8809000.00000095,8809000,69554999.9999924,636472000,-193613000,-1884000,440975000,440975000,510529999.999939,15419000.0000001,5364000,-7790000.00000006,-12185000,807999.999999523,11230999.9999999,-3394000,-2259000,3846999.99999952,-13825000,-2435999.99999997,2682000,-11143000,-6488000,-6488000,-7067000,10103999.9999998,0,-1473000,0.55339,0.0567,0.18444,0.0349700000000003,0.0301999999999997,-0.0955300000000001,6.55882,0.15773,1.38777878078145e-17,0.13194,0.13194,0.715369999999994,3.77343999999994,-0.0126000000000013,7,0.0342799999999997,-0.0032700000000003,-25.2220899999957,-53.7645599999996
"21","2015_Q2",6.26333333333333,"Down",88597000,-40765000,47832000,-51672000,-21088000,-27642000,-3840000,-1750000,-139000,-5590000,-23092000,-28682000,-24665000,-53347000,-53347000,-53347000,-53347000,159769000,119642000,80777000,80777000,80555000,23334000,23334000,344435000,50512000,482870000,12058000,533382000,877817000,97204000,78309000,18895000,117256000,26024000,26024000,364402000,481658000,639075000,-246960000,-1779000,388952000,396159000,877817000,-53347000,7904000,29984000,15444000,-15000,-2878000,-2878000,-3022999.99999999,-326915000,-6127000,866000,-9406000,330967000,4037000,4037000,4031000,4064000,338500000,41295000,0.53988,-0.04334,-0.60213,-0.13466,-0.06077,-0.77408,2.93746,1.21582,0.38562,-0.45649,-0.45649,0.75813,3.32827,0.35336,2,-0.07013,0.05429,43.97908,-46.54453
"22","2015_Q3",4.60390625,"Down",106460000,-48334000,58126000,-76682000.0000001,-28189000,-39552000,-18556000,-5620000,-115000,-24176000,-7338000,-31514000,-4056000,-35570000,-35570000,-35570000,-35570000,138135000,101498000,76872999.999999,76872999.999999,80796000,20527000,20527000,316331000.000008,50182000,475092000.000002,11618999.9999998,525273999.999996,841605000,90902999.9999981,73876000,17027000,112294999.999998,24315999.9999998,24315999.9999998,362522000,474816999.999998,643815999.999985,-282531000,-1862999.99999997,359422000,366788000,841605000,-35570000,17459000,2162000.00000001,557000.000000015,-15392000,-4154000,-4153999.99999999,-1728000,-3153000,4703000,4680000,-3314000,514000,-18031000,-18031000,-18025000,-1096999.99999997,338448000,-637999.99999997,0.54599,-0.1743,-0.33412,-0.09698,-0.04226,0.01794,2.81696,1.29453,0.40215,-0.30427,-0.30427,0.91067,3.07453000000001,-0.00546000000000013,3,-0.04876,-0.000869999999999989,-182.60073,-10.7950499999996
"23","2015_Q4",5.23328125,"Up",109715000,-49866000,59849000,-70379000,-23819000,-37619000,-10530000,-6595000,-841000,-17125000,-7428000,-24553000,-309000,-24862000,-24862000,-24862000,-24862000,118446000,112356000,85341000,85341000,79027000,18375000,18375000,301189000,50462000,479896000,15648000,530358000,831547000,88742000,79386000,9356000,110788000,36598000,36598000,374695000,485483000,648409000,-307392000,-2482000,338535000,346064000,831547000,-24862000,17553000,1525000,565000,-5219000,-4552000,-4552000,-3642000,17974000,-4824000,-4824000,4437000,-1262000,11493000,11493000,11493000,7023000,338504000,3345000,0.5455,-0.09598,-0.22661,-0.07184,-0.0299,-0.13454,2.71861,1.40287,0.40708,-0.21126,-0.21126,0.93226,2.87657,0.02842,3,-0.03447,0.00464,31.3339,-20.8982
"24","2016_Q1",5.40688524590164,"Up",101194000,-47092000,54102000,-65064000,-24253000,-32055000,-10962000,-5496000,23000.0000000001,-16458000,-25486000,-41944000,-3510000,-45454000,-45454000,-45454000,-45454000,102574000,84606000,88471000.0000001,88471000.0000001,75896000.0000001,18922000,18922000,285863000,51851999.9999999,448205000,17495000,500057000,785919999.999999,83761000,74298000.0000001,9463000.00000003,111177000,38353000,38353000,369223000,480400000,661276000.000001,-352846000,-2910000,305520000,305520000,785919999.999999,-45454000,17892000,31407000,-6104000,-2259000,-6625000,-6625000,-6122000,-24724000,4957000,4957000,-4360000,-278000,-27261000,-27261000,-28504000,6930000,338427000,-2288999.99999999,0.53464,-0.10833,-0.44918,-0.14878,-0.05784,0.05036,2.57124,1.5724,0.43061,-0.3825,-0.3825,0.85156,2.571,-0.01926,1,-0.06662,-0.00335,34.03362,-21.5155099999999
"25","2016_Q2",5.57359375,"Up",96512000,-39408000,57104000,-64937000,-23608000,-32608000,-7833000,-4143000,817000,-11976000,-5525000,-17501000,-1900000,-19711000,-19711000,-19711000,-19711000,116474000,104619000,84399000,84399000,82598000,17030000,17030000,300501000,53318000,439810000,15791000,493128000,793629000,96835000,90820000,6015000,125750000,41226000,41226000,376711000,502461000,666424000,-372557000,-2699000,291168000,291168000,793629000,-19711000,17331000,5259000,20245000,23124000,-5700000,-5700000,-3362000,-3065000,1117000,1117000,-525000,-283000,19776000,19776000,20013000,9498000,337793000,25943000,0.59168,-0.08116,-0.20423,-0.0677,-0.02484,-1.31617,2.38967,1.72567,0.42563,-0.16587,-0.16587,0.81216,2.45023,0.21831,4,-0.02941,0.03871,23.30164,-28.25469
"26","2016_Q3",6.07578125,"Up",99209000,-40783000,58426000,-62231000,-23005000,-30915000,-3805000,-2530000,2532000,-6335000,-2568000,-8903000,-4539000,-13810000,-13810000,-13810000,-13810000,119345000,110531000,84694000,84694000,86743000,16784000,16784000,307566000,52072000,429894000,16011000,481966000,789532000,103640000,93603000,10037000,152985000,39988000,39988000,355140000,508125000,670973000,-386367000,-3199000,281407000,281407000,789532000,-13810000,15021000,1612000,6710000,9533000,-4402000,-4402000,-2310000,-1721000,2209000,2209000,-902000,-1222000,6590000,6590000,5912000,11216000,335682000,18063000,0.58892,-0.03835,-0.1392,-0.04907,-0.01749,-1.30797,2.01043,1.80566,0.42517,-0.11565,-0.11565,0.83078,2.35651,0.15126,6,-0.02102,0.02749,19.28825,-56.85598
"27","2016_Q4",6.95174603174603,"Up",113225000,-45801000,67424000,-65251000,-29244000,-27747000,2173000,-5026000,209000,-2853000,-8183000,-11036000,-971000,-12414000,-12414000,-12414000,-12414000,98914000,87163000,93946000,93946000,80540000,18614000,18614000,292014000,51576000,412663000,15087000,464239000,756253000,85995000,76986000,9009000,135194000,39638000,39638000,347385000,482579000,675853000,-398781000,-3398000,273674000,273674000,756253000,-12414000,15556000,13088000,-29569000,-13339000,-3889000,-3889000,-2698000,-9587000,2027000,2027000,-1456000,-304000,-23230000,-23230000,-22789000,17729000,335360000,-14758000,0.59549,0.01919,-0.10964,-0.04536,-0.01642,1.18882,2.15996,1.76334,0.44345,-0.10299,-0.10299,0.93933,2.27044,-0.12243,3,-0.01914,-0.02275,13.33668,108.81086
"28","2017_Q1",7.06903225806452,"Up",118108000,-54628000,63480000,-57276000,-22745000,-26248000,6204000,-5784000,-714000,420000,-7162000,-6742000,-2507000,-8164000,-8164000,-8164000,-8164000,116860000,106552000,99637000,99637000,79168000,19035000,19035000,314700000,49481000,402702000,13709000,452183000,766883000,90798000,80933000,9865000,157550000,38048000,38048000,338903000,496453000,681531000,-406945000,-4156000,270430000,270430000,766883000,-8164000,13898000,4865000,11817000,22416000,-2726000,-2726000,-1665000,-3e+06,2254000,2254000,-682000,697000,20113000,20113000,18810000,20102000,334622000,31700000,0.53747,0.05253,-0.06912,-0.03019,-0.01065,-3.8829,1.99746,1.83579,0.43634,-0.06737,-0.06737,0.97458,2.23149,0.26158,5,-0.01269,0.04929,10.83285,35.10026
"29","2017_Q2",6.84619047619048,"Down",104587000,-43755000,60832000,-59808000,-23905000,-27389000,1024000,-6055000,-487000,-5031000,-1726000,-6757000,-518000,-7275000,-7275000,-7275000,-7275000,109448000,97451000,66074000,66074000,77775000,19660000,19660000,272957000,48780000,389639000,12802000,438419000,711376000,53340000,45181000,8159000,106323000,35937000,35937000,337558000,443881000,685825000,-414575000,-3755000,267495000,267495000,711376000,-7275000,15296000,5207000,-5563000,7665000,-3374000,-3374000,-1617000,-6711000,1144000,1144000,-693000,-10329000,-9375000,-9375000,-9101000,16320000,324775000,7901000,0.58164,0.00979,-0.06956,-0.0272,-0.01023,-1.08605,2.56724,1.6594,0.45654,-0.05973,-0.05973,0.85868,2.19618,0.06487,5,-0.01158,0.01258,13.19406,210.28027
