"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.9304838709677,"Up",1103376000,-759047000,344329000,-128659000,-128659000,215670000,-12530000,-15166000,2636000,203140000,203140000,-54340000,148800000,148800000,-1350000,147450000,147450000,892891000,725546000,167345000,903344000,903344000,712189000,132557000,2640981000,407587000,2022397000,1876539000,2429984000,5070965000,643070000,478100000,78956000,86014000,94093000,864588000,1511297000,256862000,205922000,1768159000,2632747000,302709000,2237109000,-112977000,2426841000,11377000,2438218000,5070965000,148800000,30748000,-62000,-3488000,175998000,-31197000,-97248000,-32895000,-161340000,-16885000,61504000,9320000,5065000,59004000,73662000,73662000,5870000,79532000,246418000,1605390000,266073000,0.31207,0.19546,0.13364,0.06047,0.02908,1.8045,3.05461,1.07978,0.31658,0.22846,0.22507,1.70961,3.76022,0.41226,0.02616,0.03821,0.06187,0.11451,2.89142,3.30365
"12","2013_Q1",15.9895,"Up",1146013000,-790574000,355439000,-132264000,-132264000,223175000,-12943000,-15586000,2643000,210232000,208232000,-66673000,141559000,141559000,-1214000,140345000,140345000,942503000,690850000,251653000,910711000,910711000,733718000,119983000,2706915000,417436000,2091112000,1901034296.34455,2508548000,5215463000,680008000,496525000,94341000,89142000,100293000,888514000,1606204000,278563000,244571000,1884767000,2773281000,336843000,2210120000,-117004000,2429959000,12223000,2442182000,5215463000,141559000,32461000,4438000,28639000,207097000,-31985000,-71903000,-84303000,-188191000,-33715000,101130000,-128608000,3326000,-57867000,-38961000,-38961000,4201000,-34760000,255636000,1706497000,318963000,0.31015,0.19474,0.12246,0.05747,0.02691,2.27271,3.04656,1.13558,0.3272,0.21879,0.21554,1.78657,3.78816,0.49724,0.05256,0.03932,0.07205,0.24023,2.9886,3.4233
"13","2013_Q2",17.50140625,"Up",1079805000,-741913000,337892000,-130935000,-130935000,206957000,-12672000,-15457000,2785000,194285000,194285000,-40672000,153613000,153613000,-606000,153007000,153007000,1021902000,734993000,286909000,861598000,861598000,711581000,130590000,2725671000,415943000,2072347000,1919929000,2488290000,5213961000,611590000,445517000,82912000,83161000,92190000,815014000,1596050000,285830000,246707000,1881880000,2696894000,386095000,2261073000,-141760000,2505408000,11659000,2517067000,5213961000,153613000,32592000,-437000,-5514000,180254000,-28883000,201000,-35256000,-63938000,-32958476.5695354,-17915000,-54618000,7473000,-65060000,51256000,51256000,-7113000,44143000,239549000,1688240000,245824000,0.31292,0.19166,0.1417,0.06079,0.02935,1.60662,3.34432,1.07144,0.32379,0.23947,0.23509,1.68996,3.92112,0.38473,0.0515020804389984,0.03407,0.05474,0.228178752726595,2.78164,3.21969
"14","2013_Q3",17.87625,"Up",1136067000,-776279000,359788000,-135775000,-135775000,224013000,-12588000,-15621000,3033000,211425000,211425000,-56557000,154868000,154868000,-880000,153988000,153988000,1142552000,723659000,418893000,905823000,905823000,703489000,122606000,2874470000,424844000,2104987000,1952251000,2529831000,5404301000,613696000,447159000,81946000,84591000,83599000,815559000,1698951000,292531000,250373000,1991482000,2807041000,434396000,2302541000,-151798000,2585139000,12121000,2597260000,5404301000,154868000,34170000,1589000,-10075000,180552000,-35742000,-44237000,-131984000,-211963000,-16756000,94656000,-62286000,6814000,22428000,-8983000,-8983000,-2351000,-11334000,258183000,1782550000,268923000,0.3167,0.19718,0.13554,0.05929,0.02849,1.74639,3.52454,1.08077,0.32984,0.24105,0.23627,1.77838,4.04674,0.42097,0.02623,0.03654,0.05756,0.10881,2.47885,2.85697
"15","2013_Q4",18.97703125,"Up",1153062000,-789214000,363848000,-136828000,-136828000,227020000,-12423000,-16048000,3625000,214597000,212060000,-50671000,161389000,161389000,-591000,160798000,160798000,1283581000,889366000,394215000,926194000,926194000,732724000,135036000,3077535000,441799000,2121347000,1972428000,2563146000,5640681000,685965000,481022000,83023000,121920000,84987000,893201000,1784539000,296421000,250701000,2080960000,2974161000,462094000,2315841000,-120686000,2657249000,9271000,2666520000,5640681000,161389000,34769000,6579000,-5819000,196918000,-39031000,0,24678000,-14353000,-16716000,87016000,-100484000,-2515000,-32699000,149866000,149866000,15841000,165707000,261789000,1869526000,267610000,0.31555,0.19688,0.13945,0.0603,0.02851,1.66426,3.44551,1.11537,0.33144,0.25338,0.24848,1.81695,4.18718,0.42169,0.02634,0.03673,0.05538,0.10396,2.23823,2.58103
"16","2014_Q1",20.4906557377049,"Up",1245766000,-856494000,389272000,-144462000,-144462000,244810000,-12517000,-16474000,3957000,232293000,228830000,-6e+07,168830000,168830000,-923000,167907000,167907000,1192200000,886800000,305400000,1.001e+09,1.001e+09,792600000,171800000,3157600000,532400000,2.478e+09,2289100000,3010400000,6.168e+09,751200000,549900000,96400000,104900000,701400000,1609900000,1431400000,246600000,246600000,1.678e+09,3287900000,490100000,2424400000,-5.5e+07,2859500000,20600000,2880100000,6.168e+09,168830000,34969000,7369000,208000,211376000,-51044000,-440864000,88862000,-403046000,-63328000,257343000,-12212000,2028000,183831000,-7839000.00000006,-7839000.00000006,5323000,-2516000,279779000,2132800000,288943000,0.31248,0.19651,0.13478,0.0583,0.02722,1.72085,1.96136,1.14159,0.34578,0.26517,0.25981,1.96737,4.51586,0.45631,0.10001,0.04397,0.05494,0.37716,3.36194,3.84216
"17","2014_Q2",21.9666666666667,"Up",1246100000,-857200000,388900000,-154800000,-154800000,234100000,-1.5e+07,-19100000,4100000,219100000,217100000,-57300000,159800000,159800000,-1300000,158500000,158500000,1299453000,1023320000,276133000,971576000,971576000,772710000,160728000,3204467000,538715000,2487021000,2543632491.69626,3025736000,6230203000,708105000,479786000,97223000,131096000,701045000,1556204000,1522570000,255567000,184201000,1778137000,3334341000,514679000,2430310000,-69541000,2875448000,20414000,2895862000,6230203000,159800000,39900000,6600000,-3600000,202700000,-53700000,-9e+06,24300000,-38400000,-42525130.2996295,90500000,-107400000,-4100000,-2.1e+07,143300000,143300000,-6800000,136500000,2.74e+08,2223615000,2.74e+08,0.31209,0.18787,0.1272,0.05473,0.02544,1.72871,2.05916,1.15142,0.35691,0.25154,0.24585,1.97758,4.56338,0.43484,0.0670128822643788,0.02949,0.05098,0.25757521761259,3.37285,3.94772
"18","2014_Q3",23.16875,"Up",1314100000,-897400000,416700000,-160900000,-160900000,255800000,-15800000,-20100000,4300000,2.4e+08,2.4e+08,-63600000,176400000,176400000,-1500000,174900000,174900000,1443900000,1080083000,363817000,1031071000,1031071000,805452000,181962000,3462385000,558652000,2496263000,2652925121.81026,3054915000,6517300000,740243000,534381000,66737000,139125000,800670000,1711793000,1542891000,264027000,184949000,1806918000,3518711000,584583000,2444843000,-52105000,2977321000,21268000,2998589000,6517300000,176400000,37700000,-5500000,-2.8e+07,180600000,-50800000,-10499999.9999999,-86900000,-148200000,-31400000,119800000,-84500000,14800000,18700000,51100000,51100000,5700000,56800000,293500000,2343561000,278300000,0.3171,0.19466,0.13309,0.05833,0.02684,1.59119,2.02267,1.17346,0.35959,0.2783,0.27194,2.09102,4.73757,0.44284,0.04996,0.0368,0.04964,0.17953,3.06528,3.51705
"19","2014_Q4",23.69953125,"Up",1358800000,-927100000,431700000,-161200000,-161200000,270500000,-16400000,-2.1e+07,4600000,254100000,251500000,-67300000,184200000,184200000,-2e+06,182200000,182200000,1244617000,872999000,371618000,1092424000,1092424000,848072000,187459000,3372572000,585353000,2893844000,2662205191.01914,3479197000,6851769000,798158000,599754000,88451000,109953000,600803000,1555397000,2023178000,275534000,275534000,2298712000,3854109000,635973000,2437281000,-97094000,2976160000,21500000,2997660000,6851769000,184200000,40400000,-1300000,8e+05,224100000,-5.6e+07,-448500000,-5800000,-510300000,-70500000,280600000,-120100000,4600000,94600000,-191600000,-191600000,-15500000,-207100000,310900000,2623981000,3.23e+08,0.31771,0.19907,0.13409,0.06078,0.02659,1.77278,2.1683,1.28571,0.38296,0.2908,0.28414,2.16874,4.75016,0.51553,0.11252,0.04285,0.05477,0.38694,4.43668,5.09931
"20","2015_Q1",25.9870491803279,"Up",1426500000,-9.7e+08,456500000,-168200000,-168200000,288300000,-14900000,-20200000,5300000,273400000,263900000,-69100000,194800000,194800000,-1300000,193500000,193500000,1329600000,968900000,360700000,1123700000,1123700000,865600000,133300000,3452200000,590700000,2.943e+09,2616700000,3533700000,6985900000,857800000,618400000,90800000,148600000,1600000,1045600000,2654600000,347800000,347800000,3002400000,4.048e+09,659700000,2453500000,-205800000,2907400000,30500000,2937900000,6985900000,194800000,50100000,9300000,19300000,273500000,-4.3e+07,-50199999.9999999,8200000,-8.5e+07,0,49100000,-129600000,2300000,-78200000,110300000,110300000,-14400000,95900000.0000001,338400000,2656200000,383800000,0.32001,0.2021,0.13565,0.06586,0.0277,1.98346,3.30164,1.37785,0.38022,0.31225,0.30516,2.30193,4.69164,0.61933,0,0.03257,0.06459,-5.55111512312578e-17,3.92021,4.60146
