"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",9.25032258064516,"Down",1037355,-672326,365029,-2239889,-2239889,-1874860,-1576,4395,-5971,-1876436,-1876436,-1876436,-1817611,-1817611,-1817611,3227374,3227374,948439,948439,320414,219121,4496227,397382,1988246,1938952,49294,2715862,7212089,1234628,354440,880188,1294955,1333238,20442331,-14503423,5878851,5878851,7212089,-1817611,214615,217666,287038,-1098292,1,195101,-15070,-13633,-916824,-916824,-916824,-1660245,98610,0.35188,-1.80735,-1.75216,-0.30918,-0.25202,3.47211,0.22679,0.01367,-5.7457,-5.7457,3.27921,18.54945,-0.30432,1.88452,1.6688
"2","2011_Q2",6.54825396825397,"Down",994622,-894577,100045,-1986161,-1986161,-1886116,1562,1562,0,-1884554,-1884554,-1884554,-1730394,-1730394,-1730394,3485361.00623153,3485361.00623153,1248434.85059279,1248434.85059279,231855.13486123,191590.835057433,4965650.68787196,320061.975670406,1589769.65417542,1537072.08828505,52697.6791518267,1997434.70880132,6963085.39667328,1669908.71856271,642422.783586232,1027485.93516009,2271669.37993904,2286886.90367115,21980621.5406843,-17293074.3377151,4676198.49424207,4676198.49300213,6963085.39667328,-1730394,205477,248374,-183927,-1460470,-4.54747350886464e-13,-2.91038304567337e-11,-15203,84797,-1375673,-1375673,-1375673,-1680639,0,0.10059,-1.89631,-1.73975,-1.52510145909091,-0.581052668245649,2.77539660192826,-0.67796864084738,-0.00856826690814594,-5.43333,-5.43333,3.12305,10.2970937606934,-0.901802222466439,21.3499642460176,12.1882973491608
"3","2011_Q3",4.27171875,"Down",1118165,-1512783,-394618,-1634565,-1634565,-2029183,-310,-310,0,-2029493,-2029493,-2029493,-2314700,-2314700,-2314700,2203862.80623153,2203862.80623153,1180061.15059279,1180061.15059279,177787.83486123,167911.435057433,3561711.48787196,260225.675670406,1375535.95417542,1327924.48828505,47611.5791518267,1733540.50880132,5295251.99667328,1608377.61856271,712357.183586232,896020.435160093,2526291.37993904,2530024.00367115,21696662.0406843,-18905900.7377151,2765227.99424207,2765227.99300213,5295251.99667328,-2314700,190251,578119,201102,-1345228,0,0,-15339,134661,-1210567,-1210567,-1210567,-1838932,0,-0.35292,-1.81474,-2.07009,-1.62788745909091,-0.552868668245649,1.68997760192826,0.486940359152621,0.131380733091854,-7.02683,-7.02683,3.39446,5.4248217606934,-0.887613222466439,15.5456282460176,8.56493134916081
"4","2011_Q4",4.38253968253968,"Up",1124976,-1048229,76747,-1192079,-1192079,-1115332,-35606,-24151,-11455,-1150938,-1150938,-1150938,-1143377,-1143377,-1143377,598379,598379,918363,918363,144485,144485,1661227,212434,1284902,1246100,38802,1734702,3395929,1300157,664875,635282,2352764,2352764,20796554,-19693332,1043165,1043165,3395929,-1143377,79230,10847,-121407,-1174707,-3880,97413,984539,1034539,-42755,-42755,-42755,-1036102,1052607,0.06822,-0.99143,-1.01636,-1.09607,-0.33669,0.70607,2.25541,0.30996,-3.3505,-3.3505,3.29658,3.02501,-0.54556,-0.438399999999982,-0.407259999999998
"5","2012_Q1",8.81145161290322,"Up",845649,-150554,695095,-966198,-966198,-271103,-47805,-46324,-1481,-318908,-318908,-318908,-313777,-313777,-313777,244470,244470,654856,654856,113323,113323,1012649,171201,1253341,1222334,31007,1795980,2808629,1025503,600908,424595,2062495,2062495,20813780,-20007589,746134,746134,2808629,-313777,88868,-48438,-67276,-340623,2329,2329,-15615,-15615,-353909,-353909,-353909,-182235,1036992,0.82197,-0.32059,-0.37105,-0.42054,-0.11172,0.49098,2.76424,0.36922,-0.92435,-0.92435,2.49118,2.16601,-0.17597,-4.3489,-2.92332
"6","2012_Q2",11.9134920634921,"Up",851413,-235819,615594,-766868,-766868,-151274,-43944,-43944,65556.0842961725,-195218,-195218,-195218,-191638,-191638,-191638,2177605,2177605,556350,556350,73023,73023,2806978,131111,1222152,1193145,29007,1735628,4542606,1019471,620938,398533,1940695,1940695,22790751,-20199706,2601911,2601911,4542606,-191638,69279,62075,109187,48903,0,0,-115768,1884232,1933135,1933135,1933135,-81995,921224,0.72303,-0.17767,-0.22508,-0.07365,-0.04219,1.44638,0.74587,0.2028,-0.14439,-0.14439,0.64149,1.95221,-0.05439,15.32265,8.30533
"7","2012_Q3",14.3066666666667,"Up",821701,-226608,595093,-821953,-821953,-226860,-32362,-40612,8250,-259222,-259222,-259222,-258993,-258993,-258993,2110323,2110323,512301,512301,86381,86381,2709005,91603,1206638,1173431,33207,1662332,4371337,1084569,748552,336017,1839899,1839899,22979745,-20459173,2531438,2531438,4371337,-258993,67391,58262,90121,-43219,0,-8169,-165894,-15894,-67282,-67282,-67282,-159469,755330,0.72422,-0.27609,-0.31519,-0.10231,-0.05925,1.47237,0.72682,0.17279,-0.18542,-0.18542,0.58828,1.80455,-0.0788,8.49691,5.97282
"8","2012_Q4",7.45129032258065,"Down",777857,-108661,669196,-744065,-744065,-74869.0000000001,-214845,-64845,-150000,-289714,-289714,-289714,-281770,-281770,-281770,1735335,1735335,521245,521245,87176,87176,2343756,63712,1381162,1347955,33207,1801268,4145024,1362321,832276,530045,1492265,1492265,23383315,-20741422,2652759,2652759,4145024,-281770,55670,80869,269707,124476,-675.999999999998,-194134,-505330,-305330,-374988,-374988,-374988,-19199,129944,0.86031,-0.09625,-0.36224,-0.10622,-0.06798,1.5706,0.56253,0.03135,-0.16389,-0.16389,0.45245,1.53669,-0.10126,83.61847,21.44267
"9","2013_Q1",6.55283333333333,"Down",619532,-144369,475163,-969426,-969426,-494263,-349224,-461084,111860,-843487,-843487,-843487,-842807,-842807,-842807,1305785,1305785,439848,439848,52614,52614,1798247,50526,2033378,1997671,35707,2458474,4256721,1427467,1017363,410104,1427467,1427467,24403103,-21584715,2829254,2829254,4256721,-842807,67635,385110,288886,-101176,-47588,-328374,0,0,-429550,-429550,-429550,-426628,0,0.76697,-0.7978,-1.36039,-0.29789,-0.19799,1.25975,0.50454,0,-0.8146,-0.8146,0.5988,2.72408,-0.29789,3.06071,2.64188
"10","2013_Q2",5.93234375,"Down",572535,-102636,469899,-781817,-781817,-311918,-750554,-750554,0,-1062472,-1062472,-1062472,-1060509,-1060509,-1060509,1169100,1169100,359164,359164,349922,349922,1878186,58470,2072231,2050066,22165,2525461,4403647,1604294,1090414,513880,1604294,1604294,25434190,-22645703,2799353,2799353,4403647,-1060509,63567,786177,-50607,-261372,-15813,-125313,250000,250000,-136685,-136685,-136685,-248351,3.63797880709171e-12,0.82073,-0.5448,-1.8523,-0.37884,-0.24083,1.17072,0.57309,-8.67361737988404e-19,-0.79904,-0.79904,0.43137,2.10098,-0.37884,4.70745,3.7481
