"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.8680952380952,"Down",4.461e+09,-1.259e+09,3.202e+09,-1.8e+09,-5.14e+08,-1.286e+09,1.402e+09,-9e+07,-1.83e+08,9.3e+07,1.312e+09,1.312e+09,-5.63e+08,7.49e+08,7.49e+08,119768042.92693,7.49e+08,7.49e+08,2.524e+09,2.524e+09,1.628e+09,1.628e+09,5.62e+08,1.67e+09,4.63e+08,1.207e+09,6.384e+09,2.7737e+10,7.24e+08,1.5896e+10,2.625e+09,8.67e+08,1.2404e+10,4.4357e+10,5.0741e+10,2.334e+09,1.143e+09,1.191e+09,1.712e+09,8.44e+08,1.83e+08,4.41e+08,4.89e+09,1.1198e+10,2.1202e+10,5.756e+09,3.536e+09,2.22e+09,5.983e+09,8e+06,9.455e+09,3.24e+10,3.729e+10,8.94e+09,-2.328e+09,8.534e+09,-1.695e+09,1.3451e+10,-13336190.7046614,1.3451e+10,5.0741e+10,7.49e+08,7.18e+08,2.44e+08,1.5e+08,1.861e+09,-8.78e+08,1.135e+09,-7.09e+08,-3.47e+08,-3.02e+08,1.1e+07,0,-6.38e+08,5.14e+08,5.14e+08,5.14e+08,2.12e+09,1.291e+10,1.955e+09,0.71778,0.31428,0.1679,0.05568,0.01476,2.61015,1.30552,2.77228,0.25443,0.80823,0.807,4.81374,14.5146,2.10959,0.37444,0.02304,0.0411,0.46328,4.89906,7.40799
"2","2010_Q3",18.17375,"Up",4.398e+09,-1.527e+09,2.871e+09,-1.852e+09,-5.19e+08,-1.333e+09,1.019e+09,-3.98e+08,-2.76e+08,-1.22e+08,6.21e+08,6.21e+08,-1.76e+08,4.45e+08,4.45e+08,51384021.4634651,4.45e+08,4.45e+08,1.168e+09,1.168e+09,1.886e+09,1.886e+09,7.59e+08,1.787e+09,4.18e+08,1.369e+09,5.6e+09,2.803e+10,7.23e+08,1.482e+10,2.625e+09,6.27e+08,1.1568e+10,4.3573e+10,4.9173e+10,2.279e+09,1.181e+09,1.098e+09,1.133e+09,6.18e+08,5.4e+07,4.5e+08,4.03e+09,1.1201e+10,2.0756e+10,5.805e+09,3.527e+09,2.278e+09,5.474e+09,8e+06,9.469e+09,3.1957e+10,3.5987e+10,8.96e+09,-2.327e+09,8.631e+09,-2.078e+09,1.3186e+10,-5168095.35233068,1.3186e+10,4.9173e+10,4.45e+08,7.37e+08,-7.09e+08,3.5e+07,5.08e+08,-7.06e+08,6.88e+08,-9.49e+08,-3.47e+08,-5.81e+08,1.1e+07,2e+06,-9.15e+08,-1.356e+09,-1.356e+09,-1.356e+09,1.756e+09,1.2334e+10,1.261e+09,0.6528,0.2317,0.10118,0.03375,0.00905,2.83371,1.38958,2.72918,0.25083,0.48019,0.47946,4.74576,14.22865,1.36071,0.37444,0.01711,0.02725,0.77978,6.35877,10.9578
"3","2010_Q4",18.27140625,"Up",5.291e+09,-1.956e+09,3.335e+09,-1.97e+09,-5.78e+08,-1.392e+09,1.365e+09,3.2e+07,-1.75e+08,2.07e+08,1.397e+09,1.397e+09,-5.52e+08,8.45e+08,8.45e+08,14461340.4878217,8.45e+08,8.45e+08,2.735e+09,2.735e+09,1.816e+09,1.816e+09,8.09e+08,1.4e+09,5.22e+08,8.78e+08,6.76e+09,2.8554e+10,7.28e+08,1.4906e+10,2.625e+09,6.71e+08,1.161e+10,4.4188e+10,5.0948e+10,2.259e+09,1.056e+09,1.203e+09,8.43e+08,8.65e+08,6.7e+07,5.94e+08,3.967e+09,1.2052e+10,2.0974e+10,5.255e+09,2.919e+09,2.336e+09,6.153e+09,8e+06,9.558e+09,3.3026e+10,3.6993e+10,8.982e+09,-2.327e+09,9.128e+09,-1.828e+09,1.3955e+10,277301.549223107,1.3955e+10,5.0948e+10,8.45e+08,8e+08,2.91e+08,-1.93e+08,1.743e+09,-7.98e+08,1.386e+09,-3.79e+08,-3.48e+08,5.58e+08,1.2e+07,-1.9e+07,2.03e+08,1.567e+09,1.567e+09,1.567e+09,2.165e+09,1.2895e+10,1.726e+09,0.63032,0.25799,0.15971,0.06055,0.01659,2.0426,1.70406,2.65088,0.2531,0.91044,0.90907,5.70075,15.03571,1.85967,0.37495,0.02495,0.03609,0.41183,4.69284,7.44322
"4","2011_Q1",18.8333870967742,"Up",4.494e+09,-1.693e+09,2.801e+09,-1.861e+09,-4.64e+08,-1.397e+09,9.4e+08,-4.9e+07,-1.83e+08,1.34e+08,8.91e+08,8.91e+08,-3.67e+08,5.24e+08,5.24e+08,0,5.24e+08,5.24e+08,1.612e+09,1.612e+09,1.932e+09,1.932e+09,8.06e+08,2.048e+09,4.87e+08,1.561e+09,6.398e+09,2.9941e+10,7.32e+08,1.5169e+10,2.625e+09,4.09e+08,1.2135e+10,4.5842e+10,5.224e+10,2.414e+09,1.373e+09,1.04e+09,8.24e+08,1.002e+09,3.8e+07,8.79e+08,4.24e+09,1.2004e+10,2.2433e+10,5.876e+09,3.658e+09,2.218e+09,6.621e+09,2.1e+07,9.915e+09,3.4437e+10,3.8677e+10,9.006e+09,-2.327e+09,9.304e+09,-2.423e+09,1.356e+10,3e+06,1.3563e+10,5.224e+10,5.24e+08,6.88e+08,3.33e+08,-4.13e+08,1.132e+09,-9.44e+08,1.017e+09,-1.885e+09,-3.47e+08,-38000000.0000001,1.4e+07,1e+06,-3.7e+08,-1.123e+09,-1.123e+09,-1.123e+09,1.628e+09,1.2828e+10,6.38e+08,0.62328,0.20917,0.1166,0.03863,0.01003,1.21756,1.50896,2.85166,0.24556,0.56629,0.56203,4.8567,14.65439,0.68949,0.37501,0.01784,0.01307,0.66221,6.88943,11.93191
"5","2011_Q2",18.8438095238095,"Up",4.956e+09,-2.001e+09,2.955e+09,-1.753e+09,-3.27e+08,-1.426e+09,1.202e+09,-8.7e+07,-1.81e+08,9.4e+07,1.115e+09,1.115e+09,-4.46e+08,6.69e+08,6.69e+08,-1e+06,6.68e+08,6.68e+08,4.87e+08,4.87e+08,1.8e+09,1.8e+09,7.28e+08,1.644e+09,4.62e+08,1.092e+09,4.659e+09,3.0549e+10,7.4e+08,1.5428e+10,2.625e+09,4.25e+08,1.2378e+10,4.6717e+10,5.1376e+10,2.183e+09,1.331e+09,8.52e+08,1.324e+09,6.64e+08,3.7e+07,6.27e+08,4.171e+09,1.2152e+10,2.1119e+10,3.767e+09,1.516e+09,2.251e+09,7.215e+09,2.8e+07,1.0109e+10,3.3271e+10,3.7442e+10,9.032e+09,-2.327e+09,9.623e+09,-2.397e+09,1.3931e+10,3e+06,1.3934e+10,5.1376e+10,6.69e+08,5.52e+08,-1.548e+09,1.2e+08,-2.07e+08,-1.15e+09,1.218e+09,-1.18e+09,-3.48e+08,6.49e+08,8e+06,-4.7e+07,2.62e+08,-1.125e+09,-1.125e+09,-1.125e+09,1.754e+09,1.3476e+10,1.17e+09,0.59625,0.24253,0.13479,0.04794,0.013,1.7515,1.117,2.6871,0.2623,0.71973,0.71756,5.3398,15.00985,1.26061,0.37495,0.02094,0.02411,0.52096,7.40536,10.80616
"6","2011_Q3",19.7009375,"Up",4.682e+09,-1.902e+09,2.78e+09,-1.746e+09,-3.29e+08,-1.417e+09,1.034e+09,-8.2e+07,-1.82e+08,1e+08,9.52e+08,9.52e+08,-3.33e+08,6.19e+08,6.19e+08,1e+06,6.2e+08,6.2e+08,5.62e+08,5.62e+08,1.766e+09,1.766e+09,7.86e+08,1.873e+09,4.38e+08,1.366e+09,4.987e+09,3.0856e+10,7.51e+08,1.5392e+10,2.625e+09,3.24e+08,1.2443e+10,4.6999e+10,5.1986e+10,2.175e+09,1.297e+09,8.78e+08,1.413e+09,6.8e+08,5e+07,6.3e+08,4.268e+09,1.2154e+10,2.1449e+10,3.806e+09,1.495e+09,2.311e+09,7.391e+09,6.6e+07,1.0186e+10,3.3603e+10,3.7871e+10,9.054e+09,-2.327e+09,9.894e+09,-2.509e+09,1.4112e+10,3e+06,1.4115e+10,5.1986e+10,6.21e+08,5.62e+08,1.84e+08,-1.47e+08,1.22e+09,-8.35e+08,4.65e+08,-8.94e+08,-3.47e+08,8.8e+07,7e+06,1e+06,-2.51e+08,7.5e+07,7.5e+07,7.5e+07,1.596e+09,1.3567e+10,9.47e+08,0.59376,0.22085,0.13242,0.04392,0.01193,1.52742,1.16846,2.68303,0.26097,0.66701,0.666,5.03698,15.18193,1.0188,0.37331,0.01968,0.01927,0.55968,8.1485,12.57737
"7","2011_Q4",20.1360317460317,"Up",5.067e+09,-1.933e+09,3.134e+09,-1.953e+09,-3.31e+08,-1.622e+09,1.181e+09,-3.22e+08,-1.82e+08,-1.4e+08,8.59e+08,8.59e+08,-2.55e+08,6.04e+08,6.04e+08,-3e+06,6.01e+08,6.01e+08,1.071e+09,1.071e+09,1.685e+09,1.685e+09,8.51e+08,2.68e+09,4.78e+08,2.019e+09,6.287e+09,3.1882e+10,7.54e+08,1.5233e+10,2.625e+09,3e+08,1.2308e+10,4.7869e+10,5.4156e+10,2.441e+09,1.388e+09,1.053e+09,1.926e+09,6.1e+08,5.2e+07,5.58e+08,4.977e+09,1.2565e+10,2.2255e+10,3.846e+09,1.475e+09,2.371e+09,7.958e+09,7.9e+07,1.0372e+10,3.482e+10,3.9797e+10,9.077e+09,-2.327e+09,1.0146e+10,-2.54e+09,1.4356e+10,3e+06,1.4359e+10,5.4156e+10,6.02e+08,5.88e+08,6.88e+08,2.6e+07,1.904e+09,-9.87e+08,9.31e+08,-1.957e+09,-3.49e+08,9.21e+08,1.1e+07,-2.1e+07,5.62e+08,5.09e+08,5.09e+08,5.09e+08,1.769e+09,1.4491e+10,1.063e+09,0.61851,0.23308,0.11861,0.04186,0.0111,1.76872,1.26321,2.77157,0.26758,0.64657,0.64462,5.45117,15.44443,1.14359,0.37546,0.01859,0.0208,0.5807,7.58621,11.36325
"8","2012_Q1",18.6529032258065,"Down",4.358e+09,-1.294e+09,3.064e+09,-1.864e+09,-3.6e+08,-1.504e+09,1.2e+09,-32000000.0000001,-1.81e+08,1.49e+08,1.168e+09,1.031e+09,-4.23e+08,6.07e+08,6.07e+08,-1e+06,6.06e+08,6.06e+08,1.016e+09,1.016e+09,1.613e+09,1.613e+09,8.64e+08,2.22e+09,4.32e+08,1.788e+09,5.713e+09,3.257e+10,7.66e+08,1.5946e+10,2.625e+09,6.5e+08,1.2671e+10,4.9282e+10,5.4995e+10,3.048e+09,1.444e+09,1.255e+09,1.216e+09,8.7e+08,1.12e+08,7.57e+08,5.134e+09,1.2189e+10,2.3284e+10,4.457e+09,2.194e+09,2.263e+09,8.253e+09,1.26e+08,1.0448e+10,3.5473e+10,4.0607e+10,9.107e+09,-2.327e+09,1.0055e+10,-2.45e+09,1.4385e+10,3e+06,1.4388e+10,5.4995e+10,6.07e+08,6.14e+08,5.01e+08,2.14e+08,1.936e+09,-1.07e+09,3.542e+09,-5.78e+08,-3.49e+08,-1.081e+09,1.2e+07,5e+06,-1.413e+09,-5.5e+07,-5.5e+07,-5.5e+07,1.814e+09,1.3405e+10,1.381e+09,0.70307,0.27536,0.13905,0.04212,0.01102,2.27888,1.11278,2.82228,0.24375,0.65096,0.64804,4.68135,15.45232,1.48347,0.37489,0.0187,0.02704,0.57591,6.82966,10.32417
"9","2012_Q2",18.1155555555556,"Down",4.69e+09,-1.765e+09,2.925e+09,-2.544e+09,-3.82e+08,-2.162e+09,3.81e+08,-1e+06,-1.95e+08,1.94e+08,3.8e+08,3.8e+08,-1.58e+08,2e+08,2e+08,0,2e+08,2e+08,7.21e+08,7.21e+08,3.109e+09,3.109e+09,9.42e+08,7.043e+09,1.491e+09,5.552e+09,1.1815e+10,4.2105e+10,3.235e+09,2.0473e+10,2.625e+09,1.389e+09,1.6459e+10,6.5813e+10,7.7628e+10,4.227e+09,2.263e+09,1.492e+09,1.299e+09,3.092e+09,6.71e+08,1.904e+09,8.618e+09,1.7458e+10,2.945e+10,5.241e+09,2.553e+09,2.688e+09,1.0705e+10,1.105e+09,1.2399e+10,4.6908e+10,5.5526e+10,1.6512e+10,-2.327e+09,9.83e+09,-2.199e+09,2.2009e+10,9.3e+07,2.2102e+10,7.7628e+10,2e+08,7.76e+08,6.4e+08,-6.22e+08,9.94e+08,-1.496e+09,4.582e+09,-6.4e+08,-3.5e+08,-3.1e+08,1.2e+07,-1e+06,-6.49e+08,-2.95e+08,-2.95e+08,-2.95e+08,1.157e+09,1.8757e+10,-8.03e+08,0.62367,0.08124,0.04264,0.00905,0.00258,-4.015,1.37097,2.51226,0.24163,0.20235,0.20177,4.74499,22.07181,-0.81242,0.3541,0.00782,-0.01142,1.75,15.58859,47.33858
"10","2012_Q3",18.0536507936508,"Down",5.966e+09,-2.606e+09,3.36e+09,-2.589e+09,-4.94e+08,-2.095e+09,7.71e+08,-2.98e+08,-2.56e+08,-4.2e+07,4.73e+08,4.73e+08,-1.26e+08,2.9e+08,2.9e+08,-4e+06,2.86e+08,2.86e+08,1.349e+09,1.349e+09,3.069e+09,3.069e+09,9.99e+08,6.337e+09,1.17e+09,5.104e+09,1.1754e+10,4.2613e+10,3.134e+09,1.9933e+10,2.625e+09,1.241e+09,1.6067e+10,6.568e+10,7.7434e+10,3.758e+09,2.302e+09,1.452e+09,1.192e+09,2.882e+09,5.78e+08,1.822e+09,7.832e+09,1.8173e+10,2.9107e+10,5.313e+09,2.61e+09,2.703e+09,1.0823e+10,8.29e+08,1.2142e+10,4.728e+10,5.5112e+10,1.6559e+10,-2.327e+09,1.0114e+10,-2.313e+09,2.2226e+10,9.6e+07,2.2322e+10,7.7434e+10,2.9e+08,1.119e+09,4.06e+08,-9.6e+07,1.719e+09,-1.304e+09,1.726e+09,-1.34e+09,-4.23e+08,7.02e+08,3e+07,-6e+07,2.49e+08,6.28e+08,6.28e+08,6.28e+08,1.89e+09,1.9365e+10,6.16e+08,0.56319,0.12923,0.04794,0.01281,0.00369,2.15385,1.50077,2.46895,0.25008,0.23915,0.23831,4.98869,18.42369,0.515090000000001,0.35371,0.01001,0.00869999999999999,1.47902,9.53228,23.36706
