"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",14.1152380952381,"Down",186641000,-58941000,127700000,-97307000,-67868000,-24063000,30393000,-6673000,-8832000,2159000,23720000,23720000,-5332000,18388000,18388000,-1214000,17174000,13582000,-146212983.217276,-146206214.019265,133780381.170532,133780381.170532,-4065693.55257176,41473904.8705903,56509523.7974389,-24692011.9667423,24975609.2712746,31642883.6395659,1331297036.88159,345864418.625431,929283238.202147,56450854.4033853,1362939920.52115,1387915529.79243,261683863.458929,-3199608.28681199,264883471.745741,60276636.9075366,313606888.209053,579627910.830967,187962070.821062,113334364.189745,767589981.652028,1081196869.86108,285386032.405653,500937130.464967,-404439422.053748,-70008912.2695958,306462167.153916,256492.777431218,306718659.931347,1387915529.79243,18388000,12148000,8903000,-26485000,12954000,-2295000,-1199801.43236387,-24547000,-26842000,-281000,18922000,0,-351000,18290000,4402000,4402000,1405000,5807000,42541000,0,19093000,0.6842,0.16284,0.07277,-0.00182053914862928,-0.00212600233339132,1.40576,0.158393616976104,3.34992412599175,0.41041413306716,0.38402,0.28487,5.27716,1.07420217600461,0.53984,-0.00286820161641235,0.0241649816028134,29.0850661420452,60.0678773915735
"2","2012_Q1",14.5293548387097,"Up",186869000,-61250000,125619000,-102724000,-73336000,-23981000,22895000,-10077000,-8926000,-1151000,12818000,12818000,604000,13422000,13422000,-282000,13140000,9511000,169906000,169906000,150769000,150769000,16987000,64282000,31195000,19908000,401944000,23176000,951007000,163858000,738674000,41775000,974183000,1376127000,199511000,36861000,162650000,144691000,344202000,583234000,85462000,31812000,668696000,1012898000,285542000,519872000,-394757000,-42069000,361949000,1280000,363229000,1376127000,13422000,12851000,6989000,18792000,52054000,-2691000,0,1310000,-9574000,-15203000,10215000,1.16415321826935e-10,-1376000,-6364000,36116000,36116000,-216000,35900000,35746000,583234000,51243000,0.67223,0.12252,0.0509,0.02618,0.00691,5.38776,1.16776,2.78859,0.42382,0.27533,0.25582,5.40964,2.21189,1.48343,0.00922,0.04966,11.56292,18.0532
"3","2012_Q2",15.0957142857143,"Up",176332000,-55349000,120983000,-102149000,-70235000,-26368000,18834000,-7634000,-8646000,1012000,11200000,3064000,-1509000,1555000,1555000,-1667000,-112000,-3661000,240221161.072425,240218904.673088,156665872.943156,156665872.943156,22743314.5175239,71430948.3764699,33981992.0675204,29655503.9889141,491061296.909575,21789122.1201447,870148404.372804,119885193.791523,702780253.932618,42508131.8655382,891937526.492949,1382998823.40252,180099795.51369,46123702.7622707,133976092.75142,163003204.364154,347469203.930316,587452279.723011,57379726.3929794,18493378.6034185,644832006.11599,992301210.046306,285593989.198116,532416039.845011,-389295609.315417,-33432445.9101347,388027444.282028,2670169.07418959,390697613.356218,1382998823.40252,1555000,12954000,18986000,-14201000,19294000,-3131000,560630.85941832,-359000,-15448000,13638000,4620000,-502000,-15756000,2502000,6348000,6348000,3104000,9452000,31788000,0,15965000,0.68611,0.10681,-0.02076,0.0276251797162098,0.00778700077779711,-4.36083,1.41905546100797,2.54575362466942,0.428063622310947,-0.09791,-0.09791,4.71581,2.7252859413318,0.42697,0.0103485672054708,0.0360775061323955,8.2817354526516,10.0262275361422
"4","2012_Q3",14.4173015873016,"Down",194959000,-69109000,125850000,-104440000,-72217000,-26808000,21410000,-6973000,-7711000,738000,14437000,14437000,-3163000,11274000,11274000,-799000,10475000,6768000,179147000,179147000,155309000,155309000,19722000,70560000,49384000,21176000,424738000,24386000,956901000,152991000,753972000,49938000,981287000,1406025000,187757000,39596000,148161000,147517000,341274000,591105000,71628000,41391000,662733000,1004007000,285542000,540783000,-384394000,-36364000,398101000,3917000,402018000,1406025000,11274000,12585000,5991000,-21306000,8544000,-3584000,665841.145891094,-5594000,-9178000,-424000,3269000,-325000,-1282000,1563000,929000,929000,-1140000,-210999.999999996,33995000,597105000,12268000,0.64552,0.10982,0.03471,0.01684,0.00481,1.81265,1.24457,2.49742,0.42468,0.17553,0.17188,5.05643,2.91931,0.31818,0.00632,0.01146,12.29469,19.52163
"5","2012_Q4",13.9012903225806,"Down",199364000,-70139000,129225000,-110943000,-76536000,-28464000,18282000,-9065000,-7752000,-1313000,9217000,9217000,704000,9921000,9921000,-470000,9451000,5704000,112413000,112413000,153749000,153749000,14814000,71388000,57002000,14386000,352364000,27549000,1066191000,196017000,817744000,52430000,1093740000,1446104000,205225000,36126000,169099000,136245000,347678000,592695000,94879000,65256000,687574000,1035252000,285542000,547393000,-374943000,-43783000,406743000,4109000,410852000,1446104000,9921000,13613000,5644000,-11785000,17393000,-2523000,499380.85941832,8121000,-81142000,-1728000,678000,0,-246000,-1296000,-65045000,-65045000,-1689000,-66734000,31895000,598903000,16883000,0.64819,0.0917,0.02861,0.01388,0.00394,2.95985,1.01348,2.51977,0.41415,0.14699,0.14528,5.13736,3.1232,0.43505,0.00516,0.01528,15.25286,26.61033
"6","2013_Q1",17.3391666666667,"Up",211993000,-73764000,138229000,-110277000,-74918000,-29361000,27952000,-8513000,-7588000,-925000,19439000,19439000,-1564000,17875000,17875000,-696000,17179000,13392000,150662000,150662000,154753000,154753000,14414000,80861000,42987000,24814000,400690000,28289000,1070616000,190076000,828758000,42246000,1098905000,1499595000,217332000,49441000,167891000,159588000,383148000,591151000,95459000,59188000,686610000,1069758000,285542000,554391000,-357764000,-47736000,426967000,2870000,429837000,1499595000,17875000,13888000,-11503000,41007000,61267000,-3842000,245000,-6401000,-21080000,-1899000,2252000,-828000,-1044000,-691000,39496000,39496000,-1247000,38249000,41840000,597379000,80569000,0.65205,0.13185,0.06317,0.03116,0.00893,6.0162,1.04578,2.48875,0.39836,0.34409,0.31913,5.44694,3.63377,2.07014,0.01193,0.07177,10.67679,15.98158
"7","2013_Q2",17.41390625,"Up",196635000,-68328000,128307000,-107324000,-72723000,-28403000,20983000,-6954000,-7588000,634000,14029000,14029000,-2399000,11630000,11630000,-1595000,10035000,6291000,189832000,189832000,137617000,137617000,15165000,75856000,56207000,19649000,418470000,29304000,1062585000,180892000,833572000,48121000,1091889000,1510359000,227351000,43362000,183989000,159454000,393044000,589392000,75972000,50896000,665364000,1058408000,285542000,560049000,-347729000,-42713000,447382000,4569000,451951000,1510359000,11630000,14096000,5401000,16405000,47532000,-4075000,0,-1705000,-6440000,-1738000,655000,-369000,-1424000,-2507000,38585000,38585000,585000,39170000,35079000,595631000,49808000,0.65251,0.10671,0.03199,0.01392,0.00417,7.91734,1.06469,2.34186,0.39436,0.16124,0.15771,5.03977,4.14797,1.27658,0.0056,0.04433,11.56815,19.33942
"8","2013_Q3",18.310625,"Up",212426000,-75980000,136446000,-110183000,-73953000,-30195000,26263000,-8226000,-7743000,-483000,18037000,18037000,-4772000,13265000,13265000,-658000,12607000,8739000,173250000,173250000,167616000,167616000,1e+07,67276000,52072000,15204000,418142000,32142000,1037002000,169115000,825069000,42818000,1069144000,1487286000,215166000,49231000,165935000,147716000,369174000,587675000,68441000,51768000,656116000,1025290000,285542000,569595000,-335122000,-55178000,456824000,5172000,461996000,1487286000,13265000,14169000,-660999.999999998,-35054000,-8281000,-2105000,0,952000,-1153000,-1748000,125000,-246000,-3875000,-5498000,-14932000,-14932000,-1650000,-16582000,40432000,593967000,8045000.00000001,0.64232,0.12363,0.04114,0.01892,0.00588,0.92059,1.13264,2.21926,0.39936,0.22006,0.21808,5.34921,4.31314,0.20259,0.00777,0.00715,10.40555,16.01938
"9","2013_Q4",19.4590625,"Up",201520000,-65282000,136238000,-119467000,-85626000,-27732000,16771000,-7913000,-7573000,-340000,8858000,8858000,-2243000,6615000,6615000,-1144000,5471000,1562000,192028000,192028000,157402000,157402000,11711000,69016000,53041000,15975000,430157000,37167000,1031294000,160379000,831432000,39483000,1068461000,1498618000,216170000,45726000,170444000,138653000,361261000,586146000,68061000,53804000,654207000,1015468000,285542000,574502000,-329651000,-45751000,476629000,6521000,483150000,1498618000,6615000,14211000,4972000,85000,25883000,-5292000,0,-1163000,-6455000,-1644000,376000,0,-992000,-2260000,17168000,17168000,1610000,18778000,30982000,592584000,28018000,0.67605,0.08322,0.00775,0.00323,0.00104,17.93726,1.19071,2.10177,0.39542,0.03926,0.03874,5.06527,4.80303,0.70424,0.00137,0.0245,12.92867,23.88385
"10","2014_Q1",23.4681967213115,"Up",228961000,-72414000,156547000,-121011000,-85335000,-29576000,35536000,-8696000,-7599000,-1097000,26840000,26840000,454000,27294000,27294000,-1405000,25889000,21938000,223566000,209973000,168415000,168415000,15014000,94658000,66830000,17381000,501653000,38161000,1024455000,150604000,829909000,33600000,1062616000,1564269000,224327000,47355000,176972000,164016000,394210000,570822000,84019000,60196000,654841000,1049051000,285542000,580802000,-303762000,-44225000,510344000,4874000,515218000,1564269000,27294000,14621000,7317000,9019000,58251000,-4573000,-13593000,-3482000,-21648000,-16521000,834000,0,-3354000,-19041000,17562000,17562000,383000,17945000,50157000,576689000,54149000,0.68373,0.15521,0.09582,0.04258,0.01402,2.46827,1.27255,2.03613,0.36866,0.54198,0.53552,5.65648,5.55373,1.33775,0.01866,0.04605,7.04035,9.93705
