"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",3.61209677419355,"Down",5391982,-4349224,1042758,-2352846,-2352846,-1310088,31477,24495,-1278611,-1278611,-1402643,-1402643,-1402643,-1402643,18471520,18471520,4621181,4621181,1036386,240651,240651,24369738,115205,46032,46032,161237,24530975,3324605,885332,3324605,0,0,0,3324605,16556758,5909669,21206370,21206370,24530975,-1402643,12612,115693,-122653,-1396991,-8566,-8566,-1405557,-1405557,-1405557,-1297476,0,0.19339,-0.24297,-0.26013,-0.06614,-0.05718,7.33012,0.15677,0,-0.1757,-0.1757,0.67541,2.65636,-0.06614,14.2365,14.09945
"2","2011_Q2",3.63444444444444,"Up",5968208,-4591675,1376533,-1353312,-1353312,23221,-5746,-11400,17474.9999999995,17474.9999999998,17475,17475,17475,17475,14866637.0169483,14867314.5953377,10977641.1156678,7957584.7536022,2370043.18967327,-1872971.14482474,1660597.52158355,26341350.1774646,52205.6531403875,111764.544620088,111764.544620092,163970.197760476,26505320.3752251,5173961.49570119,1451816.60965698,4492334.28371504,4.00747996243209,4.00747996354497,4.00747996228149,4492338.291195,16647565.2854735,6624546.58530023,22012982.0840301,22012982.0840301,26505320.3752251,17475,13161,85970,-452277,-335671,-14798,-14798,-350469,-350469,-350469,36382,0,0.23064,0.00388999999999998,0.00292999999999999,0.0357865016551756,0.0331916911517916,6.61675453430503,0.218147693304228,-1.09925877177494e-16,0.00217000000000003,0.00215000000000001,0.74041,2.73531623334511,0.03578649651426,82.0995124127552,77.7174904082181
"3","2011_Q3",2.69421875,"Down",4996266,-3834749,1161517,-1769288,-1769288,-607771,52983,23234,-554788,-554788,-554788,-554788,-554788,-554788,14564234.6169483,14564912.1953377,10138815.0156678,7268758.6536022,2140286.48967327,-1327965.54482474,1369981.62158355,25515370.5774646,102643.953140387,124569.744620088,124569.744620092,227213.697760476,25742584.2752251,4731142.39570119,1163964.30965698,4211682.68371504,4.00747996243209,4.00747996354497,4.00747996228149,4211686.691195,16733189.6854735,6057020.88530023,21530897.5840301,21530897.5840301,25742584.2752251,-554788,15119,77226,-306461,-768904,-60025,-1060025,-1828929,-1828929,-1828929,-592652,0,0.23248,-0.12165,-0.11104,0.0281395016551756,0.0259506911517916,6.64403053430503,0.204919693304228,-1.09925877177494e-16,-0.06861,-0.06861,0.6179,2.66560423334511,0.02813949651426,79.6243794127551,75.4080974082182
"4","2011_Q4",1.85730158730159,"Down",6156543,-4713961,1442582,-1822252,-1822252,-379670,30835,-2963,-348835,-348835,-292785,-682724,-682724,-682724,15459220,15459220,6151062,4932793,1287553,481485,481485,23379320,206846,108601,108601,315447,23694767,3437642,587027.999999999,3437642,0,0,0,3437642,16827550,4689632,20257125,20257125,23694767,-682724,17135,139883,-39590.0000000001,-565296,-77606,-267606,-832902,-832902,-832902,-362535,-1.03397576569128e-25,0.23432,-0.06167,-0.11089,-0.0337,-0.0288099999999999,6.80098,0.1697,0,-0.08442,-0.08442,0.76128,2.50486,-0.0337,42.6420099999999,40.7175200000001
"5","2012_Q1",2.28290322580645,"Up",5642263,-4541916,1100347,-2276084,-2276084,-1175737,-19636,-60172,-1195373,-1195373,-1195373,-1680502,-1680502,-1680502,14911844,14911844,3894118,3894118,1014195,2049251,378008,21869408,302158,88716,88716,390874,22260282,3253258,465995,3577593,0,0,0,3577593,16933616,3009130,18682689,18682689,22260282,-1680502,28892,101899,1426539,-123172,-124204,-424204,-547376,-547376,-547376,-1146845,0,0.19502,-0.20838,-0.29784,-0.08995,-0.07549,6.11288,0.19149,0,-0.20779,-0.20964,0.69764,2.31002,-0.08995,13.00249,12.68298
"6","2012_Q2",2.06031746031746,"Down",6162300,-4950975,1211325,-1712760,-1712760,-501435,28360,-13767,-473075,-473075,-472856,-1513180,-1513180,-1513180,11084342,11084342,6997654,6247654,2129692,2037123,2037123,22248811,330396,88716,88716,419112,22667923,5360333,1276251,5360333,-3.5527136788005e-15,-1.77635683940025e-15,-1.77635683940025e-15,5360333,17070781,1495950,17307590,17307590,22667923,-1513180,30305,137165,-2673249,-4018959,-58543,191457,-3827502,-3827502,-3827502,-471130,0,0.19657,-0.08137,-0.24555,-0.08743,-0.06675,4.15064,0.30971,4.93038065763132e-32,-0.18702,-0.18702,0.76161,2.13907,-0.08743,23.52714,22.10524
"7","2012_Q3",1.2984126984127,"Down",6222812,-5131537,1091275,-1662537,-1662537,-571262,33624,26696,-537638,-537638,-539172,-1544426,-1544426,-1544426,9719455,9719455,6366202,5766202,1779343,1924236,1924236,19789236,300146,88716,88716,388862,20178098,4233406,1044059,4233406,0,0,0,4233406,17257337,-48476,15944692,15944692,20178098,-1544426,30231,198814,-198786,-1514167,-720,149280,-1364887,-1364887,-1364887,-541031,0,0.17537,-0.0918,-0.24819,-0.09686,-0.07654,4.67454,0.26551,0,-0.19055,-0.19055,0.76776,1.96722,-0.09686,17.96469,17.01401
"8","2012_Q4",1.19758064516129,"Down",7664251,-6906769,757482,-1371460,-1371460,-613978,-19076,-58952,-633054,-633054,-631739,-3308377,-3308377,-3308377,7185538,7185538,6149205,6149205,2152071,3096127,395216,18582941,234847,27601,27601,262448,18845389,5609967,1327439,6416046,2.8421709430404e-14,2.8421709430404e-14,0,6416046,17057811,-3356853,12429343,12429343,18845389,-3308377,22121,-150062,297195,-3139123,5206,605206,-2533917,-2533917,-2533917,-591857,0,0.09883,-0.08011,-0.43166,-0.26617,-0.17555,2.89632,0.5162,0,-0.40818,-0.40818,0.9456,1.53351,-0.26617,12.14067,11.70325
"9","2013_Q1",1.8865,"Up",9353641,-8523565,830076,-2407192,-2407192,-1577116,-77095,-50046,-1654211,-1654211,-1669321,-3268073,-3268073,-3268073,5028851,4608246,7533491,7533491,3380813,989431,367552,16932586,138774,40442,40442,179216,17111802,7662033,1725185,7923839,0,0,0,7923839,17108887,-6624926,9187963,9187963,17111802,-3268073,21316,143036,989188,-2114533,-18410,-462759,-2577292,-2577292,-2577292,-1555800,0,0.08874,-0.16861,-0.34939,-0.35569,-0.19098,2.13692,0.86242,0,-0.40321,-0.40321,1.15404,1.1336,-0.35569,3.23232,3.18864
"10","2013_Q2",1.9765625,"Up",6973370,-5473783,1499587,-1551419,-1551419,-51831.9999999998,-9279,-11099,-61111,181260,181185,138765,138765,138765,5008058,3696500,4622030,4622030,3434168,846102,274927,13910358,129843,40442,40442,170285,14080643,4551836,1091829,4621258,-4.54747350886464e-13,-9.09494701772928e-13,0,4621258,17212185,-6486161,9459385,9459385,14080643,138765,17248,-106425,-340582,-290994,-8111,-620752,-911746,-911746,-911746,-34584,2.11758236813575e-22,0.21504,-0.00743000000000002,0.0199,0.01467,0.00986000000000001,3.01008,0.48854,-2.52435489670724e-29,0.01712,0.01712,0.86018,1.16683,0.01467,144.80852,96.62097
