"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","cash_from_long_term_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.0522222222222,"Up",3.178e+09,-2.182e+09,9.96e+08,-7.41e+08,-3.96e+08,-3.45e+08,2.55e+08,-9.5e+07,-9.2e+07,-3e+06,1.6e+08,1.6e+08,1.5e+07,1.75e+08,1.75e+08,1.75e+08,1.75e+08,7.53e+08,7.53e+08,3.92e+08,3.92e+08,3.21e+08,2.79e+08,2.79e+08,1.745e+09,2.9702e+10,5.285e+09,3.326e+09,2639086431.51213,6.43e+08,3.4987e+10,3.6732e+10,1.44e+09,5.28e+08,9.12e+08,1.712e+09,9.27e+08,7.85e+08,2.515e+09,2.515e+09,5.667e+09,8.933e+09,7.13e+08,7.13e+08,9.646e+09,1.5313e+10,8.328e+09,3.61e+08,7.967e+09,-2.293e+09,1.5657e+10,-2.73e+08,2.1419e+10,2.1419e+10,3.6732e+10,1.75e+08,3.45e+08,-1.6e+07,1.5e+07,-3.1e+07,-1.08e+08,-5.6e+07,-1.2e+07,-1.6e+07,-2.4e+07,3.96e+08,-1.169e+09,-1.169e+09,-1.169e+09,5.3e+07,-1.116e+09,9.7e+08,6.35e+08,3.35e+08,5.53e+08,3e+06,3e+06,9.76e+08,2.56e+08,2.56e+08,-4.1e+07,2.15e+08,6e+08,1.0645e+10,-6.92e+08,0.3134,0.08024,0.05507,0.00817,0.00476,-3.95429,0.30792,0.71493,0.2898,0.22236,0.21739,4.03812,27.21601,-0.87929,8.38816633575469,0.00534,-0.02111,16.48667,38.79216
"2","2010_Q3",25.43046875,"Down",3.267e+09,-2.165e+09,1.102e+09,-7.53e+08,-4.04e+08,-3.49e+08,3.49e+08,-9.8e+07,-9.6e+07,-2e+06,2.51e+08,2.51e+08,1e+06,2.52e+08,2.52e+08,2.52e+08,2.52e+08,5.94e+08,5.94e+08,4.55e+08,4.55e+08,2.97e+08,2.4e+08,2.4e+08,1.586e+09,2.9317e+10,5.126e+09,3.214e+09,1865043215.75606,6.23e+08,3.4443e+10,3.6029e+10,1.476e+09,5.48e+08,9.28e+08,2.079e+09,8.08e+08,1.271e+09,3.208e+09,3.208e+09,6.763e+09,7.681e+09,7.21e+08,7.21e+08,8.402e+09,1.5165e+10,8.42e+09,3.61e+08,8.059e+09,-2.357e+09,1.583e+10,-1.029e+09,2.0864e+10,2.0864e+10,3.6029e+10,2.52e+08,3.49e+08,1.5e+07,8e+06,6999999.99999999,7.82e+08,-6.6e+07,1.4e+07,4.7e+07,7.87e+08,1.398e+09,-9.99e+08,-9.99e+08,-9.99e+08,2.1e+07,-9.78e+08,-4.92e+08,-1.67e+08,-3.25e+08,2.53e+08,9e+06,1.1e+07,-5.51e+08,-1.31e+08,-1.31e+08,-2.8e+07,-1.59e+08,6.98e+08,9.76e+09,4.8e+08,0.33731,0.10683,0.07713,0.01208,0.00699,1.90476,0.23451,0.72685,0.27089,0.31939,0.31227,4.14068,26.4436,0.60837,7.86272211191823,0.01056,0.01531,13.13181,26.26361
"3","2010_Q4",31.8990625,"Up",4.527e+09,-2.389e+09,2.138e+09,-7.36e+08,-3.81e+08,-3.55e+08,1.402e+09,-8.9e+07,-8.7e+07,-2e+06,1.313e+09,1.313e+09,-1e+07,1.303e+09,1.303e+09,1.303e+09,1.303e+09,5.27e+08,5.27e+08,3.88e+08,3.88e+08,2.91e+08,2.39e+08,2.39e+08,1.445e+09,3.0162e+10,5.24e+09,3.287e+09,1461014405.25202,6.43e+08,3.5402e+10,3.6847e+10,1.532e+09,5.41e+08,9.91e+08,1.568e+09,4.15e+08,1.153e+09,2.776e+09,2.776e+09,5.876e+09,7.644e+09,7.32e+08,7.32e+08,8.376e+09,1.4252e+10,8.47e+09,3.61e+08,8.109e+09,-2.385e+09,1.7055e+10,-5.45e+08,2.2595e+10,2.2595e+10,3.6847e+10,1.303e+09,3.55e+08,1.3e+07,1e+07,3e+06,-3.81e+08,6.4e+07,1.1e+07,-2e+07,-4.36e+08,1.29e+09,-6.7e+08,-6.7e+08,-6.7e+08,2.8e+07,-6.42e+08,-7.05e+08,-4.2e+08,-2.85e+08,0,8e+06,2.4e+07,-7.52e+08,-1.04e+08,-1.04e+08,3.7e+07,-6.7e+07,1.757e+09,9.212e+09,7.16e+08,0.47228,0.3097,0.28783,0.05767,0.03536,0.5495,0.24592,0.63076,0.25001,1.65355,1.61663,5.74492,28.67386,0.90863,7,0.04247,0.022,4.94308,6.19472
"4","2011_Q1",32.9516129032258,"Up",3.497e+09,-2.356e+09,1.141e+09,-8e+08,-4.33e+08,-3.67e+08,3.41e+08,-8.6e+07,-9.1e+07,5e+06,2.55e+08,2.55e+08,-7e+06,2.48e+08,2.48e+08,2.48e+08,2.48e+08,4.29e+08,4.29e+08,2.48e+08,2.48e+08,3.2e+08,2.47e+08,2.47e+08,1.244e+09,3.0967e+10,5.279e+09,3.32e+09,1.32e+09,6.39e+08,3.6246e+10,3.749e+10,1.597e+09,5.03e+08,1.094e+09,1.353e+09,7.4e+08,6.13e+08,2.805e+09,2.805e+09,5.755e+09,8.011e+09,6.93e+08,6.93e+08,8.704e+09,1.4459e+10,8.455e+09,3.61e+08,8.094e+09,-2.394e+09,1.7224e+10,-2.54e+08,2.3031e+10,2.3031e+10,3.749e+10,2.48e+08,3.67e+08,1.6e+07,1e+07,6e+06,1.03e+08,1.64e+08,-2.5e+07,-4.7e+07,1.1e+07,7.34e+08,-7.41e+08,-7.41e+08,-7.41e+08,-2.4e+07,-7.65e+08,35000000.0000001,3.22e+08,-2.87e+08,4.74e+08,999999.999999998,-3.4e+07,-7.7e+07,-1.08e+08,-1.08e+08,1e+07,-9.8e+07,7.08e+08,9.364e+09,7.7e+07,0.32628,0.09751,0.07092,0.01077,0.00662,0.31048,0.21616,0.62781,0.24977,0.31472,0.30923,4.43782,29.22716,0.0977200000000001,6,0.00987999999999999,0.00233,12.62006,26.20235
"5","2011_Q2",28.835873015873,"Down",3.419e+09,-2.395e+09,1.024e+09,-7.89e+08,-4.22e+08,-3.67e+08,2.35e+08,-7.8e+07,-8.4e+07,6e+06,1.57e+08,1.57e+08,-5e+06,1.52e+08,1.52e+08,1.52e+08,1.52e+08,4.65e+08,4.65e+08,3.08e+08,3.08e+08,3.43e+08,2.49e+08,2.49e+08,1.365e+09,3.1225e+10,5.375e+09,3.373e+09,1.335e+09,6.67e+08,3.66e+10,3.7965e+10,1.637e+09,5.16e+08,1.121e+09,1.49e+09,6.79e+08,8.11e+08,2.882e+09,2.882e+09,6.009e+09,7.815e+09,7.06e+08,7.06e+08,8.521e+09,1.453e+10,8.511e+09,3.63e+08,8.148e+09,-2.395e+09,1.7178e+10,1.41e+08,2.3435e+10,2.3435e+10,3.7965e+10,1.52e+08,3.67e+08,1.9e+07,1.7e+07,2e+06,-1.26e+08,-7.1e+07,-1.9e+07,1e+06,-3.7e+07,4.12e+08,-1.72e+08,-1.72e+08,-1.72e+08,1.4e+07,-1.58e+08,-1.98e+08,-6.3e+07,-1.35e+08,1139550509.0408,-108455003.928348,4.7e+07,-2.3e+08,2.4e+07,2.4e+07,1.2e+07,3.6e+07,6.02e+08,9.305e+09,3.09e+08,0.2995,0.06873,0.04446,0.00649,0.004,2.03289,0.22716,0.62001,0.24509,0.19241,0.19144,4.32785,29.66456,0.39114,5.09322830926973,0.00691,0.00924,14.68439,37.61702
"6","2011_Q3",25.24484375,"Down",3.62e+09,-2.521e+09,1.099e+09,-8.2e+08,-4.4e+08,-3.8e+08,2.79e+08,-7.5e+07,-8.8e+07,1.3e+07,2.04e+08,2.04e+08,2e+06,2.06e+08,2.06e+08,2.06e+08,2.06e+08,5.57e+08,5.57e+08,3.6e+08,3.6e+08,3.65e+08,2.17e+08,2.17e+08,1.499e+09,3.2822e+10,5.442e+09,3.424e+09,1.396e+09,6.22e+08,3.8264e+10,3.9763e+10,1.689e+09,5.52e+08,1.137e+09,1.164e+09,2.74e+08,8.9e+08,3.668e+09,3.668e+09,6.521e+09,8.678e+09,7.12e+08,7.12e+08,9.39e+09,1.5911e+10,8.518e+09,3.63e+08,8.155e+09,-2.394e+09,1.7186e+10,5.42e+08,2.3852e+10,2.3852e+10,3.9763e+10,2.06e+08,3.8e+08,2e+07,1.2e+07,8e+06,7.83e+08,-5e+07,-1.6e+07,2.5e+07,8.24e+08,1.389e+09,-1.45e+09,-1.45e+09,-1.45e+09,-1.7e+07,-1.467e+09,3.97e+08,-4.08e+08,8.05e+08,9.9e+08,-246774544.526972,-2.8e+07,1.71e+08,9.3e+07,9.3e+07,-1e+06,9.2e+07,6.59e+08,9.842e+09,-10000000.0000001,0.30359,0.07707,0.05691,0.00864,0.00518,-0.04854,0.22987,0.66707,0.24752,0.2601,0.2601,4.57071,30.11616,-0.0126300000000001,4.63221591456672,0.01174,-0.000290000000000002,14.08953,33.27957
"7","2011_Q4",25.5947619047619,"Up",5.057e+09,-2.814e+09,2.243e+09,-8.1e+08,-4.2e+08,-3.9e+08,1.433e+09,-9.1e+07,-9.3e+07,2e+06,1.342e+09,1.342e+09,-5e+06,1.337e+09,1.337e+09,1.337e+09,1.337e+09,4.3e+08,4.3e+08,3.53e+08,3.53e+08,3.66e+08,2.48e+08,2.48e+08,1.397e+09,3.3243e+10,5.386e+09,3.43e+09,1.396e+09,5.6e+08,3.8629e+10,4.0026e+10,1.632e+09,5.48e+08,1.084e+09,2.108e+09,9.12e+08,1.196e+09,3.141e+09,3.141e+09,6.881e+09,7.714e+09,6.79e+08,6.79e+08,8.393e+09,1.5274e+10,8.53e+09,3.63e+08,8.167e+09,-2.682e+09,1.8319e+10,5.85e+08,2.4752e+10,2.4752e+10,4.0026e+10,1.337e+09,3.9e+08,4.2e+07,1e+07,3.2e+07,-5.54e+08,3e+06,-1e+06,-9e+06,-5.47e+08,1.215e+09,-8.13e+08,-8.13e+08,-8.13e+08,2.8e+07,-7.85e+08,-6.5e+07,6.36e+08,-7.01e+08,0,-2.88e+08,1e+06,-5.49e+08,-1.19e+08,-1.19e+08,-8e+06,-1.27e+08,1.823e+09,9.822e+09,4.61e+08,0.44354,0.28337,0.26439,0.05402,0.0334,0.3448,0.20302,0.61708,0.24539,1.69027,1.686,6.39317,31.29204,0.58281,5,0.04351,0.01308,5.15195,6.55408
"8","2012_Q1",24.4959677419355,"Down",3.697e+09,-2.569e+09,1.128e+09,-8.2e+08,-4.35e+08,-3.85e+08,3.08e+08,-1e+08,-8.9e+07,-1.1e+07,2.08e+08,2.09e+08,8e+06,2.17e+08,2.17e+08,2.17e+08,2.17e+08,4.5e+08,4.5e+08,2.63e+08,2.63e+08,3.74e+08,2.25e+08,1.95e+08,1.312e+09,3.2054e+10,5.271e+09,3.322e+09,1.33e+09,6.19e+08,3.7325e+10,3.8637e+10,1.602e+09,5.76e+08,8.32e+08,1.3e+09,2.81e+08,1.019e+09,3.203e+09,3.203e+09,6.105e+09,8.053e+09,6.47e+08,6.47e+08,8.7e+09,1.4805e+10,8.543e+09,3.63e+08,8.18e+09,-2.851e+09,1.8349e+10,-2.09e+08,2.3832e+10,2.3832e+10,3.8637e+10,2.17e+08,3.85e+08,1.3e+07,7e+06,6e+06,1.35e+08,7.5e+07,-1.8e+07,5e+07,27999999.9999998,7.5e+08,-2.61e+08,-2.61e+08,-2.61e+08,2.5e+07,-2.36e+08,-1.3e+08,-6.15e+08,4.85e+08,7.14e+08,-1.66e+08,8e+06,-4.85e+08,2.9e+07,2.9e+07,-9e+06,2e+07,6.93e+08,9.353e+09,5.59e+08,0.30511,0.08331,0.0587,0.00911,0.00562,2.57604,0.21491,0.62122,0.24207,0.28,0.27928,4.77032,30.75097,0.72129,6,0.01224,0.01652,12.84704,28.90584
"9","2012_Q2",25.3438095238095,"Up",3.582e+09,-2.694e+09,8.88e+08,-7.97e+08,-4.21e+08,-3.76e+08,9.1e+07,-8e+07,-8.5e+07,5e+06,1.1e+07,-1.41e+08,2e+06,-1.39e+08,-1.39e+08,-1.39e+08,-1.39e+08,4.71e+08,4.71e+08,2.86e+08,2.86e+08,3.81e+08,1.035e+09,1.84e+08,2.173e+09,3.1475e+10,5.315e+09,3.188e+09,1.319e+09,8.08e+08,3.679e+10,3.8963e+10,1.537e+09,5.17e+08,1.02e+09,1.563e+09,5.38e+08,1.025e+09,3.444e+09,3.444e+09,6.544e+09,7.964e+09,8.02e+08,8.02e+08,8.766e+09,1.531e+10,8.559e+09,3.63e+08,8.196e+09,-2.854e+09,1.8015e+10,-6.7e+07,2.3653e+10,2.3653e+10,3.8963e+10,-1.39e+08,3.76e+08,2.07e+08,1.4e+07,1.93e+08,-1.22e+08,-2.2e+07,-4e+06,-6.2e+07,-3.4e+07,3.22e+08,-2.21e+08,-2.67e+08,-2.67e+08,-2.7e+07,-2.48e+08,1.45e+08,2.57e+08,-1.12e+08,1281465553.22546,-30844501.6214682,-1e+06,-5e+07,2.4e+07,2.4e+07,-3e+06,2.1e+07,4.67e+08,9.527e+09,1.22e+08,0.24791,0.0254,-0.03881,-0.00588,-0.00357,-0.8777,0.33206,0.64728,0.24451,-0.17866,-0.17866,4.60411,30.40231,0.15681,6,0.00162,0.00359,19.39186,99.51648
"10","2012_Q3",27.3115873015873,"Up",3.538e+09,-2.478e+09,1.06e+09,-8.07e+08,-4.31e+08,-3.76e+08,2.53e+08,-9.4e+07,-8.4e+07,-1e+07,1.59e+08,13999999.9999999,0,14000000.0000001,14000000.0000001,14000000.0000001,14000000.0000001,9e+08,9e+08,2.86e+08,2.86e+08,3.77e+08,6.06e+08,2.03e+08,2.169e+09,3.2133e+10,5.16e+09,3.135e+09,1.302e+09,7.23e+08,3.7293e+10,3.9462e+10,1.541e+09,5.32e+08,1.009e+09,1.608e+09,5.41e+08,1.067e+09,4.113e+09,4.113e+09,7.262e+09,8.392e+09,7.82e+08,7.82e+08,9.174e+09,1.6436e+10,8.568e+09,3.63e+08,8.205e+09,-2.856e+09,1.7835e+10,-5.21e+08,2.3026e+10,2.3026e+10,3.9462e+10,14000000.0000001,3.76e+08,1.46e+08,8e+06,1.38e+08,6e+08,-7e+06,-3e+06,3.1e+07,5.79e+08,1.136e+09,-1.73e+09,-1.73e+09,-1.73e+09,5.22e+08,-1.208e+09,7.36e+08,5000000.00000012,7.31e+08,9.46e+08,-2.98023223876953e-08,-9e+06,5.33e+08,4.61e+08,4.61e+08,-3.2e+07,4.29e+08,6.29e+08,1e+10,-5.01e+08,0.2996,0.07151,0.00396,0.000609999999999999,0.000349999999999998,-35.78571,0.29868,0.7138,0.25341,0.01799,0.0179700000000001,4.54756,29.5964,-0.64396,6,0.00615,-0.01482,14.46741,35.96838
