"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",19.84734375,"Down",1133000,-258000,875000,-8224000,-2558000,-5668000,-7349000,15000,15000,-7334000,-7334000,-7334000,-7334000,-7334000,-7334000,213349000,205324000,8025000,609000,609000,1527000,1400000,127000,215485000,385000,11316000,128000,128000,11829000,227314000,5181000,3105000,2076000,5308000,198000,198000,198000,5506000,268278000,-46444000,-26000,221808000,221808000,227314000,-7334000,28000,1352000,-2441000,-8395000,-79000,-79000,-79000,-19065000,-19144000,148241000,148241000,147648000,120109000,120109000,120109000,-7321000,0,0.77229,-6.48632,-6.47308,-0.03306,-0.03226,40.59627,0.02482,0,-1.51748,-1.51748,0.23443,45.89448,-0.03304,29.14206,29.03102
"2","2016_Q1",12.7993442622951,"Down",4448000,-882000,3566000,-9065000,-4241000,-4808000,-5499000,323000,323000,-5176000,-5176000,-5176000,-5176000,-5176000,-5176000,114141000,54116000,60025000,2136000,2136000,1871000,1020000,851000,118148000,538000,102526000,168000,168000,103232000,221380000,4212000,1014000,3198000,4339000,233000,233000,233000,4572000,269147000,-51620000,-719000,216808000,216808000,221380000,-5176000,37000,1187000,-491000,-4443000,-128000,-128000,-128000,-144213000,-144341000,-3041999.99999997,-3041999.99999997,-2424000,-151208000,-151208000,-151208000,-5462000,0,0.80171,-1.23629000000001,-1.16367000000001,-0.02387,-0.02338,27.22932,0.02109,0,-0.19531,-0.19531,0.16784,8.18113,-0.02385,20.89729,20.75668
"3","2016_Q2",11.0984375,"Down",393000,-96000,297000,-11548000,-5479000,-6183000,-11251000,483000,483000,-10768000,-10768000,-10768000,-10768000,-10768000,-10768000,101055000,35511000,65544000,2036000,2036000,2489000,1189000,1300000,105580000,1328000,107853000,223000,223000,109404000,214984000,5746000,1113000,4633000,5781000,602000,602000,602000,6383000,270714000,-62388000,275000,208601000,208601000,214984000,-10768000,48000,2004000,829000,-7887000,-416000,-416000,-416000,-10323000,-10739000,21000,21000,21000,-18605000,-18605000,-18605000,-11203000,0,0.75573,-28.6285,-27.39949,-0.05162,-0.05009,18.26328,0.0306,0,-0.40901,-0.40901,0.01493,7.92346,-0.05147,9.02035,8.98187
"4","2016_Q3",11.035,"Down",2375000,-498000,1877000,-16829000,-6169000,-10680000,-14952000,515000,515000,-14437000,-14437000,-14437000,-14437000,-14437000,-14437000,94207000,30083000,64124000,783000,783000,2917000,1480000,1437000,97907000,2864000,104810000,491000,491000,108165000,206072000,9149000,2076000,7073000,9149000,748000,748000,748000,9897000,272479000,-76825000,521000,196175000,196175000,206072000,-14437000,56000,2185000,3766000,-8430000,-1075000,-1075000,-1075000,4193000,2893000,109000,109000,109000.000000004,-5428000.00000001,-5428000.00000001,-5428000.00000001,-14896000,1.77635683940025e-15,0.79032,-6.29558,-6.07874,-0.07359,-0.07006,10.70139,0.05045,-3.30872245021211e-24,-0.54767,-0.54767,0.0901,7.44186,-0.07331,6.32432,6.30063
"5","2016_Q4",19.1090476190476,"Up",125000,-35000,90000,-18758000,-6200000,-12560000,-18668000,514000,514000,-18154000,-18154000,-18154000,-18154000,-18154000,-18154000,91770000,28108000,63662000,679000,679000,4171000,2171000,2e+06,96620000,5804000,93087000,464000,464000,99355000,195975000,14382000,5376000,9006000,14382000,1367000,1367000,1367000,15749000,274352000,-94979000,853000,180226000,180226000,195975000,-18154000,160000,2322000,3854000,-11818000,-2223000,-2223000,-2223000,12022000,9799000,44000,44000,44000,-1975000,-1975000,-1975000,-18508000,0,0.72,-149.344,-145.232,-0.10073,-0.09263,6.71812,0.08738,0,-0.68583,-0.68583,0.00472,6.80869,-0.09997,4.9584,4.9159
"6","2017_Q1",19.2862903225806,"Up",1696000,-330000,1366000,-21835000,-5742000,-16059000,-20469000,426000,426000,-20043000,-20043000,-19608000,-19608000,-19608000,-19608000,89554000,24840000,64714000,1032000,1032000,2785000,1775000,1010000,93371000,9324000,69412000,625000,625000,79361000,172732000,9669000,1543000,8126000,9669000,1326000,1326000,1326000,10995000,276357000,-114587000,-33000.0000000001,161737000,161737000,172732000,-19608000,280000,2125000,-3220000,-20423000,-4435000,-4435000,-4435000,21645000,17435000,5000,5000,-55000.0000000037,-3043000,-3043000,-3043000,-20189000,2.8421709430404e-14,0.80542,-12.06899,-11.56132,-0.12123,-0.11352,9.65674,0.06798,-5.29395592033938e-23,-0.74054,-0.74054,0.06405,6.10835,-0.12025,4.43578,4.3751
"7","2017_Q2",19.3634920634921,"Up",455000,-91000,364000,-23286000,-6622000,-16619000,-22922000,929000,929000,-21993000,-21993000,-21993000,-21993000,-21993000,-21993000,145809000,82045000,63764000,228000,228000,2765000,1843000,922000,148802000,11061000,63742000,522000,522000,75325000,224127000,9958000,4129000,5829000,9958000,1271000,1271000,1271000,11229000,350050000,-136580000,-572000,212898000,212898000,224127000,-21993000,554000,2621000,1337000,-17481000,-2929000,-2929000,-2929000,6092000,3163000,71607000,71607000,71523000,57205000,57205000,57205000,-22368000,0,0.8,-50.37802,-48.33626,-0.1033,-0.09813,14.94296,0.05274,0,-0.82454,-0.82454,0.01706,7.98178,-0.10269,6.51864,6.36109
"8","2017_Q3",22.5055555555556,"Up",6562000,-1317000,5245000,-20301000,-6355000,-13917000,-15056000,583000,583000,-14473000,-14473000,-14473000,-14473000,-14473000,-14473000,162083000,57649000,104434000,50000,50000,3684000,2432000,1252000,165817000,11524000,46417000,618000,618000,58559000,224376000,11462000,3948000,7514000,11462000,1217000,1217000,1217000,12679000,363396000,-151053000,-646000,211697000,211697000,224376000,-14473000,703000,2958000,1263000,-9549000,-1680000,-1680000,-1680000,-23895000,-25575000,10863000,10863000,10728000,-24396000,-24396000,-24396000,-14353000,4.54747350886464e-13,0.7993,-2.29442,-2.20557999999997,-0.06837,-0.0645,14.46667,0.05989,8.470329472543e-22,-0.47169,-0.47169,0.21386,6.89949,-0.06798,11.29262,10.76534
"9","2017_Q4",30.1277777777778,"Up",1336000,-683000,653000,-21962000,-9444000,-12518000,-21309000,603000,603000,-20706000,-20706000,-20706000,-20706000,-20706000,-20706000,166662000,59884000,106778000,884000,884000,4615000,3225000,1390000,172161000,11548000,24485000,1061000,1061000,37094000,209255000,13399000,2594000,10805000,13399000,1205000,1205000,1205000,14604000,366963000,-171759000,-553000,194651000,194651000,209255000,-20706000,706000,2780000,84000,-17136000,-450000,-450000,-450000,19215000,18765000,832000,832000,606000,2235000,2235000,2235000,-20603000,0,0.48877,-15.94985,-15.4985,-0.10637,-0.09895,12.84879,0.07503,0,-0.66871,-0.66871,0.04315,6.28636,-0.10572,8.08921,7.8212
"10","2018_Q1",29.1034426229508,"Down",2040000,382000,2422000,-19020000,-4808000,-14170000,-16598000,601000,601000,-15997000,-15997000,-15997000,-15997000,-15997000,-15997000,160778000,46656000,114122000,473000,473000,6746000,5334000,1412000,167997000,13977000,15616000,1087000,1087000,30680000,198677000,14437000,4832000,9605000,14437000,1211000,1211000,1211000,15648000,371500000,-187756000,-715000,183029000,183029000,198677000,-15997000,723000,3235000,-1787000,-13826000,-2101000,-2101000,-2101000,958000,-1143000,1741000,1741000,1741000,-13228000,-13228000,-13228000,-15875000,3.63797880709171e-12,1.18725,-8.13627,-7.84167,-0.0874,-0.08052,11.63656,0.08549,-1.35525271560688e-20,-0.51286,-0.51286,0.0654,5.86782,-0.08683,10.12775,9.68659
