"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",21.0114754098361,"Up",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76e+08,8.76e+08,5.36e+08,5.36e+08,9e+07,2.75e+08,2.75e+08,1.777e+09,2e+08,3.921e+09,3.11e+08,3.542e+09,-10689669.0069018,6.8e+07,4.121e+09,5.898e+09,2.82e+08,2.82e+08,8.66e+08,8.66e+08,1.873e+09,3651750430.09094,8.454e+09,5.13e+08,5.13e+08,247731497.303098,3.2e+07,7.909e+09,8.454e+09,1.0327e+10,2.396e+09,-5.954e+09,-1.448e+09,-4.429e+09,-4.429e+09,5.898e+09,0,0,0,0,0,0,0,0,-2.1e+07,4e+06,-4e+06,0,-2.1e+07,-2.1e+07,0,-2.1e+07,0,7.25e+08,0,2.90031839547496,2.71652368952835,101.87428991015,0,0,-2.88204606189925,0.94875,-2.33168,0.12292,0,0,0,-10.06636,0,0,0,-20.3580947582592,-445.726814338766
"2","2018_Q2",22.09,"Up",6.04e+08,-2.42e+08,3.62e+08,-3.12e+08,-2.64e+08,-3.8e+07,-1e+07,5e+07,-1.6e+07,-1.4e+07,-2e+06,3.4e+07,3.402e+09,3.436e+09,-4.59e+08,2.977e+09,2.977e+09,2.977e+09,2.977e+09,4.17e+08,4.17e+08,4.13e+08,4.13e+08,1.24e+08,2.3e+08,2.3e+08,1.184e+09,3.06e+08,6.137e+09,3.421e+09,2.632e+09,3.1e+07,5.3e+07,6.443e+09,7.627e+09,3.04e+08,3.04e+08,6.97e+08,6.97e+08,1.03e+09,2.867e+09,1.863e+09,1.008e+09,7.93e+08,2.15e+08,4.44e+08,410999999.999999,4.73e+09,5.76e+09,1.643e+09,2.37e+08,-1.3e+07,1.867e+09,1.867e+09,7.627e+09,2.977e+09,3.1e+07,-3.441e+09,1.9e+07,-4.14e+08,-1.3e+07,-1.3e+07,-1.3e+07,-1.3e+07,-5e+06,-9.7e+07,-1.02e+08,-5.29e+08,-5.29e+08,-2e+06,-5.31e+08,8.1e+07,2.896e+09,5.46e+08,0.59934,0.08278,4.92881,1.59454,0.39032,0.18341,1.14951,3.08516,0.3797,5.98633,5.98633,1.21456,3.75427,1.09793,0.44929,0.0824,30.60494,49.58
"3","2018_Q3",21.4660317460317,"Down",2.16e+08,-1.77e+08,3.9e+07,-1.26e+08,-6.8e+07,-2.1e+07,-3.7e+07,-8.7e+07,-4.5e+07,-4.2e+07,-3e+06,-1.32e+08,-3.452e+09,-3.584e+09,7.14e+08,-2.87e+09,-2.87e+09,-2.87e+09,-2.87e+09,3.11e+08,3.11e+08,3.66e+08,3.66e+08,1.06e+08,2.69e+08,2.69e+08,1.052e+09,2.81e+08,6.273e+09,3.404e+09,2.78e+09,3.1e+07,5.8e+07,6.554e+09,7.606e+09,3.31e+08,3.31e+08,7.21e+08,7.21e+08,1.081e+09,2.86e+09,1.909e+09,9.96e+08,7.8e+08,2.16e+08,4.65e+08,4.48e+08,4.769e+09,5.85e+09,1.674e+09,1.07e+08,-2.5e+07,1.756e+09,1.756e+09,7.606e+09,1.07e+08,1.45e+08,-2.24e+08,6.6e+07,9.4e+07,-1.8e+07,-1.8e+07,-1.8e+07,-1.75e+08,-7e+06,-4e+06,-1.1e+07,-9.2e+07,-9.2e+07,9e+06,-8.3e+07,5.8e+07,2.889e+09,-6.08e+08,0.18056,-0.40278,-13.28704,-1.6344,-0.37733,0.21185,0.97317,3.33144,0.37983,-26.13843,-26.13843,1.96721,15.99271,-5.53734,-0.4379,-0.09277,44.44828,-29.63218
"4","2018_Q4",16.9796825396825,"Down",6.92e+08,-3.4e+08,3.52e+08,-3.71e+08,-2.81e+08,-5.1e+07,-3.9e+07,-1.9e+07,-1.9e+07,-5.6e+07,3.7e+07,-3.8e+07,-29999999.9999981,-68000000.000001,-2e+07,-8.8e+07,-8.8e+07,-8.8e+07,-8.8e+07,6.85e+08,6.85e+08,3.67e+08,3.67e+08,1.02e+08,2.38e+08,2.38e+08,1.392e+09,2.6e+08,6.174e+09,3.318e+09,2.771e+09,2.1e+07,6.4e+07,6.434e+09,7.826e+09,3.26e+08,3.26e+08,7.84e+08,7.84e+08,1.139e+09,3.099e+09,1.87e+09,9.44e+08,7.31e+08,2.13e+08,4.86e+08,4.4e+08,4.969e+09,6.108e+09,1.74e+09,1.9e+07,-4.1e+07,1.718e+09,1.718e+09,7.826e+09,-3.065e+09,8.8e+07,3.453e+09,2.1e+07,4.97e+08,-5e+06,-5e+06,-5e+06,-4000000.00000006,3.4e+08,5.7e+07,3.97e+08,8.9e+08,8.9e+08,-1.2e+07,8.78e+08,6.9e+07,3.128e+09,1.05e+08,0.50867,-0.02746,-0.12717,-0.05122,-0.01124,-1.19318,1.22212,3.5553,0.39969,-0.801459999999999,-0.801459999999992,6.30237,15.64663,0.95628,-0.0131000000000001,0.01563,35.4058,-128.57895
"5","2019_Q1",15.6729508196721,"Down",7.35e+08,-3.45e+08,3.9e+08,-3.78e+08,-2.75e+08,-6.2e+07,-4.1e+07,1.2e+07,-5.4e+07,-5.7e+07,3e+06,-4.2e+07,-1e+06,-4.3e+07,3.11e+08,2.68e+08,2.68e+08,2.68e+08,2.68e+08,7e+08,7e+08,3.77e+08,3.77e+08,8.1e+07,1.7e+08,1.7e+08,1.328e+09,2.5e+08,6.101e+09,3.234e+09,2.764e+09,2.9e+07,7.4e+07,6.351e+09,7.679e+09,2.66e+08,2.66e+08,8.28e+08,8.28e+08,1.123e+09,3.097e+09,1.408e+09,8.47e+08,6.71e+08,1.76e+08,1.4e+08,4.21e+08,4.505e+09,5.628e+09,1.746e+09,2.87e+08,1.8e+07,2.051e+09,2.051e+09,7.679e+09,2.68e+08,1.2e+08,-3.65e+08,2e+06,2.5e+07,-2.5e+07,-2.5e+07,-2.5e+07,-7e+06,-1.7e+07,6e+06,-1.1e+07,7e+06,7e+06,-2e+06,5e+06,1.32e+08,3.126e+09,-2.02e+08,0.53061,0.01633,0.36463,0.13067,0.0349,-0.75373,1.18255,2.74403,0.40708,2.42974,2.41007,6.66364,18.59474,-1.83137,0.0407,-0.03068,18.37879,202.16667
"6","2019_Q2",15.2952380952381,"Down",7.38e+08,-3.31e+08,4.07e+08,-3.5e+08,-2.57e+08,-5.3e+07,-4e+07,5.7e+07,-3.8e+07,-6e+07,2.2e+07,1.9e+07,-7e+06,1.2e+07,-3000000.00000006,9e+06,9e+06,9e+06,9e+06,7.43e+08,7.43e+08,3.27e+08,3.27e+08,6.8e+07,3.44e+08,3.44e+08,1.482e+09,2.39e+08,6.038e+09,3.149e+09,2.764e+09,2.8e+07,9.7e+07,6.277e+09,7.759e+09,2.95e+08,2.95e+08,8.05e+08,8.05e+08,1.129e+09,3.095e+09,1.403e+09,8.29e+08,6.52e+08,1.77e+08,1.61e+08,4.13e+08,4.498e+09,5.627e+09,1.746e+09,3.88e+08,-2000000.00000001,2.132e+09,2.132e+09,7.759e+09,8999999.99999952,1.17e+08,5000000.00000048,-4.5e+07,86000000.0000001,-2.1e+07,-2.1e+07,-2.1e+07,-2.2e+07,-1.2e+07,-6e+06,-1.8e+07,4.6e+07,4.6e+07,-3e+06,4.3e+07,1.74e+08,3.124e+09,1.11e+08,0.55149,0.07724,0.0122,0.00422,0.00115999999999999,12.33333,1.31267,2.63931,0.40263,0.0815999999999995,0.08094,6.69084,19.3291,1.00635,0.00135,0.01667,13.68391,41.77193
"7","2019_Q3",11.7475,"Down",7.09e+08,-3.23e+08,3.86e+08,-3.44e+08,-2.51e+08,-5.2e+07,-4.1e+07,4.2e+07,-5.7e+07,-5.8e+07,1e+06,-1.5e+07,-4e+06,-1.9e+07,6e+06,-1.3e+07,-1.3e+07,-1.3e+07,-1.3e+07,7.35e+08,7.35e+08,3e+08,3e+08,6.6e+07,4.09e+08,4.09e+08,1.51e+09,2.36e+08,5.961e+09,3.066e+09,2.764e+09,2.6e+07,1.05e+08,6.197e+09,7.707e+09,2.75e+08,2.75e+08,8.02e+08,8.02e+08,1.106e+09,3.093e+09,1.373e+09,7.96e+08,6.22e+08,1.74e+08,1.6e+08,4.17e+08,4.466e+09,5.572e+09,1.751e+09,3.78e+08,6e+06,2.135e+09,2.135e+09,7.707e+09,-1.3e+07,1.08e+08,1.8e+07,-7.6e+07,3.7e+07,-2.6e+07,-2.6e+07,-2.6e+07,-2.6e+07,-1.1e+07,-1e+07,-2.1e+07,-1e+07,-1e+07,2e+06,-8e+06,1.5e+08,3.122e+09,4.2e+07,0.54443,0.05924,-0.01834,-0.00609,-0.00169,-3.23077,1.36528,2.60984,0.40509,-0.11743,-0.1184,6.4047,19.28636,0.3794,-0.00196,0.00633,15.91333,56.83333
"8","2019_Q4",12.27796875,"Up",7.17e+08,-3.27e+08,3.9e+08,-3.43e+08,-2.53e+08,-4.9e+07,-4.1e+07,4.7e+07,-4.7e+07,-5.9e+07,1.2e+07,-7.45058059692383e-09,-6.6e+08,-6.6e+08,2.7e+07,-6.33e+08,-6.33e+08,-6.33e+08,-6.33e+08,7.29e+08,7.29e+08,2.76e+08,2.76e+08,7.1e+07,4.55e+08,4.55e+08,1.531e+09,2.43e+08,5.217e+09,2.978e+09,2.105e+09,2.5e+07,1.09e+08,5.46e+09,6.991e+09,2.92e+08,2.92e+08,7.62e+08,7.62e+08,1.083e+09,3.091e+09,1.347e+09,8e+08,6.19e+08,1.81e+08,1.2e+08,4.27e+08,4.438e+09,5.521e+09,1.757e+09,-2.55e+08,-3.2e+07,1.47e+09,1.47e+09,6.991e+09,-6.33e+08,1.1e+08,6.32e+08,-5.7e+07,5.2e+07,-3.7e+07,-3.7e+07,-3.7e+07,-4.7e+07,-1.1e+07,-1e+06,-1.2e+07,-7e+06,-7e+06,2e+06,-5e+06,1.57e+08,3.12e+09,3.6e+07,0.54393,0.06555,-0.88285,-0.43061,-0.09054,-0.05687,1.41367,3.75578,0.44629,-5.69757,-5.69757,6.45365,13.23132,0.32403,-0.10662,0.00606,15.2293,50.87234
"9","2020_Q1",11.8793548387097,"Down",7.23e+08,-3.31e+08,3.92e+08,-3.3e+08,-2.4e+08,-5e+07,-4e+07,6.2e+07,-5.4e+07,-6e+07,6e+06,8e+06,-1e+07,-2e+06,-3.2e+07,-3.4e+07,-3.4e+07,-3.4e+07,-3.4e+07,7.52e+08,7.52e+08,3.14e+08,3.14e+08,6.3e+07,4.16e+08,4.16e+08,1.545e+09,2.55e+08,5.15e+09,2.891e+09,2.103e+09,3.5e+07,1.21e+08,5.405e+09,6.95e+09,2.91e+08,2.91e+08,7.79e+08,7.79e+08,1.099e+09,3.09e+09,1.461e+09,9.59e+08,7.59e+08,2e+08,7.2e+07,4.3e+08,4.551e+09,5.65e+09,1.762e+09,-2.89e+08,-1.73e+08,1.3e+09,1.3e+09,6.95e+09,-3.4e+07,1.08e+08,-1.6e+07,8e+06,6.6e+07,-2.9e+07,-2.9e+07,-2.9e+07,-2.9e+07,-9e+06,-1e+06,-1e+07,2.7e+07,2.7e+07,-5e+06,2.2e+07,1.7e+08,3.119e+09,1.81e+08,0.54219,0.08575,-0.0470299999999998,-0.02615,-0.00489,-5.32353,1.40582,4.34615,0.44878,-0.30603,-0.30603,6.50765,11.70117,1.62916,-0.00578,0.03078,13.92353,38.17742
"10","2020_Q2",11.5215873015873,"Down",7.15e+08,-3.21e+08,3.94e+08,-3.76e+08,-2.83e+08,-5.2e+07,-4.1e+07,1.8e+07,-4.4e+07,-5.8e+07,1.4e+07,-2.6e+07,-2999999.99999988,-2.9e+07,-2.5e+07,-53999999.9999999,-53999999.9999999,-53999999.9999999,-53999999.9999999,7.66e+08,7.66e+08,2.81e+08,2.81e+08,6.1e+07,5.34e+08,5.34e+08,1.642e+09,2.54e+08,5.265e+09,2.809e+09,2.107e+09,3.4e+07,3.15e+08,5.519e+09,7.161e+09,2.72e+08,2.72e+08,8.94e+08,8.94e+08,1.166e+09,2.877e+09,1.879e+09,9.58e+08,7.59e+08,1.99e+08,6.5e+07,8.56e+08,4.756e+09,5.922e+09,1.619e+09,-3.43e+08,-1.63e+08,1.239e+09,1.239e+09,7.161e+09,-5.4e+07,1.07e+08,-8e+06,-3.3e+07,1.2e+07,-2.6e+07,-2.6e+07,-2.6e+07,2.68e+08,-2.53e+08,-7e+06,-2.71e+08,8999999.99999999,8999999.99999999,5e+06,1.4e+07,1.25e+08,2.877e+09,9.1e+07,0.55105,0.02517,-0.07552,-0.0435800000000001,-0.00753999999999999,-1.68519,1.40823,4.77966,0.40176,-0.495410000000001,-0.49541,6.55963,10.21101,0.83486,-0.00901,0.01518,16.888,117.27778
