"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.8253968253968,"Up",1.1318e+10,-7.229e+09,4.089e+09,-2.883e+09,-2.85e+09,-3.3e+07,1.206e+09,-6.24e+08,5.82e+08,5.82e+08,-3.33e+08,2.49e+08,1.893e+09,-1e+07,1.883e+09,1.883e+09,3.878e+09,3.878e+09,5.097e+09,7.401e+09,7.401e+09,1.6376e+10,1.3896e+10,6.5437e+10,2.5648e+10,3.7119e+10,8.39e+08,1.4e+08,1.691e+09,7.9333e+10,9.5709e+10,8.799e+09,5.422e+09,3.377e+09,1.524e+09,5.258e+09,5.258e+09,1.5581e+10,2.9496e+10,1.6138e+10,5.443e+09,2.565e+09,2.878e+09,7.561e+09,3.134e+09,4.5634e+10,6.1215e+10,3.0915e+10,-8.286e+09,1.5971e+10,-4.422e+09,3.4178e+10,3.16e+08,3.4494e+10,9.5709e+10,1.893e+09,3.13e+08,-1.606e+09,-6.05e+08,-5e+06,-2.41e+08,-6.13e+09,-6.53e+08,8.718e+09,-7.2e+07,7.993e+09,1.858e+09,1.858e+09,-8.1e+07,1.777e+09,1.519e+09,3.102e+10,1.006e+09,0.36128,0.10656,0.16637,0.05459,0.01967,0.53425,1.05102,1.77466,0.32411,1.16667,1.16235,7.01239,21.17596,0.6233,0.40458,5.9895392687298,0.03106,0.01232,0.34679,17.86833,22.5058
"2","2010_Q3",15.083125,"Up",1.2253e+10,-7.559e+09,4.694e+09,-2.993e+09,-2.933e+09,-6e+07,1.701e+09,-4.39e+08,1.262e+09,1.262e+09,-3.23e+08,9.39e+08,9.39e+08,-2e+06,9.37e+08,9.37e+08,2.854e+09,2.854e+09,5.167e+09,6.402e+09,6.402e+09,1.4423e+10,1.3047e+10,6.412e+10,2.523e+10,3.6439e+10,8.28e+08,1.62e+08,1.461e+09,7.7167e+10,9.159e+10,7.923e+09,4.913e+09,3.01e+09,9.27e+08,4.919e+09,4.919e+09,1.3769e+10,2.9103e+10,1.5359e+10,5.376e+09,2.466e+09,2.91e+09,7.353e+09,2.63e+09,4.4462e+10,5.8231e+10,3.1131e+10,-8.266e+09,1.6393e+10,-5.959e+09,3.3299e+10,6e+07,3.3359e+10,9.159e+10,9.39e+08,3.66e+08,-1.63e+08,-3.58e+08,7.84e+08,-3.67e+08,-6.49e+08,-5.03e+08,-615000000.000002,1.18e+08,-1e+09,-8.65e+08,-8.65e+08,-1.59e+08,-1.024e+09,2.067e+09,3.003e+10,1.665e+09,0.38309,0.13882,0.07647,0.02809,0.01023,1.77695,1.0475,1.74559,0.32787,0.53604,0.53482,7.00973,19.04977,0.95252,0.28776,4.06108760998922,0.01829,0.02114,0.53682,13.14756,15.97648
"3","2010_Q4",15.8846875,"Up",1.1863e+10,-7.542e+09,4.321e+09,-2.802e+09,-2.758e+09,-4.4e+07,1.519e+09,-4.33e+08,1.086e+09,1.086e+09,-3.26e+08,7.6e+08,7.6e+08,-6e+06,7.54e+08,7.54e+08,2.288e+09,2.288e+09,5.735e+09,6.9e+09,6.9e+09,1.4923e+10,1.371e+10,6.4987e+10,2.5476e+10,3.6764e+10,9.01e+08,1.95e+08,1.651e+09,7.8697e+10,9.362e+10,8.274e+09,5.13e+09,3.144e+09,4.64e+08,4.888e+09,4.888e+09,1.3626e+10,2.9571e+10,1.5441e+10,5.334e+09,2.424e+09,2.91e+09,6.992e+09,3.115e+09,4.5012e+10,5.8638e+10,3.1181e+10,-8.202e+09,1.6621e+10,-4.72e+09,3.488e+10,1.02e+08,3.4982e+10,9.362e+10,7.6e+08,3.4e+08,4.36e+08,-1.091e+09,4.45e+08,-3.99e+08,-3.2e+07,-5.08e+08,-4.62e+08,-1.35e+08,-1.105e+09,-6.92e+08,-6.92e+08,1.26e+08,-5.66e+08,1.859e+09,3.0035e+10,6.95e+08,0.36424,0.12805,0.06356,0.02155,0.00805,0.92175,1.09519,1.67623,0.32082,0.43234,0.42987,6.80218,20,0.39851,0.29128,3.14790785374596,0.01569,0.00864,0.67374,14.92577,18.26662
"4","2011_Q1",16.0258064516129,"Up",-3.945e+09,2.713e+09,-1.232e+09,-6.98e+08,-5.99e+08,-9.9e+07,-1.93e+09,-2.74e+08,-2.204e+09,-2.204e+09,9.28e+08,-1.276e+09,5.47e+08,-7e+06,5.4e+08,5.4e+08,2.481e+09,2.481e+09,5.31e+09,7.532e+09,7.532e+09,1.5323e+10,1.3792e+10,6.6174e+10,2.5963e+10,3.7856e+10,8.98e+08,8.6e+07,1.371e+09,7.9966e+10,9.5289e+10,9.216e+09,5.409e+09,3.807e+09,1.865e+09,4.812e+09,4.812e+09,1.5893e+10,2.6859e+10,1.6595e+10,5.428e+09,2.382e+09,3.046e+09,7.984e+09,3.183e+09,4.3454e+10,5.9347e+10,3.1231e+10,-8.126e+09,1.6619e+10,-3.89e+09,3.5834e+10,1.08e+08,3.5942e+10,9.5289e+10,5.47e+08,4.21e+08,5.52e+08,1.004e+09,2.524e+09,-6.46e+08,-6.51e+08,-5.11e+08,-1.206e+09,1.7e+07,-1.7e+09,1.73e+08,1.73e+08,2e+07,1.93e+08,-1.509e+09,2.8724e+10,-2.079e+09,0.31229,0.48923,-0.13688,0.01502,0.00567,-3.85,0.96414,1.65119,0.30144,0.30787,0.30787,-2.24914,20.42987,-1.18529,0.29133,3,0.01293,-0.02558,0.9463,-17.39099,-13.59741
"5","2011_Q2",17.5601587301587,"Up",1.2573e+10,-7.937e+09,4.636e+09,-2.99e+09,-2.933e+09,-5.7e+07,1.646e+09,-4.46e+08,1.2e+09,1.2e+09,-3.98e+08,8.02e+08,8.02e+08,-3e+06,7.99e+08,7.99e+08,2.088e+09,2.088e+09,6.116e+09,8.356e+09,8.356e+09,1.656e+10,1.4003e+10,6.7706e+10,2.6351e+10,3.8592e+10,9.69e+08,1.17e+08,1.677e+09,8.1709e+10,9.8269e+10,9.622e+09,5.535e+09,4.087e+09,5.757e+09,4.4e+09,4.4e+09,1.9779e+10,2.4288e+10,1.6703e+10,4.933e+09,1.881e+09,3.052e+09,8.252e+09,3.518e+09,4.0991e+10,6.077e+10,3.1182e+10,-7.933e+09,1.6876e+10,-2.744e+09,3.7381e+10,1.18e+08,3.7499e+10,9.8269e+10,8.02e+08,3.72e+08,-1.03e+08,-2.057e+09,-9.86e+08,-2.37e+08,-2.44e+08,-5.07e+08,1.061e+09,2.41e+08,7.95e+08,-4.35e+08,-4.35e+08,4.2e+07,-3.93e+08,2.018e+09,3.0045e+10,1.22e+08,0.36873,0.13092,0.06355,0.02131,0.00813,0.15269,0.83725,1.62058,0.30574,0.45553,0.45398,7.16819,21.31186,0.06956,0.28905,3.36736404875135,0.0155,0.00145,0.63454,13.85382,16.98481
"6","2011_Q3",18.07703125,"Up",1.3878e+10,-9.007e+09,4.871e+09,-3.065e+09,-3.008e+09,-5.7e+07,1.806e+09,-4.41e+08,1.365e+09,1.365e+09,-3.89e+08,9.76e+08,9.76e+08,-4.65661287307739e-10,9.76e+08,9.76e+08,2.267e+09,2.267e+09,6.414e+09,7.896e+09,7.896e+09,1.6577e+10,1.4216e+10,6.8234e+10,2.6509e+10,3.9063e+10,9.19e+08,1.53e+08,1.59e+09,8.245e+10,9.9027e+10,9.261e+09,5.308e+09,3.953e+09,6.16e+09,4.859e+09,4.859e+09,2.028e+10,2.342e+10,1.6216e+10,4.837e+09,1.836e+09,3.001e+09,7.993e+09,3.386e+09,3.9636e+10,5.9916e+10,3.124e+10,-7.545e+09,1.73e+10,-2.004e+09,3.8991e+10,1.2e+08,3.9111e+10,9.9027e+10,9.76e+08,3.7e+08,3.4e+07,-9.8e+07,1.282e+09,-4.18e+08,-3.81e+08,-5.1e+08,-5.66e+08,3.21e+08,-7.55e+08,1.46e+08,1.46e+08,3.3e+07,1.79e+08,2.176e+09,2.958e+10,2.049e+09,0.35099,0.13013,0.07033,0.02495,0.00986,2.09939,0.81741,1.53195,0.29871,0.55329,0.5511,7.86735,22.10374,1.16156,0.28912,4,0.0175,0.02413,0.52254,12.55193,15.12348
"7","2011_Q4",18.6933333333333,"Up",1.3226e+10,-8.611e+09,4.615e+09,-2.917e+09,-2.866e+09,-5.1e+07,1.698e+09,-4.25e+08,1.273e+09,1.273e+09,-3.46e+08,9.27e+08,9.27e+08,-5e+06,9.22e+08,9.22e+08,1.976e+09,1.976e+09,6.399e+09,7.981e+09,7.981e+09,1.6356e+10,1.3856e+10,6.562e+10,2.5416e+10,3.7592e+10,9.73e+08,1.69e+08,1.47e+09,7.9476e+10,9.5832e+10,9.337e+09,5.293e+09,4.044e+09,5.739e+09,5.284e+09,5.284e+09,2.036e+10,2.3139e+10,1.5633e+10,4.772e+09,1.777e+09,2.995e+09,7.58e+09,3.281e+09,3.8772e+10,5.9132e+10,3.1279e+10,-7.518e+09,1.7695e+10,-4.864e+09,3.6592e+10,1.08e+08,3.67e+10,9.5832e+10,9.27e+08,3.75e+08,-2.17e+08,2.84e+08,1.369e+09,-6.26e+08,-6.19e+08,-5.18e+08,-3.25e+08,-4e+07,-8.83e+08,-1.33e+08,-1.33e+08,-1.58e+08,-2.91e+08,2.073e+09,2.8878e+10,2.077e+09,0.34893,0.12838,0.06971,0.02512,0.00962,2.25271,0.80334,1.61123,0.30134,0.52061,0.51885,7.4681,20.66177,1.17278,0.29249,5,0.01773,0.02558,0.56182,12.97733,15.84335
"8","2012_Q1",20.3001612903226,"Up",-3.867e+09,2.845e+09,-1.022e+09,-6.3e+08,-5.75e+08,-5.5e+07,-1.652e+09,-3.06e+08,-1.958e+09,-1.958e+09,1.017e+09,-9.41e+08,8.69e+08,-1.2e+07,8.57e+08,8.57e+08,1.974e+09,1.974e+09,5.706e+09,7.61e+09,7.61e+09,1.529e+10,1.3813e+10,6.4734e+10,2.5186e+10,3.7297e+10,9.12e+08,3.1e+07,1.308e+09,7.8547e+10,9.3837e+10,9.753e+09,5.525e+09,4.228e+09,3.836e+09,4.856e+09,4.856e+09,1.8445e+10,2.3095e+10,1.6969e+10,6.835e+09,3.597e+09,3.238e+09,6.738e+09,3.396e+09,4.0064e+10,5.8509e+10,3.1318e+10,-7.476e+09,1.8012e+10,-6.637e+09,3.5217e+10,1.11e+08,3.5328e+10,9.3837e+10,8.69e+08,3.68e+08,1.98e+08,1.42e+09,2.855e+09,-4.47e+08,-4.84e+08,-5.08e+08,-1.813e+09,-1.1e+07,-2.332e+09,3.9e+07,3.9e+07,-4.1e+07,-1999999.99999988,-1.284e+09,2.6931e+10,-1.328e+09,0.26429,0.4272,-0.22162,0.02426,0.00913,-1.54959,0.82895,1.65617,0.287,0.48391,0.48146,-2.18351,19.88538,-0.74986,0.28684,6,0.01723,-0.01676,0.59277,-19.43692,-15.10714
"9","2012_Q2",20.5839682539683,"Up",8.667e+09,-5.472e+09,3.195e+09,-2.292e+09,-2.192e+09,-1e+08,9.03e+08,-4.87e+08,4.16e+08,4.16e+08,-7.7e+07,3.39e+08,8.19e+08,-6e+06,8.13e+08,8.13e+08,1.852e+09,1.852e+09,6.286e+09,8.575e+09,8.575e+09,1.6713e+10,1.4084e+10,6.585e+10,2.5602e+10,3.794e+10,9.8e+08,3.3e+07,1.295e+09,7.9934e+10,9.6647e+10,9.495e+09,5.545e+09,3.95e+09,5.143e+09,4.66e+09,4.66e+09,1.9298e+10,2.3198e+10,1.706e+10,6.799e+09,3.54e+09,3.259e+09,6.901e+09,3.36e+09,4.0258e+10,5.9556e+10,3.1246e+10,-7.337e+09,1.8298e+10,-5.242e+09,3.6965e+10,1.26e+08,3.7091e+10,9.6647e+10,8.19e+08,3.57e+08,1e+07,-2.037e+09,-8.51e+08,-3.35e+08,-2.44e+08,-5.14e+08,1.297e+09,1.34e+08,9.17e+08,-1.78e+08,-1.78e+08,5.6e+07,-1.22e+08,1.26e+09,2.8341e+10,-1.035e+09,0.36864,0.10419,0.0938,0.02192,0.00841,-1.27306,0.86605,1.60567,0.29324,0.45854,0.45597,4.88832,20.84884,-0.58376,0.2899,4,0.01609,-0.01255,0.63223,21.02302,29.33444
"10","2012_Q3",21.8090476190476,"Up",8.527e+09,-5.316e+09,3.211e+09,-2.274e+09,-2.194e+09,-8e+07,9.37e+08,-3.44e+08,5.93e+08,5.93e+08,-1.03e+08,4.9e+08,1.034e+09,-5e+06,1.029e+09,1.029e+09,4.643e+09,4.643e+09,6.165e+09,7.778e+09,7.778e+09,1.8586e+10,1.3757e+10,6.4771e+10,2.4981e+10,3.7147e+10,1.245e+09,3.2e+07,1.366e+09,7.8528e+10,9.7114e+10,8.887e+09,5.161e+09,3.726e+09,2.168e+09,4.999e+09,4.999e+09,1.6054e+10,2.8081e+10,1.6731e+10,6.606e+09,3.367e+09,3.239e+09,6.807e+09,3.318e+09,4.4812e+10,6.0866e+10,3.13e+10,-7.283e+09,1.88e+10,-6.684e+09,3.6133e+10,1.15e+08,3.6248e+10,9.7114e+10,1.034e+09,3.52e+08,8.2e+07,5.91e+08,2.059e+09,-4.05e+08,-4e+08,-5.11e+08,1.999e+09,-2.79e+08,1.209e+09,2.868e+09,2.868e+09,-7.7e+07,2.791e+09,1.289e+09,3.0249e+10,1.578e+09,0.37657,0.10989,0.12068,0.02839,0.0106,1.53353,1.15772,1.67915,0.31148,0.57907,0.57615,4.79854,20.33371,0.88801,0.28756,6,0.0185,0.01896,0.4966,19.86501,27.32764
