"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",16.0709523809524,"Down",103616000,-73629000,29987000,-15018000,-9467000,-5551000,14969000,-758000,-922000,164000,14211000,14211000,-6710000,7501000,7501000,7501000,7501000,892385791.296133,914807655.050173,-286435365.351162,-286435365.351162,88111927.6546282,79607416.2676255,694062353.599599,-8979704.50175644,-241755973.34287,59872681.5689994,-312562401.368248,1940615.08901012,-250735677.844627,443326675.754973,-120466732.611627,-179493298.141149,59026565.5295223,-1339381.00514598,-1339381.00514598,-99581004.9536229,4457280.32983748,3233499.05197649,477437003.006168,377855998.052545,711945170.576435,85810833.0534362,1796054.00241231,65470677.7024273,65470677.7024273,443326675.754973,7501000,5897000,2988000,-7542000,8844000,-902000,-390000,-35418000,2095000,2095000,287000,-1883000,-28457000,-28457000,-19000,-28476000,20866000,0,19132000,0.28941,0.14447,0.07239,0.0342102413277649,0.0168349671638976,2.55059,17.3611317337759,1.42002027528532,0.963915025561502,0.16633,0.15922,2.29757,0.88718333195733,0.42423,0.0156929143729036,0.489011687326937,-25.3401852940483,-49.8815154940341
"2","2011_Q3",11.7915625,"Down",97582000,-70662000,26920000,-15541000,-9608000,-5933000,11379000,-1060000,-981000,-79000.0000000001,10319000,10319000,-3391000,6928000,6928000,6928000,6928000,491326895.648067,484766327.525087,-102385682.675581,-102385682.675581,49825963.8273141,40451208.1338127,438767176.7998,487147.749121779,40774013.3285649,132540840.7845,-100641200.684124,1434807.54450506,41261161.0776867,480028337.877486,-17724866.3058136,-67549149.0705747,49824282.7647612,1224809.49742701,1224809.49742701,-5692002.47681147,4066640.16491874,3454749.52598825,266308501.503084,260616499.026273,438801585.288217,93348416.5267181,664027.001206153,219411838.851214,219411838.851214,480028337.877486,6928000,6723000,-1337000,8560000,20874000,-2045000,-496000,-74065000,7519000,7519000,5025000,32723000,-20468000,-20468000,-5000,-20473000,18102000,0,28008000,0.27587,0.11661,0.071,0.0257701206638825,0.0146424835819488,4.04273,9.59324086688795,0.901670137642661,0.532792512780751,0.15108,0.14083,2.12792,4.55757666597867,0.61075,0.0151664571864518,0.253445843663468,-13.4925026470241,-25.607472747017
"3","2011_Q4",10.1474603174603,"Down",107705000,-78578000,29127000,-17048000,-10212000,-6836000,12079000,-1e+06,-1066000,66000,11079000,11079000,-4740000,6339000,6339000,6339000,6339000,266081631.882689,241158109.175029,2135105.77480631,2135105.77480631,27045321.2757714,17086402.7112709,295262058.933267,6129715.91637393,205899671.109522,181622946.928167,16738599.7719587,1143935.84816835,212029387.025896,507291445.959162,36639044.5647288,-4259716.35685823,40898760.921587,2352603.165809,2352603.165809,46788665.8410628,4099880.05497291,3857249.84199608,149200500.501028,195989166.342091,300911861.762739,100703805.508906,164009.000402051,311302279.617071,311302279.617071,507291445.959162,6339000,7632000,2523000,12365000,28859000,-1483000,-436000,-13537000,2966000,2966000,1432000,2534000,17856000,17856000,7000,17863000,19711000,0,35333000,0.27043,0.11215,0.05886,0.0210700402212942,0.0134241611939829,5.57391,5.24001695562932,0.606490045880887,0.296754170926917,0.13547,0.12529,2.30178,6.63273555532622,0.75511,0.0147921523954839,0.116041947887823,-6.67715088234138,-11.9014342490057
"4","2012_Q1",10.1788709677419,"Up",94118000,-69122000,24996000,-14334000,-8491000,-5843000,10662000,-1170000,-1075000,-95000,9492000,9492000,-3046000,6446000,6446000,6446000,6446000,167217000,132290000,48225000,48225000,16026000,5773000,231468000,8875000,284581000,211856000,65847000,1012000,293456000,524924000,56538000,23300000,33238000,2531000,2531000,69107000,4418000,4360000,100428000,169535000,255739000,107378000,51000,355389000,355389000,524924000,6446000,7020000,2382000,3746000,19594000,-933000,-1034000,-11849000,4130000,4130000,714000,-196000,7549000,7549000,57000,7606000,17682000,106048000,23541000,0.26558,0.11328,0.06849,0.01814,0.01228,3.65203,3.34941,0.47704,0.20203,0.13674,0.1299,1.99656,7.53901,0.49938,0.01384,0.05053,-3.45939,-5.7371
"5","2012_Q2",9.33650793650794,"Down",101224000,-75748000,25476000,-15325000,-9251000,-6074000,10151000,-1076000,-1045000,-31000,9075000,9075000,-3581000,5494000,5494000,5494000,5494000,145300000,106469000,56982000,56982000,13024000,2771000,215306000,9650000,307778000,227977000,72954000,983000,317428000,532734000,55885000,28055000,27830000,2247000,2247000,72509000,4882000,4882000,94306000,166815000,260746000,112872000,80000,365919000,365919000,532734000,5494000,7108000,3618000,-5543000,10677000,-753000,-531000,-35665000,1817000,1817000,-149000,-858000,-25846000,-25846000,25000,-25821000,17259000,103801000,14544000,0.25168,0.10028,0.05428,0.01501,0.01031,2.64725,2.96937,0.45588,0.19485,0.11565,0.11218,2.13081,7.70275,0.30616,0.01158,0.03064,-2.40448,-4.08817
"6","2012_Q3",8.96047619047619,"Down",90523000,-68396000,22127000,-13635000,-8533000,-5102000,8492000,-1172000,-1079000,-93000,7320000,7320000,-2887000,4433000,4433000,4433000,4433000,144503000,105557000,50551000,50551000,14360000,4107000,209414000,9453000,310149000,235157000,68117000,1014000,319602000,529016000,5e+07,24056000,25944000,2096000,2096000,68568000,5261000,5261000,102861000,171429000,264561000,117305000,83000,357587000,357587000,529016000,4433000,7517000,4023000,-1705000,14268000,-631000,-521000,-2625000,-15186000,370000,-1386000,-12558000,-915000,-915000,3000,-912000.000000004,16009000,114072000,16560000,0.24444,0.09381,0.04897,0.0124,0.00838,3.73562,3.05411,0.47941,0.21563,0.09426,0.09253,1.92492,7.60387,0.35214,0.0093,0.03472,-1.90087,-3.58349
"7","2012_Q4",6.69225806451613,"Down",93023000,-72278000,20745000,-14702000,-9633000,-5069000,6043000,-1077000,-1080000,3000,4966000,4966000,-2093000,2873000,2873000,2873000,2873000,115393000,77861000,50030000,50030000,16290000,6041000,181713000,9211000,322654000,238133000,77606000,1049000,331865000,513578000,52796000,24228000,28568000,2565000,2565000,68530000,5416000,5416000,100408000,168938000,224647000,120178000,-185000,344640000,344640000,513578000,2873000,8032000,5337000,1190000,17432000,-633000,-665000,-23727000,-19698000,1339000,-35000,-21402000,-27697000,-27697000,1000,-27696000,14075000,108161000,16725000,0.22301,0.06496,0.03088,0.00834,0.00559,5.82144,2.65158,0.49019,0.2106,0.06393,0.06264,2.06989,7.66872,0.37215,0.00627,0.0365,-0.51382,-1.19676
"8","2013_Q1",6.06783333333333,"Down",85698000,-67044000,18654000,-14838000,-10032000,-4806000,3816000,-1045000,-1124000,79000,2771000,2771000,-2570000,201000,201000,201000,201000,105267000,68531000,52830000,52830000,15439000,7774000,173536000,8755000,324869000,243049000,72444000,930000,333624000,507160000,52332000,22870000,29462000,2553000,2553000,70314000,6322000,6273000,98489000,168803000,220595000,120379000,-1439000,338357000,338357000,507160000,201000,8493000,502999.999999999,-5199000,3998000,-251000,-632000,-4537000,-6183000,1172000,-20000.0000000001,-8629000,-9168000,-9168000,-162000,-9330000,12309000,107596000,9429000,0.21767,0.04453,0.00235000000000002,0.00059,4e-04,46.91045,2.46801,0.49889,0.21215,0.00457999999999999,0.00449999999999998,1.95163,7.70552,0.21473,0.00044,0.02085,0.18921,0.61032
"9","2013_Q2",7.11703125,"Up",78626000,-65190000,13436000,-12510000,-7617000,-4893000,926000,-938000,-984000,46000,-12000,-12000,-125000,-137000,-137000,-137000,-137000,103593000,64448000,44912000,44912000,15445000,7783000,163950000,8430000,317924000,242955000,65645000,878000,326354000,490304000,42398000,20074000,22324000,2243000,2243000,58264000,7001000,7001000,96181000,154445000,217342000,120243000,-1726000,335859000,335859000,490304000,-137000,8279000,2505000,-276000,10371000,-291000,-651000,-3655000,-5921000,236000,-77000,-10816000,-4100000,-4100000,17000,-4083000,9205000,102803000,8763000,0.17088,0.01178,-0.00174,-0.000410000000000001,-0.000280000000000007,-63.9635,2.81392,0.45985,0.20967,-0.0032,-0.0032,1.83654,7.84497,0.20469,-0.000310000000000001,0.01966,-0.0858200000000001,-0.85313
"10","2013_Q3",9.1925,"Up",71751000,-61712000,10039000,-104369000,-7515000,-4504000,-94330000,-1330000,-1326000,-4000,-95660000,-95660000,32169000,-63491000,-63491000,-63491000,-63491000,107768000,68323000,41196000,41196000,20051000,12389000,169015000,8012000,250345000,150432000,61726000,824000,258357000,427372000,43370000,18506000,24864000,1955000,1955000,59949000,6822000,6822000,91859000,151808000,220388000,56751000,-1575000,275564000,275564000,427372000,-63491000,10179000,95734000,-31154000,11268000,-3030000,-606000,-4246000,32999.9999999981,33000,-21000,-3142000,3880000,3880000,-5000,3875000,-84151000,99661000,-150504000,0.13991,-1.31469,-0.88488,-0.2304,-0.14856,2.37047999999999,2.81931,0.5509,0.23319,-1.4842,-1.4842,1.67729,6.44172,-3.51826,-0.16619,-0.39394,0.09634,0.08594
