"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",119.0828125,"Down",-19415000,-5882000,-13533000,-9532000,7000,7000,-9525000,-26260000,-26260000,-26260000,-26260000,-26260000,465867000,465867000,2515000,2515000,469596000,2122000,833000,833000,2955000,472551000,14109000,3961000,10148000,17754000,17754000,31863000,2e+08,2e+08,2e+08,231863000,345207000,-104519000,240688000,240688000,472551000,-26260000,126000,19500000,188830000,182196000,-851000,-851000,151241000,151241000,151538000,332883000,332883000,332883000,-9406000,0,-0.1091,-0.05557,14.73797,0.96333,0,-2.49367,-2.49367,22.85591,-0.05959,49.52871,48.874
"2","2015_Q4",135.8171875,"Up",-18721000,-6908000,-11813000,425000,142000,-14000,566999.999999998,567000,567000,567000,567000,567000,445948000,180991000,3494000,3494000,452589000,2454000,347000,347000,5265000.00000001,457854000,13368000,4413000,8955000,19732000,19732000,33100000,181537000,181537000,181537000,214637000,347094000,-103952000,243217000,243217000,457854000,567000,162000,2052000,-18752000,-15971000,-651000,-268164000,-741000,-741000,-740999.99999994,-284876000,-284876000,-284876000,587000,0,0.00233,0.00124,13.67338,0.88249,0,0.0455199999999998,0.0395300000000001,19.52784,0.00132999999999999,-759.70698,-1049.28941
"3","2016_Q1",80.8868852459016,"Down",-31551000,-8805000,-22657000,2825000,176000,-162000,3001000,3001000,3100000,3100000,3100000,3100000,415654000,150456000,4004000,4004000,424504000,3986000,37944000,75000,57321000,481825000,16020000,5086000,10934000,15046000,15046000,31066000,189137000,181787000,189137000,220203000,362813000,-100852000,261622000,261622000,481825000,3100000,342000,3758000,-10144000,-2944000,-358000,-28659000,1068000,1068000,1068000,-30535000,-30535000,-30535000,3167000,0,0.01185,0.00643,13.66459,0.84168,0,0.24416,0.28688,20.60598,0.00688,-131.24534,-147.13416
"4","2016_Q2",60.76125,"Down",-30063000,-8999000,-20927000,-26033000,432000,-22000,-25601000,-25601000,-28827000,-28827000,-28827000,-28827000,401981000,120133000,9723000,9723000,413571000,5548000,42414000,3177000,54441000,468012000,26047000,5226000,20821000,15046000,15046000,41093000,186642000,178802000,186642000,227735000,369015000,-129679000,240277000,240277000,468012000,-28827000,494000,1815000,3155000,-23363000,-1365000,-9420000,299000,299000,2460000,-30323000,-30323000,-30323000,-25539000,0,-0.11997,-0.06159,10.06427,0.9478,0,-2.25908,-2.25908,18.82978,-0.06752,15.7398900000001,15.44121
"5","2016_Q3",70.69171875,"Up",-35722000,-8700000,-26882000,3257000,511000,-9000,3768000,3768000,2296000,2296000,2296000,2296000,393353000,105938000,13078000,13078000,407815000,17227000,41446000,3215000,62239000,470054000,24735000,2398000,22337000,15171000,15171000,39906000,184209000,176830000,184209000,224115000,372930000,-127383000,245939000,245939000,470054000,2296000,522000,3796000,-8673000,-2059000,-9171000,-12726000,566000,566000,590000,-14195000,-14195000,-14195000,3779000,0,0.00934,0.00488,10.21939,0.91126,0,0.17816,0.16062,19.0843,0.00534,-104.08918,-120.77157
"6","2016_Q4",60.4952380952381,"Down",-27740000,-8556000,-19046000,-23946000,565000,-1000,-23381000,-23381000,-35051000,-35051000,-35051000,-35051000,369968000,97983000,7199000,7199000,378223000,25931000,45653000,7684000,88763000,466986000,18869000,1908000,16961000,15164000,15164000,34033000,183014000,176146000,183014000,217047000,411523000,-162434000,249939000,249939000,466986000,-35051000,629000,1469000,-2175000,-35128000,-8943000,-7635000,32072000,32072000,34808000,-7955000,-7955000,-7955000,-23317000,0,-0.14024,-0.07506,11.11342,0.8684,0,-2.69068,-2.69068,19.18649,-0.08096,15.86688,15.4501
"7","2017_Q1",56.4879032258064,"Down",-29019000,-8022000,-20863000,-25141000,671000,-8000,-24470000,-24470000,-29566000,-29566000,-29566000,-29566000,347432000,74932000,6194000,6194000,354764000,26384000,42989000,1185000,83847000,438611000,15580000,2206000,13374000,15052000,15052000,30632000,180759000,174890000,180759000,211391000,420904000,-1.92e+08,227220000,227220000,438611000,-29566000,907000,-2072000,5205000,-25526000,-4408000,-2284000,5704000,5704000,5227000,-22583000,-22583000,-22583000,-24234000,0,-0.13012,-0.06741,11.58148,0.93034,0,-2.19229,-2.44781,16.84817,-0.07247,14.33655,13.81934
"8","2017_Q2",50.1904761904762,"Down",-28982000,-8278000,-20572000,-25210000,646000,-4000,-24564000,-24564000,-21812000,-21812000,-21812000,-21812000,353961000,107068000,5911000,5911000,360920000,26443000,46139000,3906000,74574000,435494000,13838000,2564000,11274000,14983000,14983000,28821000,177656000,171725000,177656000,206477000,444172000,-213812000,229017000,229017000,435494000,-21812000,958000,4331000,-6319000,-22842000,-741000,36982000,17996000,17996000,17996000,32136000,32136000,32136000,-24252000,0,-0.09524,-0.05009,12.52281,0.90158,0,-1.59813,-1.59813,16.77968,-0.05364,14.59513,14.0405
"9","2017_Q3",59.4166666666667,"Up",-29820000,-8245000,-21439000,-23903000,716000,-64000,-23187000,-23187000,-19399000,-19399000,-19399000,-19399000,377243000,183815000,4278000,4278000,384955000,26360000,52244000,8933000,78604000,463559000,13934000,2813000,11121000,14945000,14945000,28879000,176940000,170633000,176940000,205819000,490343000,-233211000,257740000,257740000,463559000,-19399000,969000,7064000,-9904000,-21270000,-712000,54617000,43400000,43400000,43400000,76747000,76747000,76747000,-22934000,0,-0.07527,-0.04185,13.32993,0.79855,0,-1.36418,-1.36418,18.12484,-0.04463,16.44907,15.78224
"10","2017_Q4",43.6547619047619,"Down",-33057000,-8459000,-24453000,-29263000,869000,-129000,-28394000,-28394000,-24520000,-24520000,-24520000,-24520000,345507000,159040000,17106000,4597000,363961000,28280000,44891000,1184000,101170000,465131000,19344000,1479000,17865000,14945000,14945000,34289000,174428000,167947000,174428000,208717000,512444000,-257731000,256414000,256414000,465131000,-24520000,1033000,4823000,-1784000,-20448000,-1929000,-22980000,18118000,18118000,18118000,-25310000,-25310000,-24775000,-28230000,0,-0.09563,-0.05272,10.61451,0.81398,0,-1.63103,-1.63103,17.05621,-0.05691,12.239,11.80696
