"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2018_Q1",42.9,"Up",151829000,-64590000,87239000,-80048000,-64838000,-40844000,-23994000,-15210000,7191000,1637000,1637000,8828000,8828000,-6772000,2056000,2056000,2056000,2056000,253428000,253428000,49932000,49932000,37109000,37109000,340469000,85698000,151609000,34197000,98654000,9761000,8997000,237307000,577776000,65894000,7160000,58734000,179848000,157803000,22045000,245742000,17449000,15963000,17449000,263191000,273030000,145139000,314585000,314585000,577776000,2056000,10542000,13286000,10643000,36527000,-17436000,-17436000,-452000,-1986000,2626000,-1057000,-744000,38409000,38409000,40646000,17733000,0,17712000,0.57459,0.04736,0.01354,0.00654,0.00356,8.61479,1.38547,0.83663,0,0.05927,0.05851,4.37712,9.06925,0.51062,0.00619,0.05334,-14.29132,-35.24239
"22","2018_Q2",43.211875,"Up",153019000,-64490000,88529000,-84040000,-67592000,-40368000,-27224000,-16448000,4489000,802000,802000,5291000,43904000,-11323000,32581000,32581000,32581000,32581000,284882000,284882000,44583000,44583000,33575000,33575000,363040000,88190000,155317000,32180000,89641000,9247000,24249000,243507000,606547000,63748000,8705000,55043000,167173000,139498000,27675000,230921000,18462000,17227000,18462000,249383000,275770000,183903000,357164000,357164000,606547000,32581000,10943000,-34413000,11983000,21094000,-14975000,-14975000,40858000,-14966000,10917000,-4033000,-2848000,29163000,29163000,31454000,15432000,0,23763000,0.57855,0.02934,0.21292,0.09122,0.05372,0.72935,1.57214,0.69823,0,0.93667,0.9225,4.39912,10.26805,0.68316,0.08674,0.06326,-18.46047,-63.46224
"23","2018_Q3",48.2439682539683,"Up",156584000,-67891000,88693000,-83068000,-66340000,-42018000,-24322000,-16728000,5625000,-7019000,-7019000,-1394000,-1394000,1140000,-254000,-254000,-254000,-254000,289841000,289841000,44729000,44729000,27322000,27322000,361892000,84693000,146670000,30259000,87995000,10356000,18060000,231363000,593255000,50948000,4607000,46341000,165056000,139879000,25177000,216004000,18338000,18338000,18338000,234342000,281954000,183649000,358913000,358913000,593255000,-254000,11284000,9867000,-3968000,16929000,-8076000,-8076000,-553000,-48000,-8677000,-939000,-245000,8007000,8007000,4959000,16909000,0,3725000,0.56642,0.03592,-0.00162,-0.00071,-0.00043,-14.66535,1.67539,0.65292,0,-0.00728,-0.00728,4.48498,10.28021,0.10669,-0.00067,0.00987,-17.14123,-51.52729
"24","2018_Q4",39.2846031746032,"Down",151575000,-66461000,85114000,-78415000,-64383000,-41028000,-23355000,-14032000,6699000,217000,217000,6916000,6916000,531000.000000002,7447000,7447000,7447000,7447000,206409000,206409000,45850000,45850000,28331000,28331000,280590000,81183000,151447000,30611000,88802000,13966000,18068000,232630000,513220000,59224000,4022000,55202000,167425000,141412000,26013000,226649000,17973000,17973000,17973000,244622000,287393000,86171000,268598000,268598000,513220000,7447000,11707000,4470000,6870000,30494000,-6495000,-6495000,-2168000,-29000.0000000019,-8692000,-1088000,-105438000,-83636000,-83636000,-83432000,18406000,-6.93889390390723e-18,18250000,0.56153,0.0442,0.04913,0.02773,0.01451,2.45065,1.23799,0.91074,0,0.21283,0.20936,4.33183,7.6762,0.52156,0.39213,0.06368,-11.21422,-30.81191
"25","2019_Q1",40.5865573770492,"Up",162072000,-68829000,93243000,-77604000,-65915000,-43034000,-22881000,-11689000,15639000,1048000,1048000,16687000,16687000,-1774000,14913000,14913000,14913000,14913000,230852000,230852000,41028000,41028000,34841000,34841000,306721000,76188000,148579000,29540000,88576000,12375000,18088000,224767000,531488000,58597000,7212000,51385000,164706000,139604000,25102000,223303000,21518000,21518000,21518000,244821000,292086000,101079000,286667000,286667000,531488000,14913000,11718000,6118000,936000,33685000,-6189000,-6189000,-171000,14985000,-6375000,-1208000,-1208000,26102000,26102000,24443000,27357000,0,23878000,0.57532,0.09649,0.09201,0.05202,0.02806,1.60115,1.37356,0.85403,0,0.42545,0.41565,4.62376,8.17834,0.68122,0.04839,0.07748,-8.4385,-14.7613
"26","2019_Q2",39.9280952380952,"Down",163332000,-69218000,94114000,-86015000,-71029000,-44446000,-26583000,-14986000,8099000,896000,896000,8995000,8995000,-1473000,7522000,7522000,7522000,7522000,240141000,240141000,45449000,45449000,35378000,35378000,320968000,72553000,193976000,29048000,88889000,11636000,64403000,266529000,587497000,58828000,4941000,53887000,173382000,137368000,36014000,232210000,60303000,60303000,60303000,292513000,292836000,108601000,294984000,294984000,587497000,7522000,11916000,4691000,-4420000,19709000,-7253000,-7253000,1955000,11506209.2264495,-5298000,-4090000,-3876000,10535000,10535000,9289000,20015000,0,9815000,0.57621,0.04959,0.04605,0.0255,0.0128,1.30484,1.38223,0.99162,0,0.21422,0.21194,4.65148,8.40075,0.27952,0.02117,0.02763,-11.99805,-29.6507
"27","2019_Q3",35.31203125,"Down",161741000,-68526000,93215000,-90145000,-76551000,-44488000,-32063000,-13594000,3070000,584000,584000,3654000,3654000,-355000,3299000,3299000,3299000,3299000,259069000,259069000,44295000,44295000,29747000,29747000,333111000,68350000,191492000,26532000,88427000,13642000,62891000,259842000,592953000,57166000,3888000,53278000,171652000,137131000,34521000,228818000,60214000,60214000,60214000,289032000,299501000,111900000,303921000,303921000,592953000,3299000,13403000,5737000,4595000,27034000,-6473000,-6473000,-732000,25000.0000000075,-7180000,-1091000,-1087000,18767000,18767000,18928000,16473000,0,14950000,0.57632,0.01898,0.0204,0.01085,0.00556,4.53168,1.45579,0.95101,0,0.09364,0.09292,4.59074,8.62628,0.42433,0.00906,0.04106,-15.72689,-84.3873
"28","2019_Q4",38.595,"Up",159079000,-68635000,90444000,-87261000,-73728000,-45614000,-28114000,-13533000,3183000,465000,465000,3648000,3648000,1286000,4934000,4934000,4934000,4934000,285396000,285396000,46872000,46872000,31709000,31709000,363977000,63155000,190105000,25679000,88034000,13787000,62605000,253260000,617237000,67371000,4186000,63185000,180487000,137511000,42976000,247858000,53126000,53126000,53126000,300984000,308195000,116834000,316253000,316253000,617237000,4934000,11992000,5490000,7861000,30277000,-5821000,-5821000,-619000,-25000,-6465000,-1190000,3188000,2.7e+07,2.7e+07,26327000,15175000,1.77635683940025e-15,15929000,0.56855,0.02001,0.03102,0.0156,0.00799,3.22842,1.46849,0.95172,1.65436122510606e-24,0.13973,0.13883,4.50508,8.95622,0.45111,0.01336,0.04312,-18.80699,-89.66258
"29","2020_Q1",38.498064516129,"Down",166371000,-71797000,94574000,-88771000,-73668000,-47182000,-26486000,-15103000,5803000,2816000,2816000,8619000,8619000,-4266000,4353000,4353000,4353000,4353000,303261000,303261000,47016000,47016000,26703000,26703000,376980000,58834000,194698000,26669000,88974000,14387000,64668000,253532000,630512000,59968000,6104000,53864000,185926000,141922000,44004000,245894000,56473000,56473000,56473000,302367000,313205000,121187000,328145000,328145000,630512000,4353000,12604000,4956000,3713000,25626000,-6534000,-6534000,-1448000,-309000,-8291000,-690000,79000,17414000,17414000,17865000,18407000,0,19852000,0.56845,0.03488,0.02616,0.01327,0.0069,4.56053,1.5331,0.92144,0,0.12268,0.12163,4.68875,9.24795,0.55948,0.01132,0.05161,-16.47531,-52.25935
"30","2020_Q2",34.838253968254,"Down",161285000,-69123000,92162000,-86381000,-73312000,-42660000,-30652000,-13069000,5781000,513000,513000,6294000,6294000,-1976000,4318000,4318000,4318000,4318000,295711000,295711000,45216000,45216000,28769000,28769000,369696000,56896000,188373000,25499000,88144000,14803000,59927000,245269000,614965000,57419000,4125000,53294000,174887000,138883000,36004000,232306000,54932000,54932000,54932000,287238000,317204000,119218000,327727000,327727000,614965000,4318000,10519000,6032000,-14010000,6859000,-7719000,-7719000,-723000,31000,-8411000,-1761000,-7801000,-9353000,-9353000,-10163000,16300000,2.8421709430404e-14,-3453000,0.57142,0.03584,0.02677,0.01318,0.00702,-0.79968,1.59142,0.87646,0,0.12156,0.12034,4.54055,9.22629,-0.09721,0.02707,-0.00901999999999999,-18.14178,-51.15222
"31","2020_Q3",46.161875,"Up",159230000,-63811000,95419000,-72874000,-60389000,-35557000,-24832000,-12485000,22545000,149000,149000,22694000,22694000,-3707000,18987000,18987000,18987000,18987000,311157000,311157000,48744000,48744000,26590000,26590000,386491000,54240000,185600000,25182000,88167000,13727000,58524000,239840000,626331000,56058000,4504000,51554000,172824000,138229000,34595000,228882000,53949000,53949000,53949000,282831000,319794000,132147000,343500000,343500000,626331000,18987000,10851000,5143000,-5497000,29484000,-6247000,-6247000,-854000,73999.9999999999,-7027000,-1675000,-7104000,15353000,15353000,15446000,33396000,0,25359000,0.59925,0.14159,0.11924,0.05528,0.03031,1.3356,1.6886,0.82338,0,0.53256,0.5288,4.46623,9.6348,0.71129,0.06301,0.0638,-9.31719,-13.8016
"32","2020_Q4",64.69140625,"Up",165227000,-60331000,104896000,-75549000,-64932000,-36655000,-28277000,-10617000,29347000,-1168000,-1168000,28179000,28179000,-5597000,22582000,22582000,22582000,22582000,383127000,383127000,48225000,48225000,19309000,19309000,450661000,52686000,184935000,24459000,88727000,14665000,57084000,237621000,688282000,65486000,4109000,61377000,179744000,144657000,35087000,245230000,52812000,52812000,52812000,298042000,350815000,148580000,390240000,390240000,688282000,22582000,9750000,7886000,23664000,63882000,-6311000,-6311000,-529999.999999999,191000,-6650000,-425000,16579000,73811000,73811000,71970000,39097000,2.27373675443232e-13,62047000,0.63486,0.17762,0.13667,0.05787,0.03281,2.74763,1.83771,0.76374,4.2351647362715e-22,0.62787,0.61874,4.59398,10.85025,1.72516,0.06485,0.14004,-9.7994,-13.05507
"33","2021_Q1",78.1909836065574,"Up",180944000,-66308000,114636000,-87043000,-77176000,-39150509.1927832,-30686773.2320122,-9867000,27593000,4763000,4763000,32356000,32356000,-6477000,25879000,25879000,25879000,25879000,428574000,428574000,43846000,43846000,16650000,16650000,489070000,50906000,189668000,25765000,89413000,13566000,60924000,240574000,729644000,70351000,2442000,67909000,186578000,149843000,36735000,256929000,50790000,50790000,50790000,307719000,361328000,168305000,421925000,421925000,729644000,25879000,10239000,12847000,15882000,64847000,-5353000,-8015104.25828815,-2713000,-156000,-13222000,-649000,-6261000,45364000,45364000,45447000,37832000,0,54838000,0.63354,0.15249,0.14302,0.06134,0.03547,2.11902,1.90352,0.72932,0,0.71416,0.69584,4.99335,11.64349,1.51332,0.06776,0.11601,-11.32835,-15.53198
