"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.49714285714286,"Down",2.4738e+10,-1.9355e+10,5.383e+09,-4.66e+09,-4.182e+09,-4.78e+08,7.23e+08,-1.32e+08,-1.32e+08,-1.32e+08,5.91e+08,5.91e+08,-2.16e+08,3.75e+08,3.75e+08,-1e+06,3.74e+08,3.74e+08,6.02e+08,6.02e+08,8.28e+08,4.772e+09,9.8e+08,3.02e+08,6.78e+08,7.182e+09,1.3976e+10,1.723e+09,1.158e+09,5.65e+08,1.5699e+10,2.2881e+10,4.795e+09,3.963e+09,8.32e+08,5.28e+08,2.478e+09,2.124e+09,7.801e+09,6.997e+09,2.977e+09,1.075e+09,5.6e+08,1.342e+09,9.974e+09,1.7775e+10,4.323e+09,-6.314e+09,7.676e+09,-5.77e+08,5.108e+09,-2e+06,5.106e+09,2.2881e+10,3.75e+08,4.78e+08,6.5e+07,6.35e+08,1.553e+09,-5.34e+08,8e+06,-5.42e+08,-5.42e+08,-3e+06,-5.44e+08,-6.1e+07,-5.41e+08,-6.8e+07,1.2e+07,-8e+07,-1.61e+08,-8.31e+08,1.78e+08,1.78e+08,1.78e+08,1.201e+09,7.525e+09,1.518e+09,0.2176,0.02923,0.01512,0.07325,0.01635,4.05882,0.92065,3.4812,0.32888,0.28903,0.28769,19.11747,3.94745,1.17311,0.04714,0.02787,0.09726,0.1631,5.76436,9.57538
"2","2010_Q3",8.38984375,"Down",1.876e+10,-1.4699e+10,4.061e+09,-3.567e+09,-3.199e+09,-3.68e+08,4.94e+08,-1.02e+08,-1.02e+08,-1.02e+08,3.92e+08,3.92e+08,-1.24e+08,2.68e+08,2.68e+08,-6e+06,2.62e+08,2.62e+08,1.037e+09,1.037e+09,8.05e+08,4.65e+09,1.054e+09,3.06e+08,7.48e+08,7.546e+09,1.4003e+10,1.727e+09,1.158e+09,5.69e+08,1.573e+10,2.3276e+10,4.687e+09,3.851e+09,8.36e+08,5.39e+08,2.699e+09,2.345e+09,7.925e+09,7.278e+09,2.906e+09,1.016e+09,5.55e+08,1.335e+09,1.0184e+10,1.8109e+10,4.292e+09,-6.433e+09,7.877e+09,-5.73e+08,5.163e+09,4e+06,5.167e+09,2.3276e+10,2.68e+08,3.68e+08,4.4e+07,8.6e+07,7.66e+08,-4.01e+08,9e+06,-4.1e+08,-4.1e+08,6e+06,-3.95e+08,-6.2e+07,2.82e+08,-1.44e+08,4e+06,-1.48e+08,-1.2e+07,6.4e+07,4.35e+08,4.35e+08,4.35e+08,8.62e+08,7.817e+09,6.71e+08,0.21647,0.02633,0.01397,0.05071,0.01126,2.56107,0.95218,3.50474,0.33584,0.20469,0.20373,14.65625,4.03359,0.52422,0.04844,0.02039,0.04223,0.23664,7.86543,13.7247
"3","2010_Q4",8.80375,"Up",1.8667e+10,-1.4704e+10,3.963e+09,-3.557e+09,-3.189e+09,-3.68e+08,4.06e+08,-1.03e+08,-1.03e+08,-1.03e+08,3.03e+08,3.03e+08,-9.6e+07,2.07e+08,2.07e+08,-5e+06,2.02e+08,2.02e+08,7.58e+08,7.58e+08,8.47e+08,5.256e+09,1.046e+09,2.91e+08,7.55e+08,7.907e+09,1.4106e+10,1.742e+09,1.158e+09,5.84e+08,1.5848e+10,2.3755e+10,5.016e+09,4.179e+09,8.37e+08,5.47e+08,2.777e+09,2.423e+09,8.34e+09,7.261e+09,2.893e+09,9.89e+08,5.77e+08,1.327e+09,1.0154e+10,1.8494e+10,4.302e+09,-6.486e+09,8.013e+09,-5.65e+08,5.264e+09,-3e+06,5.261e+09,2.3755e+10,2.07e+08,3.68e+08,5.8e+07,-4.18e+08,2.15e+08,-4.54e+08,1.7e+07,-4.71e+08,-4.71e+08,-7e+06,-4.61e+08,-6e+07,-1e+07,-5.6e+07,8e+06,-6.4e+07,9.3e+07,-3.3e+07,-2.79e+08,-2.79e+08,-2.79e+08,7.74e+08,7.808e+09,-2e+06,0.2123,0.02175,0.01082,0.0384,0.0085,-0.0099,0.94808,3.5153,0.32869,0.15931,0.15856,14.72161,4.15142,-0.00158,0.04732,0.01641,-0.00013,0.29703,9.10853,17.36453
"4","2011_Q1",9.095,"Up",1.9884e+10,-1.5668e+10,4.216e+09,-3.639e+09,-3.253e+09,-3.86e+08,5.77e+08,-1.11e+08,-1.11e+08,-1.11e+08,4.66e+08,4.48e+08,-1.65e+08,2.83e+08,2.83e+08,-5e+06,2.78e+08,2.78e+08,8.25e+08,8.25e+08,8.45e+08,4.966e+09,9.85e+08,3.19e+08,6.66e+08,7.621e+09,1.4147e+10,1.737e+09,1.14e+09,5.97e+08,1.5884e+10,2.3505e+10,5.115e+09,4.227e+09,8.88e+08,5.88e+08,2.367e+09,2.147e+09,8.07e+09,7.304e+09,2.833e+09,9.46e+08,7.5e+08,1.137e+09,1.0137e+10,1.8207e+10,4.353e+09,-6.732e+09,8.225e+09,-5.5e+08,5.296e+09,2e+06,5.298e+09,2.3505e+10,2.83e+08,3.86e+08,1.22e+08,4.1e+07,8.32e+08,1.444e+09,2.1e+07,1.423e+09,1.423e+09,-2.005e+09,-5.61e+08,-6.7e+07,9.7e+07,-2.48e+08,5e+06,-2.53e+08,1.4e+07,-2.04e+08,6.7e+07,6.7e+07,6.7e+07,9.63e+08,7.892e+09,2.613e+09,0.21203,0.02902,0.01398,0.05247,0.01183,9.39928,0.94436,3.43658,0.33576,0.22204,0.22099,15.88179,4.23003,2.08706,0.05351,0.02153,0.16308,0.24101,7.33853,12.24783
"5","2011_Q2",9.77888888888889,"Up",2.7461e+10,-2.1816e+10,5.645e+09,-4.834e+09,-4.335e+09,-4.99e+08,8.11e+08,-1.38e+08,-1.38e+08,-1.38e+08,6.73e+08,6.73e+08,-2.52e+08,4.21e+08,4.21e+08,1.1e+07,4.32e+08,4.32e+08,4.31e+08,4.31e+08,8.54e+08,4.835e+09,1.083e+09,3.67e+08,7.16e+08,7.203e+09,1.4192e+10,1.716e+09,1.14e+09,5.76e+08,1.5908e+10,2.3111e+10,5.115e+09,4.226e+09,8.89e+08,5.87e+08,2.618e+09,2.398e+09,8.32e+09,6.793e+09,2.794e+09,9.73e+08,6.95e+08,1.126e+09,9.587e+09,1.7907e+10,4.373e+09,-7.216e+09,8.592e+09,-5.36e+08,5.213e+09,-9e+06,5.204e+09,2.3111e+10,4.21e+08,4.99e+08,7.6e+07,2.39e+08,1.235e+09,-5.18e+08,3e+06,-5.21e+08,-5.21e+08,9e+06,-5.09e+08,-6.5e+07,-5.04e+08,-4.84e+08,6e+07,-5.44e+08,-6.7e+07,-1.12e+09,-3.94e+08,-3.94e+08,-3.94e+08,1.31e+09,7.38e+09,1.283e+09,0.20556,0.02953,0.01573,0.08301,0.01869,2.96991,0.86575,3.44101,0.31933,0.34016,0.33856,21.62283,4.10472,1.01024,0.05118,0.03232,0.08343,0.15046,5.30458,8.56843
"6","2011_Q3",9.5096875,"Down",2.0913e+10,-1.6698e+10,4.215e+09,-3.727e+09,-3.353e+09,-3.74e+08,4.88e+08,-9.7e+07,-9.7e+07,-9.7e+07,3.91e+08,3.91e+08,-1.08e+08,2.83e+08,2.83e+08,-2e+06,2.81e+08,2.81e+08,6.43e+08,6.43e+08,8.59e+08,4.764e+09,1.163e+09,3.57e+08,8.06e+08,7.429e+09,1.4267e+10,1.702e+09,1.14e+09,5.62e+08,1.5969e+10,2.3398e+10,5.166e+09,4.25e+09,9.16e+08,9.28e+08,2.922e+09,2.702e+09,9.016e+09,6.419e+09,2.753e+09,9.73e+08,6.57e+08,1.123e+09,9.172e+09,1.8188e+10,4.353e+09,-7.418e+09,8.811e+09,-5.27e+08,5.219e+09,-9e+06,5.21e+09,2.3398e+10,2.83e+08,3.74e+08,5.2e+07,2.49e+08,9.58e+08,-4.01e+08,2e+06,-4.03e+08,-4.03e+08,-1.6e+07,-4.17e+08,-6.4e+07,-2.6e+07,-2.28e+08,3.1e+07,-2.59e+08,-1.1e+07,-3.29e+08,2.12e+08,2.12e+08,2.12e+08,8.62e+08,7.347e+09,8.18e+08,0.20155,0.02333,0.01344,0.05393,0.01201,2.91103,0.82398,3.49098,0.314,0.233,0.23147,17.3408,4.32753,0.67828,0.05307,0.02253,0.05343,0.22776,7.77726,13.7377
"7","2011_Q4",9.39412698412698,"Down",2.0595e+10,-1.65e+10,4.095e+09,-3.691e+09,-3.318e+09,-3.73e+08,4.04e+08,-9.9e+07,-9.9e+07,-9.9e+07,3.05e+08,3.05e+08,-1.08e+08,1.97e+08,1.97e+08,-1e+06,1.96e+08,1.96e+08,2.16e+08,2.16e+08,8.77e+08,5.507e+09,1.223e+09,3.44e+08,8.79e+08,7.823e+09,1.4451e+10,1.686e+09,1.138e+09,5.48e+08,1.6137e+10,2.396e+10,5.609e+09,4.653e+09,9.56e+08,1.262e+09,2.617e+09,2.402e+09,9.488e+09,6.428e+09,3.145e+09,9.3e+08,1.066e+09,1.149e+09,9.573e+09,1.9061e+10,4.377e+09,-7.887e+09,8.944e+09,-5.27e+08,4.907e+09,-8e+06,4.899e+09,2.396e+10,1.97e+08,3.73e+08,4.98e+08,-8.51e+08,2.17e+08,-4.43e+08,3.8e+07,-4.81e+08,-4.81e+08,1e+06,-4.93e+08,-6.2e+07,3.21e+08,-4.69e+08,2e+06,-4.71e+08,5.9e+07,-1.51e+08,-4.27e+08,-4.27e+08,-4.27e+08,7.77e+08,7.69e+09,-4.09e+08,0.19883,0.01962,0.00952,0.04001,0.00818,-2.08673,0.82452,3.89079,0.32095,0.16752,0.16638,17.60256,4.19402,-0.34957,0.05299,0.0164,-0.02599,0.31633,9.61905,18.5
"8","2012_Q1",9.83725806451613,"Up",2.13e+10,-1.6994e+10,4.306e+09,-4.731e+09,-4.339e+09,-3.92e+08,-4.25e+08,-1.01e+08,-1.01e+08,-1.01e+08,-5.26e+08,-5.26e+08,2.21e+08,-3.05e+08,-3.05e+08,-2e+06,-3.07e+08,-3.07e+08,1.88e+08,1.88e+08,9.49e+08,5.114e+09,1.074e+09,2.88e+08,7.86e+08,7.325e+09,1.4464e+10,1.687e+09,1.138e+09,5.49e+08,1.6151e+10,2.3476e+10,5.385e+09,4.329e+09,1.056e+09,1.315e+09,2.405e+09,2.215e+09,9.105e+09,6.85e+09,3.555e+09,1.393e+09,6.47e+08,1.515e+09,1.0405e+10,1.951e+10,4.386e+09,-8.132e+09,8.571e+09,-8.44e+08,3.981e+09,-1.5e+07,3.966e+09,2.3476e+10,-3.05e+08,3.92e+08,-1.88e+08,3.49e+08,2.48e+08,-4.85e+08,7999999.99999999,-4.93e+08,-4.93e+08,-4e+06,-4.89e+08,-6.6e+07,4.85e+08,-2.48e+08,2.5e+07,-2.73e+08,4.2e+07,2.13e+08,-2.8e+07,-2.8e+07,-2.8e+07,-33000000.0000001,8.165e+09,-3.9e+08,0.20216,-0.01995,-0.01441,-0.07741,-0.01308,1.27036,0.8045,4.91931,0.3478,-0.26977,-0.26977,18.71705,3.49824,-0.34271,0.058,-0.01536,-0.02486,-0.21498,-241.72727,-18.76941
"9","2012_Q2",9.35603174603175,"Down",2.9065e+10,-2.3286e+10,5.779e+09,-4.965e+09,-4.464e+09,-5.01e+08,8.14e+08,-1.41e+08,-1.41e+08,-1.41e+08,6.73e+08,6.73e+08,-2.32e+08,4.41e+08,4.41e+08,-2e+06,4.39e+08,4.39e+08,5.11e+08,5.11e+08,9.22e+08,4.977e+09,1.186e+09,3.47e+08,8.39e+08,7.596e+09,1.4522e+10,1.673e+09,1.138e+09,5.35e+08,1.6195e+10,2.3791e+10,5.413e+09,4.518e+09,8.95e+08,1.335e+09,2.606e+09,2.416e+09,9.354e+09,6.771e+09,3.599e+09,1.404e+09,6.96e+08,1.499e+09,1.037e+10,1.9724e+10,4.413e+09,-8.44e+09,8.945e+09,-8.38e+08,4.08e+09,-1.3e+07,4.067e+09,2.3791e+10,4.41e+08,5.01e+08,1.56e+08,2.01e+08,1.299e+09,9e+06,9e+06,-851427112.478024,-851427112.478024,-5.36e+08,-5.27e+08,-6.5e+07,-5.1e+07,-3.07e+08,3.8e+07,-3.45e+08,-2.6e+07,-4.49e+08,3.23e+08,3.23e+08,3.23e+08,1.315e+09,8.106e+09,1.757e+09,0.19883,0.02801,0.0151,0.10794,0.01845,4.00228,0.81206,4.84977,0.34072,0.37203,0.37015,24.63136,3.45763,1.48898,0.05508,0.03196,0.1114,0.14806,5.77567,9.33047
"10","2012_Q3",9.29936507936508,"Down",2.1726e+10,-1.7419e+10,4.307e+09,-3.773e+09,-3.39e+09,-3.83e+08,5.34e+08,-1.06e+08,-1.06e+08,-1.06e+08,4.28e+08,4.28e+08,-1.48e+08,2.8e+08,2.8e+08,-1e+06,2.79e+08,2.79e+08,2.38e+08,2.38e+08,9.41e+08,4.837e+09,1.235e+09,3.35e+08,9e+08,7.251e+09,1.46e+10,1.696e+09,1.164e+09,5.32e+08,1.6296e+10,2.3547e+10,5.226e+09,4.326e+09,9e+08,1.34e+09,2.776e+09,2.586e+09,9.342e+09,6.787e+09,3.625e+09,1.403e+09,7.4e+08,1.482e+09,1.0412e+10,1.9754e+10,4.385e+09,-8.933e+09,9.164e+09,-8.25e+08,3.791e+09,2e+06,3.793e+09,2.3547e+10,2.8e+08,3.83e+08,1.29e+08,-6e+07,7.32e+08,-9.72e+08,1.3e+07,-9.85e+08,-9.85e+08,5.22e+08,-4.62e+08,-6.3e+07,-7e+06,-5.22e+08,4e+06,-5.26e+08,4.9e+07,-5.43e+08,-2.73e+08,-2.73e+08,-2.73e+08,9.17e+08,8.127e+09,33000000.0000002,0.19824,0.02458,0.01284,0.07356,0.01185,0.118279999999999,0.77617,5.20801,0.34514,0.25456,0.25272,19.82299,3.45894,0.0301100000000001,0.05748,0.022,0.00211999999999998,0.22581,8.60305,14.77341
