"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",4.51828125,"Down",-15773000,-8318000,-7455000,-15508000,116000,116000,-15392000,-15392000,-15392000,-15392000,-15392000,-15392000,247082000,247082000,1030000,1030000,249229000,3565000,140000,140000,3705000,252934000,4375000,486000,3889000,1181000,5556000,5812000,429000,5812000,11368000,341117000,-99560000,9000,241566000,241566000,252934000,-15392000,320000,4073000,-1154000,-12153000,-122000,37616000,262000,262000,262000,25725000,25725000,25734000,-15188000,0,-0.06372,-0.06085,44.85763,0.04706,0,-0.56808,-0.56808,8.91552,-0.06222,16.26824,15.93255
"2","2016_Q3",3.79359375,"Down",-13069000,-5114000,-7955000,-12762000,222000,222000,-12540000,-61660000,-61660000,-61660000,-61660000,-61660000,241302000,241302000,1239000,1239000,243570000,3985000,16790000,140000,20775000,264345000,6563000,2419000,4144000,1334000,7897000,8794000,777000,8794000,16691000,408870000,-161220000,4000,247654000,247654000,264345000,-61660000,343000,51923000,1170000,-8224000,-1004000,-1004000,86999.9999999999,86999.9999999999,3536000,-5692000,-5692000,-5780000,-12419000,0,-0.24898,-0.23326,30.84336,0.0674,0,-1.7595,-1.7595,7.06694,-0.24044,19.43007,18.90785
"3","2016_Q4",3.26809523809524,"Down",-14508000,-6146000,-8362000,-14113000,206000,206000,-13907000,-14301000,-14301000,-14301000,-14301000,-14301000,231271000,231271000,2840000,2840000,235896000,4335000,16340000,140000,20675000,256571000,8844000,3067000,5777000,1805000,10649000,9692000,833000,9692000,20341000,411770000,-175521000,-19000,236230000,236230000,256571000,-14301000,453000,3347000,854000,-9647000,-362000,-362000,397000,397000,4000,-10005000,-10005000,-10031000,-13660000,0,-0.06054,-0.05574,22.15194,0.08611,0,-0.3453,-0.3453,5.70383,-0.05815,16.93053,16.38709
"4","2017_Q1",2.84435483870968,"Down",-12675000,-4777000,-7898000,-12187000,218000,218000,-11969000,-23169000,-22394000,-22394000,-22394000,-22394000,222170000,222170000,2218000,2218000,225274000,4169000,5140000,140000,9309000,234583000,7950000,1474000,6476000,1946000,9896000,9087000,738000,9087000,18983000,413522000,-197915000,-7000.00000000001,215600000,215600000,234583000,-22394000,487000,12730000,835000,-8342000,-924000,-924000,203000,203000,203000,-9062999.99999999,-9062999.99999999,-9101000,-11700000,0,-0.10387,-0.09546,22.76415,0.08805,0,-0.54054,-0.54054,5.20408,-0.09967,18.98889,18.23008
"5","2017_Q2",2.73492063492063,"Down",-17050000,-7989000,-9061000,-16588000,489000,489000,-16099000,-16099000,-16099000,-16099000,-16099000,-16099000,209503000,71569000,3137000,3137000,212640000,4149000,5140000,140000,9289000,221929000,10013000,3383000,6630000,1953000,11966000,8582000,695000,8582000,20548000,415607000,-214014000,-212000,201381000,201381000,221929000,-16099000,516000,1965000,1801000,-11817000,-263000,-138854000,187000,187000,187000,-150484000,-150484000,-150601000,-16072000,0,-0.07994,-0.07254,17.77035,0.10204,0,-0.382,-0.382,4.7784,-0.07668,13.03528,12.62979
"6","2017_Q3",2.77507936507937,"Up",-12556000,-4064000,-8492000,-12093000,663000,663000,-11430000,-11430000,-11430000,-11430000,-11430000,-11430000,197418000,39523000,2223000,2223000,199641000,3798000,5140000,140000,8938000,208579000,6351000,1125000,5226000,1962000,8313000,8086000,662000,8086000,16399000,418027000,-225444000,-403000,192180000,192180000,208579000,-11430000,540000,2358000,-2889000,-11421000,-469000,-20666000,155000,155000,155000,-31932000,-31932000,-32046000,-11553000,0,-0.05948,-0.0548,24.01552,0.08533,0,-0.26576,-0.26576,4.46837,-0.05707,17.08803,16.32498
"7","2017_Q4",3.29047619047619,"Up",-15034000,-4762000,-10272000,-14571000,742000,742000,-13829000,-13829000,-13829000,-13829000,-13829000,-13829000,186642000,31713000,2881000,2881000,189523000,3347000,5340000,340000,8687000,198210000,7642000,1580000,6062000,1971000,9613000,7605000,644000,7605000,17218000,420816000,-239273000,-551000,180992000,180992000,198210000,-13829000,536000,2925000,383000,-9985000,-186000,2625000,53000,53000,-239000,-7599000,-7599000,-7810000,-14035000,0,-0.07641,-0.06977,19.71528,0.09513,0,-0.31878,-0.31878,4.17215,-0.07333,13.29833,12.80914
"8","2018_Q1",6.22573770491803,"Up",-16056000,-4042000,-12014000,-15595000,806000,806000,-14789000,-14789000,-14789000,-14789000,-14789000,-14789000,190485000,70519000,3256000,3256000,193741000,3024000,5140000,140000,8164000,201905000,8695000,1731000,6964000,1979000,10674000,7203000,703000,7203000,17877000,439053000,-254062000,-963000,184028000,184028000,201905000,-14789000,504000,2041000,46000.0000000005,-12198000,-98000,34691000,16666000,16666000,16645000,39138000,39138000,38806000,-15091000,0,-0.08036,-0.07325,18.15074,0.09714,0,-0.32073,-0.32073,3.99106,-0.07734,12.62242,12.21449
"9","2018_Q2",6.0134375,"Down",-18162000,-5368000,-12794000,-17946000,746000,746000,-17200000,-17200000,-17200000,-17200000,-17200000,-17200000,247037000,152716000,2161000,2161000,249198000,2820000,5140000,140000,7960000,257158000,7890000,685000,7205000,1384000,9274000,1841000,591000,1841000,11115000,512180000,-265116000,-1021000,246043000,246043000,257158000,-17200000,459000,3586000,171000,-12984000,-216000,25383000,70499000,70499000,69798000,82197000,82197000,82197000,-17487000,0,-0.06991,-0.06688,26.87061,0.04518,0,-0.29955,-0.29955,4.28497,-0.06939,14.12689,13.76557
"10","2018_Q3",5.61587301587302,"Down",-20396000,-9179000,-11217000,-19903000,1093000,1093000,-18810000,-18810000,-18810000,-18810000,-18810000,-18810000,234876000,155451000,3046000,3046000,237922000,2525000,6138000,1138000,8663000,246585000,10475000,2125000,8350000,899000,11374000,1764000,514000,1764000,13138000,518281000,-283926000,-908000,233447000,233447000,246585000,-18810000,640000,5589000,1231000,-11350000,-166000,14896000,410000,410000,187000,3733000.00000001,3733000.00000001,3733000,-19263000,0,-0.08058,-0.07628,20.91806,0.05628,0,-0.30161,-0.30161,3.74318,-0.07997,12.19312,11.80104
