"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",23.3568253968254,"Up",161582000,-38814000,122768000,-68431000,-56154000,-12277000,54337000,-7170000,-11998000,4828000,47167000,46933000,-16924000,30009000,52440000,51356000,51356000,1550431000,1090030000,460401000,134481000,134481000,1743440000,398563000,350185000,288399000,42115000,748748000,2492188000,180259000,668582000,668582000,848841000,575545000,575545000,435356000,255374000,179982000,1010901000,1859742000,0,-21143079000,7038000,583482000,632446000,2492188000,52440000,21905000,10258000,16517000,101120000,-19898000,-453178000,-457493000,-36360000,-28609000,-384982000,-384982000,-2154000,-387136000,76242000,575545000,89785000,0.75979,0.33628,0.31783,0.0812,0.02061,1.74829,2.05391,2.94055,0.23094,0.28037,0.27872,0.88212,3.1854,0.49016,-6.21418538362234,0.03125,0.05464,-12.78673,-17.94148
"2","2010_Q3",25.033125,"Up",167881000,-39846000,128035000,-69674000,-55936000,-13738000,58361000,-8116000,-11966000,3850000,50245000,42706000,-16121000,26585000,36374000,35213000.0000002,35213000.0000002,1337279000,862923000,474356000,766770000,85021000,2120243000,190807000,80915000,52527000,25122000,271722000,2391965000,165043000,777803000,437288000,942846000,575933000,575933000,397044000,203911000,193133000,972977000,1915823000,0,-21107866000,12404000,423890000,476142000,2391965000,36374000,17901000,15548000,79377000,149200000,-22874000,-13052000,-39699000.0000002,-217581000,-213615000,-104114000,-227470000,363000.000000002,-227107000,76262000,575933000,148886000,0.76265,0.34763,0.20975,0.07395,0.01472,4.22815,2.24877,4.02364,0.24078,0.19447,0.19274,0.92717,2.34105,0.82227,0.485767795401419,0.0243,0.10274,-9.98329,-13.04546
"3","2010_Q4",29.27921875,"Up",172286000,-39751000,132535000,-66394000,-51926000,-14468000,66141000,-7500000,-12140000,4640000,58641000,52372000,-7267000,45105000,785545000,784903000,784903000,2549143000,2060195000,488948000,90935000,90935000,2656904000,191426000,75752000,52527000,20282000,267178000,2924082000,162997000,448759000,448759000,611756000,578262000,578262000,488608000,205003000,283605000,1066870000,1678626000,0,-20322963000,1576000,1245456000,1245456000,2924082000,785545000,13573000,-877855000,-3104000,-81841000,-25874000,-8682000,1113976000,-123851000,30890000,1063025000,1186381000,10891000,1197272000,79714000,578262000,58003000,0.76927,0.3839,4.55581,0.63021,0.26843,0.0739,4.34308,1.3478,0.19776,4.52451,4.48665,0.99313,7.17933,0.33435,4.30716292327553,0.33944,0.02508,-24.7244,-29.79817
"4","2011_Q1",32.2924193548387,"Up",178829000,-38265000,140564000,-70259000,-57078000,-13181000,70305000,-114143000,-121563000,7420000,-43838000,-46657000,14990000,-31667000,-40505000,-40504999.9999999,-40504999.9999999,2060866000,1559628000,501238000,102217000,102217000,2177957000,190319000,75730000,55146000,20584000,266049000,2444006000,195235000,457478000,457478000,652713000,581626000,581626000,533237000,205560000,17981000,1114863000,1767576000,1.0097419586829e-28,-20363468000,-1334000,676430000,676430000,2444006000,-40505000,14276000,56520999.9999999,16435000,46727000,-11881000,1011000.00000001,-13694000,20553000,-533940000,-500907000,-500907000,340000.000000002,-500567000,84581000,581626000,74145000,0.78602,0.39314,-0.2265,-0.05988,-0.01657,-1.83051,3.33678,2.6131,0.23798,-0.23493,-0.23284,1.03719,3.92324,0.43004,6,0.26669,0.04139,-17.48903,-21.04032
"5","2011_Q2",34.4811111111111,"Up",181523000,-40869000,140654000,-69614000,-56020000,-13594000,71040000,-6342000,-11820000,5478000,64698000,59168000,-16875000,42293000,40771000,40771000,40771000,1946840000,1440826000,506014000,97406000,97406000,2060098000,193145000,77360000,54823000,22537000,270505000,2330603000,159627000,485462000,485462000,645089000,583852000,583852000,556334000,213484000,24906000,1140186000,1785275000,0,-20322697000,-1791000,545328000,545328000,2330603000,40771000,13968000,13464000,22084000,90287000,-15565000,-6770000,-23516000,-190878000,-187263000,-120492000,-120492000,1690000,-118802000,85008000,583852000,108402000,0.77485,0.39136,0.22461,0.07476,0.01749,2.6588,3.19351,3.27376,0.25052,0.23956,0.23707,1.06657,3.20417,0.63694,6.31427902557482,0.02419,0.06431,-16.03364,-19.1862
"6","2011_Q3",30.9703125,"Down",189844000,-40667000,149177000,-63459000,-50385000,-13074000,85718000,-105707000,-111856000,6149000,-19989000,-23648000,15967000,-7681000.00000002,-10610000,-10610000,-10610000,1394750000,1220165000,174585000,115874000,115874000,1525140000,194771000,75690000,54495000,21195000,270461000,1795601000,156995000,494769000,494769000,651764000,584965000,584965000,563075000,219083000,17880000,1148040000,1799804000,-1.61558713389263e-27,-20333307000,-2064000,-4203000,-4203000,1795601000,-10610000,13674000,16323000,-6438000,12949000,-13916000,332318000,318402000,-87348000,-553607000,-222256000,-222256000,1595000,-220661000,99392000,584965000,63071000,0.78579,0.45152,-0.05589,2.52439,-0.00591,-5.94449,2.34002,-428.21889,0.32578,-0.06267,-0.0633500000000002,1.12129,-0.0248200000000005,0.37252,6,0.39594,0.05514,-8.14739,-9.44708
"7","2011_Q4",32.4993650793651,"Up",196965000,-41694000,155271000,-63353000,-49865000,-13488000,91918000,-8206000,-11797000,3591000,83712000,80741000,-22126000,58615000,58916000,58916000,58916000,1234924000,1202788000,32136000,113935000,113935000,1363690000,205304000,88715000,54172000,34543000,294019000,1657709000,137307000,501924000,501924000,639231000,586566000,586566000,598650000,221019000,40751000,1185216000,1824447000,0,-20274391000,-3185000,-166738000,-166738000,1657709000,58916000,13813000,11273000,24449000,108451000,-33963000,142250000,108289000,-229067000,-229187000,-12447000,-12447000,-4930000,-17377000,105731000,586566000,118343000,0.78832,0.46667,0.29912,-0.35334,0.03554,2.00867,2.13333,-10.942,0.35384,0.36135,0.35946,1.20803,-1.02264,0.72583,6,0.05785,0.1162,-6.13215,-7.05366
"8","2012_Q1",36.9520967741935,"Up",203646000,-42016000,161630000,-65405000,-52284000,-13121000,96225000,-15547000,-11859000,-3688000,80678000,77326000,-31997000,45329000,53814000,53814000,53814000,1346209000,1313349000,32860000,86598000,21847000,1447781000,327136000,81262000,53848000,24656000,408398000,1856179000,156385000,502538000,502538000,658923000,690086000,690086000,595277000,226033000,43717000,1285363000,1944286000,-2.58493941422821e-26,-20220577000,-3084000,-88107000,-88107000,1856179000,53814000,14251000,1757000,54392000,124214000,-129216000,-767000,-129933000,7179000.00000003,117859000,112140000,112140000,-1579000,110561000,110476000,690086000,67649000,0.79368,0.47251,0.26425,-0.61078,0.02899,1.25709,2.19719,-22.0673300000001,0.37178,0.33827,0.32774,1.28012,-0.55384,0.42524,7,0.04495,0.0565,-5.93905,-6.81863
"9","2012_Q2",40.6725396825397,"Up",205726000,-41256000,164470000,-66088000,-51323000,-14765000,98382000,-11533000,-12340000,807000,86849000,87397000,-21292000,66105000,68009000,68009000,68009000,1385843000,1353040000,32803000,74287000,74287000,1473683000,328474000,80603000,53525000,27078000,409077000,1882760000,99640000,542976000,542976000,642616000,692821000,692821000,618656000,240314000,45161000,1311477000,1954093000,0,-20152568000,-3094000,-71333000,-71333000,1882760000,68009000,12741000,5569000,23959000,110278000,-12917000,-22000,-12939000,-63759000,-60003000,37336000,37336000,2355000,39691000,111123000,692821000,143457000,0.79946,0.47822,0.33058,-0.9534,0.03612,2.10938,2.29326,-27.39396,0.36798,0.42681,0.41754,1.29108,-0.44767,0.9003,7,0.05484,0.11568,-6.23653,-7.0442
"10","2012_Q3",46.0639682539683,"Up",214142000,-42844000,171298000,-64500000,-49039000,-15461000,106798000,-14677000,-12580000,-2097000,92121000,92303000,-23831000,68472000,68472000,68472000,68472000,1438018000,315621000,1122397000,79940000,79940000,1530611000,329328000,82085000,53202000,28883000,411413000,1942024000,112508000,560127000,560127000,672635000,697935000,697935000,630649000,243622000,45294000,1328584000,2001219000,-4.13590306276514e-25,-20084096000,-3082000,-59195000,-59195000,1942024000,68472000,13532000,10324000,42643000,134971000,-13325000,-1089546000,-1103391000,-73618000,-65547000,-1033967000,-1033967000,-3452000,-1037419000,120330000,697935000,173479000,0.79993,0.49873,0.31975,-1.15672,0.03526,2.53358,2.27554,-33.80723,0.35939,0.43447,0.41706,1.35879,-0.37561,1.10077,7,0.05394,0.13666,-6.15044,-6.92975
