"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",10859.99375,"Down",6511919,-5266403,1245516,-4586733,-724464,-17695,-1944574,-3341217,22037818.974738,22037818.4299552,-3341217,74903446.5178183,-3341217,-3341217,-3341217,-3341217,-3341217,58127937.2988143,58127937.2988143,20477443.803153,20477443.803153,23240015.0206369,-2978712.74813366,17230595.5662121,101845396.122604,-5427355.85534601,5211100.27676819,133168.979909404,-216760.137017116,101628635.985587,794135.932115114,-2256914.62018994,3051050.55230505,57616018.2260106,59737609.9675611,58410154.1581257,-13951928.4416899,-17613774.3288218,-14096518.5517411,44313635.6063846,-19698005.4902719,77180410.4693731,57273481.9592529,57274320.8872782,101587956.493663,-3341217,17695,117536,109011,-3096975,-27405,-27405,-27405,-27405,50000,50000,50000,-3074380,-3074380,-3074380,-3323522,0,0.19127,-0.51309,-0.51309,9.77180509373632,-6.20672305942734,4.20479549547195,-22.6000028855063,-0.00524864404913546,-499.28806,-499.28806,973.09556,10167.2174985641,-106.299576058087,4.17200468195432,5.26759336939028
"2","2018_Q3",13104.6984126984,"Up",7886459,-7007315,879144,-3598027,-860898,-57948,-2192827,-2718883,7189409.48736899,7189409.21497762,-2718883,30008304.8095031,-2718883,-2718883,-2718883,-2718883,-2718883,27167276.6494071,27167276.6494071,8669723.90157651,8669723.90157651,16483439.5103185,-722614.874066829,12711988.283106,52320440.0613021,-808264.427673005,3289970.63838409,751004.989954702,2481453.93149144,54801893.9927935,796476.966057557,-304805.81009497,1101282.77615253,39587332.1130053,39070799.9837805,40383809.0790628,-5905089.22084494,-7736012.16441092,-5977384.27587054,34406424.8031923,2490822.25486404,17988349.2346865,20374709.9796265,20375129.4436391,54781554.2468314,-2718883,57949,29914,1535191,-1095829,-822075,-822075,-822075,-822075,-1.45519152283669e-11,-1.45519152283669e-11,0,-1917904,-1917904,-1917904,-2660934,0,0.11148,-0.34475,-0.34475,5.80634254686816,-3.36842652971367,2.14230274773597,-12.3624364427531,-0.00262432202456773,-352.90901,-352.90901,1023.65656,3789.11840928206,-42.3274530290435,2.33164734097716,2.80017668469514
"3","2018_Q4",12955.5555555556,"Down",9375493,-7825500,1549993,-3367312,-1118460,-59343,-2189509,-1817319,112136.495789662,112136.40499254,-1817319,5722739.30356365,-1817319,-1817319,-1817319,-1817319,-1817319,9485619.21646905,9485619.21646905,2419333.3005255,2419333.3005255,11671509.5034395,326954.70864439,9846532.76103535,23576462.020434,1830739.524109,2384087.54612803,1537765.66331823,4214742.97716381,27791204.9975979,1079082.32201919,755851.729968343,323230.592050842,27770254.3710018,27072300.9945935,28849336.693021,-1284054.74028165,-1894362.38813697,-1308153.09195685,27541183.6010641,13966942.418288,-13690353.5884378,241768.326542152,241908.147879694,27783091.7489438,-1817319,59342,147311,1977353,366687,-83722,-83722,-83722,-83722,0,0,0,282965,282965,282965,-1757977,0,0.16532,-0.19384,-0.19384,2.96579418228939,-1.56184884323789,0.972144249245324,-6.04942881425104,-0.000874774008189244,-252.39868,-252.39868,1302.11704,304.916916427352,-9.68811100968116,1.13412578032572,1.25725556156505
"4","2019_Q1",5936.72131147541,"Down",11185129,-9358782,1826347,-5519928,-1211178,-139014,-2728090,-3693581,-1751000,-1751000,-5444581,-3500000,-8944581,-8944581,-8944581,-8944581,-8944581,1650000,1650000,111000,111000,8687000,563000,8124000,10448000,3032000,2323000,2323000,5355000,15803000,1551000,1246000,305000,21104000,21104000,22655000,901000,901000,901000,23556000,18468000,-26223000,-7755000,-7755000,15801000,-8945581,139014,4519239,-1424555,-5711883,-2085798,-2085798,-2085798,-2085798,25000,25000,8260000,462319,462319,462319,-3554567,1.13686837721616e-13,0.16328,-0.33022,-0.79969,1.1534,-0.56601,0.46118,-3.03752,0,-1239.93597,-1239.93597,1550.53029,-1075.03118,1.3054,0.46419,0.44672
"5","2019_Q2",2938.64126984127,"Down",10520000,-7134000,3386000,-4675000,-1316000,-265802.975689414,-3049000,-1289000,-957000,-957000,-2246000,-3206663.10118788,-2246000,-2246000,-2246000,-2246000,-2246000,227454,227454,129452,129452,7412686,378525,7034161,7769592,3337861,2936257,2936257,6274118,14043710,2121278,1486581,634697,18527784,18527784,20649062,1639900,1639900,1639900,22288962,19731640,-27976892,-8245252,-8245252,14043710,-2246000,188000,1234000,-766000,-1590000,-493000,-493000,-493000,-493000,660000,660000,660000,-1423000,-1423000,-1423000,-1101000,0,0.32186,-0.12253,-0.2135,0.2724,-0.15993,0.37627,-2.70325,0,-310.63589,-310.63589,1454.982,-1140.37008,0.34003,0.20659,0.17646
"6","2019_Q3",2044.77640625,"Down",-8500000,5475000,-3025000,-2621000,-958000,-379000,-566000,-5646000,-969000,-969000,-6615000,1056000,-5559000,-5559000,-2141000,-2141000,-2141000,1798867,1798867,743580,743580,7869511,314187,7555324,10411958,3150767,4062810,4062810,7213577,17625535,2703060,1690384,1012676,18169235,18169235,20872295,2009869,2009869,2009869,22882164,23058794,-28315423,-5256629,-5256629,17625535,-5559000,191000,-124000,1757000,1575000,-4000.00000000023,-4000,-4000,-3999.99999999977,-1.16415321826935e-10,-1.16415321826935e-10,1.86264514923096e-09,1571000,1571000,1571000,-5455000,0,0.35588,0.66424,0.25188,0.4073,-0.12147,0.49884,-4.35301,0,-272.88381,-272.88381,-1083.37805,-669.99017,0.65943,0.32976,0.31861
"7","2019_Q4",1268.4921875,"Down",1638000,-1467000,171000,-4475000,-1534000,-224000,-2496000,-4304000,-4344000,-4344000,-8648000,2474000,-6174000,-6174000,-4996000,-4996000,-4996000,2931274,2931274,338112,338112,9940250,762990,9177260,13209636,3013062,5532208,5532208,8545270,21754906,3205394,2178351,1027043,18967568,17390240,22172962,3000732,3000732,3000732,25173694,32187107,-35605895,-3418788,-3418788,21754906,-6174000,224000,4086000,-1628000,-1608000,-84000,-84000,-84000,-84000,0,0,2829000,1137000,1137000,1137000,-4080000,0,0.1044,-2.62759,-3.05006,1.46134,-0.22965,0.59575,-7.36334,-2.16840434497101e-19,-662.76824,-662.76824,217.29671,-453.53565,11.95055,0.71845,0.68106
"8","2020_Q1",884.857096774194,"Down",6793000,-5412000,1381000,-5698000,-1856000,409000,-4291000,-4317000,-2237000,-2237000,-6554000,-4077000,-10631000,-10631000,-8699000,-8699000,-8699000,1561000,1561000,85000,85000,12385000,349000,1897000,14031000,4155000,6445000,878000,10600000,24631000,4689000,4454000,235000,27499000,7710000,32188000,4378000,525000,4378000,36566000,32505000,-44115000,-11935000,-11935000,24631000,-10631000,-409000,4061000,5766000,-461000,-588000,-588000,-588000,-913000,0,0,0,-1374000,-1374000,-1374000,-4726000,0,0.2033,-0.63551,-1.28058,0.72886,-0.35317,0.43591,-3.06376,0,-861.75128,-861.75128,672.93671,-1182.31998,1.15112,0.3303,0.36159
"9","2020_Q2",561.492063492063,"Down",2169000,-1948000,221000,-4386000,-1287000,-79000,-2667000,-4165000,-1161000,-1161000,-5326000,942000,-4384000,-4384000,-2394000,-2394000,-2394000,48999.9999999998,48999.9999999998,1822000,1822000,13869000,371000,13498000,15740000,3136000,6291000,6291000,9427000,25167000,7898000,5911000,1987000,25509000,22695000,33407000,6194000,6194000,6972000,40379000,32619000,-47506000,-15212000,-15212000,25167000,-4384000,79000,968000,499000,-1495000,-17000,-17000,-17000,-17000,6069195.96051314,6069195.96051314,-5178253.85712574,-1512000,-1512000,-1512000,-4086000,778000,0.10189,-1.92024,-1.10373,0.15738,-0.0951199999999999,0.47116,-2.65442,0.03091,-268.05689,-268.05689,242.86357,-1703.29215,0.29053,-0.17841,-0.17503
"10","2020_Q3",450.21875,"Down",2098000,-2003000,94999.9999999999,-4294000,-1022000,-77000,-2845000,-4199000,-806000,-806000,-5005000,344000,-4661000,-4661000,9607000,9607000,9607000,397000,397000,1197000,1197000,5202000,402000,2876000,6796000,2923000,9253000,5929000,12176000,18972000,2935000,2673000,262000,9446000,7228000,12381000,6423000,771000,7032000,19413000,37620000,-38061000,-441000,-441000,18972000,-4661000,77000,148000,-3496000,-9100000,9474000,-59999.9999999999,-59999.9999999999,10688000,12615453.0472755,12615453.0472755,-1240000,348000,348000,348000,-4122000,609000,0.04528,-2.00143,4.57912,-21.78458,0.50638,0.54891,-44.02041,0.0321,56.6071999999999,56.6071999999999,12.36202,-2.5985,1.45759,-0.05143,-0.05049
