"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.1698412698413,"Up",88289000,88289000,-79522000,8767000,-9623000,-6709000,-2520000,-394000,-856000,-4071000,-5806000,1735000,-4927000,-12116000,-17043000,6997000,-10046000,-12858000,-12858000,-12858000,208079062.65473,207844599.777024,-13743787.2318682,56922335.1583793,158253106.507639,25052575.3507024,11316404.1322208,409510717.08888,2865204548.84274,53508751.359035,22666689.927194,21882803.4901473,2941379990.12897,3350890707.21785,295770208.320499,246623716.601243,34627903.5605033,31866552.8988015,-21545466.3240364,362264664.779804,114105102.617556,771711049.187146,484869781.995769,286841267.191375,885816151.804702,1248080816.58451,2573154201.77801,-469234733.877463,-626202.740921766,2102809890.63334,2102809890.63334,3350890707.21785,-12858000,28773000,11799000,-36944000,-9230000,-47189000,139865353.54936,-74000,-47263000,94794000,-5121000,89673000,33180000,33180000,33180000,27917000,0,-63213000,0.0993,-0.0097,-0.14564,-0.0473898652438609,-0.0311536521013055,4.91624,1.14056577871651,0.595847659251487,0.042950057194334,-0.15728,-0.15728,1.07995,24.1871659534032,-0.77322,-0.0330439207680331,0.162985103538632,0.919839308264462,279.957623053557
"2","2010_Q3",16.50578125,"Up",101018000,101018000,-88573000,12445000,-10584000,-7085000,-3161000,-338000,1861000,-9468000,-5645000,-3823000,-7607000,-46566000,-54173000,9373000,-44800000,-50743000,-50743000,-50743000,41187000,41187000,72094000,72212000,61456000,23890000,7524000,246949000,2813922000,34663000,52825000,51918000,2901410000,3148359000,99785000,70988000,61773000,82369000,69219000,243927000,156989000,679461000,488608000,190853000,836450000,1080377000,2578608000,-510626000,0,2067982000,2067982000,3148359000,-50743000,31011000,41779000,10409000,32456000,-45467000,39975784.5164532,150000.000000004,-45317000,8453999.99999999,-10368000,-1914000,-14775000,-14775000,-14775000,32872000,218762000,-11559000,0.1232,0.01842,-0.50232,-0.02454,-0.01612,0.227790000000001,1.01239,0.52243,0.06948,-0.57313,-0.57313,1.14097,23.35726,-0.13056,-0.01711,-0.0039,5.40201,95.41913
"3","2010_Q4",23.2315625,"Up",118564000,118564000,-98203000,20361000,-9886000,-5964000,-3840000,-82000,10475000,-10588000,-9951000,-637000,-113000,-19913000,-20026000,-3233000,-23259000,-22628000,-22628000,-22628000,27792000,27792000,77207000,96225000,26423000,19026000,7397000,227647000,2800426000,36941000,59999000,59102000,2897366000,3125013000,94166000,57395000,67653000,87936000,87936000,249755000,146821000,682591000,480954000,201637000,829412000,1079167000,2578936000,-533254000,164000,2045846000,2045846000,3125013000,-22628000,37913000,19442000,-21787000,12940000,-36783000,-672000,19035000,-18420000,3209000,-11124000,-7915000,-13395000,-13395000,-13395000,48388000,214474000,-6949000,0.17173,0.08835,-0.19085,-0.01106,-0.00724,0.3071,0.91148,0.52749,0.06863,-0.25374,-0.25374,1.32954,22.94141,-0.07792,-0.00769,-0.00236,3.85802,17.82167
"4","2011_Q1",28.2551612903226,"Up",207586000,207586000,-132957000,74629000,-11209000,-4418000,-4728000,-2063000,63420000,-6044000,-9540000,3496000,57376000,-58799000,-1423000,-3656000,-5079000,-5079000,-5079000,-5079000,66118000,66118000,58880000,118340000,22848000,14889000,7959000,266186000,2790317000,42866000,58158000,57354000,2891341000,3157527000,135505000,88321000,63317000,71895000,71895000,270717000,130067000,715976000,474264000,241712000,846043000,1116760000,2579099000,-538332000,0,2040767000,2040767000,3157527000,-5079000,46116000,58394000,29966000,129397000,-26555000,-5200000,11060000,-20695000,-56650000,-13726000,-70376000,38326000,38326000,38326000,109536000,193384000,116603000,0.35951,0.30551,-0.02447,-0.00249,-0.00161,-22.95787,0.98326,0.54723,0.06125,-0.05689,-0.05689,2.32529,22.85985,1.30614,-0.00172,0.03952,1.16186,2.00672
"5","2011_Q2",27.8380952380952,"Down",199624000,199624000,-142515000,57109000,-18567000,-12231000,-2762000,-3574000,38542000,-7370000,-9304000,1934000,31172000,-5769000,25403000,-12939000,12464000,12464000,12464000,12464000,64427000,64427000,68875000,131491000,21516000,14932000,6584000,286309000,2753317000,38193000,59866000,59186000,2851376000,3137685000,98023000,59602000,59099000,57828000,57828000,214950000,146237000,719115000,479625000,239490000,865352000,1080302000,2583251000,-525868000,-147487.240310805,2057383000,2057383000,3137685000,12464000,50041000,27611000,-54330000,35786000,-15918000,-1229000,535000,-16612000,-4831000,-16034000,-20865000,-1691000,-1691000,-1691000,88583000,205336000,31274000,0.28608,0.19307,0.06244,0.00606,0.00397,2.50915,1.33198,0.52509,0.06544,0.13959,0.13902,2.23573,23.0421,0.35026,0.00418,0.01049,1.5907,3.65599
"6","2011_Q3",26.595,"Down",231090000,231090000,-134743000,96347000,-17008000,-1827000,-4077000,-11104000,79339000,-6539000,-9269000,2730000,72800000,-12787000,60013000,-21402000,38611000,38611000,38611000,38611000,107310000,106830000,74624000,155640000,19640000,13112000,6528000,357214000,2724250000,49997000,57510000,56946000,2831757000,3188971000,116499000,66235000,55839000,66256000,65794000,238594000,135322000,719459000,483897000,235562000,854781000,1093375000,2584240000,-487257000,-1387000,2095596000,2095596000,3188971000,38611000,57641000,19586000,-4774000.00000001,111064000,-25763000,-11881000,3098000,-34546000,-15568000,-18547000,-34115000,42403000,42403000,42403000,136980000,191161000,127845000,0.41692,0.34333,0.16708,0.01842,0.01211,3.3111,1.49716,0.52175,0.05994,0.43233,0.43039,2.5875,23.46429,1.43147,0.01284,0.04253,0.61214,1.05687
"7","2011_Q4",25.7050793650794,"Down",343575000,343575000,-199905000,143670000,-16279000,-8236000,-4772000,-3271000,127391000,-14590000,-7980000,-6610000,112801000,-54135000,58666000,-27606000,31060000,31060000,31060000,31060000,209042000,207882000,84153000,126155000,34692000,22494000,12198000,454042000,2705790000,55213000,56174000,55790000,2817177000,3271219000,143024000,74800000,51639000,81692000,81692000,276355000,124491000,745399000,487336000,258063000,869890000,1146245000,2585347000,-456197000,-4176000,2124974000,2124974000,3271219000,31060000,58652000,61245000,30954000,181911000,-38099000,-8804000,1892000,-45011000,-17541000,-18307000,-35848000,101052000,101052000,101052000,186043000,176130000,206504000,0.41816,0.37078,0.0904,0.01462,0.00949,6.64855,1.64297,0.53942,0.05384,0.34724,0.34611,3.84102,23.75626,2.30862,0.0102,0.06778,-0.17691,-0.25835
"8","2012_Q1",26.5838709677419,"Up",246911000,246911000,-166884000,80027000,-18094000,-9085000,-7517000,-1492000,61933000,-12885000,-8221000,-4664000,49048000,15115000,64163000,-52799000,11364000,11364000,11364000,11364000,195266000,175012000,83497000,132781000,53339000,24218000,27252000,464883000,2688703000,60158000,50697000,50434000,2799558000,3264441000,143192000,78590000,32602000,76287000,76234000,252081000,115861000,759778000,527573000,232205000,875639000,1127720000,2586529000,-444833000,-4975000,2136721000,2136721000,3264441000,11364000,58166000,27939000,-10057000,87412000,-40208000,-27587000,3003000,-64792000,-33879000,-21611000,-55490000,-32870000,-32870000,-32870000,120099000,148463000,122633000,0.32411,0.25083,0.04602,0.00532,0.00348,10.79136,1.84418,0.52778,0.04548,0.12699,0.12655,2.75924,23.87798,1.37043,0.00373,0.04027,-0.3897,-0.7557
"9","2012_Q2",19.3874603174603,"Down",204564000,204564000,-145146000,59418000,-15231000,-7596000,-6567000,-1068000,44187000,-1663000,-6670000,5007000,42524000,-23113000,19411000,-15436000,3975000,3975000,3975000,3975000,153199000,151883000,84782000,151049000,51806000,19943000,29773000,440836000,2668933000,61909000,54815000,54613000,2785657000,3226493000,92250000,64307000,80857000,75876000,75592000,248983000,63934000,772023000,535180000,236843000,835957000,1084940000,2586962000,-440858000,-4551000,2141553000,2141553000,3226493000,3975000,52592000,37268000,-76833000,17002000,-31647000,-1035000,20203000,-12479000,-5166000,-22486000,-27652000,-23129000,-23129000,-23129000,96779000,144791000,3735000,0.29046,0.21601,0.01943,0.00186,0.00123,0.93962,1.77055,0.50661,0.04488,0.04437,0.04425,2.28331,23.90366,0.04169,0.0013,0.00122,-0.0868800000000001,-0.19028
"10","2012_Q3",20.914126984127,"Up",254406000,254406000,-192847000,61559000,-15172000,-8594000,-6305000,-273000,46387000,-10778000,-7557000,-3221000,35609000,11226000,46835000,-23862000,22973000,22973000,22973000,22973000,200304000,199397000,70443000,145144000,54836000,22184000,30562000,470727000,2638789000,66502000,57492000,57360000,2762783000,3233510000,110476000,66991000,82708000,76455000,76402000,269639000,53974000,749187000,545031000,204156000,803161000,1072800000,2588822000,-417885000,-10227000,2160710000,2160710000,3233510000,22973000,61024000,4371000,24834000,113202000,-32238000,-6831000,1677999.99999999,-37391000,-9078000,-19219000,-28297000,47514000,47514000,47514000,107411000,136682000,123869000,0.24197,0.18233,0.0903,0.01063,0.0071,5.39194,1.74577,0.4965,0.04227,0.25631,0.25602,2.83837,24.10673,1.38199,0.00754,0.04066,-0.59232,-1.37155
