"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",41.1365079365079,"Down",-870745,-755587,-115158,-870745,133,133,-870612,-870612,-870612,-870612,-870612,-870612,951882,951882,65099,65099,1016981,1130,1130,1018111,1053912,559797,494115,1053912,1053912,15770380,-15806181,-35801,-35801,1018111,-870612,264,257600,-25143,-637891,3761660.74094452,-637891,-637891,-637891,-870481,0,24.31809,-0.85512,0.96496,-29.43806,0,-2.18803,-2.18803,-0.08998,24.31809,1.09351,1.09318
"2","2010_Q3",41.61875,"Up",-496764,-409810,-86954,-496764,-17536,-17536,-514300,-488001,-488001,-488001,-488001,-488001,1042614,1042614,198557,44423,1241171,866,866,1242037,451580,122206,329374,451580,1469251,16066968,-16294182,-227214,-227214,1242037,-488001,264,133826,-555357,-909268,1e+06,90732.0000000002,90732.0000000002,90732.0000000002,-496500,1017671,2.14776,-0.3929,2.74851,-6.46638,0.81936,-1.22645,-1.22645,-0.57104,-0.617369999999998,0.0502400000000001,0.0502100000000001
"3","2010_Q4",30.16875,"Down",-727771,-584983,-142788,-727771,-18689,-18689,-746460,-746460,-746460,-746460,-746460,-746460,467278,467278,111497,93097,578775,602,602,579377,363200,75859,287341,363200,1399775,16220244,-17040642,-820398,-820398,579377,-746460,264,307914,-137054,-575336,0,-575336,-575336,-575336,-727507,1036575,0.90988,-1.28838,1.59354,-1.70621,1.78912,-1.87601,-1.87601,-2.06183,-3.453,-0.78253,-0.78225
"4","2011_Q1",17.6064516129032,"Down",-407280,-557592,150312,-407280,-18875,-18875,-426155,-426155,-426155,-426155,-426155,-426155,291462,291462,60492,60492,351954,338,338,352292,255035,73632,181403,335035,1390514,16428575,-17466797,-1038222,-1038222,352292,-426155,264,245635,4440,-175816,0,-175816,-175816,-175816,-407016,1055479,0.41047,-1.20966,1.0505,-1.33932,2.99603,-1.07102,-1.07102,-2.60927,-24.69462,-1.87712,-1.8759
"5","2011_Q2",6.5015873015873,"Down",-413820,-326604,-87216,-413820,-18493,-18493,-432313,-432313,-432313,-432313,-432313,-432313,70866,70866,62066,62066,132932,74,74,133006,380749,160816,219933,460749,1534721,16497395,-17899110,-1401715,-1401715,133006,-432313,264,87313,124140,-220596,-90489.6228335668,-220596,-220596,-220596,-413556,1073972,0.30842,-3.25033,0.28851,-1.09489,8.07461,-1.08649,-1.08649,-3.5228,1.31906,-2.42556,-2.42402
"6","2011_Q3",3.5875,"Down",-145767,-121429,-24338,-145767,-18698,-18698,-164465,-164465,-164465,-164465,-164465,-164465,5553.00000000003,5553.00000000001,70781,70781,76334,2552.13833931935,2546.09587963428,76334,406300,176062,230238,1598970,1598970,16540939,-18063575,-1522636,-1522636,76334,-164465,74,62242,36836,-65313,-211057.404722611,-65313,-65313,-65313,-145693,1092670,0.10801,-2.15454,0.04774,-1.05013,14.31433,-0.41333,-0.41333,-3.8267,0.382509999999999,-7.4617,-7.45791
"7","2011_Q4",4.4,"Up",-66496,-66496,0,-66496,-18904,-18904,-85400,-85400,-85400,-85400,-85400,-85400,2154,2154,74368,74368,76522,7003.67889081378,6990.26767831576,76522,408649,178411,230238,1647760,1647760,16577737,-18148975,-1571238,-1571238,76522,-85400,0,55702,-1238,-30936,27537.0000000001,-3399,-3399,-3399,-66496,1111574,0.05435,-1.11602,0.04644,-1.0487,14.5262,-0.21463,-0.21463,-3.94885,0.18579,-16.68401,-16.68401
"8","2012_Q1",2.97822580645161,"Down",-313145,-313145,0,-313145,-18905,-18905,-332050,-271758,-271758,-271758,-271758,-371758,146160,146160,14797,14797,160957,11522.6299969013,11508.5556378394,160957,330483,274699,55784,1860962,1860962,16820728,-18520733,-1700005,-1700005,160957,-271758,-7.105427357601e-15,255746,41697,25685,118321,144006,144006,144006,-313145,1430479,0.21868,-2.30967,0.0864899999999999,-1.09468,8.88734,-0.9352,-0.9352,-4.27655,1.3793,-4.10136,-4.10136
"9","2012_Q2",3.27587301587302,"Up",-451919,-308956,-142963,-351919,-21082,-21082,-373001,-1379088,-1379088,-1379088,-1379088,-1379088,146711,146711,63773,63773,210484,14203,14203,224687,321540,256708,64832,930499,930499,19194009,-19899821,-705812,-705812,224687,-1379088,404,1145674,-101832,-334842,350000,551,551,551,-351515,608959,1.9539,-6.13782,0.22621,-1.31834,2.71025,-1.29702,-1.29702,-0.66381,14.23898,-1.31502,-1.31351
"10","2012_Q3",4.89444444444444,"Up",-1118278,-984667,-133611,-1118278,2008,2008,-1116270,-1305593,-1305593,-1305593,-1305593,-1505593,7717292,7717292,163677,45945,7880969,14061,14061,7895030,491199,423500,67699,491199,491199,28809245,-21405414,7403831,7403831,7895030,-1305593,843,922432,99755,-282563,7853845,7570581,7570581,7570581,-1117435,0,-0.203349999999999,-0.190699999999998,16.04435,0.0663399999999998,-4.44089209850063e-16,-0.38853,-0.38853,1.91063,-0.203349999999997,6.90626,6.90105
