"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.03698412698413,"Up",1727447000,-1409060000,318387000,-145532000,-145532000,172855000,-3297000,-6561000,169558000,169558000,-57289000,112269000,112269000,-1062000,111207000,111207000,-493590518.182331,-549124431.338238,-320194714.130815,-320194714.130815,598772451.30391,-58852529.2611902,45029292.1405276,-31134911.664539,-273865310.270426,951722065.910662,2177725102.63167,-1226003036.72101,406227302.224017,646390410.713949,151211277.565047,-195190440.929742,276183687.212887,1357949368.13468,1084084057.86425,-976724352.407383,-1416754969.91007,867635384.278837,-52838592.6106845,-374766174.165468,-747923037.055112,-628120899.225547,331137663.591853,247275884.557925,83861779.335217,-833454151.114465,-1581377188.16958,199970611.340053,8097551.11613472,2695967466.79443,-196739858.253908,2699198219.88058,-33736973.8467452,2665461246.03383,1084084057.86425,112269000,30850000,4038000,-33222000,113935000,-17652000,-565000,-18601000,-25373000,-9672000,-31494000,63840000,63840000,-10969593.8228196,63840000,203705000,0,210120000,0.18431,0.10006,0.06438,0.0831485109193857,0.0765091567537769,1.88945,2.75364964776824,-0.665524173834112,-0.140862922742716,0.20811,0.2054,3.23276,5.00409490458936,0.39322,0.04748,0.080737176779518,-0.191688624595751,0.22816,0.95728079871047,1.7495771669561
"2","2010_Q3",8.513125,"Up",1699782000,-1419315000,280467000,-146782000,-146782000,133685000,-1199000,-6574000,132486000,132486000,-53951000,78535000,78535000,-673000,77862000,77862000,137887160.60589,85888189.5539207,165076095.289728,165076095.289728,738870817.101303,59214156.9129366,22646430.7135092,315696.111820333,1101048229.90986,936959688.636887,2177340367.54389,-1240380678.907,950173767.408005,633554136.90465,147441759.188349,-46586146.9765806,199625229.070962,1887133456.04489,2988181685.95475,167750215.864206,-208762323.303356,242590461.426279,5512802.46310518,128409275.278177,477350654.314963,-251248359.690219,455201887.863951,370974961.519308,84226926.4450724,150337949.628512,627688603.943474,60499870.4466845,7883850.37204491,2502943822.26481,-196208952.751303,2367234739.96019,-6741657.94891506,2360493082.01128,2988181685.95475,78535000,30621000,1960000,-45713000,65403000,-20103000,-80580000,-128443000,-28027000,-5953000,-30871000,-93911000,-93911000,-3751796.91140979,-93911000,164306000,5.96046447753906e-08,152441000,0.165,0.07865,0.04581,0.0414361703064619,0.0323297189179256,1.95784,2.01238321592275,0.291011942055296,0.0313323590857614,0.14571,0.14357,3.18088,4.42292163486312,0.28527,0.05245,0.0422057255931727,-0.0358728748652502,0.35996,0.0443602662368235,0.192915722318699
"3","2010_Q4",9.410625,"Up",1730451000,-1445536000,284915000,-146523000,-146523000,138392000,-3961000,-6493000,134431000,134431000,-48067000,86364000,86364000,-994000,85370000,85370000,427131000,376917000,383892000,383892000,790875000,108684000,13342000,17420000,1710582000,928163000,2180639000,-1252476000,1206281000,628820000,144268000,31238000,164228000,2134444000,3845026000,666111000,297110000,9374000,31594000,328033000,1016111000,0,521193000,433649000,87544000,521193000,1537304000,7798000,7798000,2483635000,-188175000,2303258000,4464000,2307722000,3845026000,86364000,30647000,-1845000,-22882000,92284000,-22799000,175000,-22458000,-28029000,-20766000,-48090000,21736000,21736000,24067.6961967363,21736000,169039000,3.5e+08,171425000,0.16465,0.07997,0.04933,0.03699,0.0222,2.00802,1.68346,0.66616,0.09103,0.16023,0.1579,3.24783,4.32292,0.32174,0.05261,0.03567,0.05393,0.32832,-0.45629,-0.55734
"4","2011_Q1",10.4474193548387,"Up",2063039000,-1708066000,354973000,-166456000,-166456000,188517000,-441000,-6961000,188076000,188076000,-65468000,122608000,122608000,-1460000,121148000,121148000,518440000,467845000,430939000,430939000,793771000,115016000,12153000,23635000,1858166000,922103000,2187255000,-1265152000,1273649000,629023000,141522000,61272000,155017000,2195752000,4053918000,751213000,361287000,9339000,37489000,343098000,1101213000,150624179.845109,546066000,454998000,91068000,546066000,1647279000,7793000,7793000,2568774000,-175910000,2400657000,5982000,2406639000,4053918000,122608000,33473000,21695000,36134000,213910000,-24354000,-64494000,-88974000,-27945000,-10299000,-35311000,89625000,89625000,1303000,90928000,221990000,3.5e+08,299238000,0.17206,0.09138,0.05872,0.05034,0.02988,2.47002,1.68738,0.68447,0.08634,0.22758,0.22385,3.87553,4.50977,0.56214,0.0525,0.04514,0.0906,0.23067,-0.75877,-0.8935
"5","2011_Q2",11.542380952381,"Up",1921558000,-1547553000,374005000,-145161000,-145161000,228844000,767000,-6579000,229611000,229611000,-79576000,150035000,150035000,-1209000,148826000,148826000,649532000,598813000,406677000,406677000,787280000,105741000,13612000,22655000,1949230000,915632000,2197759000,-1282127000,1258086000,630707000,139023000,64572000,155567000,2173718000,4122948000,670203000,267814000,61959000,37615000,302815000,1020203000,225624179.845109,550761000,456234000,94527000,550761000,1570964000,25817000,7821000,2683690000,-161794000,2547713000,4271000,2551984000,4122948000,150035000,31197000,5277000,-21177000,165332000,-15457000,4143000,-18521000,-27904000,10284000,-16873000,129938000,129938000,1030000,130968000,260041000,3.5e+08,302983000,0.19464,0.11909,0.07745,0.05832,0.0361,2.03582,1.91063,0.61559,0.08489,0.27916,0.27384,3.60436,4.77887,0.56832,0.05234,0.05119,0.08775,0.18749,-1.15186,-1.30889
"6","2011_Q3",11.3034375,"Down",1959041000,-1632814000,326227000,-160136000,-160136000,166091000,1457000,-7187000,167548000,167548000,-56846000,110702000,110702000,-1123000,109579000,109579000,964706000,913704000,405792000,405792000,810388000,106318000,12756000,17937000,2287204000,905521000,2211785000,-1306264000,1258692000,630707000,136603000,64128000,150903000,2164213000,4451417000,655936000,277116000,8586999.99999999,44056000,326177000,1005936000,2.5e+08,552233000,457057000,95176000,802233000,1808169000,27798000,7835000,2759116000,-149099000,2637815000,5433000,2643248000,4451417000,110702000,31084000,-16554000,-14645000,110587000,-18264000,4322000.00000001,-13942000,-34021000,-1238000,217758000,314403000,314403000,488000,314891000,197175000,6e+08,221112000,0.16652,0.08478,0.05594,0.04146,0.02462,2.01783,2.27371,0.68407,0.13479,0.20505,0.20081,3.66577,4.9359,0.41375,0.06366,0.03783,0.05826,0.31047,-1.84966,-2.19582
"7","2011_Q4",11.6868253968254,"Up",1910592000,-1612737000,297855000,-156595000,-156595000,141260000,78000,-5623000,141338000,141338000,-41374000,99964000,99964000,-1483000,98481000,98481000,573489000,497364000,427927000,427927000,865875000,109830000,11859000,10842000,1977121000,895895000,2222613000,-1326718000,1276513000,630707000,134330000,87424000,147196000,2172408000,4149529000,700963000,301578000,9034000,37352000,352999000,700963000,2.5e+08,531951000,458258000,73693000,781951000,1482914000,7803000,7803000,2806391000,-154554000,2659640000,6975000,2666615000,4149529000,99964000,30646000,3032000,-90136000,43506000,-19036000,-21455000,-40491000,-34066000,-39154000,-419977000,-416962000,-416962000,622000,-416340000,171906000,2.5e+08,104108000,0.1559,0.07394,0.05154,0.03693,0.02373,1.05714,2.82058,0.5561,0.06025,0.18447,0.18053,3.57889,4.982,0.19501,0.06381,0.03844,0.03019,0.34591,-1.88178,-2.29003
"8","2012_Q1",11.7261290322581,"Up",2103898000,-1767872000,336026000,-156694000,-156694000,179332000,1007000,-3273000,180339000,180339000,-61844000,118495000,118495000,-1186000,117309000,117309000,539207000,463130000,461110000,461110000,885823000,112091000,10048000,8417000,1998231000,907090000,2248830000,-1341740000,1339070000,630884000,132046000,80208000,140420000,2246160000,4244391000,778186000,390171000,8137000,34500000,345378000,778186000,2.5e+08,556389000,473688000,82701000,806389000,1584575000,7734000,7734000,2824331000,-175483000,2656582000,3234000,2659816000,4244391000,118495000,31238000,-1856000,23177000,171054000,-39768000,-58263000,-98031000,-33984000,-69042000,-106410000,-33387000.0000001,-33387000.0000001,-847000,-34234000,210570000,2.5e+08,255823000,0.15972,0.08524,0.05576,0.0441,0.02764,2.18076,2.56781,0.59575,0.0589,0.22143,0.21699,3.97136,5.01461,0.4829,0.06415,0.04365,0.0738,0.2897,-1.37345,-1.61269
"9","2012_Q2",11.8763492063492,"Up",2039439000,-1702030000,337409000,-152477000,-152477000,184932000,9377000,-3214000,194309000,194309000,-64976000,129333000,129333000,-938000,128395000,128395000,625001000,548618000,422505000,422505000,882828000,91397000,12952000,8960000,2021731000,908282000,2269554000,-1361272000,1340281000,630875000,129620000,78226000,142582000,2248563000,4270294000,724586000,308721000,40875000,42751000,332239000,724586000,2.5e+08,556602000,475061000,81541000,806602000,1531188000,7731000,7731000,2912503000,-185336000,2734898000,4208000,2739106000,4270294000,129333000,30815000,3052000,-11040000,152160000,-29403000,998000,-28573000,-33600000,-7232000,-38903000,84684000,84684000,804000,85488000,215747000,2.5e+08,240280000,0.16544,0.09068,0.06296,0.04687,0.03007,1.87141,2.79019,0.55901,0.05854,0.24322,0.23811,3.86336,5.18079,0.45517,0.06365,0.04569,0.06777,0.26169,-1.73815,-2.02778
"10","2012_Q3",11.7449206349206,"Down",2012859000,-1677252000,335607000,-148684000,-148684000,186923000,6871000,-3283000,193794000,193794000,-64859000,128935000,128935000,-1048000,127887000,127887000,601590000,524779000,439348000,439348000,912672000,106465000,11986000,8345000,2060075000,908529000,2292665000,-1384136000,1346059000,630875000,127593000,79896000,138977000,2254588000,4314663000,699968000,318432000,6776000,40151000,334609000,699968000,2.5e+08,558872000,476173000,82699000,808872000,1508840000,7713000,7713000,2980353000,-187529000,2800537000,5286000,2805823000,4314663000,128935000,28892000,-7595000,-89361000,60871000,-27011000,3748000.00000001,-23263000,-39586000,-24828000,-61709000,-24101000,-24101000,262000,-23839000,215815000,2.5e+08,164302000,0.16673,0.09286,0.06354,0.04558,0.02964,1.28474,2.9431,0.53775,0.05794,0.24257,0.23765,3.81787,5.31189,0.31164,0.07508,0.04633,0.04545,0.30954,-1.62913,-1.88093
