"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",30.3512698412698,"Up",56774000,-22891000,33883000,-4.3e+07,-33728000,-9272000,-9117000,41000,41000,-9076000,-9076000,352000,-8724000,-8724000,-8724000,-8724000,88277000,65482000,22795000,47334000,47334000,16471000,4671000,10256000,152082000,35452000,12938000,12764000,48390000,200472000,38208000,8550000,29658000,113597000,113597000,151805000,23314000,17902000,5412000,23314000,175119000,39090000,-82504000,286000,25353000,25353000,200472000,-8724000,2826000,10085000,2752000,6939000,-11668000,-7550000,0,-19218000,-59000,832000,-1867000,-1789000,-14068000,-14068000,-590000,-14658000,-6291000,0,-15559000,0.5968,-0.16058,-0.15366,-0.3441,-0.04352,1.78347,1.00182,6.90723,0,-0.31394,-0.31394,2.04307,-1.55201,-0.55991,-0.17926,-0.3197,14.03227,9.68268
"2","2012_Q4",32.1729032258065,"Up",64345000,-27574000,36771000,-50118000,-39335000,-10783000,-13347000,615000,615000,-12732000,-12732000,-321000,-13053000,-13053000,-13053000,-13053000,256461000,116976000,139485000,55924000,55924000,19492000,5675000,12273000,331877000,39086000,11241000,11241000,50327000,382204000,37718000,5680000,32038000,128970000,128970000,166688000,24248000,18976000,5272000,24248000,190936000,286499000,-95557000,326000,191268000,191268000,382204000,-13053000,3969000,15597000,2564000,9077000,-11930000,-117203000,0,-129133000,215999.999999999,216000.000000001,1440000,171455000,51399000,51399000,95000,51494000,-9378000,0,-18423000,0.57147,-0.20743,-0.20286,-0.06824,-0.03415,1.4114,1.99101,0.998260000000001,0,-0.1109,-0.1109,0.5467,1.62507,-0.15653,-0.06057,-0.08548,27.34709,19.21488
"3","2013_Q1",31.7576666666667,"Down",75162000,-32308000,42854000,-52392000,-39157000,-13235000,-9538000,456000,456000,-9082000,-9082000,-849000,-9931000,-9931000,-9931000,-9931000,314691000,118989000,195702000,78163000,78163000,29235000,14256000,14979000,422089000,42342000,13683000,13087000,56025000,478114000,57663000,9604000,48059000,153964000,153964000,211627000,23082000,16397000,6685000,23082000,234709000,348929000,-105488000,-36000,243405000,243405000,478114000,-9931000,4665000,12411000,9526000,16671000,-9910000,-57031000,37000,-66904000,1563000,1563000,51722000,52246000,2013000,2013000,0,2013000,-4873000,0,-4408000,0.57016,-0.1269,-0.13213,-0.0408,-0.02077,0.44386,1.9945,0.96427,0,-0.07943,-0.07943,0.60118,1.94686,-0.03526,-0.03727,-0.01654,64.57849,32.99339
"4","2013_Q2",38.163125,"Up",85939000,-32308000,53631000,-66544000,-50505000,-16039000,-12913000,119000,119000,-12794000,-12794000,-564000,-13358000,-13358000,-13358000,-13358000,338866000,144782000,194084000,79844000,79844000,28526000,10176000,17690000,447236000,54284000,14433000,14433000,68717000,515953000,50202000,9770000,40432000,178911000,178911000,229113000,22913000,15854000,7059000,22913000,252026000,383929000,-118846000,-1156000,263927000,263927000,515953000,-13358000,4364000,17237000,6780000,15023000,-10415000,-596000,0,-11011000,21468000,21468000,1153000.00000001,22621000,26633000,26633000,-840000,25793000,-8549000,0,-11620000,0.62406,-0.15026,-0.15544,-0.05061,-0.02589,0.86989,1.95203,0.95491,8.67361737988404e-19,-0.10293,-0.10293,0.66218,2.03362,-0.08953,-0.04657,-0.04051,39.63809,26.24224
"5","2013_Q3",45.96875,"Up",102222000,-35998000,66224000,-85567000,-67616000,-17951000,-19343000,-1323000,-1323000,-20666000,-20666000,-739000,-21405000,-21405000,-21405000,-21405000,253780000,120233000,133547000,92765000,92765000,30264000,9093000,21171000,376809000,57253000,15929000,15929000,165524000,542333000,56807000,10016000,46791000,192365000,192365000,249172000,25266000,17675000,7591000,25266000,274438000,409978000,-140251000,-1832000,267895000,267895000,542333000,-21405000,5339000,22209000,3593000,9736000,-11820000,-33418000,-163000,-45401000,10362000,10362000,720000,11082000,-24583000,-24583000,34000,-24549000,-14004000,0,-21492000,0.64784,-0.18923,-0.2094,-0.0799,-0.03947,1.00406,1.51224,1.02442,0,-0.1592,-0.1592,0.76027,1.99246,-0.15985,-0.07301,-0.07331,18.12197,13.11999
"6","2013_Q4",52.84125,"Up",111259000,-41575000,69684000,-84334000,-63515000,-20819000,-14650000,6e+05,6e+05,-14050000,-14050000,-663000,-14713000,-14713000,-14713000,-14713000,220138000,121094000,99044000,84527000,84527000,37754000,12919000,24835000,342419000,68642000,35056000,20341000,236317000,578736000,57594000,7930000,49664000,210545000,210545000,268139000,23001000,15256000,7745000,23001000,291140000,443222000,-154964000,-662000,287596000,287596000,578736000,-14713000,6613000,27964000,855999.999999999,20720000,-16824000,-6570999.99999999,-11000,-36736000,16003000,16003000,-754000,15249000,-767000,-767000,1628000,861000,-8037000,0,-23342000,0.62632,-0.13167,-0.13224,-0.05116,-0.02542,1.58649,1.27702,1.01232,0,-0.10704,-0.10704,0.80941,2.09227,-0.16981,-0.04737,-0.07515,27.39057,15.02648
"7","2014_Q1",63.6314754098361,"Up",125230000,-45378000,79852000,-99213000,-75344000,-23869000,-19361000,-4326000,-828000,-23687000,-23687000,-545000,-24232000,-24232000,-24232000,-24232000,634554000,366303000,268251000,108339000,108339000,54856000,23733000,31123000,797749000,75560000,39811000,25291000,370727000,1168476000,75535000,7405000,68130000,252553000,252553000,328088000,31352000,14169000,17183000,446129000,774217000,573931000,-179196000,-476000,394259000,394259000,1168476000,-24232000,7836000,34460000,18203000,36267000,-16262000,-293382000,-3000,-309647000,8126000,8126000,-51449000,519618000,246238000,246238000,-1029000,245209000,-11525000,414777000,-9039000,0.63764,-0.1546,-0.1935,-0.06146,-0.02074,0.37302,2.43151,1.96373,0.35497,-0.17312,-0.17312,0.89469,2.81673,-0.06458,-0.02883,-0.01076,19.06959,11.35153
"8","2014_Q2",53.3969841269841,"Down",139090000,-53114000,85976000,-122157000,-91047000,-31110000,-36181000,-5963000,-5963000,-42144000,-42144000,-1167000,-43311000,-43311000,-43311000,-43311000,655762000,337920000,317842000,107932000,107932000,64931000,32044000,32887000,828625000,86200000,40801000,26341000,395636000,1224261000,71283000,22664000,48619000,294223000,294223000,365506000,33173000,14249000,18924000,455013000,820519000,626525000,-222507000,-276000,403742000,403742000,1224261000,-43311000,7938000,48840000,10750000,24217000,-10968000,-64659999.9999999,-55000,-75683000,22214000,22214000,940000.000000007,23154000,-28312000,-28312000,-71000,-28383000,-28243000,421840000,-27294000,0.61813,-0.26013,-0.31139,-0.10727,-0.03538,0.63019,2.26706,2.03229,0.34457,-0.30488,-0.30488,0.97909,2.84205,-0.19213,-0.05043,-0.03178,8.28248,6.46533
"9","2014_Q3",59.0021875,"Up",166757000,-58938000,107819000,-152290000,-116851000,-35439000,-44471000,-5231000,-5231000,-49702000,-49702000,-661000,-50363000,-50363000,-50363000,-50363000,677480000,329275000,348205000,109246000,109246000,57933000,23828000,34105000,844659000,96483000,41521000,27609000,417584000,1262243000,86760000,22463000,64297000,316287000,316287000,403047000,32054000,12565000,19489000,461079000,864126000,670387000,-272870000,6e+05,398117000,398117000,1262243000,-50363000,8692000,57563000,26167000,42059000,-16437000,-40591000,0,-57028000,6597000,6597000,-323000,6274000,-8695000,-8695000,50000,-8645000,-35779000,429025000,-25388000,0.64656,-0.26668,-0.30201,-0.1265,-0.0399,0.5041,2.09568,2.17053,0.33989,-0.34864,-0.34864,1.15437,2.75596,-0.17575,-0.05862,-0.02955,6.94416,5.5869
"10","2014_Q4",63.65671875,"Up",178712000,-66086000,112626000,-147125000,-107442000,-39683000,-34499000,-5949000,-5949000,-40448000,-40448000,-602000,-41050000,-41050000,-41050000,-41050000,646072000,235086000,410986000,111164000,111164000,64163000,27787000,36376000,821399000,96977000,148185000,31537000,483213000,1304612000,80826000,11416000,69410000,338451000,338451000,419277000,31588000,12344000,19244000,467920000,887197000,737657000,-313920000,-6322000,417415000,417415000,1304612000,-41050000,12104000,62807000,-8861000,2.5e+07,-18094000,-23107000,0,-141014000,25587000,25587000,79000.0000000019,25666000,-90348000,-90348000,-3841000,-94189000,-22395000,436332000,-48748000,0.63021,-0.19304,-0.2297,-0.09834,-0.03147,1.18753,1.95908,2.12546,0.33445,-0.28052,-0.28052,1.22125,2.85245,-0.33312,-0.04637,-0.05506,9.36548,6.0796
