"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","liabilities_from_discontinued_operations_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",25.0773015873016,"Down",396242000,-208698000,187544000,-83171000,-20639000,-1815000,-60717000,104373000,-4370000,-4385000,15000,100003000,1011000,101014000,-37212000,63802000,-567000,-567000,63235000,63235000,63235000,165569000,153053000,270509000,270509000,46370000,98048000,77488000,580496000,3273643000,366672000,14803000,14803000,3655118000,4235614000,215347000,58981000,156366000,320347000,3.8e+08,779285000,701257000,-981711.014273976,78028000,1159285000,1479632000,192827000,10706000,182121000,-28725000,2472875000,119005000,2755982000,2755982000,4235614000,63802000,60717000,13204000,-14444000,-963000,122316000,-62305000,-62284000,-5287000,-623000,1649000,-46299000,13733000,13733000,13733000,165090000,4.85e+08,125553000,0.47331,0.26341,0.15959,0.02294,0.01493,1.9855,1.81209,0.53688,0.11451,0.59896,0.58967,3.75318,26.10449,1.18923,0.05008,0.01704,0.03123,0.08361,1.93489,3.06048
"2","2010_Q3",25.22234375,"Up",436579000,-248480000,188099000,-87378000,-20543000,-3342000,-63493000,100721000,-3728000,-3751000,23000,96993000,985000,97978000,-23873000,74105000,-27358000,-27358000,46747000,46747000,46747000,125712000,125712000,288647000,288647000,45904000,90107000,71455000,550370000,3285139000,355654000,14476000,14476000,3655269000,4205639000,182933000,55994000,126939000,182933000,4.4e+08,787911000,710671000,801096.328575341,77240000,1227911000,1410844000,196055000,10706000,185349000,-27835000,2514320000,112255000,2794795000,2794795000,4205639000,74105000,63493000,20319000,-54582000,-142000,103193000,-76396000,-64003000,-5300000,932000,248000,-49120000,-9930000,-9930000,-9930000,164214000,4.4e+08,57109000,0.43085,0.23071,0.10708,0.01673,0.01112,1.22166,3.00859,0.50481,0.10462,0.44222,0.43492,4.12993,26.43807,0.54024,0.05014,0.01294,0.0142,0.11338,1.91389,3.12038
"3","2010_Q4",29.07125,"Up",483384000,-285583000,197801000,-88576000,-20114000,-3254000,-65208000,109225000,-2806000,-3021000,215000,106419000,2249000,108668000,-43785000,64883000,-101598000,-101598000,-36715000,-36715000,-36715000,77717000,77717000,3.35e+08,3.35e+08,43505000,93028000,66041000,549250000,3235863000,274620000,13921000,13921000,3524404000,4073654000,203290000,54137000,149153000,210978000,3.9e+08,767149000,692103000,1819000,73227000,1157149000,1368127000,199492000,10706000,188786000,-27333000,2471238000,62130000,2705527000,2705527000,4073654000,64883000,65208000,11376000,-33537000,-402000,107528000,-75202000,-75171000,-5304000,-7e+05,1419000,-54585000,-22228000,-22228000,-22228000,174433000,3.9e+08,109479000,0.4092,0.22596,-0.07595,-0.01357,-0.00901,-2.98186,2.60335,0.50568,0.09574,-0.34721,-0.34171,4.57131,25.58587,1.03533,0.05016,-0.00813,0.02834,-0.14446,1.79027,2.85908
"4","2011_Q1",37.8525806451613,"Up",558957000,-329198000,229759000,-97274000,-20183000,-3851000,-73240000,132485000,-2656000,-4190000,1534000,129829000,747000,130576000,-47285000,83291000,-246000,-246000,83045000,83045000,83045000,63020000,63020000,457659000,457659000,43402000,88723000,64171000,652804000,3275020000,320712000,16834000,16834000,3612566000,4265370000,224646000,80534000,144112000,232638000,3.6e+08,865267000,771383000,2278000,91606000,1225267000,1457905000,202606000,10706000,191900000,-27165000,2547917000,84107000,2807465000,2807465000,4265370000,83291000,73240000,74393000,-98818000,-2855000,129251000,-107802000,-107802000,-6363000,189000,28000,-36146000,-14697000,-14697000,-14697000,205725000,3.6e+08,46390000,0.41105,0.23702,0.14857,0.02958,0.01947,0.55861,2.80609,0.5193,0.0844,0.78481,0.77287,5.2824,26.53182,0.43841,0.06013,0.02217,0.0115,0.07662,1.44358,2.24161
"5","2011_Q2",40.6088888888889,"Up",594642000,-330046000,264596000,-96539000,-19889000,-3470000,-73180000,168057000,-3971000,-4137000,166000,164086000,2669000,166755000,-62390000,104365000,-215000,-215000,104150000,104150000,104150000,144467469.744976,144573863.005277,470423703.521981,470423703.521981,44263780.4728072,78651985.2770316,57275111.7833191,737806939.016796,3333433836.31321,415969716.053355,19224941.0796644,19224941.0796632,3768628493.44623,4506435432.46302,211654288.035019,83078958.0405388,128575329.99448,225044106.994659,343509537.241264,962348012.234291,854795325.487654,2390310.20535959,105223837.966827,1305857549.47556,1530901656.47021,206358291.687135,10704273.2268513,195654018.460284,-16674750.2714402,2644828050.26068,141022184.316433,2975533775.99281,2975533775.99281,4506435432.46302,104365000,73180000,42829000,18496000,-215000,238655000,-113196000,-117196000,-6376000,2988000,2733000,-10655000,110804000,110804000,110804000,241237000,0,208927000,0.44497,0.28262,0.17515,0.0422381233125186,0.0279297167400572,2.00602,3.36561759165378,0.515199438540076,0.0775432521788233,0.98226,0.96568,5.60819,28.0498723262186,1.97043,0.06013,0.030962767473911,0.0174141722731596,0.06122,0.907433533418557,1.37542190592749
"6","2011_Q3",37.809375,"Down",604406000,-340039000,264367000,-104207000,-24406000,-3640000,-76161000,160160000,-4925000,-5157000,232000,155235000,4105000,159340000,-60379000,98961000,-170999.999999996,-170999.999999996,98790000,98790000,98790000,240685000,240685000,433180000,433180000,45843000,83879000,61406000,803587000,3420635000,480939000,20551000,20551000,3922125000,4725712000,209866000,71108000,138758000,215748000,3.5e+08,1032970000,928307000,2393000,102270000,1382970000,1598718000,210801000,10706000,200095000,-5898000,2738008000,184083000,3126994000,3126994000,4725712000,98961000,76161000,52405000,-14264000,-171000,213092000,-156033000,-156033000,-6408000,8127000,8083000,9802000,66861000,66861000,66861000,236321000,3.5e+08,126403000,0.4374,0.26499,0.16345,0.03159,0.0209,1.27951,3.72466,0.51126,0.07406,0.92748,0.90971,5.67437,29.35731,1.18672,0.06016,0.02333,0.02803,0.06486,0.46257,0.68254
"7","2011_Q4",34.1895238095238,"Down",644095000,-365586000,278509000,-107579000,-24071000,-4399000,-79109000,170930000,-2508000,-2318000,-190000,168422000,4401000,172823000,-62995000,109828000,-2000,-2000,109826000,109826000,109826000,288065000,288065000,444214000,444214000,48911000,101419000,74253000,882609000,3553743000,453046000,21638000,21638000,4028427000,4911036000,256739000,74312000,182427000,261909000,3.5e+08,1078889000,984767000,2461000,91661000,1428889000,1690798000,215723000,10714000,205009000,-4704000,2840315000,168904000,3220238000,3220238000,4911036000,109828000,79109000,58550000,-2789000,-2000,244696000,-202809000,-198877000,-6438000,2619000,536000,1561000,47380000,47380000,47380000,250039000,3.5e+08,107436000,0.4324,0.26538,0.17051,0.0341,0.02236,0.97824,3.36991,0.52505,0.07127,1.02678,1.00958,6.02172,30.10637,1.00443,0.06019,0.02501,0.02311,0.05862,0.2477,0.36234
"8","2012_Q1",38.8562903225806,"Up",700751000,-396931000,303820000,-114359000,-23086000,-4255000,-87018000,189461000,-4953000,-3792000,-1161000,184508000,3641000,188149000,-66635000,121514000,-94000.0000000002,-94000.0000000002,121420000,121420000,121420000,364246000,364246000,460540000,460540000,54407000,77120000,49736000,956313000,3677070000,347924000,22584000,22584000,4047578000,5003891000,296750000,103852000,192898000,416729000,2.35e+08,1082115000,975280000,2550000,104285000,1317115000,1733844000,221633000,10724000,210909000,-4704000,2954210000,98908000,3270047000,3270047000,5003891000,121514000,87018000,31509000,41162000,-94000,281109000,-195431000,-195431000,-7519000,1707000,1159000,-9497000,76181000,76181000,76181000,276479000,3.5e+08,188845000,0.43356,0.27037,0.17327,0.03713,0.02427,1.5553,2.29481,0.53022,0.06995,1.13409,1.11092,6.54516,30.54292,1.76385,0.07023,0.02742,0.04016,0.06193,-0.05153,-0.0751899999999999
"9","2012_Q2",30.8747619047619,"Down",732588000,-391032000,341556000,-115700000,-26163000,-3249000,-86288000,225856000,-2104000,-2125000,21000,223752000,4683000,228435000,-84138000,144297000,-11000,-11000,144286000,144286000,144286000,347859000,347859000,495389000,495389000,58907000,101273000,77707000,1003428000,3832001000,399995000,22463000,22463000,4254459000,5257887000,308678000,122232000,186446000,428849000,2.35e+08,1148230000,1048130000,2606000,97494000,1383230000,1812079000,229473000,10749000,218724000,-6396000,3090946000,131785000,3445808000,3445808000,5257887000,144297000,86288000,56939000,-50875000,-11000,236638000,-246788000,-246788000,-7522000,373000,912000,-6237000,-16387000,-16387000,-16387000,312144000,3.5e+08,98619000,0.46623,0.3083,0.19695,0.04187,0.02744,0.6835,2.33982,0.52588,0.06657,1.34613,1.3263,6.83474,32.14793,0.92007,0.07018,0.03071,0.01995,0.05213,0.00686,0.00948
"10","2012_Q3",30.3139682539683,"Down",769982000,-448208000,321774000,-122569000,-27805000,-3830000,-90934000,199205000,-2107000,-2065000,-41999.9999999999,197098000,7820000,204918000,-75155000,129763000,-44000.0000000001,-44000.0000000001,129719000,129719000,129719000,324385000,324385000,511203000,511203000,61410000,102362000,72910000,999360000,3975239000,444365000,22108000,22108000,4441712000,5441072000,265526000,98007000,167519000,385724000,2.35e+08,1218252000,1113285000,2364000,102603000,1453252000,1838976000,236673000,10756000,225917000,-6494000,3213113000,158804000,3602096000,3602096000,5441072000,129763000,90934000,39668000,-58137000,-44000,202184000,-220370000,-220370000,-7548000,1522000,738000,-5288000,-23474000,-23474000,-23474000,290139000,3.5e+08,86787000,0.4179,0.25871,0.16847,0.03601,0.02384,0.66904,2.59087,0.51053,0.06433,1.20798,1.18962,7.17029,33.54375,0.80819,0.07029,0.02655,0.01679,0.05819,0.08829,0.12859
"11","2012_Q4",33.1158064516129,"Up",819785000,-463935000,355850000,-125057000,-25576000,-4299000,-95182000,230793000,-1773000,-2082000,309000,229020000,1862000,230882000,-80939000,149943000,-18000,-18000,149925000,149925000,149925000,148866000,148866000,604347000,604347000,70419000,118945000,90681000,942577000,4170303000,382527000,22894000,22894000,4575724000,5518301000,293433000,88855000,204578000,413589000,2.35e+08,1235122000,1133306000,2422000,99394000,1470122000,1883711000,241803000,10759000,231044000,-84104000,3355603000,121288000,3634590000,3634590000,5518301000,149943000,95182000,46867000,-117818000,-18000,174156000,-275247000,-275247000,-7550000,-70925000,92000,-74428000,-175519000,-175519000,-175519000,325975000,3.5e+08,13849000,0.43408,0.28153,0.18288,0.04125,0.02717,0.09237,2.27902,0.51827,0.06343,1.40096,1.38275,7.6604,33.96305,0.12941,0.07055,0.03017,0.00265,0.05036,0.61702,0.87149
"12","2013_Q1",40.8,"Up",829447000,-447335000,382112000,-147590000,-27763000,-4682000,-115145000,234522000,-1035000,-1001000,-34000,233487000,4858000,238345000,-88739000,149606000,7509000,7509000,157115000,157115000,157115000,96095000,96095000,620489000,620489000,78777000,99867000,74693000,895228000,4351571000,451144000,23142000,23142000,4825857000,5721085000,336035000,159420000,176615000,381164000,1.95e+08,1309923000,1209040000,2490000,98393000,1504923000,1886087000,2.47e+08,10760000,236240000,-84104000,3505295000,166807000,3834998000,3834998000,5721085000,149606000,115145000,52337000,70257000,9000,387354000,-315381000,-307881000,-7429000,-5907000.00000003,47000.0000000002,-132244000,-52771000,-52771000,-52771000,349667000,2.35e+08,193282000,0.46068,0.28275,0.18942,0.04097,0.02746,1.23019,2.34867,0.49181,0.04108,1.48658,1.4649,7.848,36.28569,1.82878,0.07029,0.03058,0.03593,0.04728,0.39725,0.59229
