"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_marketable_securities","other_long_term_assets","prepaid_expense","investments_in_affiliates","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",70.095873015873,"Up",101184000,-24671000,76513000,-45633000,-5618000,-30487000,-9528000,30880000,-13022000,-20836000,-41000,7855000,17858000,6601361.04761155,17858000,17858000,17858000,-4189000,13669000,13127000,-126395696.682124,-126395696.682124,12189050.6443819,12189050.6443819,-79163773.8439066,3062959153.47025,3386426958.47315,-323467805.002907,91980885.984131,91980885.984131,260211893.584767,44916304.0167307,197546202.032943,3415151933.03914,3335988159.19524,-22909101.0155093,-59378179.7134975,36469078.6979883,1664536911.98726,158548661.925646,292501771.168268,1800176472.8974,4348999.93124133,4348999.93124133,-2727716.82288943,1797448756.07451,1555874198.21693,3000.00025182847,1555871198.21667,-270920300.235532,1315580979.77291,222958423.347812,1538539403.12073,3335988159.19524,52944469.0960101,-5369658.55119868,348424613.838608,739253437.165378,52975000,-30487000,-18256000,-70365000,41613000,-77495000,-30025000,40175000,18403000,-2381000,26172000,1652000,1652000,1652000,116984793.734978,0,0.75618,0.30519,0.12973,0.00747728934195312,0.0032737674615407,-0.0221031670532837,1.03879592202801,0.498929670716853,0.45316,0.45237,3.49298,42.1456488083837,1.03649,0.0130073174988958,2.28727,-18.5504940107245,115.453162721984
"2","2010_Q3",72.49703125,"Up",99752000,-24953000,74799000,-46953000,-6219000,-31052000,-9682000,27846000,-14279000,-18922000,-360000,5003000,13567000,-10000,13557000,13557000,13870000,-3845000,10025000,9482000,8367000,8367000,19429000,19429000,83005000,2971279000,3782393000,-811114000,92510000,92510000,177388000,25662000,137740000,3241177000,3324182000,76095000,41471000,34624000,1639955000,367817000,295621000,2083867000,4349000,4349000,7542000,2091409000,1324331000,3000,1324328000,-329757000,1019574000,213199000,1232773000,3324182000,23194823.0320034,18991113.8162671,143238204.612869,236728479.055126,36439000,-37718000,-20000,-7095000.00000003,-828000,-45661000,-30811000,6930000,46812000,-27654000,-4723000,-13945000,-13945000,-13945000,75711931.2449927,1643148000,0.74985,0.27915,0.09506,0.00769,0.00285,0.03983,1.69651,0.4943,0.32329,0.32249,3.40111,33.91063,1.05052,0.01399,3.24942,14.5237553297585,58.70793
"3","2010_Q4",77.738125,"Up",104326000,-27635000,76691000,-47776000,-6151000,-31529000,-10096000,28915000,-17039000,-21327000,-626000,4914000,11876000,-1615000,10261000,10261000,10426000,-3506000,6920000,6377000,14668000,14668000,21654000,21654000,91927000,3169771000,4012255000,-842484000,95933000,95933000,146122000,22842000,108894000,3411826000,3503753000,92422000,57274000,35148000,1711242000,447556000,375885000,2251220000,4349000,4349000,7558000,2258778000,1379062000,3000,1379059000,-365431000,1038631000,206344000,1244975000,3503753000,10426000,31637000,38364000,18840000,99267000,-151383000,-18000,-20222000,2864000,-168759000,-31114000,80286000,54534000,-27913000,75793000,6301000,6301000,6301000,60552000,1714451000,0.73511,0.27716,0.06113,0.00512,0.00182,0.04083,1.81432,0.48932,0.21478,0.21426,3.51374,34.13944,1.04793,0.01265,4.8791,28.07146,58.78551
"4","2011_Q1",81.8524193548387,"Up",105017000,-26790000,78227000,-52936000,-5267000,-35153000,-12516000,25291000,-17118000,-21671000,-688000,5241000,8173000,-687000,7486000,7486000,8628000,-3308000,5320000,4778000,13753000,13753000,21941000,21941000,85138000,3406539000,4182092000,-775553000,92310000,92310000,148900000,25188000,107840000,3647749000,3732887000,81155000,44750000,36405000,1832745000,459624000,453991000,2373524000,4349000,4349000,4349000,2377873000,1515471000,3000,1515468000,-390525000,1149946000,205068000,1355014000,3732887000,8628000,36326000,1834000,-18239000,28549000,-237354000,-31680000,-11046000,19427000,-260653000,-31679000,198783000,136471000,-72386000,231189000,-914999.999999993,-914999.999999993,-914999.999999993,61617000,1832745000,0.7449,0.24083,0.0455,0.00353,0.00128,0.03587,1.75487,0.49097,0.15574,0.15536,3.42295,36.66682,1.03255,0.01142,6.63018,29.52094,71.9225
"5","2011_Q2",93.2814285714286,"Up",112432000,-27837000,84595000,-53444000,-5274000,-36658000,-11512000,31151000,-19048000,-21811000,-1373000,4136000,12103000,736.26192256785,12103000,12103000,12507000,-3546000,8961000,8418000,97683000,97683000,23103000,23103000,169861000,3450327000,4365034000,-914707000,74779000,74779000,171719000,22921000,133161000,3696825000,3866686000,91155000,54221000,36934000,1961220000,442521000,439170000,2494896000,4349000,4349000,4349000,2499245000,1555419000,3000,1555416000,-416058000,1164361000,203080000,1367441000,3866686000,12507000,37031000,-1249000,9018000,57307000,-75799000,-6805000,-29700000,28118000,-84186000,-32995000,112645000,39797000,-8638000,110809000,83930000,83930000,83930000,68182000,1961220000,0.75241,0.27707,0.07487,0.00616,0.00218,0.06808,1.82768,0.50721,0.26753,0.26684,3.57315,36.20948,1.0486,0.01243,3.91958,27.3318,59.8227
"6","2011_Q3",97.29671875,"Up",116327000,-28946000,87381000,-54532000,-5385000,-37250000,-11897000,32849000,-22091000,-22707000,726000,-110000,10758000,-253000,10505000,10505000,16053000,-2305000,13748000,10325000,8809000,8809000,24038000,24038000,82803000,3428778000,4274344000,-845566000,75673000,75673000,238601000,25444000,197364000,3743052000,3825855000,87552000,49577000,37975000,2044461000,242741000,241235000,2374754000,4349000,4349000,4349000,2379103000,1687694000,3000,1687691000,-434580000,1326864000,119888000,1446752000,3825855000,16053000,37510000,-2853000,-3216000,47494000,-58174000,3.72529029846191e-09,-21218000,13009000,-66383000,-34496000,-128419000,206205000,-113275000,-69985000,-88874000,-88874000,-88874000,70359000,2044461000,0.75117,0.28239,0.08876,0.00714,0.0027,0.03487,1.64444,0.53438,0.32224,0.3213,3.63058,39.10982,1.07662,0.01282,3.34102,28.93236,61.96998
"7","2011_Q4",95.5207936507936,"Down",119166000,-29643000,89523000,-55216000,-4967000,-37878000,-12371000,34307000,-21973000,-22094000,317000,-196000,12334000,-567000,11767000,11767000,11088000,-2031000,9057000,7689000,9020000,9020000,23997000,23997000,84616000,3429799000,4312823000,-883024000,75624000,75624000,315126000,22225000,275410000,3820549000,3905165000,102021000,63006000,39015000,2015439000,277133000,275499000,2394593000,4349000,4349000,4349000,2398942000,1776549000,3000,1776546000,-461989000,1388310000,117913000,1506223000,3905165000,11088000,38137000,8851000,11849000,69925000,-28574000,-1243000,-84478000,2320000,-111975000,-35299000,-3919000,88929000,-7450000,42261000,211000,211000,211000,72444000,2015439000,0.75125,0.28789,0.06452,0.0051,0.00197,0.03534,1.59269,0.5161,0.23214,0.23153,3.59782,39.68875,1.06574,0.01219,4.59084,27.69614,58.48425
"8","2012_Q1",103.601129032258,"Up",119515000,-27307000,92208000,-55898000,-5068000,-38223000,-12607000,36310000,-23384000,-25082000,-137000,1835000,12926000,-343000,12583000,12583000,17868000,-2564000,15304000,13936000,12889000,12889000,22574000,22574000,101832000,3437318000,4357344000,-920026000,74275000,74275000,423539000,22682000,383412000,3935132000,4036964000,87935000,48324000,39611000,2210858000,180094000,177033000,2478887000,4349000,4349000,4349000,2483236000,1844614000,3000,1844611000,-480837000,1437527000,116201000,1553728000,4036964000,17868000,39864000,14897000,-13643000,58986000,-43317000,-2.3283064365387e-10,-136800000,-263000,-180380000,-35832000,99242000,67195000,-5342000,125263000,3868999.99999999,3869000,3869000,76174000,2210858000,0.77152,0.30381,0.1166,0.00897,0.00345,0.04108,1.59824,0.54765,0.41552,0.41447,3.56349,40.66276,1.06838,0.0132,2.57118,28.85458,60.53343
"9","2012_Q2",111.219047619048,"Up",127918000,-28751000,99167000,-59187000,-5400000,-40734000,-13053000,39980000,-22776000,-24658000,2340000,-458000,17204000,0,17204000,17204000,27241000,-3151000,24090000,22722000,13744000,13744000,34587000,34587000,96384000,3434645000,4388888000,-954243000,8e+07,8e+07,440349000,21795000,401531000,3954994000,4051378000,104188000,62092000,42096000,2189317000,180074000,177349000,2473579000,4349000,4349000,4349000,2477928000,1877376000,3000,1877373000,-493484000,1457642000,115808000,1573450000,4051378000,27241000,40828000,-1582000,11964000,78451000,-56604000,-5438000,-14145000,25845000,-50342000,-36459000,-18590000,32523000,-4728000,-27254000,855000,855000,855000,80808000,2189317000,0.77524,0.31254,0.17763,0.01444,0.00561,0.03897,1.57484,0.54039,0.66775,0.66533,3.75921,40.66935,1.07144,0.01571,1.60457,26.92274,54.41653
"10","2012_Q3",112.870158730159,"Up",132560000,-30719000,101841000,-60875000,-5764000,-41801000,-13310000,40966000,-18975000,-24658000,3111000,2572000,21991000,20497000,42488000,42488000,42488000,-4042000,38446000,37078000,4132000,4132000,23678000,23678000,78705000,3664605000,4659916000,-995311000,114166000,114166000,481640000,26859000,436230000,4260411000,4339116000,106344000,62636000,43708000,2230645000,287423000,281401000,2624412000,4349000,4349000,4349000,2628761000,2017448000,3000,2017445000,-497973000,1593225000,117130000,1710355000,4339116000,42488000,41801000,-14862000,-11056000,58371000,-63494000,-28925000,-192641000,11794000,-273266000,-38972000,110017000,139821000,-5583000,205283000,-9612000,-9612000,-9612000,82767000,2230645000,0.76826,0.30904,0.27971,0.02168,0.00855,0.02999,1.53697,0.51408,1.07252,1.06823,3.83445,43.95259,1.12731,0.01928,1.05108,26.90098,54.35027
