"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"20","2015_Q1",21.8155737704918,"Down",-6716600000,5.596e+09,-1120600000,593600000,593600000,-5.27e+08,425800000,442600000,-16800000,-101200000,-116500000,54200000,-62300000,-62300000,-62300000,-62300000,4.9e+08,4.9e+08,1.597e+09,1.597e+09,1.488e+09,3.642e+09,1.4975e+10,5.368e+09,4.009e+09,1.359e+09,2.0343e+10,2.3985e+10,2.29e+09,1.008e+09,1.282e+09,2.675e+09,1.5993e+10,2.853e+09,2.853e+09,1.8846e+10,2.1521e+10,3.33e+09,-6.64e+08,-1.15e+08,2.464e+09,2.464e+09,2.3985e+10,-62300000,-196900000,-1842800000,-157800000,-2259800000,7964600000,2853700000,-751900000,1.8e+07,1.8e+07,-90100000,-8.24e+08,-230100000,-230100000,15600000,-214500000,-723900000,1.5993e+10,7028700000,0.16684,0.07846,0.00928,-0.0252799999999999,-0.00259999999999999,-112.82022,1.3615,8.73417,0.66679,-2.05611,-1.97152,-221.66997,81.32013,231.9703,-0.00292,0.32983,-21.4159399999999,-29.4174600000002
"21","2015_Q2",20.1865079365079,"Down",2.454e+09,-2.115e+09,3.39e+08,-2.66e+08,-2.66e+08,7.3e+07,-1.59e+08,-1.54e+08,-5e+06,-8.6e+07,-8.6e+07,1.6e+07,-7e+07,-7e+07,-7e+07,-7e+07,5.85e+08,5.85e+08,1.304e+09,1.304e+09,1.401e+09,3.361e+09,1.5907e+10,5.334e+09,3.978e+09,1.356e+09,2.1241e+10,2.4602e+10,2.696e+09,1.401e+09,1.295e+09,3.065e+09,1.6351e+10,2.837e+09,2.837e+09,1.9188e+10,2.2253e+10,3.331e+09,-7.34e+08,-1.61e+08,2.349e+09,2.349e+09,2.4602e+10,-7e+07,8.6e+07,7.15e+08,5.1e+07,7.82e+08,-3.513e+09,-1.166e+09,5.04e+08,64074940.7456433,11093419.9257074,-5e+06,4.99e+08,1.15e+08,1.15e+08,-2e+07,9.5e+07,1.59e+08,1.6351e+10,-3.319e+09,0.13814,0.02975,-0.02852,-0.0298,-0.00285,47.41429,1.09657,9.47339,0.66462,-0.15251,-0.15251,5.34641,5.11765,-7.23094,-0.00325,-0.15411,99.15723,215.9726
"22","2015_Q3",17.09734375,"Down",-1.63e+09,1477400000,-152600000,122800000,122800000,-29800000,143100000,135500000,7600000,113300000,112300000,-3e+07,82300000,82300000,82300000,82300000,5.37e+08,5.37e+08,1.39e+09,1.39e+09,1.385e+09,3.387e+09,1.7324e+10,5.305e+09,3.945e+09,1.36e+09,2.2629e+10,2.6016e+10,2.682e+09,1.431e+09,1.251e+09,3.066e+09,1.7682e+10,2.868e+09,2.868e+09,2.055e+10,2.3616e+10,3.335e+09,-6.98e+08,-1.5e+08,2.4e+09,2.4e+09,2.6016e+10,82300000,-48100000,-535400000,-32600000,-533800000,3.127e+09,885700000,-305500000,-1.49011611938477e-08,0,-168800000,-474300000,-122400000,-122400000,17800000,-104600000,-77900000,1.7682e+10,3046500000,0.09362,0.01828,-0.05049,0.03429,0.00316,37.01701,1.1047,9.84,0.67966,2.68954,2.68954,-53.26797,78.43137,99.55882,0.00359,0.13275,-220.08986,-575.33557
"23","2015_Q4",16.39484375,"Down",431800000,-322900000,108900000,-62800000,-62800000,46100000,-8100000,-9300000,1200000,3.8e+07,35500000,-14700000,20800000,20800000,20800000,20800000,5.09e+08,5.09e+08,1.623e+09,1.623e+09,1.214e+09,3.408e+09,1.5903e+10,5.258e+09,3.9e+09,1.358e+09,2.1161e+10,2.4569e+10,2.269e+09,9.17e+08,1.352e+09,2.66e+09,1.6609e+10,2.962e+09,2.962e+09,1.9571e+10,2.2231e+10,3.338e+09,-4.61e+08,-1.9e+08,2.338e+09,2.338e+09,2.4569e+10,20800000,20200000,96400000,-8600000,128800000,-2.11e+08,-183700000,-295900000,-261700000,0,607600000,5e+07,-4900000,-4900000,-8e+05,-5700000,66300000,1.6609e+10,-138600000,0.2522,0.10676,0.04817,0.0089,0.00085,-6.66346,1.2812,9.50855,0.67601,0.68647,0.68647,14.25083,77.16172,-4.57426,0.00095,-0.00633,242.8356,349.24078
"24","2016_Q1",9.59344262295082,"Down",422400000,-316400000,1.06e+08,-61600000,-61600000,44400000,47200000,-5100000,52300000,91600000,95100000,-16900000,78200000,78200000,78200000,78200000,15700000,15700000,287800000,287800000,35700000,361500000,2629100000,406400000,300500000,9.1e+07,3035500000,3.397e+09,272100000,109500000,162600000,282300000,53299999.9999981,759400000,727300000,812700000,1.095e+09,3734900000,-605500000,-135400000,2.302e+09,2.302e+09,3.397e+09,78200000,19100000,79900000,-57900000,119300000,-73900000,74099999.9999998,-256200000,-337700000,5100000,413800000,-180100000,13300000,13300000,-1300000,1.2e+07,63500000,63500000.0000019,-51400000,0.25095,0.10511,0.18513,0.03397,0.02302,-0.657289999999999,1.28055,0.475670000000001,0.01869,2.5894,2.5894,13.98675,76.22517,-1.70199,0.02502,-0.01645,0.752759999999995,1.07658000000021
"25","2016_Q2",9.37703125,"Down",365600000,-2.99e+08,66600000,-62500000,-62500000,4100000,-5600000,-6500000,9e+05,-1500000,-1500000,0,-1500000,-1500000,-1500000,-1500000,8.57e+08,8.57e+08,1.518e+09,1.518e+09,1.004e+09,3.432e+09,1.5439e+10,5.157e+09,3.804e+09,1.353e+09,2.0596e+10,2.4028e+10,2.638e+09,1.382e+09,1.256e+09,3.051e+09,1.6072e+10,2.867e+09,2.867e+09,1.8939e+10,2.199e+10,3.363e+09,-4.42e+08,-1.91e+08,2.038e+09,2.038e+09,2.4028e+10,-1500000,10500000,106100000,-12500000,102600000,-40200000,4400000,-2500000,8700000,8700000,-118600000,-112400000,-5400000,-5400000,6e+05,-4800000,14600000,1.6072e+10,-38100000,0.18217,0.01121,-0.0041,-0.00074,-6e-05,25.4,1.12488,10.78999,0.66889,-0.053,-0.053,12.91873,72.01413,-1.34629,-7e-05,-0.00182,1042.12329,3710.97561
"26","2016_Q3",32.8734375,"Up",380400000,-296100000,84300000,-74200000,-74200000,10100000,-12800000,-13300000,5e+05,-2700000,-2700000,-5300000,-8000000.00000001,-8000000.00000001,-7999999.99999999,-7999999.99999999,42600000,42600000,269400000,269400000,41300000,377600000,2727300000,429000000.000001,302800000.000001,91000000.0000002,3156300000,3533900000,348100000,268400000,79700000,363900000.000001,2114600000,7.08e+08,665900000,2822600000,3186500000,1770200000,-6.15e+08,-115800000,347400000,347400000,3533900000,-8000000.00000001,10600000,111800000,-8899999.99999999,105500000,-112900000,-77700000,2071400000,1300000.00000003,1300000,-2065200000,7500000,35300000,35300000,-1e+05,35200000,20700000,2130400000,-95800000,0.22161,0.02655,-0.02103,-0.02303,-0.00226,11.975,1.03765,9.17242,0.60285,-0.28269,-0.28269,13.4417,12.27562,-3.38516,-0.00251,-0.03007,100.8599,206.71287
"27","2016_Q4",35.3603174603175,"Up",403600000,-298600000,1.05e+08,-66800000,-66800000,38200000,-31500000,-32300000,8e+05,6700000,6700000,-3700000,3e+06,3e+06,3e+06,3e+06,51900000,51900000,2.9e+08,2.9e+08,24400000,390800000,2757300000,429900000,303700000,9.1e+07,3187200000,3.578e+09,377700000,262900000,114800000,393200000,2124400000,7.08e+08,666700000,2832400000,3225600000,1772500000,-6.12e+08,-116100000,352400000,352400000,3.578e+09,3e+06,11800000,109300000,38700000,162800000,-197700000,-174800000,9400000,0,0,9e+05,10300000,-1700000,-1700000,-1e+05,-1800000,5e+07,2139900000,-105300000,0.26016,0.09465,0.00743,0.00851,0.00084,-35.1,0.9939,9.15323,0.59807,0.10601,0.10601,14.26148,12.4523,-3.72085,0.00094,-0.0329,41.76,54.65969
"28","2017_Q1",46.0935483870968,"Up",405200000,-3.09e+08,96200000,-71700000,-71700000,24500000,-31900000,-32100000,2e+05,-7400000,-7400000,-5800000,-13200000,-13200000,-13200000,-13200000,2.4e+07,2.4e+07,293300000,293300000,30300000,371700000,2.662e+09,432300000,303900000,9.1e+07,3094300000,3.466e+09,227200000,1.39e+08,88199999.9999999,242900000,2178600000,726800000,694800000,2905400000,3148300000,1753600000,-625200000,-118700000,317700000,317700000,3.466e+09,-13200000,11900000,118900000,-55100000,62500000,-159600000,-146900000,54300000,0,1.16415321826935e-10,1600000,55900000,-28500000,-28500000,-8e+05,-29300000,36400000,2194300000,-172500000,0.23741,0.06046,-0.03258,-0.04155,-0.00381,13.06818,1.53026,9.90966,0.63309,-0.46643,-0.46643,14.31802,11.22615,-6.09541,-0.00408,-0.05326,59.62363,88.58367
"29","2017_Q2",40.9480952380952,"Down",389400000,-325100000,64300000,-81100000,-81100000,-16800000,-37500000,-37800000,3e+05,-54300000,-54300000,15100000,-39200000,-39200000,-39200000,-39200000,24300000,24300000,2.87e+08,2.87e+08,31200000,368200000,2641200000,435100000,309500000,9.1e+07,3076300000,3444500000,312700000,202100000,110600000,328300000,2122900000,711600000,6.79e+08,2834500000,3162800000,1755100000,-664400000,-1.17e+08,281700000,281700000,3444500000,-39200000,11700000,93600000,23800000,89900000,-73600000,-28900000,-58500000,0,0,-3700000,-62200000,-1200000,-1200000,1e+05,-1100000,-5100000,2138500000,-7e+07,0.16513,-0.04314,-0.10067,-0.13916,-0.01138,1.78571,1.12154,11.22755,0.62084,-1.38516,-1.38516,13.75972,9.95406,-2.4735,-0.01252,-0.02235,-414.54902,-125.84524
