"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.95741935483871,"Down",429429000,-241605000,187824000,-167540000,-169298000,-34385000,-134913000,20284000,-4959000,-1621000,15325000,15325000,-3725000,11600000,11600000,-596000,11004000,11004000,307946000,307946000,241199000,241199000,302140000,80134000,34091000,6902000,931419000,366939000,17783000,12056000,384722000,1316141000,261613000,237152000,24461000,67965000,329578000,70233000,33000,0,70266000,399844000,333348000,538085000,1330000,872763000,43534000,916297000,1316141000,11600000,10344000,6901000,-89427000,-60582000,-5586000,-5586000,-3603000,2e+06,-954000,-67122000,-67122000,879000,-66243000,30628000,138198000,-60660000,0.43738,0.04723,0.02562,0.01201,0.00836,-5.51254,2.8261,0.43637,0.105,0.07419,0.07201,2.89511,5.88397,-0.40896,0.01044,-0.05752,-5.54225,-8.36856999999998
"12","2013_Q1",6.65016666666667,"Up",395617000,-227153000,168464000,-160504000,-163105000,-31086000,-132019000,7960000,-1326000,989000,6634000,6634000,-2968000,3666000,3666000,290000,3956000,3956000,325826000,325826000,213697000,213697000,339012000,61777000,27755000,7491000,940312000,362446000,37462000,17833000,399908000,1340220000,278448000,241525000,36923000,14093000,292541000,128517000,73000,73000,128590000,421131000,336328000,542041000,-2400000,875969000,43120000,919089000,1340220000,3666000,10882000,-479000,3208000,17277000,-24278000,-24278000,22730000,427000,24584000,17583000,17583000,297000,17880000,18842000,142610000,740000,0.42583,0.02012,0.01,0.0043,0.00295,0.187059999999996,3.21429,0.4582,0.10641,0.02639,0.02623,2.63877,5.84271,0.00494000000000006,0.00373,7e-04,-9.72381,-23.01709
"13","2013_Q2",7.2759375,"Up",451621000,-258889000,192732000,-177394000,-179164000,-37696000,-141468000,15338000,-5472000,-2923000,9866000,9866000,-2278000,7588000,7588000,-908000,6680000,6680000,264661000,264661000,283442000,283442000,253659000,60297000,26646000,7119000,862059000,361400000,38593000,20316000,399993000,1262052000,192479000,162024000,30455000,14798000,207277000,125545000,72000,1.45519152283669e-11,125617000,332894000,336907000,548721000,-2535000,883093000,46065000,929158000,1262052000,7588000,10641000,3865000,-74809000,-52715000,-7774000,-7774000,-2277000,1977000,-3e+05,-60789000,-60789000,-376000,-61165000,25979000,140343000,-54326000,0.42676,0.03396,0.01479,0.00719,0.00529,-8.13263,4.15897,0.35827,0.1112,0.04427,0.0441,2.99315,5.85276,-0.36005,0.00625,-0.05079,-4.78533,-8.10523
"14","2013_Q3",9.506875,"Up",428247000,-233353000,194894000,-177730000,-179154000,-42088000,-137066000,17164000,-3686000,-696000,13478000,13478000,-4632000,8846000,8846000,-1752000,7094000,7094000,333006000,333006000,252095000,252095000,285489000,56675000,24095000,6048000,927265000,359053000,35572000,19733000,394625000,1321890000,251037000,221949000,29088000,13187000,264224000,122549000,111000,111000,122660000,386884000,338900000,555815000,-6957000,887758000,47248000,935006000,1321890000,8846000,10354000,3045000,60595000,82840000,-9804000,-9804000,-4587000,-5e+05,-3670000,69366000,69366000,-1021000,68345000,27518000,135736000,82941000,0.4551,0.04008,0.01657,0.00759,0.00537,11.69171,3.50939,0.41378,0.10268,0.04701,0.04683,2.83801,5.88321,0.54965,0.00662,0.07745,-7.16876,-11.49324
"15","2013_Q4",10.426875,"Up",515756000,-285235000,230521000,-186477000,-188127000,-40211000,-147916000,44044000,-1651000,1163000,42393000,42393000,-14060000,28333000,28333000,-1484000,26849000,26849000,332813000,332813000,268729000,268729000,309940000,57266000,23729000,7005000,968748000,362050000,27025000,20156000,389075000,1357823000,260752000,226662000,34090000,12046000,272798000,119531000,414000,414000,119945000,392743000,339641000,582664000,-5534000,916771000,48309000,965080000,1357823000,28333000,10891000,11386000,-34979000,15631000,-11964000,-11964000,-4194000,-353000,-4472000,-805000,-805000,612000,-193000,54935000,131577000,22052000,0.44696,0.0854,0.05206,0.02782,0.01977,0.82133,3.55116,0.40695,0.0969,0.1776,0.17684,3.41156,6.06414,0.14587,0.02447,0.0201,-3.66317,-4.56898
"16","2014_Q1",10.8091803278689,"Up",450737000,-250092000,200645000,-183582000,-186472000,-33496000,-152976000,17063000,-585000,2111000,16478000,16478000,-377000.000000002,16101000,16101000,-1936000,14165000,14165000,372011000,372011000,225941000,225941000,358168000,58808000,26094000,10599000,1014928000,361755000,31887000,19560000,393642000,1408570000,298307000,258183000,40124000,12115000,310422000,116488000,1740000,1740000,118228000,428650000,342194000,596829000,-8701000,930322000,49598000,979920000,1408570000,16101000,11423000,-702999.999999998,26601000,53422000,-11839000,-11839000,-2991000,-133000,-1669000,39914000,39914000,-716000,39198000,28486000,128603000,43625000,0.44515,0.03786,0.03143,0.01446,0.01006,3.07977,3.26951,0.43743,0.0913,0.09356,0.09321,2.97715,6.14484,0.28815,0.01276,0.03929,-8.54483,-14.26525
"17","2014_Q2",13.7834920634921,"Up",546518000,-306115000,240403000,-192243000,-195265000,-36742000,-158523000,48160000,-3675000,-1082000,44485000,44485000,-11437000,33048000,33048000,-2083000,30965000,30965000,329448000,329448000,312325000,312325000,312201000,59120000,27447000,9558000,1013094000,362575000,23155000,19519000,385730000,1398824000,257533000,215428000,42105000,12210000,269743000,113422000,2386000,2386000,115808000,385551000,343522000,627794000,-8319000,962997000,50276000,1013273000,1398824000,33048000,11522000,15318000,-86468000,-26580000,-11369000,-11369000,-2973000,-1325000,-4298000,-42247000,-42247000,-316000,-42563000,59682000,125632000,-26718000,0.43988,0.08812,0.05666,0.03056,0.02214,-0.86285,3.75577,0.3805,0.08981,0.20415,0.20301,3.60324,6.34912,-0.17615,0.02713,-0.02341,-3.41503,-4.23206
"18","2014_Q3",18.26171875,"Up",587051000,-317676000,269375000,-215619000,-217455000,-53839000,-163616000,53756000,-3311000,148000,50445000,50445000,-12232000,38213000,38213000,-3411000,34802000,34802000,414808000,414808000,318460000,318460000,360491000,69876000,37094000,10667000,1163635000,364746000,22954000,19420000,387700000,1551335000,358479000,314196000,44283000,12402000,370881000,110331000,15081000,15081000,125412000,496293000,346844000,662596000,-7623000,1001817000,53225000,1055042000,1551335000,38213000,11831000,15216000,35586000,100846000,-12558000,-12558000,-2897000,-567000,-1743000,86545000,86545000,-1185000,85360000,65587000,122733000,100847000,0.45886,0.09157,0.05928,0.03299,0.02243,2.89774,3.13749,0.4704,0.07911,0.22942,0.22785,3.86994,6.60415,0.6648,0.02918,0.08454,-4.45325,-5.43335
"19","2014_Q4",18.69859375,"Up",674270000,-369772000,304498000,-230355000,-232425000,-50239000,-182186000,74143000,-6382000,-3898000,67761000,67761000,-12682000,55079000,55079000,-3956000,51123000,51123000,440790000,440790000,333531000,333531000,363006000,79710000,44733000,12862000,1217037000,371445000,20855000,17554000,392300000,1609337000,362854000,311736000,51118000,12404000,375258000,107216000,20415000,20415000,127631000,502889000,349057000,713719000,-12071000,1050705000,55743000,1106448000,1609337000,55079000,12315000,9838000,-31868000,45364000,-18049000,-18049000,-3113000,-1066000,-4179000,23136000,23136000,2846000,25982000,86458000,119620000,49223000,0.4516,0.10996,0.07582,0.0462,0.03177,0.96283,3.2432,0.45451,0.07433,0.3366,0.33424,4.43943,6.9179,0.32409,0.04101,0.03949,-3.71475,-4.33176
"20","2015_Q1",21.507868852459,"Up",569722000,-312093000,257629000,-224617000,-226796000,-40198000,-186598000,33012000,-4323000,-1230000,28689000,28689000,-2833000,25856000,25856000,-3935000,21921000,21921000,466685000,466685000,272103000,272103000,453837000,92389000,57015000,16510000,1285014000,373183000,16721000,16721000,389904000,1674918000,402520000,352815000,49705000,103217000,505737000,15081000,19993000,19993000,35074000,540811000,355686000,735640000,-16077000,1075249000,58858000,1134107000,1674918000,25856000,13837000,5713000,-1154000.00000001,44252000,-14929000,-14929000,-1322000,857000,1177000,30500000,30500000,-4605000,25895000,46849000,118298000,33599000,0.4522,0.05794,0.03848,0.01933,0.01309,1.53273,2.54087,0.47686,0.07063,0.14412,0.14226,3.74558,7.06912,0.22089,0.01723,0.02641,-7.43638,-10.55334
