"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","other_share_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",54.360625,"Down",6.12e+09,-4.492e+09,1.628e+09,-1.229e+09,-1.229e+09,3.99e+08,-5.68e+08,-4.6e+08,-4.6e+08,-1.08e+08,-1.69e+08,-1.69e+08,4.9e+07,-1.2e+08,-1.2e+08,-3e+06,-1.23e+08,-3.03e+08,4.437e+09,4.437e+09,1.613e+09,1.613e+09,2.981e+09,1.38e+09,1.38e+09,1.0411e+10,6.432e+09,1.04949e+11,5.6693e+10,4.675e+10,1.506e+09,1.11381e+11,1.21792e+11,3.861e+09,2084371471.26006,3.861e+09,1.885e+09,1.885e+09,5.746e+09,2.525e+10,3.1757e+10,1.9684e+10,1.2073e+10,5.7007e+10,6.2753e+10,5.9634e+10,1.2e+07,5.9622e+10,-1.4e+07,-1.96e+08,-6.13e+08,5.8811e+10,2.28e+08,5.9039e+10,1.21792e+11,-1.2e+08,2.23e+08,-8.3e+07,3.15e+08,3.35e+08,-2.03e+08,1.2e+08,-9.551e+09,-8.17e+08,2.478e+09,-9.1e+07,1.157e+10,2.354e+09,2.354e+09,-6.4e+07,2.29e+09,6.22e+08,2.525e+10,6.85e+08,0.26601,0.0652,-0.04951,-0.00513,-0.00249,-2.26073,1.81187,1.06291,0.20732,-0.26532,-0.26532,5.35902,51.49825,0.59982,0.71541,0.00443,0.0059,-2.69637,33.46141,52.16291
"2","2016_Q1",55.8175409836066,"Up",7.124e+09,-4.72e+09,2.404e+09,-1.117e+09,-1.117e+09,1.287e+09,-2.57e+08,-2.66e+08,-2.66e+08,9e+06,1.03e+09,1.03e+09,-3.82e+08,6.48e+08,6.48e+08,-3e+06,6.45e+08,2.85e+08,4.837e+09,4.837e+09,8.71e+08,8.71e+08,2.618e+09,1.454e+09,1.454e+09,9.78e+09,6.524e+09,1.06669e+11,6.212e+10,4.3051e+10,1.498e+09,1.13193e+11,1.22973e+11,5.28e+09,1.163e+09,4.117e+09,1.569e+09,1.569e+09,6.932e+09,2.5151e+10,3.2974e+10,2.1497e+10,1.1477e+10,5.8125e+10,6.5057e+10,5.8387e+10,1.2e+07,5.8375e+10,-3.1e+07,0,-6.71e+08,5.7685e+10,2.31e+08,5.7916e+10,1.22973e+11,6.48e+08,3.38e+08,3.18e+08,-7.78e+08,5.26e+08,-2.82e+08,1.374e+09,1.092e+09,-1.025e+09,5e+06,-1.24e+08,-1.144e+09,4.74e+08,4.74e+08,-1.1e+07,4.63e+08,1.625e+09,2.5234e+10,9.47e+08,0.33745,0.18066,0.04001,0.00492,0.00232,3.32281,1.41085,1.1233,0.2052,0.22892,0.23303,5.72209,46.33333,0.76064,0.82329,0.01128,0.00816,3.59649,12.552,15.84848
"3","2016_Q2",61.90625,"Up",6.57e+09,-4.192e+09,2.378e+09,-8.65e+08,-8.65e+08,1.513e+09,-2.41e+08,-2.49e+08,-2.49e+08,8e+06,1.272e+09,1.272e+09,-3.72e+08,9e+08,9e+08,-4e+06,8.96e+08,8.96e+08,4.199e+09,4.199e+09,9.39e+08,9.39e+08,2.892e+09,1.782e+09,1.782e+09,9.812e+09,6.434e+09,1.07027e+11,6.2049e+10,4.3542e+10,1.436e+09,1.13461e+11,1.23273e+11,5.275e+09,1.06e+09,4.215e+09,1.455e+09,1.455e+09,6.73e+09,2.5167e+10,3.3096e+10,2.1659e+10,1.1437e+10,5.8263e+10,6.4993e+10,5.845e+10,1.2e+07,5.8438e+10,-4e+07,1.93e+08,-5.6e+08,5.8043e+10,2.37e+08,5.828e+10,1.23273e+11,9e+08,3.63e+08,-2.9e+08,-1.129e+09,-1.56e+08,-3.03e+08,4.36e+08,1.33e+08,-6.67e+08,0,4e+07,-6.27e+08,-6.5e+08,-6.5e+08,4.4e+07,-6.06e+08,1.876e+09,2.5167e+10,8.16e+08,0.36195,0.23029,0.13638,0.01537,0.00727,0.91071,1.45795,1.11519,0.20416,0.73745,0.73143,5.40741,47.77202,0.6716,0.54897,0.01341,0.007,0.74442,11.17697,13.85856
"4","2016_Q3",67.036875,"Up",6.793e+09,-4.262e+09,2.531e+09,-8.95e+08,-8.95e+08,1.636e+09,-2.7e+08,-2.64e+08,-2.64e+08,-5999999.99999999,1.366e+09,1.366e+09,-4.11e+08,9.55e+08,9.55e+08,-5e+06,9.5e+08,7.7e+08,4.237e+09,4.237e+09,1.114e+09,1.114e+09,2.881e+09,1.115e+09,1.115e+09,9.347e+09,6.423e+09,1.05914e+11,5.9762e+10,4.4641e+10,1.511e+09,1.12337e+11,1.21684e+11,5.415e+09,1.22e+09,4.195e+09,1.427e+09,1.427e+09,9.593e+09,3.0002e+10,2.4042e+10,2.09e+10,3.142e+09,5.4044e+10,6.3637e+10,5.8537e+10,1.2e+07,5.8525e+10,-4.1e+07,2.63e+08,-9.33e+08,5.7826e+10,2.21e+08,5.8047e+10,1.21684e+11,9.55e+08,3.57e+08,-8.6e+07,-1.71e+08,1.055e+09,-2.11e+08,8.31e+08,6.2e+08,-8.47e+08,7.602e+09,-8.317e+09,-1.562e+09,1.13e+08,1.13e+08,-4.3e+07,69999999.9999999,1.993e+09,3.2753e+10,2.022e+09,0.37259,0.24084,0.11335,0.01327,0.00633,2.62597,0.97436,1.0963,0.26916,0.6327,0.62755,5.58176,47.5152,1.66146,0.69597,0.01408,0.01761,1.1,14.30808,17.43032
"5","2016_Q4",65.2320634920635,"Down",6.267e+09,-4.049e+09,2.218e+09,-8.05e+08,-8.05e+08,1.413e+09,-3.08e+08,-3.11e+08,-3.11e+08,3e+06,1.105e+09,1.105e+09,-2.62e+08,8.43e+08,8.43e+08,-1e+06,8.42e+08,8.42e+08,3.92e+09,3.92e+09,8.55e+08,8.55e+08,3.108e+09,1.06e+09,1.06e+09,8.943e+09,6.49e+09,1.05647e+11,5.962e+10,4.4518e+10,1.509e+09,1.12137e+11,1.2108e+11,5.386e+09,1.08e+09,4.306e+09,1.328e+09,1.328e+09,9.414e+09,2.998e+10,2.3818e+10,2.0706e+10,3.112e+09,5.3798e+10,6.3212e+10,5.8579e+10,1.2e+07,5.8567e+10,-8.2e+07,3.74e+08,-1.229e+09,5.7642e+10,2.26e+08,5.7868e+10,1.2108e+11,8.43e+08,2.9e+08,-2.85e+08,-7.31e+08,1.17e+08,-3.22e+08,6.53e+08,3.31e+08,-7.89e+08,-5.9e+07,1.3e+07,-8.35e+08,-3.87e+08,-3.87e+08,-1.8e+07,-4.05e+08,1.703e+09,3.268e+10,9.12e+08,0.35392,0.22547,0.13435,0.01455,0.00695,1.08314,0.94997,1.09235,0.2699,0.6913,0.68567,5.14532,47.32512,0.74877,0.64778,0.01426,0.00797,0.93705,16.88784,20.35386
"6","2017_Q1",69.2285483870968,"Up",6.67e+09,-4.651e+09,2.019e+09,-9.62e+08,-9.62e+08,1.057e+09,1.57e+08,-3.1e+08,-3.1e+08,4.67e+08,1.214e+09,1.196e+09,-2.88e+08,9.08e+08,9.08e+08,9.31322574615479e-10,9.08e+08,9.08e+08,4.204e+09,4.204e+09,7.69e+08,7.69e+08,2.684e+09,1.096e+09,8.36e+08,8.753e+09,6.688e+09,1.05039e+11,5.9297e+10,4.4125e+10,1.617e+09,1.11727e+11,1.2048e+11,5.415e+09,4.15e+08,5e+09,1.395e+09,1.395e+09,9.501e+09,2.9713e+10,2.3692e+10,2.0848e+10,2.844e+09,5.3405e+10,6.2906e+10,5.8605e+10,1.2e+07,5.8593e+10,-2.07e+08,5.88e+08,-1.628e+09,5.7358e+10,2.16e+08,5.7574e+10,1.2048e+11,9.08e+08,3.27e+08,-1.39e+08,5.36e+08,1.632e+09,-4.11e+08,7.79e+08,3.68e+08,-1.461e+09,-10000000.000001,-124999999.999999,-1.596e+09,4.04e+08,4.04e+08,-1.2e+08,2.84e+08,1.384e+09,3.2404e+10,1.797e+09,0.3027,0.15847,0.13613,0.01577,0.00754,1.97907,0.92127,1.09261,0.26896,0.74548,0.74183,5.47619,47.09195,1.47537,1.19951,0.02084,0.01581,1.60903,20.37572,26.67928
"7","2017_Q2",70.1674603174603,"Up",6.324e+09,-4.125e+09,2.199e+09,-7.66e+08,-7.66e+08,1.433e+09,-1.83e+08,-3.13e+08,-3.13e+08,1.3e+08,1.25e+09,1.25e+09,-3.59e+08,8.91e+08,8.91e+08,2e+06,8.93e+08,8.93e+08,3.242e+09,3.242e+09,8.86e+08,8.86e+08,3.151e+09,1.596e+09,1.596e+09,8.875e+09,6.693e+09,1.05234e+11,5.933e+10,4.43e+10,1.604e+09,1.11927e+11,1.20802e+11,5.305e+09,3.46e+08,4.959e+09,1.146e+09,1.146e+09,9.383e+09,2.9748e+10,2.3727e+10,2.091e+10,2.817e+09,5.3475e+10,6.2858e+10,5.8654e+10,1.2e+07,5.8642e+10,-2.23e+08,7.5e+08,-1.449e+09,5.7732e+10,2.12e+08,5.7944e+10,1.20802e+11,8.91e+08,2.62e+08,3.9e+07,-1.807e+09,-6.15e+08,-3.68e+08,5.02e+08,1.34e+08,-7.36e+08,2.56e+08,-2.5e+07,-5.05e+08,-9.86e+08,-9.86e+08,1.3e+07,-9.73e+08,1.695e+09,3.268e+10,-1.21e+08,0.34772,0.2266,0.14121,0.01541,0.00739,-0.1355,0.94586,1.08481,0.27053,0.73377,0.72661,5.19638,47.43796,-0.09942,0.60477,0.01425,-0.00106,0.82419,17.36755,20.54292
"8","2017_Q3",65.1669841269841,"Down",6.637e+09,-4.204e+09,2.433e+09,-7.89e+08,-7.89e+08,1.644e+09,-5.4e+07,-3.07e+08,-3.07e+08,2.53e+08,1.59e+09,1.59e+09,-4.3e+08,1.16e+09,1.16e+09,-1e+06,1.159e+09,1.159e+09,1.445e+09,1.445e+09,9.13e+08,9.13e+08,3.065e+09,1.685e+09,1.685e+09,7.108e+09,6.808e+09,1.055e+11,5.94e+10,4.4565e+10,1.535e+09,1.12308e+11,1.19416e+11,4.941e+09,4.06e+08,4.535e+09,1.306e+09,1.306e+09,7.356e+09,2.9979e+10,2.3535e+10,2.0887e+10,2.648e+09,5.3514e+10,6.087e+10,5.8686e+10,1.2e+07,5.8674e+10,-2.23e+08,1.178e+09,-1.308e+09,5.8333e+10,2.13e+08,5.8546e+10,1.19416e+11,1.16e+09,2.55e+08,43000000.0000001,-1.021e+09,4.37e+08,-3.22e+08,6.11e+08,2.89e+08,-6.98e+08,-1.852e+09,4.4e+07,-2.506e+09,-1.78e+09,-1.78e+09,1.6e+07,-1.764e+09,1.899e+09,3.1088e+10,9.86e+08,0.36658,0.2477,0.17463,0.0198,0.00971,0.85073,0.96629,1.0397,0.26033,0.95156,0.94304,5.4491,47.89245,0.80952,0.57307,0.01641,0.00871,0.60224,15.60979,18.03102
"9","2017_Q4",61.6688888888889,"Down",6.28e+09,-4.077e+09,2.203e+09,-6.65e+08,-6.65e+08,1.538e+09,-1.79e+08,-3.06e+08,-3.06e+08,1.27e+08,1.359e+09,1.359e+09,-4.16e+08,9.43e+08,9.43e+08,1e+06,9.44e+08,9.44e+08,1.441e+09,1.441e+09,9.38e+08,9.38e+08,3.188e+09,1.661e+09,1.661e+09,7.228e+09,6.934e+09,1.05889e+11,5.95e+10,4.4858e+10,1.531e+09,1.12823e+11,1.20051e+11,4.904e+09,2.95e+08,4.609e+09,1.273e+09,1.273e+09,9.387e+09,2.8299e+10,2.3394e+10,2.0898e+10,2.496e+09,5.1693e+10,6.108e+10,5.8707e+10,1.2e+07,5.8695e+10,-2.23e+08,1.36e+09,-1.085e+09,5.8759e+10,2.12e+08,5.8971e+10,1.20051e+11,9.43e+08,2.73e+08,-5.1e+07,-9.71e+08,1.94e+08,-2.66e+08,5.67e+08,3.01e+08,-7.27e+08,2.42e+08,7e+06,-4.78e+08,1.7e+07,1.7e+07,1.4e+07,3.1e+07,1.811e+09,3.1509e+10,9.9e+08,0.3508,0.2449,0.15032,0.01601,0.00786,1.04873,0.77,1.03576,0.26246,0.77504,0.76873,5.15599,48.2422,0.81281,0.59688,0.01467,0.00869,0.77013,16.60298,19.55007
"10","2018_Q1",56.5570491803279,"Down",6.835e+09,-4.637e+09,2.198e+09,-7.07e+08,-7.07e+08,1.491e+09,-1.91e+08,-3.08e+08,-3.08e+08,1.17e+08,1.3e+09,1.251e+09,6.687e+09,7.938e+09,7.938e+09,7e+06,7.945e+09,7.945e+09,1.629e+09,1.629e+09,9.21e+08,9.21e+08,2.76e+09,1.891e+09,1.008e+09,7.201e+09,7.061e+09,1.0583e+11,5.9432e+10,4.4825e+10,1.573e+09,1.12891e+11,1.20092e+11,5.47e+09,4.19e+08,5.051e+09,1.489e+09,1.489e+09,1.0154e+10,2.8308e+10,1.5554e+10,1.4039e+10,1.515e+09,4.3862e+10,5.4016e+10,5.8646e+10,1.2e+07,5.8634e+10,-2.24e+08,8.495e+09,-1.054e+09,6.5863e+10,2.13e+08,6.6076e+10,1.20092e+11,7.938e+09,2.41e+08,-8.129e+09,4.35e+08,4.85e+08,-2.38e+08,6.91e+08,4.53e+08,-7.27e+08,3000000.00000024,-8e+06,-7.32e+08,2.06e+08,2.06e+08,1.4e+07,2.2e+08,1.732e+09,3.1503e+10,-4.758e+09,0.32158,0.21814,1.1624,0.12024,0.06616,-0.59887,0.70918,0.81748,0.26232,6.51764,6.48042,5.60705,54.03035,-3.9032,0.59639,0.07665,-0.04206,0.0914999999999999,17.24827,20.03622
