"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",11.65625,"Down",75052000,65167000,75130000,-9963000,9885000,4621000,6138000,-23550000,51502000,-45922000,-2694000,-43228000,5580000,5580000,-252000,5328000,-1828000,3500000,3500000,3500000,3500000,-127107977.079596,1290381170.00409,4527924010.3934,19862403.4142434,61395585.3342463,258422573.326983,6030876445.936,5102464151.86391,3822619687.20504,1279844464.65887,354107890.903203,57212389.3362153,5513760395.04663,1094688881.70444,-617553124.834557,42224722.5654133,517116050.889369,517116050.889369,6030876445.936,3500000,4458000,23550000,2668000,-735000,33441000,16730000,-144700000,-83327000,-4409000,-44340000,-361000,-7e+07,1824000,-173865000,-242402000,-253301000,-253301000,-253301000,10038000,0,27861000,0.07435,0.04663,-0.0833145621277065,-0.00732108251790849,7.96029,10.8922895554098,0.0580853841034673,0.09969,0.06369,2.13774,14.9271357613714,0.79358,0.01028,-0.00915070042248715,0.0247029311444246,0.10314,158.844577020441,-81.6439292541481
"2","2011_Q1",12.9888709677419,"Up",69972000,68520000,77898000,-9378000,1452000,5201000,-3749000,-34215000,35757000,-44625000,-1101000,-43524000,-8868000,-8868000,-4661000,-13529000,5841000,-7688000,-7688000,-7688000,-7688000,108552000,929056000,3970978000,22578000,47301000,450556000,5529021000,4649698000,3184136000,1465562000,354572000,45954000,5050224000,1085733000,-607042000,3969000,478797000,478797000,5529021000,-7688000,12532000,51875000,-7349000,13230000,62600000,18790000,-179292000,234202000,29491000,103191000,-361000,-57776000,-7558000,-151629000,-217324000,-51533000,-51533000,-51533000,3664000,354572000,29843000,-0.12674,-0.10987,-0.01606,-0.00139,-3.88176,10.54774,0.06413,-0.21898,-0.13989,1.99304,13.63779,0.85003,0.01028,-0.00133,0.0054,-0.04696,67.1452,-27.74244
"3","2011_Q2",13.1980952380952,"Up",70527000,65738000,74657000,-8919000,4789000,5278000,-489000,-10710000,59817000,-43408000,-2296000,-41112000,16409000,16409000,2009000,18418000,-7742000,10676000,10676000,10676000,10676000,172526242.359865,921882443.33197,3708842913.2022,23468532.1952522,40562804.8885846,493611142.224339,5360894518.02133,4480503032.71203,2921941770.93165,1558561261.78038,354676786.365599,41614703.5545949,4876802534.98446,1085615289.43185,-595586458.388481,-1666240.85513777,484091983.036877,484091983.036877,5360894518.02133,10676000,4482000,10710000,-2484000,624000,24008000,22596000,-71060000,170739000,2454000,124755000,-361000,-49149400.2015473,1752000,-65147000,-63756000,85007000,85007000,85007000,20891000,0,51853000,0.23266,0.15137,0.0162781873759022,0.00152369417263616,4.85697,10.0487076481967,0.0661423719655109,0.30409,0.19426,2.00885,13.6854764128762,1.47695,0.01028,0.00193856680749572,0.00208985628519181,0.03381,21.9043634931865,-0.382982748617277
"4","2011_Q3",10.77484375,"Down",79929000,68689000,77196000,-8507000,11240000,5380000,5860000,-11390000,68539000,-44738000,-2505000,-42233000,23801000,23801000,-1800000,22001000,-9160000,12841000,12841000,12841000,12841000,150505000,1108583000,3622661000,23295000,39141000,450540000,5394725000,4486495000,2887085000,1599410000,354423000,41843000,4882761000,1089216000,-583525000,10438000,511964000,511964000,5394725000,12841000,4250000,11390000,3014000,-9255000,22240000,11586000,-191113000,195084000,15441000,30972000,-365000,-50190474.4931974,2338000,-98239000,-96266000,-43054000,-43054000,-43054000,28051000,354423000,39542000,0.29778,0.16066,0.02508,0.00238,3.07936,9.53731,0.0657,0.3621,0.23366,2.25388,14.43661,1.11502,0.01029,0.00245,0.00733,0.02842,7.26954000000001,8.56762000000001
"5","2011_Q4",10.9769841269841,"Up",71584000,64441000,72518000,-8077000,7143000,5597000,1546000,-348000,71236000,-43226000,-2239000,-40987000,28010000,28010000,-5361000,22649000,-9345000,13304000,13304000,13304000,13304000,167321000,1310118000,3564586000,22919000,39141000,389806000,5493891000,4554396000,2926143000,1628253000,354347000,45680000,4954423000,1090655000,-570221000,23324000,539468000,539468000,5493891000,13304000,4989000,348000,13152000,18502000,50295000,14271000,-225532000,99117000,15958000,-96186000,-363000,-69260448.6840738,-4517000,67587000,62707000,16816000,16816000,16816000,32999000,354347000,75117000,0.39129,0.18585,0.02466,0.00242,5.6462,9.18391,0.0645,0.37488,0.37488,2.0171,15.20121,2.11666,0.01023,0.00249,0.01367,0.02729,5.66763,6.67712
"6","2012_Q1",14.0724193548387,"Up",72027000,63773000,70913000,-7140000,8254000,5190000,3064000,-4122000,67905000,-42034000,-1946000,-40088000,25871000,25871000,-1435000,24436000,-10553000,13883000,13883000,13883000,13883000,295617000,1372464000,3425423000,23068000,39141000,372524000,5528237000,4577453000,2891654000,1685799000,354271000,50310000,4982034000,1085066000,-556338000,22803000,546203000,546203000,5528237000,13883000,6363000,21116000,-13989000,25192000,52565000,7592000,-163094000,219945000,-3754000,60689000,-6537000,-114720548.5833,-1038000,22617000,15042000,128296000,128296000,128296000,32234000,354271000,75571000,0.35918,0.19275,0.02542,0.00251,5.44342,9.12121,0.06408,0.39052,0.39052,2.02609,15.36449,2.12578,0.18388,0.00369,0.01367,0.47086,1.81963,2.26717
"7","2012_Q2",14.8339682539683,"Up",70942000,67680000,74400000,-6720000,3262000,5236000,-2964000,6074000,77016000,-44812000,-1770000,-43042000,32204000,32204000,-24083000,8121000,-2857000,5264000,5264000,5264000,5264000,133761000,1424780000,3450813000,22885000,56144000,359725000,5448108000,4556670000,2770992000,1785678000,301354000,40439000,4898463000,1080247000,-551074000,27101000,549645000,549645000,5448108000,5264000,3861000,-3093000,-883000,-10109000,-4960000,13062000,-136046000,199643000,17821000,66572000,-6544000,-194932000,-1301000,-20691000,-223468000,-161856000,-161856000,-161856000,36065000,301354000,41875000,0.45395,0.0742,0.00958,0.00097,7.95498,8.91205,0.05531,0.14774,0.14774,1.99107,15.42647,1.17527,0.18367,0.00217,0.00769,1.24316,4.64697,5.20411
"8","2012_Q3",15.3222222222222,"Up",73284000,68413000,72890000,-4477000,4871000,5423000,160000,271000,73555000,-44003000,-2378000,-41625000,29552000,29552000,-3582000,25970000,-10413000,15557000,15557000,15557000,15557000,123469000,1393437000,3381179000,21565000,62008000,339964000,5321622000,4591329000,2718870000,1872459000,123796000,40849000,4755974000,1075373000,-535517000,32494000,565648000,565648000,5321622000,15557000,6869000,2534000,1226000,10101000,36287000,12015000,-50341000,197048000,5335000,149659000,-6561000,-224327000,-73000,34723000,-196238000,-10292000,-10292000,-10292000,36421000,123796000,68950000,0.40325,0.21228,0.0275,0.00292,4.43209,8.40801,0.02326,0.43589,0.43589,2.05335,15.84892,1.93191,0.18383,0.00416,0.01296,0.42174,0.0089800000000011,0.0110700000000019
"9","2012_Q4",15.3114516129032,"Down",76453000,70771000,75123000,-4352000,5682000,5231000,319000,2141000,78594000,-44631000,-2019000,-42612000,33963000,33963000,-7026000,26937000,-10849000,16088000,16088000,16088000,16088000,160406000,1398134000,3549145000,18064000,79592000,333161000,5538502000,4787348000,2780352000,2006996000,126246000,40822000,4954416000,1070252000,-519429000,40015000,584086000,584086000,5538502000,16088000,7619000,5639000,-1185000,-9305000,18856000,17296000,-88910000,36034000,5986000,-74219000,-6564000,-2831000,-50000,101745000,92300000,36937000,36937000,36937000,41582000,126246000,60422000,0.44423,0.21043,0.02754,0.0029,3.75572,8.48234,0.02279,0.45064,0.45064,2.14154,16.36095,1.69249,0.18387,0.00409,0.01091,0.40801,-0.82151,-1.0058
"10","2013_Q1",17.9823333333333,"Up",71660000,69603000,73702000,-4099000,2057000,5088000,-5512000,4333000,75993000,-51529000,264000,-51793000,24464000,24464000,8004000,32468000,-12576000,19892000,19892000,19892000,19892000,164404000,1392511000,3498329000,19503000,79866000,309045000,5463658000,4709121000,2769909000,1939212000,120841000,44575000,4874537000,1062561000,-499537000,32900000,589121000,589121000,5463658000,19892000,7443000,9253000,-2416000,-4087000,30085000,13031000,-119818000,154613000,18962000,66621000,-9118000,-5371000,-51000,-78168000,-92708000,3998000,3998000,3998000,31907000,120841000,53427000,0.34139,0.27759,0.03377,0.00364,2.68585,8.27425,0.02212,0.55689,0.55689,2.00616,16.49275,1.49572,0.25526,0.00531,0.00978,0.45838,-1.36531,-1.7807
