"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",16.0511111111111,"Up",1715443000,-1055487000,659956000,-439893000,220063000,-5.5e+07,-48430000,-6570000,165063000,165063000,-24430000,140633000,140633000,140633000,140633000,397971000,397971000,973807000,973807000,2112211000,132757000,132757000,3616746000,617302000,617302000,3193838000,1610567000,1259010000,218269000,3811140000,7427886000,935176000,935176000,349275000,506360000,506360000,1790811000,4149201000,720683000,332427000,4869884000,6660695000,278725000,961020000,-472554000,767191000,767191000,7427886000,140633000,33568000,-3343000,-107113000,63745000,-20502000,-20502999.9999999,-20713000,33574000,-41201000.0000001,2041000.00000001,2041000.00000001,18990000,21031000,253631000,4498476000,150446000,0.38471,0.12828,0.08198,0.18331,0.01893,1.06978,2.01961,8.68193,0.60562,0.38848,0.38715,4.73865,2.11925,0.41558,0.03252,0.02513,16.16721,18.63332
"35","2018_Q4",12.9895238095238,"Down",1848707000,-1136040000,712667000,-455778000,256889000,-60080000,-52795000,-7285000,196809000,196809000,-25388000,171421000,171421000,171421000,171421000,398499000,398499000,1044516000,1044516000,2139281000,154909000,154909000,3737205000,607649000,607649000,3110652000,1586148000,1252524000,191649000,3718301000,7455506000,975138000,975138000,520250000,531740000,531740000,2027128000,3863580000,694210000,307563000,4557790000,6584918000,279278000,1077808000,-486498000,870588000,870588000,7455506000,171421000,33821000,6451000,-6006000,205687000,-22893000,-22893000,-184983000,75767000,-163301000,19493000,19493000,-19297000,196000,290710000,4383830000,287199000,0.38549,0.13896,0.09272,0.1969,0.02299,1.6754,1.8436,7.56376,0.588,0.47157,0.47011,5.08571,2.39495,0.79007,0.03791,0.04828,13.70896,15.51383
"36","2019_Q1",13.9822950819672,"Up",1768301000,-1066626000,701675000,-460034000,241641000,-54466000,-47687000,-6779000,187175000,187175000,-38972000,148203000,148203000,148203000,148203000,433022000,433022000,870878000,870878000,2054458000,159231000,159231000,3517589000,607688000,607688000,3130681000,1555381000,1241727000,249693000,3738369000,7255958000,1029933000,1029933000,446408000,553901000,553901000,2030242000,3534183000,721250000,342278000,4255433000,6285675000,288490000,1184735000,-502942000,970283000,970283000,7255958000,148203000,6812000,74439000,272659000,502113000,-22043000,-22042000,-201298000,-199665000,-455079000,24992000,24992000,9033000,34025000,248453000,3980591000,538041000,0.39681,0.13665,0.08381,0.15274,0.02043,3.63043,1.7326,6.47819,0.5486,0.40421,0.404,4.82287,2.64635,1.46746,0.03567,0.09486,14.27863,14.68116
"37","2019_Q2",14.6298412698413,"Up",1588024000,-967148000,620876000,-472838000,148038000,-55510000,-48059000,-7451000,92528000,92528000,-13046000,79482000,79482000,79482000,79482000,287080000,287080000,932875000,932875000,2235809000,166123000,166123000,3621887000,601689000,601689000,3624449000,1547718000,1240652000,257393000,4226138000,7848025000,1007420000,1007420000,482568000,692447000,692447000,2182435000,3615493000,1012059000,659990000,4627552000,6809987000,309699000,1296158000,-567819000,1038038000,1038038000,7848025000,79482000,32234000,15086000,-321093000,-194291000,-25133000,-25133000,12840000,113088000,71707000,-147717000,-147717000,2104000,-145613000,180272000,4098061000,-152908000,0.39097,0.09322,0.05005,0.07657,0.01013,-1.92381,1.65956,6.56044,0.52218,0.21802,0.21758,4.35588,2.84729,-0.41942,0.02175,-0.02487,21.14017,25.74326
"38","2019_Q3",13.045625,"Down",1760927000,-1086248000,674679000,-440662000,234017000,-54771000,-46522000,-8249000,179246000,179246000,-25274000,153972000,153972000,153972000,153972000,257941000,257941000,1011816000,1011816000,2233760000,152925000,152925000,3656442000,597444000,597444000,3623006000,1541306000,1240853000,264592000,4220450000,7876892000,1574169000,1026863000,351195000,144453000,144453000,2069817000,3671066000,1001159000,649706000,4672225000,6742042000,312170000,1395306000,-572626000,1134850000,1134850000,7876892000,153972000,32255000,6886999.99999999,-56186000,136928000,-32634000,-32634000,-70684000,-11016000,-135928000,-31634000,-31634000,2178000,-29456000,266272000,4022261000,202726000,0.38314,0.13289,0.08744,0.13568,0.01955,1.31664,1.76655,5.94091,0.51064,0.42226,0.42122,4.82927,3.11228,0.55597,0.03381,0.03292,14.13712,16.08567
"39","2019_Q4",13.16828125,"Up",1866967000,-1149935000,717032000,-452772000,264260000,-51157000,-43091000,-8066000,213103000,213103000,-30823000,182280000,182280000,182280000,182280000,317024000,317024000,1033938000,1033938000,2095035000,174172000,174172000,3620169000,581971000,581971000,3521692000,1493969000,1223216000,213649000,4103663000,7723832000,1585001000,997069000,364788000,145055000,145055000,2094844000,3467591000,1043304000,694630000,4510895000,6605739000,310327000,1416109000,-608343000,1118093000,1118093000,7723832000,182280000,14644000,10552000,94587000,302063000,-18653000,-40013000,-258299000,91144000,-221395000,40655000,40655000,-3274000,37381000,278904000,3832379000,385661000,0.38406,0.14155,0.09763,0.16303,0.0236,2.11576,1.72813,5.90804,0.49618,0.49975,0.49858,5.11857,3.06542,1.05735,0.03946,0.06434,12.60418,13.30264
"40","2020_Q1",11.0779032258065,"Down",1209798000,-793683000,416115000,-211745000,204370000,-45687000,-39252000,-6435000,158683000,158683000,-1093000,157590000,184986000,184986000,184986000,328876000,328876000,815210000,815210000,1905845000,174634000,174634000,3224565000,587896000,587896000,3541525000,1520800000,1235711000,203331000,4129421000,7353986000,959006000,959006000,115158000,697275000,697275000,1771439000,3256870000,1089082000,685624000,4345952000,6117391000,304395000,1546224000,-614024000,1236595000,1236595000,7353986000,184986000,26966000,59201000,287579000,558732000,-19780000,-11880000,-283587000,-200538000,-538394000,8457999.99999997,8457999.99999997,3421000,11879000,231336000,3372028000,500228000,0.34395,0.16893,0.15291,0.14959,0.02515,2.70414,1.82031,4.94696,0.45853,0.50697,0.50592,3.31555,3.38899,1.37092,0.04199,0.08779,13.15468,14.8904
"41","2020_Q2",8.8652380952381,"Down",1203070000,-784902000,418168000,-370215000,47953000,-42128000,-36027000,-6101000,5825000,5825000,-707000,5118000,-7874000,-7874000,-7874000,1069490000,1069490000,666603000,666603000,1787660000,451963000,155074000,3975716000,502167000,502167000,3490218000,1161350000,1119646000,181807000,3992385000,7968101000,1233908000,876394000,156346000,423657000,138298000,1813911000,4236955000,1043664000,600525000,5280619000,7094530000,297456000,1296060000,-719945000,873571000,873571000,7968101000,-7874000,31371000,-3135000,-103578000,-83216000,-25693000,-24477000,1100112000,31354000,877514000,769821000,769821000,-15061000,754760000,79324000,4393301000,-49240000,0.34758,0.03986,-0.00654,-0.00900999999999999,-0.000990000000000005,6.25349,2.19179,8.1213,0.55136,-0.02193,-0.02193,3.35101,2.43323,-0.13715,0.00726,-0.00779999999999999,41.90171,69.31393
"42","2020_Q3",13.18921875,"Up",1543083000,-1029221000,513862000,-311729000,202133000,-45728000,-41075000,-4653000,156405000,156405000,-19837000,136568000,161181000,161181000,161181000,556099000,556099000,1139130000,1139130000,1774139000,572782000,171435000,4042150000,496933000,496933000,3584222000,1196359000,1144739000,193100000,4081155000,8123305000,1554201000,1101438000,13000,458378000,147406000,2012592000,3985631000,1045762000,600751000,5031393000,7043985000,302522000,1404326000,-627528000,1079320000,1079320000,8123305000,161181000,31334000,44820000,-171912000,65423000,-20753000,-16146000,-395816000,-14167000,-462196000,-412919000,-412919000,12392000,-400527000,233467000,3985644000,60639000,0.33301,0.13099,0.10445,0.14934,0.01984,0.376219999999999,2.00843,6.52632,0.49064,0.45981,0.45888,4.40203,3.07903,0.17299,0.03492,0.00992,14.68963,16.96677
"43","2020_Q4",13.68765625,"Up",1691863000,-1120392000,571471000,-382384000,189087000,-48398000,-43500000,-4898000,140689000,140689000,-22464000,118225000,103278000,103278000,103278000,716921000,716921000,921434000,921434000,1996851000,470872000,191541000,4106078000,484939000,484939000,3577524000,1230757000,1154449000,193015000,4062463000,8168541000,1679334000,1088556000,11000,352259000,143753000,2031604000,3972212000,1015192000,574072000,4987404000,7019008000,306157000,1454676000,-611300000,1149533000,1149533000,8168541000,103278000,31565000,12595000,101577000,249015000,-2256000,-461000,-127196000,-32445000,-211877000,36677000,36677000,11721000,48398000,220652000,3972223000,342437000,0.33778,0.11176,0.06104,0.08984,0.01264,3.31568,2.0211,6.10596,0.48628,0.29449,0.29374,4.82423,3.27782,0.97644,0.02534,0.0558,14.7531,17.2159
"44","2021_Q1",16.2144262295082,"Up",1689145000,-1589946000,99199000.0000001,-495706000,-396507000,-48639000,-43636000,-5003000,-445146000,-445146000,152948000,-292198000,-332164000,-332164000,-332164000,900615000,900615000,768221000,768221000,1367758000,392786000,158700000,3429380000,477821000,477821000,3812666000,1293847000,1158938000,367976000,4290487000,7719867000,1012760000,891868000,263936000,847665000,625482000,2124361000,3739434000,1042114000,547668000,4781548000,6905909000,307883000,1069546000,-563471000,813958000,813958000,7719867000,-332164000,13458000,478421000,57532000,217247000,-4362000,2000,-19794000,10775000,-61272000,155977000,155977000,22072000,178049000,-383049000,4003370000,-482827000,0.05873,-0.23474,-0.19665,-0.40808,-0.04303,1.45358,1.61431,8.48436,0.51858,-0.94686,-0.95123,4.81503,2.32024,-1.37633,-0.04777,-0.0824,-8.10015,-7.82522
"45","2021_Q2",18.2814285714286,"Up",1508029000,-905348000,602681000,-412559000,190122000,-47021000,-44460000,-2561000,143101000,143101000,-14697000,128404000,-263262000,-263262000,-263262000,530403000,530403000,807738000,807738000,1489565000,456403000,153358000,3284109000,458434000,458434000,3246710000,1269932000,1150138000,355826000,3705144000,6989253000,1548297000,976887000,34375000,421063000,132127000,2003735000,3649631000,851406000,517946000,4501037000,6504772000,304090000,753785000,-573394000,484481000,484481000,6989253000,-263262000,33341000,388144000,-141277000,16946000,-15398000,-13604000,-299170000,-2902000,-354423000,-351081000,-351081000,-17662000,-368743000,223463000,3684006000,81485000,0.39965,0.12607,-0.17457,-0.54339,-0.03767,-0.30952,1.63899,13.42627,0.5271,-0.75003,-0.74857,4.29634,1.38028,0.23215,-0.04202,0.01623,14.11242,16.58726
"46","2021_Q3",17.4575,"Down",1751311000,-1069682000,681629000,-464235000,217394000,-44295000,-42440000,-1855000,173099000,173099000,-25236000,147863000,128676000,128676000,128676000,667298000,667298000,960993000,960993000,1530622000,461701000,159715000,3620614000,446356000,446356000,3211019000,1258783000,1148021000,351309000,3657375000,7277989000,1799652000,1171645000,37500000,418804000,129053000,2255956000,3647482000,812361000,484764000,4459843000,6715799000,310148000,829479000,-577437000,562190000,562190000,7277989000,128676000,27016000,4528000,35090000,195310000,-7478000,-2335000,-7508000,378000,-59498000.0000001,133477000,133477000,882000,134359000,244410000,3684982000,297258000,0.38921,0.12413,0.07347,0.22888,0.01768,2.31013,1.60491,11.94578,0.50632,0.3666,0.36588,4.98945,1.60167,0.84688,0.03578,0.05875,12.34681,13.88117
"47","2021_Q4",15.9565625,"Down",1789551000,-1089890000,699661000,-465015000,234646000,-42671000,-40860000,-1811000,191975000,191975000,-15228000,176747000,151777000,151777000,151777000,873628000,873628000,928039000,928039000,1629506000,476741000,172617000,3907914000,440804000,440804000,3114087000,1227457000,1136173000,327196000,3554891000,7462805000,1958505000,1239960000,37500000,422043000,422043000,2418048000,3626547000,781641000,460318000,4408188000,6826236000,319604000,928293000,-611328000,636569000,636569000,7462805000,151777000,27132000,45479000,90732000,315120000,-29965000,-28465000,-9147000,-476000,-62003000,224652000,224652000,-10427000,214225000,261778000,3664047000,337773000,0.39097,0.13112,0.08481,0.23843,0.02034,2.22546,1.61614,10.72348,0.49097,0.43239,0.43119,5.09815,1.81348,0.96226,0.04017,0.06646,10.65949,11.89204
"48","2022_Q1",14.8945161290323,"Down",1752349000,-1084621000,667728000,-512162000,155566000,-82666000,-35307000,-47359000,72900000,72900000,-4946000,67954000,60033000,60033000,60033000,536277000,536277000,894151000,894151000,1584015000,513660000,186503000,3528103000,441401000,441401000,3101932000,1220170000,1133095000,327804000,3543333000,7071436000,1370706000,1214847000,2.5e+07,931347000,931347000,2327053000,3326091000,715799000,467281000,4041890000,6368943000,318836000,935260000,-551603000,702493000,702493000,7071436000,60033000,6319000,132169000,-102488000,96033000,-13622000,-8050999.99999999,-352813000,-6898000,-412096000,-324114000,-324114000,-5701000,-329815000,161885000,3351091000,50721000,0.38105,0.08878,0.03426,0.08546,0.00849,0.84489,1.51612,9.0662,0.47389,0.17093,0.17006,4.98926,2.00013,0.14441,0.02357,0.01063,17.38774,18.09402
"49","2022_Q2",11.8967741935484,"Down",1576156000,-991978000,584178000,-413666000,170512000,-32950000,-31963000,-987000,137562000,137562000,-23385000,114177000,118702000,118702000,118702000,369210000,369210000,898420000,898420000,1819974000,209974000,202015000,3297578000,443817000,443817000,3118314000,1235276000,1138667000,326677000,3562131000,6859709000,1780107000,1204196000,2.5e+07,260924000,252965000,2066031000,3325042000,689220000,446530000,4014262000,6080293000,315675000,976944000,-513203000,779416000,779416000,6859709000,118702000,26286000,2112000,-378289000,-231189000,-19318000,-29590000,148991000,-4109000,67567000,-193212000,-193212000,1793000,-191419000,196798000,3350042000,-177424000,0.37063,0.10818,0.07531,0.1523,0.0173,-1.4947,1.59609,7.80109,0.48837,0.33813,0.33691,4.48981,2.22023,-0.50541,0.03549,-0.03682,15.14666,17.48166
"50","2022_Q3",9.50859375,"Down",1513467000,-941366000,572101000,-424847000,147254000,-35613000,-33724000,-1889000.00000001,111641000,111641000,-18980000,92661000,92101000,92101000,92101000,247922000,247922000,918253000,918253000,2090711000,248915000,236821000,3505801000,442539000,442539000,3140974000,1261096000,1106529000,315003000,3583513000,7089314000,1804757000,1237129000,2.5e+07,230208000,218114000,2059965000,3627202000,689976000,453753000,4317178000,6377143000,322305000,1016140000,-626274000,712171000,712171000,7089314000,92101000,24952000,-2410000,-324528000,-209885000,-121406000,-116774000,300950000,113000,248739000,-77920000,-77920000,-43368000,-121288000,172206000,3652202000,-254748000,0.37801,0.0973,0.06085,0.12932,0.01299,-2.76596,1.70187,8.95451,0.51517,0.26332,0.26292,4.32701,2.0361,-0.72833,0.02857,-0.0504,19.76865,23.11842
